<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT,D,20110809,000000,5.5468,7.9254,5.5468,7.9254,29141,0
SNT,D,20110810,000000,9.4177,9.4177,7.8002,7.8291,10262,0
SNT,D,20110811,000000,8.6669,8.6669,8.6669,8.6669,3092,0
SNT,D,20110812,000000,9.341,9.341,8.5706,9.2447,5969,0
SNT,D,20110816,000000,9.341,10.593,9.341,10.593,23988,0
SNT,D,20110818,000000,10.496,10.593,10.496,10.496,331,0
SNT,D,20110902,000000,10.391,11.267,10.391,11.267,1310,0
SNT,D,20110905,000000,11.267,11.267,11.267,11.267,841,0
SNT,D,20110906,000000,11.267,11.267,11.267,11.267,1142,0
SNT,D,20110907,000000,10.882,12.519,10.882,12.519,16615,0
SNT,D,20110908,000000,12.037,12.037,11.748,11.748,790,0
SNT,D,20110909,000000,11.845,12.326,10.545,10.545,4427,0
SNT,D,20110912,000000,11.218,11.218,9.822,11.218,8600,0
SNT,D,20110913,000000,10.613,11.133,10.613,11.133,208,0
SNT,D,20110915,000000,10.613,11.507,10.613,11.507,1799,0
SNT,D,20110919,000000,11.113,11.123,11.113,11.123,3116,0
SNT,D,20110920,000000,11.074,11.123,11.074,11.123,414,0
SNT,D,20110921,000000,10.978,11.123,10.111,10.419,252122,0
SNT,D,20110922,000000,10.304,10.304,10.304,10.304,28038,0
SNT,D,20110923,000000,10.69,10.785,10.69,10.785,9347,0
SNT,D,20110926,000000,10.785,12.037,10.593,12.037,10674,0
SNT,D,20110927,000000,12.037,12.076,11.748,11.748,1819,0
SNT,D,20110928,000000,11.171,11.556,10.785,11.556,1269,0
SNT,D,20110929,000000,10.69,11.556,10.208,11.556,56857,0
SNT,D,20110930,000000,11.556,11.556,11.556,11.556,3,0
SNT,D,20111003,000000,11.556,11.556,11.556,11.556,3,0
SNT,D,20111004,000000,10.911,11.556,10.593,11.556,1167,0
SNT,D,20111005,000000,11.527,11.556,11.527,11.556,430,0
SNT,D,20111006,000000,11.748,11.748,11.556,11.556,1147,0
SNT,D,20111007,000000,11.748,11.748,11.748,11.748,5,0
SNT,D,20111010,000000,11.653,13,11.623,13,1794,0
SNT,D,20111011,000000,12.904,12.904,12.519,12.904,5209,0
SNT,D,20111012,000000,13,13,12.519,12.519,928,0
SNT,D,20111013,000000,12.519,12.519,12.519,12.519,1702,0
SNT,D,20111014,000000,12.711,12.711,12.616,12.663,1563,0
SNT,D,20111017,000000,12.616,12.616,12.616,12.616,203,0
SNT,D,20111018,000000,12.616,12.616,12.616,12.616,5,0
SNT,D,20111019,000000,12.616,12.616,12.616,12.616,5,0
SNT,D,20111020,000000,12.616,12.616,12.616,12.616,5,0
SNT,D,20111021,000000,12.616,12.616,12.519,12.616,2602,0
SNT,D,20111024,000000,12.519,12.606,12.519,12.606,1239,0
SNT,D,20111025,000000,12.519,12.519,12.519,12.519,213,0
SNT,D,20111026,000000,12.519,12.519,12.519,12.519,5,0
SNT,D,20111027,000000,12.519,12.519,12.519,12.519,109,0
SNT,D,20111028,000000,12.519,12.519,12.519,12.519,1563,0
SNT,D,20111031,000000,12.519,12.519,12.519,12.519,519,0
SNT,D,20111103,000000,12.519,13.385,12.519,13.385,3380,0
SNT,D,20111104,000000,13.385,13.385,13.385,13.385,20,0
SNT,D,20111107,000000,13.385,13.385,12.808,12.904,3707,0
SNT,D,20111108,000000,12.904,13,12.904,13,4703,0
SNT,D,20111109,000000,13,13.097,13,13.097,682,0
SNT,D,20111110,000000,13.097,13.193,13.097,13.193,3111,0
SNT,D,20111114,000000,13.193,13.193,13,13.193,5154,0
SNT,D,20111115,000000,13.193,13.193,13.164,13.193,5405,0
SNT,D,20111116,000000,13.193,13.193,13.183,13.183,4571,0
SNT,D,20111117,000000,13.154,13.164,13.154,13.164,4777,0
SNT,D,20111118,000000,13.164,13.164,13.164,13.164,4414,0
SNT,D,20111121,000000,13.385,13.385,13.338,13.338,1822,0
SNT,D,20111122,000000,13.385,13.723,13.376,13.713,2341,0
SNT,D,20111123,000000,13.771,13.771,13.646,13.771,3794,0
SNT,D,20111124,000000,13.761,13.771,13.761,13.771,6523,0
SNT,D,20111125,000000,13.771,13.771,13.771,13.771,991,0
SNT,D,20111128,000000,13.751,13.751,13.751,13.751,5,0
SNT,D,20111129,000000,13.751,13.751,13.751,13.751,5,0
SNT,D,20111130,000000,13.771,13.771,13.771,13.771,144,0
SNT,D,20111201,000000,13.771,13.771,13.193,13.193,267,0
SNT,D,20111202,000000,13.193,13.193,13.193,13.193,1843,0
SNT,D,20111205,000000,13.154,13.164,13.154,13.154,1874,0
SNT,D,20111206,000000,13.135,13.135,13.135,13.135,893,0
SNT,D,20111207,000000,13.135,13.135,13.135,13.135,522,0
SNT,D,20111209,000000,13.097,13.097,13.097,13.097,5,0
SNT,D,20111212,000000,13,13.135,13,13.135,997,0
SNT,D,20111213,000000,13.193,13.193,13.193,13.193,1257,0
SNT,D,20111214,000000,13.193,13.443,13.135,13.443,6292,0
SNT,D,20111215,000000,13.482,13.482,13.482,13.482,10,0
SNT,D,20111216,000000,13.482,13.482,13.482,13.482,73,0
SNT,D,20111219,000000,13.385,14.127,13.385,14.127,631,0
SNT,D,20111220,000000,13.723,13.8,13.482,13.8,426,0
SNT,D,20111221,000000,14.406,14.406,13.723,13.723,203,0
SNT,D,20111223,000000,13.684,13.684,13.684,13.684,26,0
SNT,D,20120103,000000,13.684,13.694,13.674,13.674,838,0
SNT,D,20120104,000000,13.684,13.684,13.482,13.482,1160,0
SNT,D,20120105,000000,13.482,13.482,13.482,13.482,476,0
SNT,D,20120110,000000,13.482,13.482,13.482,13.482,208,0
SNT,D,20120111,000000,13.482,13.482,13.482,13.482,416,0
SNT,D,20120112,000000,13.482,13.482,13.482,13.482,514,0
SNT,D,20120113,000000,13.482,13.713,13.482,13.713,283,0
