<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STH,D,20211210,000000,23,24.465,23,23.7,3393494,0
STH,D,20211213,000000,23.8,24.83,23.8,24.6,978812,0
STH,D,20211214,000000,24.8,24.88,24,24.5,190590,0
STH,D,20211215,000000,24.64,24.64,24.225,24.23,174782,0
STH,D,20211216,000000,24.5,24.65,24.24,24.375,213565,0
STH,D,20211217,000000,24.4,24.49,23.6,23.98,211283,0
STH,D,20211220,000000,23.605,23.605,22.8,23.22,266671,0
STH,D,20211221,000000,23.49,23.97,23.11,23.9,171128,0
STH,D,20211222,000000,23.9,24.195,23.51,24.1,62833,0
STH,D,20211223,000000,24.25,24.25,23.15,24.2,888260,0
STH,D,20211227,000000,24.2,24.2,23.37,23.5,345747,0
STH,D,20211228,000000,23.4,23.94,23.4,23.9,71109,0
STH,D,20211229,000000,23.6,23.97,23.6,23.97,7815,0
STH,D,20211230,000000,24,24,23.505,23.505,59867,0
STH,D,20220103,000000,23.94,23.94,23.505,23.6,494312,0
STH,D,20220104,000000,23.75,23.75,23.315,23.36,14390,0
STH,D,20220105,000000,23.32,23.32,22.455,22.455,238845,0
STH,D,20220107,000000,22.4,22.91,22.2,22.78,33280,0
STH,D,20220110,000000,22.78,23.48,22.365,22.86,48334,0
STH,D,20220111,000000,23,23.5,22.9,23.1,16806,0
STH,D,20220112,000000,23.3,23.965,23.21,23.895,100329,0
STH,D,20220113,000000,23.85,23.98,23.53,23.76,55851,0
STH,D,20220114,000000,23.8,23.9,23.5,23.5,172069,0
STH,D,20220117,000000,23.9,23.9,23.65,23.79,35398,0
STH,D,20220118,000000,23.885,23.885,23.22,23.45,83630,0
STH,D,20220119,000000,23.485,23.5,23.02,23.25,74864,0
STH,D,20220120,000000,23.35,23.375,22.9,22.9,58367,0
STH,D,20220121,000000,22.9,23.85,22.9,23.85,461518,0
