<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAIN.US,D,20210720,000000,24.85,24.85,24.65,24.7568,16833,0
AAIN.US,D,20210721,000000,24.8,24.8,24.73,24.77,36702,0
AAIN.US,D,20210722,000000,24.7701,24.7997,24.74,24.77,24413,0
AAIN.US,D,20210723,000000,24.78,24.78,24.73,24.75,16868,0
AAIN.US,D,20210726,000000,24.75,24.87,24.71,24.8688,23815,0
AAIN.US,D,20210727,000000,24.8,24.8,23.71,24.8,21907,0
AAIN.US,D,20210728,000000,24.86,24.86,24.75,24.75,17193,0
AAIN.US,D,20210729,000000,24.86,24.91,24.78,24.79,23113,0
AAIN.US,D,20210730,000000,24.8,24.84,24.76,24.76,13237,0
AAIN.US,D,20210802,000000,24.78,24.8,24.75,24.75,17081,0
AAIN.US,D,20210803,000000,24.75,24.8,24.74,24.76,8932,0
AAIN.US,D,20210804,000000,24.76,24.8,24.72,24.8,7245,0
AAIN.US,D,20210805,000000,24.8,24.8001,24.74,24.76,22665,0
AAIN.US,D,20210806,000000,24.775,24.775,24.675,24.77,31330,0
AAIN.US,D,20210809,000000,24.77,24.84,24.725,24.8,17190,0
AAIN.US,D,20210810,000000,24.84,24.84,24.73,24.765,23894,0
AAIN.US,D,20210811,000000,24.84,24.84,24.815,24.83,8389,0
AAIN.US,D,20210812,000000,24.82,24.88,24.81,24.84,4475,0
AAIN.US,D,20210813,000000,24.85,24.89,24.76,24.89,5737,0
AAIN.US,D,20210816,000000,24.8,24.8,24.7899,24.7901,9661,0
AAIN.US,D,20210817,000000,24.95,25.03,24.87,25.03,6640,0
AAIN.US,D,20210818,000000,25,25.03,25,25.03,1344,0
AAIN.US,D,20210819,000000,25,25.0099,24.95,24.95,6963,0
AAIN.US,D,20210820,000000,24.95,25,24.95,25,3560,0
AAIN.US,D,20210823,000000,24.9987,25,24.9193,25,3177,0
AAIN.US,D,20210824,000000,25,25,24.986,25,932,0
AAIN.US,D,20210825,000000,24.96,24.96,24.88,24.9375,11015,0
AAIN.US,D,20210826,000000,24.95,24.95,24.949,24.95,3559,0
AAIN.US,D,20210827,000000,25,25,24.975,25,1758,0
AAIN.US,D,20210830,000000,25,25.05,25,25,2415,0
AAIN.US,D,20210831,000000,25.05,25.15,24.91,25.0223,10805,0
AAIN.US,D,20210901,000000,25.02,25.02,24.985,25.01,2735,0
AAIN.US,D,20210902,000000,25.0751,25.0751,25.005,25.0061,3038,0
AAIN.US,D,20210903,000000,25,25.02,24.98,25.01,1959,0
AAIN.US,D,20210907,000000,25.01,25.02,24.95,24.95,4549,0
AAIN.US,D,20210908,000000,25.01,25.01,24.95,24.95,1946,0
AAIN.US,D,20210909,000000,25,25,24.95,24.9832,5511,0
AAIN.US,D,20210910,000000,25.01,25.05,25.01,25.01,4334,0
AAIN.US,D,20210913,000000,25,25.01,25,25,4338,0
AAIN.US,D,20210914,000000,24.99,25,24.98,24.98,2788,0
AAIN.US,D,20210915,000000,25,25.01,25,25.01,4014,0
AAIN.US,D,20210916,000000,25,25.0359,24.98,25.01,3285,0
AAIN.US,D,20210917,000000,25,25.15,25,25.15,3465,0
AAIN.US,D,20210920,000000,25.09,25.15,25,25,5661,0
AAIN.US,D,20210921,000000,24.99,24.99,24.95,24.95,1100,0
AAIN.US,D,20210922,000000,25,25,24.96,25,1651,0
AAIN.US,D,20210923,000000,25.01,25.01,25.01,25.01,1280,0
AAIN.US,D,20210924,000000,25.0099,25.01,24.96,24.96,1676,0
AAIN.US,D,20210927,000000,24.9725,24.9725,24.9725,24.9725,401,0
AAIN.US,D,20210928,000000,24.9714,24.9714,24.915,24.97,1180,0
AAIN.US,D,20210929,000000,25.06,25.06,24.97,25,1960,0
AAIN.US,D,20210930,000000,25,25,24.985,24.9872,923,0
AAIN.US,D,20211001,000000,25,25.09,25,25,4450,0
AAIN.US,D,20211004,000000,25.0909,25.14,25.03,25.05,4152,0
AAIN.US,D,20211005,000000,25.01,25.02,24.99,25.01,13590,0
AAIN.US,D,20211006,000000,24.9954,24.9954,24.9401,24.98,1501,0
AAIN.US,D,20211007,000000,25.01,25.05,25,25.01,11563,0
AAIN.US,D,20211008,000000,25.01,25.01,24.97,24.99,7834,0
AAIN.US,D,20211011,000000,25.05,25.15,24.97,24.97,13326,0
AAIN.US,D,20211012,000000,25.05,25.95,25.01,25.55,109948,0
AAIN.US,D,20211013,000000,25.56,25.7,25.33,25.7,49327,0
AAIN.US,D,20211014,000000,25.08,25.49,25.05,25.47,26648,0
AAIN.US,D,20211015,000000,25.29,25.39,25.25,25.25,31194,0
AAIN.US,D,20211018,000000,25.16,25.16,25.03,25.05,11758,0
AAIN.US,D,20211019,000000,25.05,25.05,25,25,3889,0
AAIN.US,D,20211020,000000,25.03,25.035,24.95,24.99,2589,0
AAIN.US,D,20211021,000000,25.02,25.5,25.02,25.1,99064,0
AAIN.US,D,20211022,000000,25.09,25.09,24.79,24.83,27166,0
AAIN.US,D,20211025,000000,24.93,25.0775,24.9,24.95,4647,0
AAIN.US,D,20211026,000000,25,25.0789,24.97,24.975,2205,0
AAIN.US,D,20211027,000000,24.98,25.0125,24.95,25,4100,0
AAIN.US,D,20211028,000000,25.015,25.015,25,25,2096,0
AAIN.US,D,20211101,000000,25.06,25.07,24.89,25.01,3708,0
AAIN.US,D,20211102,000000,25.016,25.016,25.0096,25.0096,700,0
AAIN.US,D,20211103,000000,25.015,25.015,24.95,25,1150,0
AAIN.US,D,20211104,000000,25.0348,25.0348,24.97,25,1809,0
AAIN.US,D,20211105,000000,25.0496,25.0496,25.0098,25.01,2383,0
AAIN.US,D,20211108,000000,25.08,25.08,24.98,25.0099,2388,0
AAIN.US,D,20211109,000000,24.9724,25.01,24.9724,25,1516,0
AAIN.US,D,20211110,000000,25,25.048,24.86,24.965,3969,0
AAIN.US,D,20211112,000000,25.08,25.165,25.08,25.165,1117,0
AAIN.US,D,20211115,000000,25.01,25.01,24.98,25.01,1742,0
AAIN.US,D,20211116,000000,25.01,25.01,24.98,25.01,2790,0
AAIN.US,D,20211117,000000,24.9869,25.01,24.96,24.96,1075,0
AAIN.US,D,20211119,000000,25.01,25.0201,25,25.02,5517,0
AAIN.US,D,20211122,000000,24.97,25.01,24.95,24.95,3957,0
AAIN.US,D,20211123,000000,25.0499,25.0499,25.0499,25.0499,190,0
AAIN.US,D,20211124,000000,25.0099,25.01,24.95,25,2140,0
AAIN.US,D,20211126,000000,24.955,24.955,24.9076,24.9076,1190,0
AAIN.US,D,20211129,000000,24.9359,25.03,24.9359,24.955,1494,0
AAIN.US,D,20211130,000000,24.95,24.95,24.81,24.85,3703,0
AAIN.US,D,20211201,000000,24.95,24.95,24.85,24.9487,6361,0
AAIN.US,D,20211202,000000,24.9241,24.94,24.9,24.94,620,0
AAIN.US,D,20211203,000000,24.95,24.95,24.89,24.89,300,0
AAIN.US,D,20211206,000000,24.8,24.8,24.75,24.75,13408,0
AAIN.US,D,20211207,000000,24.76,24.78,24.18,24.7,21076,0
AAIN.US,D,20211208,000000,24.7,24.7,24.68,24.7,8227,0
AAIN.US,D,20211209,000000,24.7,24.7,24.6499,24.6499,3793,0
AAIN.US,D,20211210,000000,24.74,24.75,24.63,24.665,3654,0
AAIN.US,D,20211213,000000,24.6,24.6,24.55,24.6,3628,0
AAIN.US,D,20211214,000000,24.55,24.55,24.4243,24.55,4658,0
AAIN.US,D,20211215,000000,24.4733,24.5,24.41,24.41,4916,0
AAIN.US,D,20211216,000000,24.41,24.5999,24.4,24.59,14611,0
AAIN.US,D,20211217,000000,24.5001,24.7,24.5001,24.65,4383,0
AAIN.US,D,20211220,000000,24.6299,24.688,24.5,24.688,4658,0
AAIN.US,D,20211222,000000,24.7,24.7,24.7,24.7,819,0
AAIN.US,D,20211223,000000,24.6486,24.9,24.6486,24.88,5595,0
AAIN.US,D,20211227,000000,24.9,24.9,24.805,24.9,2796,0
AAIN.US,D,20211228,000000,24.85,24.9,23.31,24.8,9204,0
AAIN.US,D,20211229,000000,24.88,25.06,24.88,25.06,4263,0
AAIN.US,D,20211230,000000,25.1499,25.3699,25.1499,25.235,2045,0
AAIN.US,D,20211231,000000,25.2471,25.2471,25.2471,25.2471,100,0
AAIN.US,D,20220103,000000,24.8601,25.04,24.8601,25.04,811,0
AAIN.US,D,20220104,000000,24.97,25.03,24.97,25,2404,0
AAIN.US,D,20220105,000000,25.17,25.17,24.95,24.95,2186,0
AAIN.US,D,20220106,000000,24.9902,25,24.9,24.9,4430,0
AAIN.US,D,20220107,000000,25,25.17,25,25.095,3260,0
AAIN.US,D,20220110,000000,25.15,25.18,25.1173,25.14,2257,0
AAIN.US,D,20220111,000000,25.09,25.24,25.09,25.24,1477,0
AAIN.US,D,20220112,000000,25.36,25.36,25.28,25.28,480,0
AAIN.US,D,20220113,000000,24.76,25.015,24.76,24.9399,5171,0
AAIN.US,D,20220114,000000,24.88,24.94,24.88,24.92,905,0
AAIN.US,D,20220118,000000,24.8,24.85,24.68,24.8,1945,0
AAIN.US,D,20220119,000000,24.88,25.2899,24.88,25.2899,2067,0
AAIN.US,D,20220120,000000,25.02,25.095,25.02,25.03,857,0
AAIN.US,D,20220121,000000,25.14,25.14,24.92,24.92,2131,0
