<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AB.US,D,20050225,000000,19.75,19.946,19.563,19.946,702041,0
AB.US,D,20050228,000000,19.841,20.044,19.707,19.762,476200,0
AB.US,D,20050301,000000,19.867,20.023,19.711,19.755,576630,0
AB.US,D,20050302,000000,19.784,19.784,19.467,19.527,643732,0
AB.US,D,20050303,000000,19.518,19.726,19.503,19.582,247502,0
AB.US,D,20050304,000000,19.687,20.061,19.662,19.951,545691,0
AB.US,D,20050307,000000,19.867,20.255,19.827,20.085,715363,0
AB.US,D,20050308,000000,20.109,20.255,20.085,20.17,988332,0
AB.US,D,20050309,000000,20.065,20.251,20.014,20.104,349593,0
AB.US,D,20050310,000000,20.17,20.32,19.898,19.962,566866,0
AB.US,D,20050311,000000,20.065,20.065,19.772,19.875,485002,0
AB.US,D,20050314,000000,19.867,20.09,19.856,19.86,400277,0
AB.US,D,20050315,000000,19.871,20.241,19.871,20.044,378153,0
AB.US,D,20050316,000000,19.946,20.028,19.883,19.942,238932,0
AB.US,D,20050317,000000,19.86,19.902,19.434,19.673,923358,0
AB.US,D,20050318,000000,19.634,19.717,19.539,19.707,322697,0
AB.US,D,20050321,000000,19.748,19.748,19.498,19.696,323890,0
AB.US,D,20050322,000000,19.666,19.707,19.531,19.673,394810,0
AB.US,D,20050323,000000,19.498,19.503,19.16,19.354,346731,0
AB.US,D,20050324,000000,19.372,19.59,19.328,19.467,462395,0
AB.US,D,20050328,000000,19.428,19.673,19.354,19.547,618037,0
AB.US,D,20050329,000000,19.547,19.673,19.209,19.278,411941,0
AB.US,D,20050330,000000,19.183,19.582,19.183,19.512,374106,0
AB.US,D,20050331,000000,19.467,19.827,19.372,19.814,474765,0
AB.US,D,20050401,000000,19.83,20.065,19.634,19.748,563289,0
AB.US,D,20050404,000000,19.75,19.871,19.653,19.871,338883,0
AB.US,D,20050405,000000,19.871,19.998,19.765,19.957,468349,0
AB.US,D,20050406,000000,20.041,20.045,19.732,19.814,508092,0
AB.US,D,20050407,000000,19.728,19.942,19.648,19.908,205378,0
AB.US,D,20050408,000000,19.851,19.99,19.784,19.883,249402,0
AB.US,D,20050411,000000,19.798,19.904,19.544,19.634,620653,0
AB.US,D,20050412,000000,19.205,19.205,17.795,18.743,6207696,0
AB.US,D,20050413,000000,18.577,18.767,18.384,18.732,1263907,0
AB.US,D,20050414,000000,18.713,18.926,18.522,18.762,904323,0
AB.US,D,20050415,000000,18.657,18.806,18.349,18.395,814126,0
AB.US,D,20050418,000000,18.424,18.813,18.293,18.473,1182284,0
AB.US,D,20050419,000000,18.806,19.119,18.777,19.02,1238682,0
AB.US,D,20050420,000000,19.083,19.124,18.866,19.012,1108036,0
AB.US,D,20050421,000000,19.012,19.072,18.908,18.994,871961,0
AB.US,D,20050422,000000,18.998,18.998,18.866,18.924,530459,0
AB.US,D,20050425,000000,18.934,19.287,18.908,19.287,466201,0
AB.US,D,20050426,000000,19.246,19.324,18.943,18.961,581387,0
AB.US,D,20050427,000000,18.908,19.257,18.903,19.056,645161,0
AB.US,D,20050428,000000,18.972,19.141,18.952,19.124,385525,0
AB.US,D,20050429,000000,18.908,18.974,18.644,18.884,837924,0
