<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACA.US,D,20181102,000000,27.405,28.164,26.835,28.164,9977417,0
ACA.US,D,20181105,000000,27.987,29.642,27.673,28.715,1991774,0
ACA.US,D,20181106,000000,28.795,29.082,27.929,27.929,1910511,0
ACA.US,D,20181107,000000,28.045,29.928,27.178,29.072,1663872,0
ACA.US,D,20181108,000000,29.082,34.42,28.864,32.463,2758098,0
ACA.US,D,20181109,000000,32.423,33.038,31.102,32.117,1414262,0
ACA.US,D,20181112,000000,32.137,32.137,29.622,29.879,594803,0
ACA.US,D,20181113,000000,30.736,31.152,30.068,30.442,867108,0
ACA.US,D,20181114,000000,30.098,31.389,29.879,30.412,777648,0
ACA.US,D,20181115,000000,29.879,31.291,29.879,30.883,536692,0
ACA.US,D,20181116,000000,31.351,31.351,30.285,30.854,591569,0
ACA.US,D,20181119,000000,30.854,31.792,29.672,29.869,345501,0
ACA.US,D,20181120,000000,29.454,29.573,28.055,29.181,538918,0
ACA.US,D,20181121,000000,29.298,29.514,28.301,28.38,134157,0
ACA.US,D,20181123,000000,28.331,28.37,27.188,27.405,144256,0
ACA.US,D,20181126,000000,28.016,28.45,26.598,26.795,453202,0
ACA.US,D,20181127,000000,27.138,27.855,26.598,27.423,324209,0
ACA.US,D,20181128,000000,27.256,27.603,26.38,27.453,405593,0
ACA.US,D,20181129,000000,27.523,27.862,25.631,25.898,388311,0
ACA.US,D,20181130,000000,25.641,27.247,25.641,26.952,434938,0
ACA.US,D,20181203,000000,27.603,29.394,26.892,28.914,493201,0
ACA.US,D,20181204,000000,28.705,28.973,26.38,26.44,344571,0
ACA.US,D,20181206,000000,26.013,26.98,25.831,26.143,465089,0
ACA.US,D,20181207,000000,27.623,28.4,25.927,25.956,401876,0
ACA.US,D,20181210,000000,25.493,26.063,24.645,24.763,526516,0
ACA.US,D,20181211,000000,25.157,25.286,23.629,23.629,423955,0
ACA.US,D,20181212,000000,23.739,24.29,23.07,24.162,658390,0
ACA.US,D,20181213,000000,24.585,24.793,24.137,24.417,554336,0
ACA.US,D,20181214,000000,24.25,24.813,23.867,24.025,541026,0
ACA.US,D,20181217,000000,23.957,23.966,23.314,23.412,549325,0
ACA.US,D,20181218,000000,23.461,23.877,22.783,22.94,476745,0
ACA.US,D,20181219,000000,22.91,23.807,22.664,22.793,660728,0
ACA.US,D,20181220,000000,22.743,24.338,22.616,24.114,707567,0
ACA.US,D,20181221,000000,24.084,24.347,23.294,24.142,1214767,0
ACA.US,D,20181224,000000,24.142,24.477,24.055,24.347,183513,0
ACA.US,D,20181226,000000,24.28,25.631,24.28,25.354,225800,0
ACA.US,D,20181227,000000,25.117,26.103,24.035,26.083,488393,0
ACA.US,D,20181228,000000,26.162,27.479,26.005,27.06,229558,0
ACA.US,D,20181231,000000,27.227,27.762,26.529,27.295,210887,0
ACA.US,D,20190102,000000,27.089,27.87,26.191,27.86,339322,0
ACA.US,D,20190103,000000,27.653,28.193,27.563,27.88,314049,0
ACA.US,D,20190104,000000,28.094,28.934,27.987,28.598,226218,0
ACA.US,D,20190107,000000,28.588,30.078,28.222,30.018,733983,0
ACA.US,D,20190108,000000,30.353,30.56,29.564,29.789,606838,0
ACA.US,D,20190109,000000,29.741,29.741,28.805,28.835,201548,0
ACA.US,D,20190110,000000,28.695,29.132,28.114,28.301,136522,0
ACA.US,D,20190111,000000,28.035,28.944,27.85,28.864,195164,0
ACA.US,D,20190114,000000,28.825,29.871,28.825,29.289,147069,0
ACA.US,D,20190115,000000,29.232,29.495,27.937,29.202,212552,0
ACA.US,D,20190116,000000,29.022,29.643,28.874,29.289,232766,0
ACA.US,D,20190117,000000,29.042,29.495,28.993,29.405,265436,0
ACA.US,D,20190118,000000,29.435,29.861,29.032,29.435,465151,0
ACA.US,D,20190122,000000,28.993,29.242,28.389,28.637,348168,0
ACA.US,D,20190123,000000,28.805,28.874,27.828,28.31,169355,0
ACA.US,D,20190124,000000,28.3,28.884,28.28,28.637,271669,0
ACA.US,D,20190125,000000,28.775,29.252,28.419,28.983,258988,0
ACA.US,D,20190128,000000,28.617,28.705,28.015,28.173,288192,0
ACA.US,D,20190129,000000,28.31,29.112,28.231,28.755,139300,0
ACA.US,D,20190130,000000,28.924,29.308,27.868,28.695,149842,0
ACA.US,D,20190131,000000,28.607,29.535,28.569,29.062,294916,0
ACA.US,D,20190201,000000,29.022,29.28,28.399,28.637,97619,0
ACA.US,D,20190204,000000,28.578,29.162,28.34,29.132,134527,0
ACA.US,D,20190205,000000,29.242,29.72,28.637,29.261,231413,0
ACA.US,D,20190206,000000,29.152,29.28,28.708,28.993,211698,0
ACA.US,D,20190207,000000,28.993,29.52,28.755,29.052,212103,0
ACA.US,D,20190208,000000,29.042,29.337,28.588,29.162,94789,0
ACA.US,D,20190211,000000,29.122,29.28,28.943,29.232,147027,0
ACA.US,D,20190212,000000,29.367,31.186,29.289,29.555,466646,0
ACA.US,D,20190213,000000,29.435,30.08,28.153,29.377,263630,0
ACA.US,D,20190214,000000,29.318,30.197,29.222,30.01,285607,0
ACA.US,D,20190215,000000,30.12,31.206,29.866,31.066,379348,0
ACA.US,D,20190219,000000,30.927,32.093,30.415,31.196,325702,0
ACA.US,D,20190220,000000,31.255,31.974,30.977,31.806,418544,0
ACA.US,D,20190221,000000,31.728,31.775,30.72,31.126,269191,0
ACA.US,D,20190222,000000,31.176,31.383,30.572,30.61,224140,0
ACA.US,D,20190225,000000,30.779,31.245,30.635,31.026,319919,0
ACA.US,D,20190226,000000,31.086,31.826,30.572,31.156,181884,0
ACA.US,D,20190227,000000,31.096,31.53,30.917,31.491,147701,0
ACA.US,D,20190228,000000,33.227,34.55,32.399,33.071,492077,0
ACA.US,D,20190301,000000,33.19,33.959,32.389,33.505,317967,0
ACA.US,D,20190304,000000,33.733,34.487,33.277,34.445,366451,0
ACA.US,D,20190305,000000,34.559,34.709,33.821,34.217,356056,0
ACA.US,D,20190306,000000,34.335,34.365,33.713,33.771,178567,0
ACA.US,D,20190307,000000,33.694,33.85,32.644,32.784,405785,0
ACA.US,D,20190308,000000,32.644,33.515,31.865,33.297,122178,0
ACA.US,D,20190311,000000,33.227,33.859,33.15,33.674,135136,0
ACA.US,D,20190312,000000,33.743,34.198,33.19,33.505,117927,0
ACA.US,D,20190313,000000,33.604,33.899,32.519,32.539,377472,0
ACA.US,D,20190314,000000,32.539,32.849,31.305,31.698,319959,0
ACA.US,D,20190315,000000,31.914,32.469,31.156,31.53,1047464,0
ACA.US,D,20190318,000000,31.275,31.875,31.056,31.126,369321,0
ACA.US,D,20190319,000000,31.106,31.295,29.455,29.583,517809,0
ACA.US,D,20190320,000000,29.623,30.268,28.549,29.515,455371,0
ACA.US,D,20190321,000000,29.395,30.02,29.357,29.367,544780,0
ACA.US,D,20190322,000000,29.555,30.395,28.637,28.675,390191,0
ACA.US,D,20190325,000000,28.775,29.435,27.985,28.479,666742,0
ACA.US,D,20190326,000000,28.578,29.308,28.578,28.884,465177,0
ACA.US,D,20190327,000000,28.874,29.162,27.985,28.399,474834,0
ACA.US,D,20190328,000000,28.529,30.187,28.529,29.377,441150,0
ACA.US,D,20190329,000000,29.395,30.455,29.328,30.169,406610,0
ACA.US,D,20190401,000000,30.415,31.579,30.1,30.336,316304,0
ACA.US,D,20190402,000000,30.327,31.096,29.683,30.514,153187,0
ACA.US,D,20190403,000000,30.769,31.845,30.769,31.116,369571,0
ACA.US,D,20190404,000000,31.086,31.904,31.066,31.196,232730,0
ACA.US,D,20190405,000000,31.146,31.285,30.533,30.907,157153,0
ACA.US,D,20190408,000000,30.877,31.191,30.563,30.72,107752,0
ACA.US,D,20190409,000000,30.455,30.67,30.198,30.435,134506,0
ACA.US,D,20190410,000000,30.346,30.779,30.06,30.485,181630,0
ACA.US,D,20190411,000000,30.465,30.7,30.289,30.485,112074,0
ACA.US,D,20190412,000000,30.59,31.132,29.914,30.267,125696,0
ACA.US,D,20190415,000000,30.376,30.67,30.07,30.376,82103,0
ACA.US,D,20190416,000000,30.376,30.582,30.024,30.197,86063,0
ACA.US,D,20190417,000000,30.158,30.395,29.782,29.919,184942,0
ACA.US,D,20190418,000000,29.939,29.939,29.2,29.582,328380,0
ACA.US,D,20190422,000000,29.393,30.72,29.13,30.62,367098,0
ACA.US,D,20190423,000000,30.504,31.187,30.435,30.475,881829,0
ACA.US,D,20190424,000000,30.475,31.207,30.376,30.72,204547,0
ACA.US,D,20190425,000000,30.553,30.594,29.692,30.257,99409,0
ACA.US,D,20190426,000000,30.119,30.829,29.959,30.523,95783,0
ACA.US,D,20190429,000000,30.475,30.858,30.247,30.533,91833,0
ACA.US,D,20190430,000000,30.504,31.077,30.356,30.789,245777,0
ACA.US,D,20190501,000000,30.749,31.365,30.435,30.68,418407,0
ACA.US,D,20190502,000000,30.465,30.65,29.423,29.959,295093,0
ACA.US,D,20190503,000000,33.222,38.228,32.146,37.021,1398541,0
ACA.US,D,20190506,000000,35.796,37.585,35.706,37.209,631178,0
ACA.US,D,20190507,000000,36.725,36.725,35.636,36.2,342452,0
ACA.US,D,20190508,000000,36.16,36.2,35.616,35.894,241504,0
ACA.US,D,20190509,000000,35.527,35.952,34.746,35.666,161004,0
ACA.US,D,20190510,000000,35.241,35.517,34.815,35.488,175932,0
ACA.US,D,20190513,000000,34.786,35.547,34.736,35.221,219149,0
ACA.US,D,20190514,000000,35.093,36.051,35.034,35.716,306599,0
ACA.US,D,20190515,000000,35.41,36.655,35.351,35.766,161453,0
ACA.US,D,20190516,000000,35.706,36.577,35.696,35.874,125164,0
ACA.US,D,20190517,000000,35.41,35.834,34.855,35.192,392767,0
ACA.US,D,20190520,000000,35.015,35.507,34.518,35.005,464052,0
ACA.US,D,20190521,000000,35.173,36.131,34.975,35.971,470818,0
ACA.US,D,20190522,000000,35.686,36.286,35.36,35.636,296818,0
ACA.US,D,20190523,000000,35.251,35.36,34.371,34.995,255285,0
ACA.US,D,20190524,000000,34.975,35.606,33.895,34.045,399739,0
ACA.US,D,20190528,000000,33.985,34.517,33.885,34.174,204853,0
ACA.US,D,20190529,000000,33.856,34.331,33.322,33.865,137274,0
ACA.US,D,20190530,000000,33.885,35.276,33.885,34.616,249763,0
ACA.US,D,20190531,000000,34.213,34.282,33.292,33.52,306599,0
ACA.US,D,20190603,000000,33.5,34.47,33.242,34.253,345734,0
ACA.US,D,20190604,000000,34.616,35.321,33.915,35.133,240320,0
ACA.US,D,20190605,000000,35.123,36.23,34.845,35.806,368350,0
ACA.US,D,20190606,000000,35.844,37.011,35.656,36.655,439224,0
ACA.US,D,20190607,000000,36.745,38.712,36.745,37.922,766533,0
ACA.US,D,20190610,000000,38.061,39.306,37.982,38.267,694560,0
ACA.US,D,20190611,000000,38.633,38.633,36.32,36.459,288056,0
ACA.US,D,20190612,000000,36.547,37.05,35.251,35.586,1153994,0
ACA.US,D,20190613,000000,35.756,36.685,35.626,36.597,522508,0
ACA.US,D,20190614,000000,36.617,36.641,35.923,35.942,337455,0
ACA.US,D,20190617,000000,36.15,36.517,35.053,35.073,410505,0
ACA.US,D,20190618,000000,35.606,36.28,35.37,35.816,353510,0
ACA.US,D,20190619,000000,35.844,35.981,35.271,35.636,507242,0
ACA.US,D,20190620,000000,36.19,36.794,35.656,35.991,455988,0
ACA.US,D,20190621,000000,36.011,36.833,35.739,36.17,759948,0
ACA.US,D,20190624,000000,36.16,36.597,35.488,35.952,314405,0
ACA.US,D,20190625,000000,35.796,36.141,35.221,35.507,376191,0
ACA.US,D,20190626,000000,35.606,36.439,35.537,36.101,588698,0
ACA.US,D,20190627,000000,36.081,37.436,36.081,36.577,477642,0
ACA.US,D,20190628,000000,36.655,37.516,36.479,37.219,5647616,0
ACA.US,D,20190701,000000,37.734,38.257,36.843,37.269,426959,0
ACA.US,D,20190702,000000,37.299,37.685,37.05,37.466,419751,0
ACA.US,D,20190703,000000,37.555,37.615,35.894,35.991,221587,0
ACA.US,D,20190705,000000,35.864,37.07,35.864,36.882,364859,0
ACA.US,D,20190708,000000,36.695,37.349,36.141,36.902,610577,0
ACA.US,D,20190709,000000,36.804,37.229,36.429,36.725,535422,0
ACA.US,D,20190710,000000,36.833,36.932,35.626,36.011,918614,0
ACA.US,D,20190711,000000,36.051,36.29,35.48,36.29,296036,0
ACA.US,D,20190712,000000,36.33,36.449,35.685,35.685,224176,0
ACA.US,D,20190715,000000,35.685,35.775,34.794,35.161,239927,0
ACA.US,D,20190716,000000,35.151,36.479,35.101,36.31,285337,0
ACA.US,D,20190717,000000,36.08,36.567,35.932,36.33,226483,0
ACA.US,D,20190718,000000,36.21,36.449,35.665,36.37,251500,0
ACA.US,D,20190719,000000,36.527,36.666,36.061,36.091,331611,0
ACA.US,D,20190722,000000,35.991,36.25,35.171,35.399,206599,0
ACA.US,D,20190723,000000,35.536,36.498,35.526,36.4,197698,0
ACA.US,D,20190724,000000,36.101,37.359,36.101,36.992,216281,0
ACA.US,D,20190725,000000,36.933,37.537,35.815,35.952,162811,0
ACA.US,D,20190726,000000,36.041,36.469,35.824,36.101,353423,0
ACA.US,D,20190729,000000,36.021,36.23,35.131,35.369,340704,0
ACA.US,D,20190730,000000,35.161,36.942,35.161,36.903,507005,0
ACA.US,D,20190731,000000,36.863,37.627,36.863,37.141,502129,0
ACA.US,D,20190801,000000,36.903,36.992,35.34,35.487,265670,0
ACA.US,D,20190802,000000,35.655,36.429,34.22,34.823,848171,0
ACA.US,D,20190805,000000,34.368,34.664,33.18,34.062,645796,0
ACA.US,D,20190806,000000,34.171,34.477,33.566,34.122,379901,0
ACA.US,D,20190807,000000,33.773,33.793,32.643,33.258,290783,0
ACA.US,D,20190808,000000,33.566,34.032,33.566,33.705,450295,0
ACA.US,D,20190809,000000,33.705,33.705,32.487,32.793,354822,0
ACA.US,D,20190812,000000,32.566,32.763,32.08,32.472,502102,0
ACA.US,D,20190813,000000,32.05,33.398,32.05,32.604,377721,0
ACA.US,D,20190814,000000,32,32.189,31.04,31.466,391842,0
ACA.US,D,20190815,000000,31.515,31.822,30.428,30.712,302993,0
ACA.US,D,20190816,000000,30.951,32.11,30.951,31.724,392501,0
ACA.US,D,20190819,000000,32.239,33.109,31.96,32.15,255631,0
ACA.US,D,20190820,000000,32.03,32.633,31.945,32.348,253747,0
ACA.US,D,20190821,000000,32.733,33.278,32.624,33.18,631350,0
ACA.US,D,20190822,000000,33.2,33.486,32.793,33.051,240013,0
ACA.US,D,20190823,000000,32.873,33.041,31.22,31.515,304499,0
ACA.US,D,20190826,000000,32.02,32.527,31.349,31.714,215251,0
ACA.US,D,20190827,000000,31.95,31.95,30.545,30.881,233210,0
ACA.US,D,20190828,000000,30.702,31.426,30.417,31.21,176129,0
ACA.US,D,20190829,000000,31.565,31.96,31.359,31.704,205546,0
ACA.US,D,20190830,000000,31.871,32.527,31.575,32.179,243726,0
ACA.US,D,20190903,000000,31.783,32.05,31.319,31.734,574544,0
ACA.US,D,20190904,000000,32.11,33.209,32.11,33.1,340241,0
ACA.US,D,20190905,000000,33.446,33.982,33.426,33.575,453275,0
ACA.US,D,20190906,000000,33.625,33.625,33.18,33.506,215337,0
ACA.US,D,20190909,000000,33.645,34.211,33.585,34.112,329861,0
ACA.US,D,20190910,000000,34.171,34.714,33.942,34.191,702731,0
ACA.US,D,20190911,000000,34.22,34.462,33.992,34.348,537629,0
ACA.US,D,20190912,000000,34.25,34.487,33.556,34.161,499850,0
ACA.US,D,20190913,000000,34.171,34.774,34.141,34.594,725228,0
ACA.US,D,20190916,000000,34.418,34.664,34.132,34.309,215855,0
ACA.US,D,20190917,000000,34.102,34.398,33.734,34.269,255814,0
ACA.US,D,20190918,000000,34.171,34.457,33.695,34.398,421748,0
ACA.US,D,20190919,000000,34.516,34.709,33.922,33.922,449719,0
ACA.US,D,20190920,000000,34.112,34.309,33.754,34.022,654189,0
ACA.US,D,20190923,000000,33.763,34.614,33.645,34.171,486454,0
ACA.US,D,20190924,000000,34.132,34.309,33.398,33.486,498143,0
ACA.US,D,20190925,000000,33.526,34.418,33.389,34.141,204542,0
ACA.US,D,20190926,000000,34.082,34.132,33.436,33.763,108439,0
ACA.US,D,20190927,000000,33.872,34.22,33.665,33.724,215996,0
ACA.US,D,20190930,000000,33.763,34.259,33.407,33.882,457969,0
ACA.US,D,20191001,000000,34.122,34.24,33.209,33.426,274054,0
ACA.US,D,20191002,000000,33.426,33.436,32.624,33.11,377746,0
ACA.US,D,20191003,000000,32.913,33.556,32.604,33.298,254304,0
ACA.US,D,20191004,000000,33.268,33.625,33.165,33.566,360644,0
ACA.US,D,20191007,000000,33.446,33.446,32.883,33.031,365357,0
ACA.US,D,20191008,000000,32.624,32.883,32.16,32.249,247830,0
ACA.US,D,20191009,000000,32.576,32.743,32.239,32.358,196935,0
ACA.US,D,20191010,000000,32.517,33.08,32.517,32.873,433330,0
ACA.US,D,20191011,000000,33.229,33.904,32.693,32.743,342066,0
ACA.US,D,20191014,000000,32.596,33.244,32.248,33.1,240662,0
ACA.US,D,20191015,000000,33.2,33.626,32.893,33.18,264501,0
ACA.US,D,20191016,000000,33.18,33.715,33.14,33.417,258521,0
ACA.US,D,20191017,000000,33.417,33.924,33.12,33.616,1581144,0
