<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACAQ.US,D,20211215,000000,9.91,9.91,9.85,9.91,129278,0
ACAQ.US,D,20211217,000000,9.9,9.91,9.85,9.9,8202,0
ACAQ.US,D,20211220,000000,9.9599,9.9599,9.9599,9.9599,121,0
ACAQ.US,D,20211222,000000,9.89,9.9,9.89,9.9,15301,0
ACAQ.US,D,20211227,000000,10.09,10.09,9.92,9.92,800,0
ACAQ.US,D,20211228,000000,9.92,9.92,9.88,9.89,206174,0
ACAQ.US,D,20211229,000000,9.9,9.9,9.9,9.9,299,0
ACAQ.US,D,20211230,000000,9.88,9.91,9.88,9.9076,4759,0
ACAQ.US,D,20220103,000000,10.26,10.26,9.85,9.925,15823,0
ACAQ.US,D,20220104,000000,9.92,9.93,9.92,9.92,2045,0
ACAQ.US,D,20220110,000000,9.91,9.92,9.91,9.91,102892,0
ACAQ.US,D,20220111,000000,9.91,9.92,9.91,9.91,92295,0
ACAQ.US,D,20220112,000000,9.9,9.91,9.9,9.91,15092,0
ACAQ.US,D,20220113,000000,9.91,9.91,9.91,9.91,25354,0
ACAQ.US,D,20220114,000000,9.95,9.95,9.92,9.92,17863,0
ACAQ.US,D,20220118,000000,9.92,9.92,9.91,9.91,11434,0
ACAQ.US,D,20220119,000000,9.92,9.92,9.91,9.92,5128,0
ACAQ.US,D,20220120,000000,9.91,9.92,9.91,9.92,66745,0
ACAQ.US,D,20220121,000000,9.91,9.92,9.91,9.91,353552,0
