<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACDI-U.US,D,20211111,000000,10.08,10.1,10.08,10.09,619913,0
ACDI-U.US,D,20211112,000000,10.09,10.105,10.07,10.09,112206,0
ACDI-U.US,D,20211115,000000,10.07,10.12,10.07,10.11,121647,0
ACDI-U.US,D,20211116,000000,10.11,10.13,10.1,10.1,185168,0
ACDI-U.US,D,20211118,000000,10.11,10.11,10.11,10.11,50000,0
ACDI-U.US,D,20211119,000000,10.19,10.19,10.19,10.19,140,0
ACDI-U.US,D,20211122,000000,10.19,10.19,10.12,10.12,57085,0
ACDI-U.US,D,20211123,000000,10.11,10.18,10.11,10.13,20667,0
ACDI-U.US,D,20211126,000000,10.11,10.12,10.11,10.11,14133,0
ACDI-U.US,D,20211129,000000,10.11,10.12,10.11,10.11,4600,0
ACDI-U.US,D,20211130,000000,10.11,10.11,10.1,10.1,100000,0
ACDI-U.US,D,20211201,000000,10.11,10.11,10.11,10.11,5026,0
ACDI-U.US,D,20211207,000000,10.11,10.11,10.1,10.1,51900,0
ACDI-U.US,D,20211208,000000,10.1,10.1,10.1,10.1,25088,0
ACDI-U.US,D,20211209,000000,10.1,10.1,10.1,10.1,10005,0
ACDI-U.US,D,20211210,000000,10.1,10.11,10.1,10.1,160201,0
ACDI-U.US,D,20211214,000000,10.07,10.07,10.07,10.07,7310,0
ACDI-U.US,D,20211215,000000,10.08,10.12,10.075,10.12,29927,0
ACDI-U.US,D,20211217,000000,10.13,10.13,10.13,10.13,375,0
ACDI-U.US,D,20211220,000000,10.065,10.065,10.065,10.065,225,0
ACDI-U.US,D,20211222,000000,10.1,10.1,10.04,10.04,8038,0
ACDI-U.US,D,20211223,000000,10.07,10.07,10.07,10.07,934,0
ACDI-U.US,D,20211228,000000,10.14,10.14,10.14,10.14,220,0
ACDI-U.US,D,20211229,000000,10.07,10.07,9.91,9.91,446,0
ACDI-U.US,D,20211230,000000,10.09,10.1,10.09,10.1,10508,0
ACDI-U.US,D,20211231,000000,10.15,10.15,10.15,10.15,111,0
ACDI-U.US,D,20220103,000000,10.15,10.15,10.15,10.15,7347,0
ACDI-U.US,D,20220104,000000,10.15,10.15,10.15,10.15,13295,0
ACDI-U.US,D,20220105,000000,10.1675,10.17,10.1675,10.17,104219,0
ACDI-U.US,D,20220106,000000,10.06,10.15,10.06,10.15,10001,0
ACDI-U.US,D,20220107,000000,10.16,10.17,10.155,10.155,803115,0
ACDI-U.US,D,20220111,000000,10.15,10.18,10.15,10.18,2800,0
ACDI-U.US,D,20220113,000000,10.15,10.15,10.15,10.15,100,0
ACDI-U.US,D,20220118,000000,10.135,10.135,10.135,10.135,675,0
