<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACDI-WS.US,D,20220104,000000,0.56,0.6,0.56,0.6,500200,0
ACDI-WS.US,D,20220105,000000,0.58,0.58,0.5502,0.5502,58500,0
ACDI-WS.US,D,20220106,000000,0.5502,0.5502,0.55015,0.55015,1200,0
ACDI-WS.US,D,20220107,000000,0.5851,0.5851,0.57713,0.57713,2500,0
ACDI-WS.US,D,20220110,000000,0.5136,0.5502,0.5,0.5301,250400,0
ACDI-WS.US,D,20220111,000000,0.53,0.5301,0.53,0.5301,1300,0
ACDI-WS.US,D,20220112,000000,0.57,0.57,0.5378,0.57,3951,0
ACDI-WS.US,D,20220113,000000,0.56,0.56,0.56,0.56,200,0
ACDI-WS.US,D,20220118,000000,0.56,0.56,0.530049,0.530049,400,0
ACDI-WS.US,D,20220119,000000,0.520051,0.520051,0.520051,0.520051,100,0
ACDI-WS.US,D,20220120,000000,0.5101,0.5101,0.4998,0.5,4001,0
