<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADC_A.US,D,20210923,000000,25.1499,25.3,25.07,25.23,326935,0
ADC_A.US,D,20210924,000000,25.19,25.19,25.08,25.08,106304,0
ADC_A.US,D,20210927,000000,25.06,25.3,25.025,25.3,237717,0
ADC_A.US,D,20210928,000000,25.25,25.25,25.1,25.12,313069,0
ADC_A.US,D,20210929,000000,25.3,25.3,25.06,25.23,43955,0
ADC_A.US,D,20210930,000000,25.3,25.34,25.12,25.14,647066,0
ADC_A.US,D,20211001,000000,25.07,25.24,25,25.1,96112,0
ADC_A.US,D,20211004,000000,25.08,25.21,24.95,24.99,79733,0
ADC_A.US,D,20211005,000000,25,25.07,24.74,24.75,38435,0
ADC_A.US,D,20211006,000000,24.74,24.755,24.52,24.65,67530,0
ADC_A.US,D,20211007,000000,24.62,24.7899,24.48,24.48,50143,0
ADC_A.US,D,20211008,000000,24.52,24.59,24.2501,24.41,103686,0
ADC_A.US,D,20211011,000000,24.41,24.4388,24.35,24.375,26450,0
ADC_A.US,D,20211012,000000,24.45,24.5346,24.39,24.42,3394,0
ADC_A.US,D,20211013,000000,24.39,24.63,24.39,24.61,10086,0
ADC_A.US,D,20211014,000000,24.72,24.98,24.72,24.97,19360,0
ADC_A.US,D,20211015,000000,24.97,24.97,24.85,24.9,7928,0
ADC_A.US,D,20211018,000000,24.9,24.94,24.57,24.91,6196,0
ADC_A.US,D,20211019,000000,24.93,24.96,24.8,24.8283,4937,0
ADC_A.US,D,20211020,000000,24.85,24.85,24.71,24.76,10526,0
ADC_A.US,D,20211021,000000,24.81,24.93,24.49,24.67,21458,0
ADC_A.US,D,20211022,000000,24.535,24.535,24.5,24.53,3431,0
ADC_A.US,D,20211025,000000,24.5,24.6,24.5,24.55,4705,0
ADC_A.US,D,20211026,000000,24.51,24.51,24.51,24.51,893,0
ADC_A.US,D,20211027,000000,24.55,24.55,24.4806,24.5,4025,0
ADC_A.US,D,20211028,000000,24.55,24.6,24.55,24.55,3559,0
ADC_A.US,D,20211029,000000,24.54,24.7,24.49,24.55,17299,0
ADC_A.US,D,20211101,000000,24.65,24.74,24.53,24.74,10744,0
ADC_A.US,D,20211102,000000,24.67,24.79,24.67,24.79,2111,0
ADC_A.US,D,20211103,000000,24.66,24.73,24.65,24.73,5803,0
ADC_A.US,D,20211104,000000,24.77,24.91,24.77,24.91,4082,0
ADC_A.US,D,20211105,000000,24.9402,24.98,24.64,24.96,19366,0
ADC_A.US,D,20211108,000000,24.9018,24.96,24.7884,24.96,8465,0
ADC_A.US,D,20211109,000000,25,25,24.78,24.85,7481,0
ADC_A.US,D,20211110,000000,24.91,24.91,24.55,24.6,11502,0
ADC_A.US,D,20211111,000000,24.7,24.708,24.46,24.46,5550,0
ADC_A.US,D,20211112,000000,24.51,24.52,24.22,24.3,20461,0
ADC_A.US,D,20211115,000000,24.35,24.35,24.2245,24.25,3845,0
ADC_A.US,D,20211116,000000,24.2,24.201,23.96,24.08,16870,0
ADC_A.US,D,20211117,000000,24.11,24.13,24.01,24.13,14241,0
ADC_A.US,D,20211118,000000,24.075,24.21,24.075,24.08,18651,0
ADC_A.US,D,20211119,000000,24,24.14,24,24.09,17325,0
ADC_A.US,D,20211122,000000,24.16,24.16,23.89,24.08,12299,0
ADC_A.US,D,20211123,000000,23.8,24.05,23.65,23.77,24721,0
ADC_A.US,D,20211124,000000,23.7,23.77,23.67,23.76,11309,0
ADC_A.US,D,20211126,000000,23.6408,23.73,23,23.43,13463,0
ADC_A.US,D,20211129,000000,23.4,23.67,23.35,23.66,21599,0
ADC_A.US,D,20211130,000000,23.71,23.89,23.39,23.66,4428,0
ADC_A.US,D,20211201,000000,23.71,24.15,23.71,23.93,28032,0
ADC_A.US,D,20211202,000000,23.98,24.25,23.98,24.09,16809,0
ADC_A.US,D,20211203,000000,24.25,24.25,24,24.09,9013,0
ADC_A.US,D,20211206,000000,24.2,24.35,24.2,24.31,4920,0
ADC_A.US,D,20211207,000000,24.49,24.585,24.36,24.39,16377,0
ADC_A.US,D,20211208,000000,24.39,24.57,24.36,24.46,12975,0
ADC_A.US,D,20211209,000000,24.55,24.55,24,24.29,25824,0
ADC_A.US,D,20211210,000000,24.0873,24.0873,23.71,23.99,43266,0
ADC_A.US,D,20211213,000000,23.94,23.94,23.55,23.68,35511,0
ADC_A.US,D,20211214,000000,23.8,23.8,23.384,23.5,20793,0
ADC_A.US,D,20211215,000000,23.5,23.5059,23.05,23.33,14424,0
ADC_A.US,D,20211216,000000,23.29,23.65,23.29,23.39,41260,0
ADC_A.US,D,20211217,000000,23.68,23.7193,23.39,23.67,16754,0
ADC_A.US,D,20211220,000000,23.64,23.65,23.55,23.58,21209,0
ADC_A.US,D,20211221,000000,23.52,23.705,23.52,23.58,8796,0
ADC_A.US,D,20211222,000000,23.66,23.8199,23.53,23.6,29887,0
ADC_A.US,D,20211223,000000,23.5795,23.79,23.5795,23.65,4499,0
ADC_A.US,D,20211227,000000,23.75,23.81,23.57,23.65,68081,0
ADC_A.US,D,20211228,000000,23.58,23.7465,23.3,23.41,50909,0
ADC_A.US,D,20211229,000000,23.54,23.66,23.45,23.57,48930,0
ADC_A.US,D,20211230,000000,23.47,23.7,23.47,23.69,45564,0
ADC_A.US,D,20211231,000000,23.54,23.72,23.46,23.72,90678,0
ADC_A.US,D,20220103,000000,23.72,24.11,23.7,24.05,77363,0
ADC_A.US,D,20220104,000000,24.05,24.05,23.88,23.97,88868,0
ADC_A.US,D,20220105,000000,23.98,23.98,23.73,23.75,17218,0
ADC_A.US,D,20220106,000000,23.73,23.95,23.6,23.95,65208,0
ADC_A.US,D,20220107,000000,23.87,24,23.87,23.95,26880,0
ADC_A.US,D,20220110,000000,23.9,23.9,23.71,23.88,7245,0
ADC_A.US,D,20220111,000000,23.74,23.93,23.7101,23.8191,24288,0
ADC_A.US,D,20220112,000000,23.87,23.96,23.85,23.92,3882,0
ADC_A.US,D,20220113,000000,23.98,24,23.935,24,16152,0
ADC_A.US,D,20220114,000000,23.94,23.9999,23.8201,23.92,4495,0
ADC_A.US,D,20220118,000000,23.83,23.9,23.6,23.63,24514,0
ADC_A.US,D,20220119,000000,23.77,23.77,23.56,23.56,25276,0
ADC_A.US,D,20220120,000000,23.6,23.65,23.5,23.5,7181,0
ADC_A.US,D,20220121,000000,23.61,23.7,23.45,23.52,10789,0
