<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADEX.US,D,20210304,000000,9.82,9.82,9.62,9.6899,742469,0
ADEX.US,D,20210305,000000,9.74,9.775,9.65,9.76,66915,0
ADEX.US,D,20210308,000000,9.82,9.82,9.71,9.725,273281,0
ADEX.US,D,20210309,000000,9.8,9.92,9.72,9.74,47834,0
ADEX.US,D,20210310,000000,9.75,9.77,9.71,9.73,196644,0
ADEX.US,D,20210311,000000,9.7,9.74,9.7,9.74,835909,0
ADEX.US,D,20210312,000000,9.7,9.74,9.7,9.72,29715,0
ADEX.US,D,20210315,000000,9.76,9.76,9.69,9.6999,75531,0
ADEX.US,D,20210316,000000,9.72,9.73,9.71,9.7101,13811,0
ADEX.US,D,20210317,000000,9.69,9.73,9.69,9.7,17559,0
ADEX.US,D,20210318,000000,9.7,9.7,9.64,9.68,63709,0
ADEX.US,D,20210319,000000,9.66,9.68,9.66,9.68,35945,0
ADEX.US,D,20210322,000000,9.65,9.68,9.65,9.68,10373,0
ADEX.US,D,20210323,000000,9.66,9.67,9.59,9.64,176712,0
ADEX.US,D,20210324,000000,9.6754,9.6754,9.59,9.61,396467,0
ADEX.US,D,20210325,000000,9.56,9.6,9.55,9.57,26255,0
ADEX.US,D,20210326,000000,9.574,9.69,9.55,9.65,35067,0
ADEX.US,D,20210329,000000,9.68,9.685,9.64,9.66,319916,0
ADEX.US,D,20210330,000000,9.65,9.67,9.6,9.63,41445,0
ADEX.US,D,20210331,000000,9.68,9.68,9.61,9.63,28267,0
ADEX.US,D,20210401,000000,9.66,9.73,9.66,9.73,82880,0
ADEX.US,D,20210405,000000,9.74,9.74,9.7,9.7,87111,0
ADEX.US,D,20210406,000000,9.68,9.71,9.6594,9.71,117326,0
ADEX.US,D,20210407,000000,9.74,9.74,9.7,9.7,8403,0
ADEX.US,D,20210408,000000,9.7,9.71,9.66,9.7,91365,0
ADEX.US,D,20210409,000000,9.7,9.73,9.7,9.72,82193,0
ADEX.US,D,20210412,000000,9.73,9.77,9.72,9.77,51662,0
ADEX.US,D,20210413,000000,9.7558,9.76,9.7,9.76,4322,0
ADEX.US,D,20210414,000000,9.75,9.83,9.74,9.83,359305,0
ADEX.US,D,20210415,000000,9.76,9.83,9.76,9.83,197780,0
ADEX.US,D,20210416,000000,9.83,9.84,9.76,9.84,223673,0
ADEX.US,D,20210419,000000,9.84,9.84,9.76,9.79,156623,0
ADEX.US,D,20210420,000000,9.77,9.8,9.7,9.74,53060,0
ADEX.US,D,20210421,000000,9.74,9.77,9.74,9.77,23853,0
ADEX.US,D,20210422,000000,9.735,9.75,9.7,9.7,7257,0
ADEX.US,D,20210423,000000,9.7,9.75,9.7,9.75,9828,0
ADEX.US,D,20210426,000000,9.73,9.745,9.7,9.7,12208,0
ADEX.US,D,20210427,000000,9.72,9.73,9.68,9.7,229480,0
ADEX.US,D,20210428,000000,9.72,9.76,9.71,9.72,69078,0
ADEX.US,D,20210429,000000,9.72,9.77,9.7,9.71,21183,0
ADEX.US,D,20210430,000000,9.71,9.71,9.65,9.71,44970,0
ADEX.US,D,20210503,000000,9.73,9.74,9.69,9.7,35641,0
ADEX.US,D,20210504,000000,9.71,9.72,9.69,9.69,17226,0
ADEX.US,D,20210505,000000,9.7,9.708,9.68,9.69,64756,0
ADEX.US,D,20210506,000000,9.68,9.71,9.68,9.708,11529,0
ADEX.US,D,20210507,000000,9.71,9.71,9.69,9.69,3703,0
ADEX.US,D,20210510,000000,9.71,9.71,9.6801,9.71,7130,0
ADEX.US,D,20210511,000000,9.66,9.7,9.65,9.67,50369,0
ADEX.US,D,20210512,000000,9.65,9.7,9.65,9.65,7868,0
ADEX.US,D,20210513,000000,9.6899,9.69,9.66,9.69,5775,0
ADEX.US,D,20210514,000000,9.7,9.71,9.66,9.7,5708,0
ADEX.US,D,20210517,000000,9.66,9.72,9.66,9.72,13859,0
ADEX.US,D,20210518,000000,9.6544,9.71,9.6544,9.71,10500,0
ADEX.US,D,20210519,000000,9.68,9.71,9.68,9.71,1262,0
ADEX.US,D,20210520,000000,9.7,9.7,9.65,9.7,1304,0
ADEX.US,D,20210521,000000,9.7,9.72,9.7,9.72,43969,0
ADEX.US,D,20210524,000000,9.72,9.73,9.67,9.7,16747,0
ADEX.US,D,20210525,000000,9.695,9.7,9.65,9.65,20229,0
ADEX.US,D,20210526,000000,9.65,9.73,9.65,9.67,5452,0
ADEX.US,D,20210527,000000,9.6775,9.69,9.65,9.65,3202,0
ADEX.US,D,20210528,000000,9.65,9.67,9.65,9.66,2602,0
ADEX.US,D,20210601,000000,9.69,9.69,9.65,9.68,4535,0
ADEX.US,D,20210603,000000,9.65,9.68,9.65,9.66,7177,0
ADEX.US,D,20210604,000000,9.66,9.7,9.66,9.7,625,0
ADEX.US,D,20210608,000000,9.65,9.66,9.65,9.65,4137,0
ADEX.US,D,20210609,000000,9.69,9.7,9.65,9.69,28914,0
ADEX.US,D,20210610,000000,9.7,9.7,9.66,9.688,16783,0
ADEX.US,D,20210611,000000,9.6715,9.7,9.67,9.7,522,0
ADEX.US,D,20210614,000000,9.69,9.69,9.65,9.67,48467,0
ADEX.US,D,20210615,000000,9.67,9.68,9.67,9.67,21900,0
ADEX.US,D,20210616,000000,9.69,9.69,9.645,9.69,20528,0
ADEX.US,D,20210617,000000,9.69,9.7,9.69,9.69,6495,0
ADEX.US,D,20210618,000000,9.64,9.68,9.64,9.67,14030,0
ADEX.US,D,20210622,000000,9.65,9.67,9.63,9.66,26211,0
ADEX.US,D,20210623,000000,9.67,9.69,9.65,9.69,126475,0
ADEX.US,D,20210624,000000,9.67,9.7,9.66,9.69,2128,0
ADEX.US,D,20210628,000000,9.655,9.68,9.62,9.67,49849,0
ADEX.US,D,20210629,000000,9.66,9.68,9.65,9.68,27311,0
ADEX.US,D,20210630,000000,9.66,9.69,9.66,9.69,103190,0
ADEX.US,D,20210701,000000,9.66,9.69,9.66,9.68,39398,0
ADEX.US,D,20210702,000000,9.66,9.69,9.66,9.68,46877,0
ADEX.US,D,20210706,000000,9.68,9.68,9.65,9.67,20414,0
ADEX.US,D,20210707,000000,9.65,9.65,9.65,9.65,167,0
ADEX.US,D,20210708,000000,9.65,9.67,9.65,9.67,15399,0
ADEX.US,D,20210709,000000,9.65,9.67,9.65,9.669,12639,0
ADEX.US,D,20210712,000000,9.67,9.67,9.65,9.66,4960,0
ADEX.US,D,20210713,000000,9.66,9.67,9.65,9.67,21296,0
ADEX.US,D,20210714,000000,9.67,9.69,9.66,9.68,42144,0
ADEX.US,D,20210715,000000,9.6623,9.68,9.66,9.68,1536,0
ADEX.US,D,20210716,000000,9.7,9.7,9.67,9.68,2785,0
ADEX.US,D,20210719,000000,9.66,9.67,9.65,9.67,1161,0
ADEX.US,D,20210720,000000,9.62,9.68,9.62,9.68,63265,0
ADEX.US,D,20210721,000000,9.67,9.69,9.66,9.69,16689,0
ADEX.US,D,20210722,000000,9.7,9.7,9.67,9.68,18533,0
ADEX.US,D,20210723,000000,9.65,9.67,9.65,9.67,740,0
ADEX.US,D,20210726,000000,9.66,9.66,9.65,9.65,2993,0
ADEX.US,D,20210727,000000,9.66,9.69,9.66,9.67,14176,0
ADEX.US,D,20210728,000000,9.685,9.685,9.66,9.66,1518,0
ADEX.US,D,20210729,000000,9.67,9.69,9.67,9.69,3775,0
ADEX.US,D,20210730,000000,9.69,9.7,9.68,9.69,13068,0
ADEX.US,D,20210802,000000,9.72,9.72,9.72,9.72,969,0
ADEX.US,D,20210803,000000,9.7,9.7,9.7,9.7,170,0
ADEX.US,D,20210804,000000,9.67,9.71,9.67,9.71,8924,0
ADEX.US,D,20210805,000000,9.67,9.71,9.67,9.7,3443,0
ADEX.US,D,20210806,000000,9.695,9.695,9.68,9.68,219,0
ADEX.US,D,20210810,000000,9.68,9.71,9.68,9.68,1406,0
ADEX.US,D,20210812,000000,9.66,9.71,9.66,9.71,1632,0
ADEX.US,D,20210813,000000,9.66,9.7,9.66,9.69,2204,0
ADEX.US,D,20210816,000000,9.67,9.7,9.66,9.67,4527,0
ADEX.US,D,20210817,000000,9.67,9.67,9.67,9.67,519,0
ADEX.US,D,20210818,000000,9.66,9.68,9.66,9.68,2006,0
ADEX.US,D,20210819,000000,9.65,9.65,9.64,9.64,16727,0
ADEX.US,D,20210820,000000,9.62,9.66,9.62,9.62,2755,0
ADEX.US,D,20210823,000000,9.61,9.61,9.61,9.61,100,0
ADEX.US,D,20210824,000000,9.65,9.65,9.63,9.64,6739,0
ADEX.US,D,20210825,000000,9.6301,9.65,9.6301,9.64,7002,0
ADEX.US,D,20210826,000000,9.63,9.65,9.63,9.65,4702,0
ADEX.US,D,20210827,000000,9.64,9.66,9.6164,9.66,23639,0
ADEX.US,D,20210830,000000,9.63,9.68,9.63,9.65,2456,0
ADEX.US,D,20210831,000000,9.65,9.655,9.64,9.65,41786,0
ADEX.US,D,20210901,000000,9.67,9.68,9.63,9.65,18550,0
ADEX.US,D,20210902,000000,9.65,9.67,9.65,9.67,8045,0
ADEX.US,D,20210903,000000,9.65,9.67,9.65,9.67,314,0
ADEX.US,D,20210907,000000,9.69,9.69,9.66,9.66,1860,0
ADEX.US,D,20210909,000000,9.69,9.695,9.68,9.695,2923,0
ADEX.US,D,20210910,000000,9.7,9.71,9.69,9.69,7299,0
ADEX.US,D,20210913,000000,9.67,9.69,9.67,9.69,3554,0
ADEX.US,D,20210914,000000,9.68,9.7,9.68,9.7,4609,0
ADEX.US,D,20210915,000000,9.67,9.71,9.67,9.7,5538,0
ADEX.US,D,20210916,000000,9.67,9.71,9.67,9.7,71445,0
ADEX.US,D,20210917,000000,9.67,9.72,9.67,9.69,39680,0
ADEX.US,D,20210920,000000,9.67,9.69,9.67,9.69,2109,0
ADEX.US,D,20210921,000000,9.68,9.69,9.68,9.69,679,0
ADEX.US,D,20210922,000000,9.69,9.71,9.69,9.71,5296,0
ADEX.US,D,20210923,000000,9.71,9.7146,9.68,9.71,26114,0
ADEX.US,D,20210924,000000,9.7,9.72,9.69,9.72,3206,0
ADEX.US,D,20210927,000000,9.7,9.73,9.7,9.71,2111,0
ADEX.US,D,20210928,000000,9.71,9.714,9.71,9.714,15013,0
ADEX.US,D,20210929,000000,9.71,9.71,9.71,9.71,703,0
ADEX.US,D,20210930,000000,9.73,9.75,9.725,9.74,117227,0
ADEX.US,D,20211001,000000,9.75,9.77,9.75,9.77,5778,0
ADEX.US,D,20211005,000000,9.75,9.76,9.75,9.75,64350,0
ADEX.US,D,20211006,000000,9.72,9.76,9.72,9.75,2001,0
ADEX.US,D,20211007,000000,9.77,9.77,9.75,9.77,5273,0
ADEX.US,D,20211008,000000,9.77,9.77,9.75,9.76,57029,0
ADEX.US,D,20211011,000000,9.73,9.77,9.73,9.76,135939,0
ADEX.US,D,20211015,000000,9.73,9.75,9.72,9.74,2593,0
ADEX.US,D,20211018,000000,9.76,9.76,9.74,9.74,1678,0
ADEX.US,D,20211019,000000,9.76,9.7692,9.74,9.74,6292,0
ADEX.US,D,20211021,000000,9.73,9.73,9.73,9.73,3539,0
ADEX.US,D,20211025,000000,9.77,9.77,9.71,9.7497,9405,0
ADEX.US,D,20211026,000000,9.74,9.7653,9.73,9.73,19608,0
ADEX.US,D,20211027,000000,9.74,9.74,9.73,9.73,10321,0
ADEX.US,D,20211028,000000,9.74,9.74,9.71,9.71,62693,0
ADEX.US,D,20211029,000000,9.71,9.74,9.7,9.74,55431,0
ADEX.US,D,20211101,000000,9.74,9.74,9.7,9.7,138674,0
ADEX.US,D,20211102,000000,9.69,9.71,9.69,9.7,20126,0
ADEX.US,D,20211103,000000,9.7,9.75,9.7,9.74,57177,0
ADEX.US,D,20211104,000000,9.74,9.74,9.71,9.71,14636,0
ADEX.US,D,20211105,000000,9.71,9.73,9.71,9.72,19614,0
ADEX.US,D,20211108,000000,9.72,9.72,9.71,9.71,14684,0
ADEX.US,D,20211109,000000,9.72,9.72,9.71,9.71,17305,0
ADEX.US,D,20211110,000000,9.71,9.73,9.71,9.72,3317,0
ADEX.US,D,20211111,000000,9.72,9.72,9.72,9.72,405,0
ADEX.US,D,20211112,000000,9.72,9.74,9.72,9.72,14826,0
ADEX.US,D,20211115,000000,9.73,9.75,9.73,9.75,20274,0
ADEX.US,D,20211116,000000,9.75,9.75,9.7499,9.7499,71584,0
ADEX.US,D,20211117,000000,9.75,9.76,9.72,9.76,22677,0
ADEX.US,D,20211118,000000,9.7625,9.7625,9.73,9.73,2832,0
ADEX.US,D,20211119,000000,9.73,9.7301,9.73,9.7301,1217,0
ADEX.US,D,20211122,000000,9.75,9.75,9.7499,9.75,10830,0
ADEX.US,D,20211123,000000,9.73,9.75,9.73,9.75,31502,0
ADEX.US,D,20211124,000000,9.72,10.24,9.72,9.99,1626506,0
ADEX.US,D,20211126,000000,9.87,9.94,9.87,9.9101,248341,0
ADEX.US,D,20211129,000000,9.93,9.93,9.84,9.85,118701,0
ADEX.US,D,20211130,000000,9.97,9.9894,9.93,9.95,3338260,0
ADEX.US,D,20211201,000000,9.96,9.97,9.93,9.95,336649,0
ADEX.US,D,20211202,000000,9.96,9.96,9.92,9.93,462148,0
ADEX.US,D,20211203,000000,9.94,9.94,9.9,9.93,984113,0
ADEX.US,D,20211206,000000,9.87,9.89,9.85,9.86,253851,0
ADEX.US,D,20211207,000000,9.85,9.92,9.8401,9.91,99057,0
ADEX.US,D,20211208,000000,9.93,9.93,9.88,9.9,143535,0
ADEX.US,D,20211209,000000,9.92,9.92,9.9,9.9,28544,0
ADEX.US,D,20211210,000000,9.9,9.91,9.85,9.88,125912,0
ADEX.US,D,20211213,000000,9.8517,9.88,9.8517,9.88,124118,0
ADEX.US,D,20211214,000000,9.8801,9.8801,9.87,9.87,22873,0
ADEX.US,D,20211215,000000,9.89,9.9,9.86,9.88,137290,0
ADEX.US,D,20211216,000000,9.86,9.9,9.84,9.87,27977,0
ADEX.US,D,20211217,000000,9.85,9.87,9.82,9.87,235019,0
ADEX.US,D,20211220,000000,9.87,9.88,9.83,9.88,27837,0
ADEX.US,D,20211221,000000,9.87,9.88,9.87,9.875,2881,0
ADEX.US,D,20211222,000000,9.86,9.87,9.8474,9.87,1251,0
ADEX.US,D,20211223,000000,9.87,9.87,9.86,9.86,1195,0
