<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMOV.US,D,20050225,000000,7.1917,7.3423,7.1917,7.2831,27518,0
AMOV.US,D,20050228,000000,7.4255,7.4376,7.1955,7.4297,22150,0
AMOV.US,D,20050301,000000,7.4415,7.4415,7.2473,7.2553,18160,0
AMOV.US,D,20050302,000000,7.2432,7.2432,7.1797,7.1997,9074,0
AMOV.US,D,20050303,000000,7.1838,7.1838,7.1401,7.1401,3782,0
AMOV.US,D,20050304,000000,7.136,7.2113,7.0807,7.0807,20427,0
AMOV.US,D,20050307,000000,6.9457,7.2989,6.9457,7.2989,43307,0
AMOV.US,D,20050308,000000,6.9457,7.2866,6.902,7.021,32761,0
AMOV.US,D,20050309,000000,6.9974,7.1797,6.9974,7.0092,54179,0
AMOV.US,D,20050310,000000,6.9457,7.0885,6.9457,7.0131,15572,0
AMOV.US,D,20050311,000000,6.9614,7.0012,6.6997,7.0012,89326,0
AMOV.US,D,20050314,000000,6.8267,6.9577,6.7554,6.7987,16065,0
AMOV.US,D,20050315,000000,6.6997,6.914,6.6364,6.8108,179124,0
AMOV.US,D,20050316,000000,6.8108,6.8108,6.5806,6.688,44787,0
AMOV.US,D,20050317,000000,6.5768,6.7949,6.5768,6.6285,80241,0
AMOV.US,D,20050318,000000,6.5768,6.7276,6.5768,6.7276,49843,0
AMOV.US,D,20050321,000000,6.8186,6.8228,6.5372,6.5372,11669,0
AMOV.US,D,20050322,000000,6.5131,6.7908,6.5131,6.5887,9907,0
AMOV.US,D,20050323,000000,6.4499,6.4935,6.2038,6.3469,62704,0
AMOV.US,D,20050324,000000,6.2873,6.4182,5.8509,6.3385,49159,0
AMOV.US,D,20050328,000000,6.3587,6.43,6.3587,6.3665,12525,0
AMOV.US,D,20050329,000000,6.299,6.299,6.1999,6.1999,4569,0
AMOV.US,D,20050330,000000,6.2555,6.3903,6.2038,6.2038,20720,0
AMOV.US,D,20050331,000000,6.3863,6.5131,6.3863,6.5131,6733,0
AMOV.US,D,20050401,000000,6.2079,6.5094,6.2079,6.3903,15469,0
AMOV.US,D,20050404,000000,6.5173,6.5173,6.3507,6.3507,3025,0
AMOV.US,D,20050405,000000,6.3469,6.4539,6.2715,6.2715,6807,0
AMOV.US,D,20050406,000000,6.1723,6.2634,6.1723,6.2277,15497,0
AMOV.US,D,20050407,000000,6.1999,6.5131,6.1999,6.3863,19301,0
AMOV.US,D,20050408,000000,6.1562,6.462,6.1562,6.3587,21285,0
AMOV.US,D,20050411,000000,6.1084,6.3784,6.1084,6.327,15616,0
AMOV.US,D,20050412,000000,6.327,6.5131,6.2634,6.5131,42911,0
AMOV.US,D,20050413,000000,6.4182,6.6997,6.4182,6.4218,18233,0
AMOV.US,D,20050414,000000,6.4182,6.6285,6.3587,6.3587,10928,0
AMOV.US,D,20050415,000000,6.3193,6.3193,6.176,6.2277,7621,0
AMOV.US,D,20050418,000000,6.0808,6.2634,6.073,6.2634,3782,0
AMOV.US,D,20050419,000000,6.0808,6.0808,6.0772,6.0772,3931,0
AMOV.US,D,20050420,000000,6.0772,6.1999,5.9579,5.9579,18910,0
AMOV.US,D,20050421,000000,5.954,5.9857,5.954,5.9857,9955,0
AMOV.US,D,20050422,000000,5.8945,6.1521,5.8945,5.9897,23656,0
AMOV.US,D,20050425,000000,6.0174,6.4417,6.0174,6.4417,21760,0
AMOV.US,D,20050426,000000,6.2596,6.5727,6.2596,6.4817,15238,0
AMOV.US,D,20050427,000000,6.4817,6.5608,6.2634,6.327,4575,0
AMOV.US,D,20050428,000000,6.3032,6.3427,6.2038,6.2038,12790,0
AMOV.US,D,20050429,000000,6.0968,6.1723,6.0968,6.1286,15125,0
AMOV.US,D,20050502,000000,6.2038,6.3348,6.1207,6.1286,7373,0
AMOV.US,D,20050503,000000,6.1286,6.3784,6.1286,6.2079,49795,0
AMOV.US,D,20050504,000000,6.2634,6.4499,6.2634,6.327,8879,0
AMOV.US,D,20050505,000000,6.5131,6.5727,6.5131,6.5131,6053,0
AMOV.US,D,20050506,000000,6.4974,6.5727,6.2634,6.5727,3782,0
AMOV.US,D,20050509,000000,6.5293,6.5293,6.327,6.327,2269,0
AMOV.US,D,20050510,000000,6.2079,6.327,6.2079,6.327,3782,0
AMOV.US,D,20050511,000000,6.2715,6.5131,6.2715,6.5131,6807,0
AMOV.US,D,20050512,000000,6.4499,6.6364,6.4499,6.549,19477,0
