<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASA.US,D,20050225,000000,12.761,12.798,12.668,12.741,122729,0
ASA.US,D,20050228,000000,12.825,12.882,12.62,12.668,199954,0
ASA.US,D,20050301,000000,12.668,12.668,12.48,12.518,215976,0
ASA.US,D,20050302,000000,12.471,12.574,12.424,12.537,173040,0
ASA.US,D,20050303,000000,12.537,12.583,12.433,12.48,101580,0
ASA.US,D,20050304,000000,12.565,12.695,12.565,12.686,259878,0
ASA.US,D,20050307,000000,12.686,12.732,12.639,12.658,253147,0
ASA.US,D,20050308,000000,12.741,12.985,12.741,12.882,622617,0
ASA.US,D,20050309,000000,12.853,12.985,12.834,12.873,325247,0
ASA.US,D,20050310,000000,12.873,12.873,12.732,12.825,226551,0
ASA.US,D,20050311,000000,12.844,12.985,12.798,12.806,243214,0
ASA.US,D,20050314,000000,12.61,12.779,12.61,12.761,169834,0
ASA.US,D,20050315,000000,12.761,12.788,12.62,12.658,116962,0
ASA.US,D,20050316,000000,12.751,12.919,12.732,12.901,359214,0
ASA.US,D,20050317,000000,12.798,13.088,12.798,13.013,421380,0
ASA.US,D,20050318,000000,12.985,13.004,12.834,12.873,109271,0
ASA.US,D,20050321,000000,12.668,12.686,12.556,12.63,298970,0
ASA.US,D,20050322,000000,12.798,12.798,12.395,12.414,304739,0
ASA.US,D,20050323,000000,12.395,12.395,12.115,12.115,447976,0
ASA.US,D,20050324,000000,12.106,12.218,12.077,12.106,210207,0
ASA.US,D,20050328,000000,12.152,12.152,12.087,12.115,103500,0
ASA.US,D,20050329,000000,12.115,12.265,11.982,12.04,123050,0
ASA.US,D,20050330,000000,12.011,12.115,12.001,12.048,173040,0
ASA.US,D,20050331,000000,12.152,12.198,12.096,12.161,75304,0
ASA.US,D,20050401,000000,12.171,12.284,12.106,12.255,157978,0
ASA.US,D,20050404,000000,12.237,12.237,12.087,12.152,107670,0
ASA.US,D,20050405,000000,12.171,12.237,12.096,12.152,71136,0
ASA.US,D,20050406,000000,12.152,12.284,12.152,12.237,36527,0
ASA.US,D,20050407,000000,12.218,12.284,12.142,12.171,84276,0
ASA.US,D,20050408,000000,12.142,12.19,12.115,12.152,88121,0
ASA.US,D,20050411,000000,12.171,12.208,12.077,12.125,76264,0
ASA.US,D,20050412,000000,11.992,12.04,11.908,12.001,164706,0
ASA.US,D,20050413,000000,11.972,11.972,11.862,11.89,58320,0
ASA.US,D,20050414,000000,11.732,11.732,11.562,11.609,253470,0
