<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWI.US,D,20061011,000000,13.903,18.54,13.903,18.54,471227,0
AWI.US,D,20061012,000000,18.582,19.462,18.076,18.954,205708,0
AWI.US,D,20061013,000000,18.962,18.962,18.655,18.87,39688,0
AWI.US,D,20061016,000000,18.913,18.954,18.49,18.634,144079,0
AWI.US,D,20061017,000000,18.641,18.641,18.475,18.518,113754,0
AWI.US,D,20061018,000000,18.532,18.574,18.49,18.54,130245,0
AWI.US,D,20061019,000000,18.54,18.54,18.44,18.44,52126,0
AWI.US,D,20061020,000000,18.334,18.428,18.167,18.284,75605,0
AWI.US,D,20061023,000000,18.218,18.262,18.004,18.055,52408,0
AWI.US,D,20061024,000000,18.033,18.098,17.661,17.661,63587,0
AWI.US,D,20061025,000000,17.611,17.69,17.452,17.517,133458,0
AWI.US,D,20061026,000000,17.517,17.74,17.517,17.574,92791,0
AWI.US,D,20061027,000000,17.574,17.661,17.525,17.661,161268,0
AWI.US,D,20061030,000000,17.732,17.732,17.496,17.496,173565,0
AWI.US,D,20061031,000000,17.401,17.401,17.153,17.196,49051,0
AWI.US,D,20061101,000000,17.153,17.153,17.057,17.065,58276,0
AWI.US,D,20061102,000000,17.103,17.124,17.08,17.08,53524,0
AWI.US,D,20061103,000000,17.088,17.088,16.852,16.859,8385,0
AWI.US,D,20061106,000000,16.91,16.916,16.45,16.638,120462,0
AWI.US,D,20061107,000000,16.603,16.603,16.335,16.414,57575,0
AWI.US,D,20061108,000000,16.407,17.124,16.407,16.916,135414,0
AWI.US,D,20061109,000000,16.852,17.043,16.852,17.03,68339,0
AWI.US,D,20061110,000000,17.03,17.289,17.03,17.204,177342,0
AWI.US,D,20061113,000000,17.146,17.146,17.088,17.095,57856,0
AWI.US,D,20061114,000000,17.095,17.109,17.03,17.08,104389,0
AWI.US,D,20061115,000000,17.03,17.037,16.967,17.009,57715,0
AWI.US,D,20061116,000000,17.03,18.678,17.03,18.468,411973,0
AWI.US,D,20061117,000000,18.468,18.54,18.203,18.518,219122,0
AWI.US,D,20061120,000000,18.446,18.49,18.349,18.468,140864,0
AWI.US,D,20061121,000000,18.468,18.49,18.4,18.428,129266,0
AWI.US,D,20061122,000000,18.428,18.54,18.4,18.44,193552,0
AWI.US,D,20061124,000000,18.4,18.475,18.349,18.468,9224,0
AWI.US,D,20061127,000000,18.446,18.468,18.313,18.313,109701,0
AWI.US,D,20061128,000000,18.428,18.518,18.378,18.518,50868,0
AWI.US,D,20061129,000000,18.532,18.655,18.503,18.567,339305,0
AWI.US,D,20061130,000000,18.634,19.12,18.54,19.005,282010,0
AWI.US,D,20061201,000000,19.005,19.164,18.954,19.047,156376,0
AWI.US,D,20061204,000000,19.005,19.047,18.933,18.976,235334,0
AWI.US,D,20061205,000000,19.455,19.455,19.084,19.193,221500,0
AWI.US,D,20061206,000000,19.286,19.448,19.286,19.378,201656,0
AWI.US,D,20061207,000000,19.286,19.513,19.286,19.441,181530,0
AWI.US,D,20061208,000000,19.421,19.441,19.286,19.293,29207,0
AWI.US,D,20061211,000000,19.398,19.441,19.308,19.314,58974,0
AWI.US,D,20061212,000000,19.328,19.349,18.678,18.892,75185,0
AWI.US,D,20061213,000000,19.193,19.335,19.12,19.243,392688,0
AWI.US,D,20061214,000000,19.308,19.378,19.235,19.349,179157,0
AWI.US,D,20061215,000000,19.378,19.679,19.341,19.484,110261,0
AWI.US,D,20061218,000000,19.398,19.55,19.398,19.506,102574,0
AWI.US,D,20061219,000000,19.391,19.506,19.391,19.469,95166,0
AWI.US,D,20061220,000000,19.462,19.513,19.349,19.441,156098,0
AWI.US,D,20061221,000000,19.448,19.513,19.448,19.513,108584,0
AWI.US,D,20061222,000000,19.536,19.586,19.477,19.536,40946,0
AWI.US,D,20061226,000000,19.571,19.651,19.571,19.651,12717,0
AWI.US,D,20061227,000000,19.606,19.651,19.421,19.636,19427,0
AWI.US,D,20061228,000000,19.651,19.7,19.462,19.579,29207,0
AWI.US,D,20061229,000000,19.513,19.651,19.513,19.651,10900,0
AWI.US,D,20070103,000000,19.686,19.693,19.257,19.651,98943,0
AWI.US,D,20070104,000000,19.586,19.651,19.436,19.462,63166,0
AWI.US,D,20070105,000000,19.378,19.606,19.293,19.528,343637,0
AWI.US,D,20070108,000000,19.477,19.536,19.378,19.455,60230,0
AWI.US,D,20070109,000000,19.421,19.462,19.286,19.441,32560,0
