<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWK.US,D,20080422,000000,17.078,17.078,17.078,17.078,0,0
AWK.US,D,20080423,000000,16.362,17.036,16.058,16.362,29469362,0
AWK.US,D,20080424,000000,16.455,16.678,16.129,16.532,6246455,0
AWK.US,D,20080425,000000,16.678,16.877,16.437,16.813,2463919,0
AWK.US,D,20080428,000000,17.069,17.069,16.532,16.678,893219,0
AWK.US,D,20080429,000000,16.987,16.987,16.539,16.733,1082428,0
AWK.US,D,20080430,000000,16.742,16.837,16.613,16.797,1124734,0
AWK.US,D,20080501,000000,16.852,17.47,16.678,17.403,3776159,0
AWK.US,D,20080502,000000,17.601,17.601,17.069,17.477,2064210,0
AWK.US,D,20080505,000000,17.828,17.828,17.123,17.403,728978,0
AWK.US,D,20080506,000000,17.313,17.365,16.971,17.115,1309755,0
AWK.US,D,20080507,000000,17.078,17.155,16.398,16.844,1561434,0
AWK.US,D,20080508,000000,16.862,16.914,16.702,16.877,1118192,0
AWK.US,D,20080509,000000,16.877,17.348,16.702,17.21,693032,0
AWK.US,D,20080512,000000,17.232,17.265,16.9,17.078,1470606,0
AWK.US,D,20080513,000000,17.098,17.106,16.523,16.931,2246165,0
AWK.US,D,20080514,000000,16.289,17.061,16.289,16.914,817409,0
AWK.US,D,20080515,000000,17.036,17.043,16.758,16.805,592196,0
AWK.US,D,20080516,000000,17.018,17.194,16.758,17.172,1262079,0
AWK.US,D,20080519,000000,17.387,17.543,17.115,17.271,1010895,0
AWK.US,D,20080520,000000,17.446,17.446,17.036,17.194,634689,0
AWK.US,D,20080521,000000,17.356,17.356,16.719,16.805,512536,0
AWK.US,D,20080522,000000,16.971,17.036,16.774,16.956,345748,0
AWK.US,D,20080523,000000,16.877,16.877,16.678,16.789,584482,0
AWK.US,D,20080527,000000,17.069,17.069,16.719,16.862,403195,0
AWK.US,D,20080528,000000,16.758,17.009,16.733,17.002,508352,0
AWK.US,D,20080529,000000,16.987,17.078,16.719,16.726,484217,0
AWK.US,D,20080530,000000,16.758,17.078,16.719,17.078,987521,0
AWK.US,D,20080602,000000,17.765,17.765,16.837,17.155,522330,0
AWK.US,D,20080603,000000,17.365,17.395,16.908,16.931,561534,0
AWK.US,D,20080604,000000,16.758,17.185,16.733,17.131,1070590,0
AWK.US,D,20080605,000000,17.069,17.387,17.069,17.313,714399,0
AWK.US,D,20080606,000000,17.271,17.671,17.271,17.552,2000608,0
AWK.US,D,20080609,000000,17.709,17.782,17.552,17.732,475534,0
AWK.US,D,20080610,000000,17.559,17.671,17.348,17.356,747938,0
AWK.US,D,20080611,000000,17.249,17.812,16.837,17.242,871702,0
AWK.US,D,20080612,000000,17.559,17.559,17.052,17.356,496520,0
AWK.US,D,20080613,000000,17.583,17.789,17.242,17.782,579766,0
AWK.US,D,20080616,000000,17.846,18.267,17.665,18.069,985834,0
AWK.US,D,20080617,000000,18.069,18.67,17.709,18.41,1503816,0
AWK.US,D,20080618,000000,18.267,18.418,17.797,18.298,910709,0
AWK.US,D,20080619,000000,18.337,18.337,18.026,18.177,860623,0
AWK.US,D,20080620,000000,18.026,18.425,17.775,18.267,1675061,0
AWK.US,D,20080623,000000,18.234,18.234,18.003,18.069,491668,0
AWK.US,D,20080624,000000,18.091,18.234,17.717,18.17,839664,0
AWK.US,D,20080625,000000,18.33,18.562,18.149,18.562,902770,0
AWK.US,D,20080626,000000,18.306,18.78,17.583,17.966,2509747,0
AWK.US,D,20080627,000000,17.47,18.377,17.433,17.887,5647114,0
AWK.US,D,20080630,000000,18.258,18.258,16.829,17.618,1084893,0
AWK.US,D,20080701,000000,17.789,18.337,17.641,18.17,600341,0
AWK.US,D,20080702,000000,18.267,18.449,17.837,17.986,620007,0
AWK.US,D,20080703,000000,17.837,17.958,16.813,17.313,417996,0
AWK.US,D,20080707,000000,17.313,17.519,16.922,17.069,310662,0
AWK.US,D,20080708,000000,16.987,17.232,16.908,17.232,354444,0
AWK.US,D,20080709,000000,17.257,17.279,17.002,17.146,230239,0
AWK.US,D,20080710,000000,17.225,17.225,16.121,16.884,667509,0
AWK.US,D,20080711,000000,16.471,16.532,15.279,15.907,1337789,0
AWK.US,D,20080714,000000,15.907,16.036,15.583,15.653,683814,0
AWK.US,D,20080715,000000,15.422,15.43,14.366,15.017,1500817,0
AWK.US,D,20080716,000000,15.065,15.524,15.008,15.405,584936,0
AWK.US,D,20080717,000000,15.716,15.716,15.147,15.645,292495,0
AWK.US,D,20080718,000000,15.09,15.749,15.09,15.524,388348,0
AWK.US,D,20080721,000000,15.749,15.803,15.445,15.659,186984,0
AWK.US,D,20080722,000000,15.55,15.924,15.55,15.829,181723,0
AWK.US,D,20080723,000000,15.767,15.874,15.589,15.638,270580,0
AWK.US,D,20080724,000000,15.829,15.851,14.732,14.987,652550,0
AWK.US,D,20080725,000000,15.205,15.298,14.762,15.205,303413,0
AWK.US,D,20080728,000000,15.288,15.615,14.692,14.798,304504,0
AWK.US,D,20080729,000000,14.999,15.272,14.866,15.09,363918,0
AWK.US,D,20080730,000000,15.361,15.623,15.168,15.453,316451,0
AWK.US,D,20080731,000000,16.263,16.263,14.798,15.288,729179,0
AWK.US,D,20080801,000000,15.398,15.749,15.288,15.323,490622,0
AWK.US,D,20080804,000000,15.438,15.783,15.131,15.568,408357,0
AWK.US,D,20080805,000000,15.767,16.156,15.606,16.156,423701,0
AWK.US,D,20080806,000000,16.164,16.164,15.511,15.965,432520,0
AWK.US,D,20080807,000000,16.043,16.058,15.803,16.002,474505,0
AWK.US,D,20080808,000000,16.113,16.173,15.846,15.938,337615,0
AWK.US,D,20080811,000000,16.75,16.971,16.398,16.496,1206627,0
AWK.US,D,20080812,000000,16.437,16.939,16.437,16.573,917947,0
AWK.US,D,20080813,000000,16.583,16.987,16.567,16.75,649350,0
AWK.US,D,20080814,000000,16.813,17.078,16.547,16.661,714965,0
AWK.US,D,20080815,000000,16.837,16.837,16.298,16.48,466820,0
AWK.US,D,20080818,000000,16.62,16.837,16.523,16.797,688063,0
AWK.US,D,20080819,000000,16.877,17.671,16.797,17.409,985546,0
AWK.US,D,20080820,000000,17.543,17.862,17.002,17.395,1008892,0
AWK.US,D,20080821,000000,17.425,17.509,16.948,17.395,906463,0
AWK.US,D,20080822,000000,17.461,17.47,17.123,17.433,386581,0
AWK.US,D,20080825,000000,17.285,17.911,17.036,17.285,309389,0
AWK.US,D,20080826,000000,17.387,17.425,16.981,17.163,287205,0
AWK.US,D,20080827,000000,17.279,17.285,16.996,17.249,271885,0
AWK.US,D,20080828,000000,17.38,17.671,16.758,17.559,483039,0
AWK.US,D,20080829,000000,17.348,18.36,17.106,18.225,1270369,0
AWK.US,D,20080902,000000,18.267,18.267,17.509,18.108,821393,0
AWK.US,D,20080903,000000,18.003,18.099,17.172,17.372,371895,0
AWK.US,D,20080904,000000,17.285,17.567,17.052,17.052,515267,0
AWK.US,D,20080905,000000,16.9,16.9,16.345,16.652,558380,0
AWK.US,D,20080908,000000,17.078,17.078,16.462,16.605,480877,0
AWK.US,D,20080909,000000,16.559,16.862,16.398,16.398,651552,0
AWK.US,D,20080910,000000,16.28,16.774,16.28,16.742,745124,0
AWK.US,D,20080911,000000,16.758,16.782,16.523,16.733,412356,0
AWK.US,D,20080912,000000,16.652,16.948,16.645,16.702,291551,0
AWK.US,D,20080915,000000,16.669,16.914,16.096,16.121,508527,0
AWK.US,D,20080916,000000,16.012,16.345,15.615,16.173,531965,0
AWK.US,D,20080917,000000,16.241,16.362,15.668,15.812,466908,0
AWK.US,D,20080918,000000,15.89,16.138,15.559,16.08,712444,0
AWK.US,D,20080919,000000,16.884,16.884,15.542,15.882,428207,0
AWK.US,D,20080922,000000,15.882,16.164,15.606,15.615,395494,0
AWK.US,D,20080923,000000,15.74,15.74,15.14,15.361,488508,0
AWK.US,D,20080924,000000,15.583,15.692,15.272,15.568,658130,0
AWK.US,D,20080925,000000,15.623,16.012,15.496,15.882,383256,0
AWK.US,D,20080926,000000,15.803,15.981,15.161,15.205,681137,0
AWK.US,D,20080929,000000,15.222,16.058,14.892,15.965,1316013,0
AWK.US,D,20080930,000000,16.233,17.313,15.43,17.078,1475243,0
AWK.US,D,20081001,000000,16.829,17.052,15.898,16.019,661287,0
AWK.US,D,20081002,000000,16.036,16.188,15.413,15.981,548346,0
AWK.US,D,20081003,000000,16.201,16.398,15.659,15.829,656145,0
AWK.US,D,20081006,000000,15.542,15.867,14.933,15.503,971751,0
AWK.US,D,20081007,000000,15.767,16.156,15.368,15.583,644364,0
AWK.US,D,20081008,000000,15.065,15.668,14.613,15.147,976934,0
AWK.US,D,20081009,000000,15.33,15.716,14.717,14.842,1093178,0
AWK.US,D,20081010,000000,14.406,14.77,13.082,14.533,936050,0
AWK.US,D,20081013,000000,14.74,15.995,14.47,15.405,640156,0
AWK.US,D,20081014,000000,15.731,16.678,14.963,15.193,838174,0
AWK.US,D,20081015,000000,14.933,15.168,14.113,14.373,315193,0
AWK.US,D,20081016,000000,14.717,14.726,13.516,14.627,582856,0
AWK.US,D,20081017,000000,14.304,15.343,14.096,15.193,459687,0
AWK.US,D,20081020,000000,14.908,15.692,14.779,15.692,315403,0
AWK.US,D,20081021,000000,15.323,16.138,14.971,15.638,347623,0
AWK.US,D,20081022,000000,15.445,15.445,14.621,15.065,382978,0
AWK.US,D,20081023,000000,14.789,15.193,14.456,14.892,735796,0
AWK.US,D,20081024,000000,14.669,14.717,13.907,14.304,395422,0
AWK.US,D,20081027,000000,14.247,14.391,13.628,13.628,438476,0
AWK.US,D,20081028,000000,13.947,15.368,13.931,15.368,444266,0
AWK.US,D,20081029,000000,15.248,15.487,14.572,14.819,276239,0
AWK.US,D,20081030,000000,15.116,16.036,14.692,15.783,420035,0
AWK.US,D,20081031,000000,15.89,16.233,15.653,16.104,600554,0
AWK.US,D,20081103,000000,15.74,16.354,15.74,16.129,421965,0
AWK.US,D,20081104,000000,16.48,16.87,15.503,16.002,538065,0
AWK.US,D,20081105,000000,15.882,16.338,15.184,15.469,574168,0
AWK.US,D,20081106,000000,15.469,15.776,14.701,15.032,482795,0
AWK.US,D,20081107,000000,15.231,15.668,15.205,15.368,267527,0
AWK.US,D,20081110,000000,15.631,15.882,15.168,15.43,537705,0
AWK.US,D,20081111,000000,15.131,15.812,15.065,15.716,648195,0
AWK.US,D,20081112,000000,15.659,15.965,14.955,15.032,862455,0
AWK.US,D,20081113,000000,15.198,16.583,14.999,16.583,721799,0
AWK.US,D,20081114,000000,16.072,16.209,15.469,15.487,860835,0
AWK.US,D,20081117,000000,15.184,15.708,15.184,15.524,408736,0
AWK.US,D,20081118,000000,15.496,15.829,15.175,15.829,694325,0
AWK.US,D,20081119,000000,15.668,16.173,15.116,15.33,827057,0
AWK.US,D,20081120,000000,15.147,15.758,14.971,15.008,846876,0
AWK.US,D,20081121,000000,15.147,15.882,15.049,15.882,681048,0
AWK.US,D,20081124,000000,15.931,16.596,15.461,16.429,689612,0
AWK.US,D,20081125,000000,16.605,17.069,16.255,16.539,2493462,0
AWK.US,D,20081126,000000,16.209,16.398,15.653,15.965,531705,0
AWK.US,D,20081128,000000,16.064,16.384,15.898,16.104,277745,0
AWK.US,D,20081201,000000,15.803,15.874,15.056,15.147,506952,0
AWK.US,D,20081202,000000,15.361,15.478,14.177,15.065,1516968,0
AWK.US,D,20081203,000000,15.025,16.28,14.726,16.051,655804,0
AWK.US,D,20081204,000000,15.882,16.263,15.568,16.096,529236,0
AWK.US,D,20081205,000000,15.882,16.652,15.701,16.271,795879,0
AWK.US,D,20081208,000000,16.652,16.939,16.362,16.645,816123,0
AWK.US,D,20081209,000000,16.844,17.036,16.369,16.455,528411,0
AWK.US,D,20081210,000000,16.369,16.62,15.946,16.413,353364,0
AWK.US,D,20081211,000000,16.496,16.636,15.995,16.437,619166,0
AWK.US,D,20081212,000000,16.248,16.48,15.907,16.209,458009,0
AWK.US,D,20081215,000000,16.398,16.605,16.248,16.39,507118,0
AWK.US,D,20081216,000000,16.62,16.678,16.188,16.627,895232,0
AWK.US,D,20081217,000000,16.505,17.502,16.369,17.331,797228,0
AWK.US,D,20081218,000000,17.018,17.018,16.384,16.471,669123,0
AWK.US,D,20081219,000000,16.455,16.87,16.027,16.75,1036900,0
AWK.US,D,20081222,000000,16.914,17.559,16.758,17.519,791241,0
AWK.US,D,20081223,000000,17.527,17.717,17.179,17.601,659827,0
AWK.US,D,20081224,000000,17.747,17.747,17.225,17.409,221452,0
AWK.US,D,20081226,000000,17.592,17.592,16.813,17.295,337180,0
AWK.US,D,20081229,000000,17.155,17.163,15.965,16.627,542606,0
AWK.US,D,20081230,000000,16.678,16.939,15.685,15.685,1532289,0
AWK.US,D,20081231,000000,16.096,16.719,16.002,16.583,617517,0
AWK.US,D,20090102,000000,16.782,16.829,16.354,16.774,350783,0
AWK.US,D,20090105,000000,16.636,16.789,15.974,16.271,309324,0
AWK.US,D,20090106,000000,16.42,16.42,15.874,16.271,439938,0
AWK.US,D,20090107,000000,15.974,16.289,15.767,15.898,405255,0
AWK.US,D,20090108,000000,15.907,16.437,15.907,16.036,504173,0
AWK.US,D,20090109,000000,16.201,16.573,15.965,16.445,320709,0
AWK.US,D,20090112,000000,16.583,16.583,15.638,15.758,458195,0
AWK.US,D,20090113,000000,15.758,16.043,15.577,15.946,436013,0
AWK.US,D,20090114,000000,15.851,16.002,15.668,15.803,525981,0
AWK.US,D,20090115,000000,15.924,16.263,15.749,16.156,440634,0
AWK.US,D,20090116,000000,16.255,16.596,16.051,16.241,354923,0
AWK.US,D,20090120,000000,16.263,16.471,15.924,16.173,393276,0
AWK.US,D,20090121,000000,16.321,16.513,15.882,16.513,411674,0
AWK.US,D,20090122,000000,16.471,16.523,16.164,16.437,244230,0
AWK.US,D,20090123,000000,16.305,16.583,16.18,16.505,339628,0
AWK.US,D,20090126,000000,16.48,16.813,16.42,16.559,311594,0
AWK.US,D,20090127,000000,16.733,16.996,16.605,16.894,543153,0
AWK.US,D,20090128,000000,16.948,16.971,16.813,16.962,275367,0
AWK.US,D,20090129,000000,16.971,17.069,16.559,16.789,440117,0
AWK.US,D,20090130,000000,16.914,16.914,16.62,16.821,375583,0
AWK.US,D,20090202,000000,16.805,16.844,16.384,16.489,400459,0
AWK.US,D,20090203,000000,16.445,16.766,15.938,16.726,588386,0
AWK.US,D,20090204,000000,16.758,16.877,16.271,16.445,441447,0
AWK.US,D,20090205,000000,16.455,16.678,16.338,16.596,310240,0
AWK.US,D,20090206,000000,16.523,16.877,16.523,16.702,295404,0
AWK.US,D,20090209,000000,16.678,17.078,16.573,17.061,528621,0
AWK.US,D,20090210,000000,16.981,17.106,16.797,16.87,589170,0
AWK.US,D,20090211,000000,16.837,16.862,16.596,16.782,438742,0
AWK.US,D,20090212,000000,16.797,17.085,16.321,16.719,379190,0
AWK.US,D,20090213,000000,16.613,16.758,16.216,16.39,283694,0
AWK.US,D,20090217,000000,16.201,16.678,16.036,16.547,562487,0
