<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXH-WS.US,D,20211214,000000,0.4302,0.4302,0.3601,0.4001,268950,0
AXH-WS.US,D,20211216,000000,0.4001,0.4001,0.4001,0.4001,10000,0
AXH-WS.US,D,20211217,000000,0.4099,0.4099,0.4099,0.4099,250,0
AXH-WS.US,D,20211220,000000,0.3702,0.3952,0.35,0.35,51652,0
AXH-WS.US,D,20211221,000000,0.36,0.405,0.36,0.405,3400,0
AXH-WS.US,D,20211222,000000,0.4,0.43,0.39,0.43,502067,0
AXH-WS.US,D,20211223,000000,0.37,0.39,0.36,0.39,615,0
AXH-WS.US,D,20211227,000000,0.4,0.4,0.4,0.4,265,0
AXH-WS.US,D,20211228,000000,0.3501,0.4,0.34,0.38,96245,0
AXH-WS.US,D,20211230,000000,0.4,0.4,0.37355,0.37355,62500,0
AXH-WS.US,D,20211231,000000,0.359899,0.38,0.359899,0.38,66600,0
AXH-WS.US,D,20220103,000000,0.39,0.4,0.39,0.4,350,0
AXH-WS.US,D,20220104,000000,0.375,0.38005,0.362501,0.375,30000,0
AXH-WS.US,D,20220105,000000,0.39,0.39575,0.38575,0.38575,93500,0
AXH-WS.US,D,20220107,000000,0.33,0.33,0.33,0.33,69500,0
AXH-WS.US,D,20220110,000000,0.33,0.33,0.33,0.33,93230,0
AXH-WS.US,D,20220111,000000,0.33,0.33,0.33,0.33,25300,0
AXH-WS.US,D,20220112,000000,0.33,0.33,0.33,0.33,101,0
AXH-WS.US,D,20220113,000000,0.33,0.33,0.33,0.33,100,0
AXH-WS.US,D,20220114,000000,0.33,0.33,0.305,0.305,36499,0
AXH-WS.US,D,20220121,000000,0.3349,0.3349,0.32,0.32,20100,0
