<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXH.US,D,20211213,000000,9.88,9.88,9.88,9.88,400100,0
AXH.US,D,20211214,000000,9.89,9.89,9.88,9.89,389759,0
AXH.US,D,20211215,000000,9.9,9.9,9.9,9.9,504,0
AXH.US,D,20211216,000000,9.9,9.9,9.9,9.9,100,0
AXH.US,D,20211220,000000,9.85,9.9,9.82,9.9,10604,0
AXH.US,D,20211222,000000,9.85,9.9,9.85,9.9,674272,0
AXH.US,D,20211223,000000,9.9,9.9,9.9,9.9,315,0
AXH.US,D,20211227,000000,9.9,9.92,9.9,9.92,32945,0
AXH.US,D,20211228,000000,9.91,9.92,9.89,9.92,34994,0
AXH.US,D,20211229,000000,9.92,9.92,9.9,9.9,2322,0
AXH.US,D,20211230,000000,9.9,9.9,9.9,9.9,126,0
AXH.US,D,20211231,000000,9.92,9.92,9.92,9.92,120,0
AXH.US,D,20220103,000000,9.92,9.92,9.87,9.87,106169,0
AXH.US,D,20220104,000000,9.9,9.9,9.9,9.9,727,0
AXH.US,D,20220105,000000,9.92,9.93,9.92,9.93,35633,0
AXH.US,D,20220113,000000,9.93,9.93,9.93,9.93,97841,0
AXH.US,D,20220114,000000,9.93,9.94,9.93,9.94,13333,0
AXH.US,D,20220118,000000,9.94,9.94,9.94,9.94,16791,0
AXH.US,D,20220119,000000,9.93,9.93,9.92,9.92,21826,0
AXH.US,D,20220120,000000,9.94,9.94,9.93,9.93,16650,0
