<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAC_Q.US,D,20211028,000000,25.12,25.15,25.07,25.09,1219138,0
BAC_Q.US,D,20211029,000000,25.13,25.13,25,25.05,900616,0
BAC_Q.US,D,20211101,000000,25.05,25.07,24.97,25.02,913493,0
BAC_Q.US,D,20211102,000000,25.04,25.09,25.03,25.08,1066608,0
BAC_Q.US,D,20211103,000000,25.07,25.09,25.035,25.06,1099542,0
BAC_Q.US,D,20211104,000000,25.07,25.17,25.07,25.13,463285,0
BAC_Q.US,D,20211105,000000,25.15,25.24,25.13,25.22,371623,0
BAC_Q.US,D,20211108,000000,25.21,25.26,25.14,25.17,649306,0
BAC_Q.US,D,20211109,000000,25.2,25.22,25.13,25.18,740312,0
BAC_Q.US,D,20211110,000000,25.13,25.17,24.97,25.12,999956,0
BAC_Q.US,D,20211111,000000,25.16,25.17,25.0807,25.1,549960,0
BAC_Q.US,D,20211112,000000,25.1,25.19,25.05,25.18,537197,0
BAC_Q.US,D,20211115,000000,25.18,25.23,25.08,25.15,677480,0
BAC_Q.US,D,20211116,000000,25.19,25.25,25.13,25.16,324209,0
BAC_Q.US,D,20211117,000000,25.14,25.21,25.12,25.15,538610,0
BAC_Q.US,D,20211118,000000,25.16,25.19,24.99,24.99,740243,0
BAC_Q.US,D,20211119,000000,25.04,25.07,24.98,25,251121,0
BAC_Q.US,D,20211122,000000,25.03,25.08,24.94,24.96,573381,0
BAC_Q.US,D,20211123,000000,24.9,24.94,24.76,24.9,525702,0
BAC_Q.US,D,20211124,000000,24.87,24.95,24.81,24.89,1223859,0
BAC_Q.US,D,20211126,000000,24.75,24.89,24.63,24.7,694688,0
BAC_Q.US,D,20211129,000000,24.8,25,24.8,24.83,1007937,0
BAC_Q.US,D,20211130,000000,24.77,24.9,24.73,24.75,8034125,0
BAC_Q.US,D,20211201,000000,24.9,24.99,24.8,24.9,192407,0
BAC_Q.US,D,20211202,000000,24.92,24.95,24.89,24.94,180511,0
BAC_Q.US,D,20211203,000000,24.9,24.99,24.8884,24.95,127659,0
BAC_Q.US,D,20211206,000000,24.95,24.99,24.935,24.98,106060,0
BAC_Q.US,D,20211207,000000,24.98,25.12,24.95,24.99,270213,0
BAC_Q.US,D,20211208,000000,25.05,25.06,24.91,24.98,264965,0
BAC_Q.US,D,20211209,000000,24.98,25.04,24.94,24.97,325858,0
BAC_Q.US,D,20211210,000000,25.05,25.09,24.95,24.97,188819,0
BAC_Q.US,D,20211213,000000,24.99,25.04,24.96,24.98,287400,0
BAC_Q.US,D,20211214,000000,24.94,24.97,24.84,24.96,228562,0
BAC_Q.US,D,20211215,000000,24.9,25.08,24.9,25.02,318531,0
BAC_Q.US,D,20211216,000000,25.07,25.23,25.02,25.18,1029156,0
BAC_Q.US,D,20211217,000000,25.15,25.26,25.11,25.2,380388,0
BAC_Q.US,D,20211220,000000,25.1,25.16,25.02,25.03,257300,0
BAC_Q.US,D,20211221,000000,25.13,25.18,25.05,25.1699,186193,0
BAC_Q.US,D,20211222,000000,25.18,25.3195,25.18,25.26,140755,0
BAC_Q.US,D,20211223,000000,25.25,25.3841,25.12,25.22,163331,0
BAC_Q.US,D,20211227,000000,25.23,25.38,24.97,25.3,124532,0
BAC_Q.US,D,20211228,000000,25.34,25.37,25.28,25.35,123170,0
BAC_Q.US,D,20211229,000000,25.31,25.35,25.26,25.27,138760,0
BAC_Q.US,D,20211230,000000,25.25,25.36,25.25,25.33,92239,0
BAC_Q.US,D,20211231,000000,25.39,25.42,25.34,25.37,323721,0
BAC_Q.US,D,20220103,000000,25.35,25.3799,25.13,25.1808,328278,0
BAC_Q.US,D,20220104,000000,25.18,25.18,24.985,25.0599,121878,0
BAC_Q.US,D,20220105,000000,25.01,25.155,24.92,24.93,404028,0
BAC_Q.US,D,20220106,000000,24.94,25,24.84,24.96,279372,0
BAC_Q.US,D,20220107,000000,24.99,25.13,24.9,25.07,237468,0
BAC_Q.US,D,20220110,000000,25,25.06,24.92,25.05,165059,0
BAC_Q.US,D,20220111,000000,25.05,25.2,24.99,25.16,126536,0
BAC_Q.US,D,20220112,000000,25.22,25.24,25.14,25.2,78870,0
BAC_Q.US,D,20220113,000000,25.05,25.1859,25.05,25.16,313422,0
BAC_Q.US,D,20220114,000000,25.02,25.1,24.95,24.96,90351,0
BAC_Q.US,D,20220118,000000,24.87,24.9,24.76,24.8,99392,0
BAC_Q.US,D,20220119,000000,24.8,24.91,24.8,24.84,117449,0
BAC_Q.US,D,20220120,000000,24.9,25.06,24.76,24.76,283598,0
BAC_Q.US,D,20220121,000000,24.8,24.81,24.5,24.5,317452,0
