<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAH.US,D,20101119,000000,8.0777,8.2427,8.0735,8.192,691217,0
BAH.US,D,20101122,000000,8.3485,8.3688,8.2173,8.3192,474447,0
BAH.US,D,20101123,000000,8.1878,8.3274,8.1878,8.2887,360462,0
BAH.US,D,20101124,000000,8.3728,8.6233,8.3445,8.4324,456859,0
BAH.US,D,20101126,000000,8.3138,8.7391,8.2259,8.3566,153661,0
BAH.US,D,20101129,000000,8.4239,8.4239,8.1544,8.2041,773354,0
BAH.US,D,20101130,000000,8.1376,8.209,7.8671,8.1797,707750,0
BAH.US,D,20101201,000000,8.3104,8.3688,8.1164,8.1797,606893,0
BAH.US,D,20101202,000000,8.2982,8.3274,7.9139,8.0694,1141925,0
BAH.US,D,20101203,000000,8.0276,8.1164,7.9682,8.0231,480869,0
BAH.US,D,20101206,000000,8.1376,8.2847,7.9471,8.0064,532981,0
BAH.US,D,20101207,000000,8.0116,8.0822,7.8635,7.9515,831671,0
BAH.US,D,20101208,000000,7.8966,7.9899,7.8421,7.9515,276664,0
BAH.US,D,20101209,000000,7.9899,8.0116,7.8421,7.8801,476416,0
BAH.US,D,20101210,000000,7.8168,7.8886,7.7998,7.8421,895774,0
BAH.US,D,20101213,000000,7.8421,7.8801,7.7366,7.8294,234530,0
BAH.US,D,20101214,000000,7.8504,7.8845,7.7408,7.8801,629354,0
BAH.US,D,20101215,000000,7.7998,7.9055,7.7664,7.8845,367129,0
BAH.US,D,20101216,000000,7.8845,8.0198,7.8084,7.9899,674686,0
BAH.US,D,20101217,000000,7.9471,8.0904,7.8671,8.0231,1014180,0
BAH.US,D,20101220,000000,8.0276,8.2847,7.9645,8.2595,417547,0
BAH.US,D,20101221,000000,8.2638,8.2638,8.0444,8.1418,510827,0
BAH.US,D,20101222,000000,8.1333,8.2887,8.1333,8.1797,1168165,0
BAH.US,D,20101223,000000,8.1954,8.3316,8.0156,8.0694,199267,0
BAH.US,D,20101227,000000,8.2041,8.4906,8.2041,8.3138,755674,0
BAH.US,D,20101228,000000,8.3445,8.3982,8.0988,8.184,247066,0
BAH.US,D,20101229,000000,8.2041,8.2259,8.0735,8.184,232849,0
BAH.US,D,20101230,000000,8.1754,8.3316,8.1376,8.3316,454318,0
BAH.US,D,20101231,000000,8.2008,8.2216,8.1625,8.192,62756,0
BAH.US,D,20110103,000000,8.2887,8.2887,8.0863,8.0904,734127,0
BAH.US,D,20110104,000000,8.0988,8.1418,7.8635,7.9604,611810,0
BAH.US,D,20110105,000000,7.9604,8.0116,7.8635,7.9181,380980,0
BAH.US,D,20110106,000000,7.901,7.901,7.6097,7.7833,811096,0
BAH.US,D,20110107,000000,7.7915,7.7915,7.6523,7.6859,1078195,0
BAH.US,D,20110110,000000,7.6903,7.7323,7.6396,7.665,286765,0
BAH.US,D,20110111,000000,7.6859,7.9055,7.665,7.8635,121371,0
BAH.US,D,20110112,000000,7.9096,7.9096,7.665,7.7915,321552,0
BAH.US,D,20110113,000000,7.7998,7.8168,7.7366,7.7872,63739,0
BAH.US,D,20110114,000000,7.8084,7.8337,7.7155,7.8337,62335,0
BAH.US,D,20110118,000000,7.8337,7.8635,7.665,7.8337,192498,0
BAH.US,D,20110119,000000,7.8039,7.9432,7.6859,7.724,169821,0
BAH.US,D,20110120,000000,7.72,7.7408,7.5976,7.6273,323739,0
BAH.US,D,20110121,000000,7.8209,7.9262,7.6186,7.6353,397667,0
BAH.US,D,20110124,000000,7.6523,7.7833,7.6523,7.7535,72303,0
BAH.US,D,20110125,000000,7.7577,7.7998,7.7408,7.7833,63751,0
BAH.US,D,20110126,000000,7.7785,7.8715,7.6946,7.7872,81555,0
BAH.US,D,20110127,000000,7.7747,7.9262,7.6606,7.9262,640148,0
BAH.US,D,20110128,000000,7.9181,7.9979,7.7706,7.9811,84659,0
BAH.US,D,20110131,000000,7.9937,8.1073,7.8377,7.8671,223606,0
BAH.US,D,20110201,000000,7.9262,8.0568,7.8252,7.8845,286923,0
BAH.US,D,20110202,000000,7.8465,8.0198,7.8252,8.0156,67113,0
BAH.US,D,20110203,000000,7.9811,8.0231,7.9055,7.9181,181060,0
BAH.US,D,20110204,000000,7.9682,7.9979,7.8377,7.9055,53193,0
BAH.US,D,20110207,000000,7.8845,8.1586,7.8757,8.1164,268016,0
BAH.US,D,20110208,000000,8.121,8.184,8.0064,8.1586,513681,0
BAH.US,D,20110209,000000,8.2468,8.5549,7.8845,7.9811,1425470,0
BAH.US,D,20110210,000000,7.9682,8.0735,7.8801,7.9139,830648,0
BAH.US,D,20110211,000000,7.9432,8.0064,7.9096,7.9937,145048,0
BAH.US,D,20110214,000000,7.9724,8.0444,7.8126,7.9181,298386,0
BAH.US,D,20110215,000000,7.8966,7.9724,7.8715,7.9515,240462,0
BAH.US,D,20110216,000000,7.9604,8.1073,7.9515,8.0021,370570,0
BAH.US,D,20110218,000000,7.956,8.1164,7.956,8.1041,358810,0
BAH.US,D,20110222,000000,8.0116,8.1041,7.9979,8.0735,84556,0
BAH.US,D,20110223,000000,8.0526,8.1164,7.9221,7.9394,204121,0
BAH.US,D,20110224,000000,7.9262,7.9471,7.7577,7.7998,252493,0
BAH.US,D,20110225,000000,7.7998,7.8886,7.7747,7.8504,282496,0
BAH.US,D,20110228,000000,7.8886,7.8886,7.7706,7.7957,291354,0
BAH.US,D,20110301,000000,7.7957,7.8209,7.7747,7.7998,274599,0
BAH.US,D,20110302,000000,7.7998,7.8209,7.7366,7.7998,140157,0
BAH.US,D,20110303,000000,7.8377,7.935,7.7535,7.8926,369008,0
BAH.US,D,20110304,000000,7.8966,7.935,7.7833,7.7998,162155,0
BAH.US,D,20110307,000000,7.7998,7.8421,7.6946,7.7408,163419,0
BAH.US,D,20110308,000000,7.7366,7.8465,7.7281,7.7957,153720,0
BAH.US,D,20110309,000000,7.7998,7.8039,7.7706,7.7747,45782,0
BAH.US,D,20110310,000000,7.7155,7.7281,7.6312,7.6734,383523,0
BAH.US,D,20110311,000000,7.6353,7.7028,7.5976,7.6734,171566,0
BAH.US,D,20110314,000000,7.6734,7.7998,7.6312,7.7957,259522,0
BAH.US,D,20110315,000000,7.707,7.707,7.4206,7.5889,446875,0
BAH.US,D,20110316,000000,7.5723,7.6903,7.5386,7.6606,444668,0
BAH.US,D,20110317,000000,7.7281,7.7872,7.6481,7.682,319006,0
BAH.US,D,20110318,000000,7.6988,7.7998,7.6946,7.7998,523104,0
BAH.US,D,20110321,000000,7.7998,7.8294,7.6946,7.7113,153768,0
BAH.US,D,20110322,000000,7.6946,7.7493,7.6567,7.6903,1770676,0
BAH.US,D,20110323,000000,7.682,7.7155,7.6567,7.6988,391297,0
BAH.US,D,20110324,000000,7.6567,7.7785,7.6441,7.7155,409495,0
BAH.US,D,20110325,000000,7.7155,7.7493,7.6946,7.707,226233,0
BAH.US,D,20110328,000000,7.7028,7.707,7.6353,7.6778,63716,0
BAH.US,D,20110329,000000,7.6097,7.7366,7.6097,7.6734,85253,0
BAH.US,D,20110330,000000,7.6692,7.6734,7.6186,7.6567,107203,0
BAH.US,D,20110331,000000,7.614,7.6441,7.5046,7.593,548112,0
BAH.US,D,20110401,000000,7.593,7.72,7.5514,7.7113,699983,0
BAH.US,D,20110404,000000,7.7155,7.7998,7.6734,7.6946,121153,0
BAH.US,D,20110405,000000,7.7028,7.8168,7.6778,7.7957,1261140,0
BAH.US,D,20110406,000000,7.7619,7.9724,7.7323,7.956,437614,0
BAH.US,D,20110407,000000,7.935,8.1122,7.935,8.0444,649012,0
BAH.US,D,20110408,000000,8.0444,8.361,8.0156,8.2595,1195085,0
BAH.US,D,20110411,000000,8.2638,8.2638,8.0777,8.125,91502,0
BAH.US,D,20110412,000000,8.0401,8.0568,7.9139,7.9811,171706,0
BAH.US,D,20110413,000000,8.0198,8.0568,7.8715,7.9394,196554,0
BAH.US,D,20110414,000000,7.9515,8.0358,7.8801,8.0021,178400,0
BAH.US,D,20110415,000000,8.0231,8.1376,7.9645,8.0946,1174858,0
BAH.US,D,20110418,000000,8.0358,8.0777,7.9682,8.0401,166998,0
BAH.US,D,20110419,000000,8.0317,8.0317,7.9262,8.0156,120802,0
BAH.US,D,20110420,000000,8.0735,8.1164,7.9682,8.0735,700059,0
BAH.US,D,20110421,000000,8.1625,8.1625,7.9979,8.0568,50947,0
BAH.US,D,20110425,000000,8.0735,8.125,8.0317,8.1041,641971,0
BAH.US,D,20110426,000000,8.0904,8.1711,8.0822,8.0946,374901,0
BAH.US,D,20110427,000000,8.0822,8.1041,7.9899,8.0276,330392,0
BAH.US,D,20110428,000000,8.0116,8.1041,8.0116,8.0863,53013,0
BAH.US,D,20110429,000000,8.1122,8.1711,8.0613,8.1544,237583,0
BAH.US,D,20110502,000000,8.2008,8.2385,8.1711,8.184,132627,0
BAH.US,D,20110503,000000,8.1669,8.2341,8.0988,8.2121,93552,0
BAH.US,D,20110504,000000,8.2216,8.2595,8.1625,8.184,219262,0
BAH.US,D,20110505,000000,8.0444,8.1878,7.9262,8.1418,202978,0
BAH.US,D,20110506,000000,8.1164,8.2595,8.0946,8.1073,96412,0
BAH.US,D,20110509,000000,8.1754,8.2763,8.1073,8.2676,104086,0
BAH.US,D,20110510,000000,8.2847,8.3274,8.2008,8.3274,70116,0
BAH.US,D,20110511,000000,8.3527,8.4025,8.2297,8.2887,132912,0
BAH.US,D,20110512,000000,8.2928,8.3356,8.1954,8.3015,86766,0
BAH.US,D,20110513,000000,8.2468,8.3356,8.2259,8.2259,54690,0
BAH.US,D,20110516,000000,8.209,8.255,8.0358,8.0946,263657,0
BAH.US,D,20110517,000000,8.0358,8.0694,7.9221,8.0568,230481,0
BAH.US,D,20110518,000000,8.0568,8.1041,8.0021,8.0988,244056,0
BAH.US,D,20110519,000000,8.0064,8.1041,8.0064,8.0317,289829,0
BAH.US,D,20110520,000000,7.9979,8.0822,7.9937,8.0358,381837,0
BAH.US,D,20110523,000000,7.9604,8.0064,7.9096,7.9262,532378,0
BAH.US,D,20110524,000000,7.9306,7.956,7.9139,7.9221,411351,0
BAH.US,D,20110525,000000,7.7998,7.7998,7.5808,7.6481,949023,0
BAH.US,D,20110526,000000,7.6312,7.7155,7.5514,7.6523,383522,0
BAH.US,D,20110527,000000,7.6441,7.665,7.5847,7.6353,301869,0
BAH.US,D,20110531,000000,7.6903,7.7155,7.501,7.5847,727712,0
BAH.US,D,20110601,000000,7.593,7.6523,7.5132,7.5427,695453,0
BAH.US,D,20110602,000000,7.5889,7.5889,7.4919,7.5219,582234,0
BAH.US,D,20110603,000000,7.4919,7.5637,7.4456,7.4711,840128,0
BAH.US,D,20110606,000000,7.5342,7.5427,7.4416,7.4541,735807,0
BAH.US,D,20110607,000000,7.7535,7.7747,7.5046,7.5259,3379740,0
BAH.US,D,20110608,000000,7.568,7.5723,7.4206,7.4499,1331443,0
BAH.US,D,20110609,000000,7.4754,7.5889,7.4499,7.5723,661311,0
BAH.US,D,20110610,000000,7.5386,7.568,7.4375,7.4541,774530,0
BAH.US,D,20110613,000000,7.4585,7.593,7.4585,7.5764,623063,0
BAH.US,D,20110614,000000,7.6021,7.6441,7.501,7.568,931357,0
BAH.US,D,20110615,000000,7.5342,7.5342,7.3319,7.395,1109792,0
BAH.US,D,20110616,000000,7.4332,7.4878,7.3319,7.3995,612498,0
BAH.US,D,20110617,000000,7.7833,7.7833,7.5808,7.6567,4053225,0
BAH.US,D,20110620,000000,7.7281,7.7706,7.682,7.7366,1379816,0
BAH.US,D,20110621,000000,7.7706,7.9055,7.665,7.8801,2525795,0
BAH.US,D,20110622,000000,7.8886,8.1333,7.8886,8.0863,2085435,0
BAH.US,D,20110623,000000,8.0526,8.1376,7.8845,8.1333,1336410,0
BAH.US,D,20110624,000000,8.1376,8.1376,7.9682,8.0653,2045954,0
BAH.US,D,20110627,000000,8.0444,8.0694,7.9262,7.956,893240,0
BAH.US,D,20110628,000000,7.956,8.1333,7.8845,8.0777,866804,0
BAH.US,D,20110629,000000,8.1122,8.1164,8.0694,8.1164,491928,0
