<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBDO.US,D,20120313,000000,5.1205,5.1205,5.0278,5.0556,180796,0
BBDO.US,D,20120314,000000,5.0077,5.0472,5.0077,5.0472,40634,0
BBDO.US,D,20120315,000000,5.0871,5.4053,4.9243,4.9594,158283,0
BBDO.US,D,20120316,000000,5.0714,5.0714,5.0714,5.0714,3165,0
BBDO.US,D,20120319,000000,5.0533,5.1003,5.0533,5.0556,28110,0
BBDO.US,D,20120320,000000,4.9594,4.9594,4.8416,4.8628,41260,0
BBDO.US,D,20120321,000000,5.0234,5.1205,4.9079,5.0556,84056,0
BBDO.US,D,20120322,000000,4.9402,4.9402,4.8795,4.8921,19699,0
BBDO.US,D,20120326,000000,5.04,5.04,5.04,5.04,596,0
BBDO.US,D,20120328,000000,4.9813,4.9813,4.8385,4.8385,3775,0
BBDO.US,D,20120329,000000,4.8469,4.8588,4.8002,4.8588,59369,0
BBDO.US,D,20120330,000000,4.9243,4.9243,4.7744,4.7744,2164,0
BBDO.US,D,20120402,000000,4.8729,4.8729,4.8624,4.8729,18751,0
BBDO.US,D,20120403,000000,4.8002,4.8352,4.8002,4.8352,2180,0
BBDO.US,D,20120405,000000,4.6815,4.7804,4.617,4.6782,8416,0
BBDO.US,D,20120409,000000,4.617,4.617,4.6077,4.6077,4111,0
BBDO.US,D,20120411,000000,4.6077,4.6077,4.6077,4.6077,905,0
BBDO.US,D,20120413,000000,4.6192,4.6192,4.6192,4.6192,1847,0
BBDO.US,D,20120416,000000,4.6008,4.6008,4.6008,4.6008,864,0
BBDO.US,D,20120418,000000,4.4831,4.4831,4.4831,4.4831,596,0
BBDO.US,D,20120424,000000,4.4278,4.4831,4.4278,4.4831,1058,0
BBDO.US,D,20120426,000000,4.3572,4.3572,4.3572,4.3572,905,0
BBDO.US,D,20120502,000000,4.1882,4.1882,4.1621,4.1621,905,0
BBDO.US,D,20120504,000000,4.1747,4.1747,4.1715,4.1715,3154,0
BBDO.US,D,20120510,000000,4.2766,4.2766,4.1167,4.1361,4076,0
BBDO.US,D,20120511,000000,4.0843,4.1134,4.0843,4.1134,52543,0
BBDO.US,D,20120514,000000,3.9824,3.9824,3.9824,3.9824,1003,0
BBDO.US,D,20120515,000000,3.9246,3.9282,3.9246,3.9282,3154,0
BBDO.US,D,20120516,000000,3.8446,3.8446,3.7291,3.7291,905,0
BBDO.US,D,20120517,000000,3.7326,3.9155,3.7326,3.9155,5431,0
BBDO.US,D,20120518,000000,3.9243,3.9243,3.6677,3.6677,4379,0
BBDO.US,D,20120521,000000,3.765,3.768,3.7585,3.765,28840,0
BBDO.US,D,20120523,000000,3.6874,3.7965,3.6841,3.7965,1324,0
BBDO.US,D,20120531,000000,3.9246,3.9246,3.9246,3.9246,300,0
BBDO.US,D,20120613,000000,3.9405,3.9503,3.9405,3.9503,34943,0
BBDO.US,D,20120618,000000,3.8471,4.0499,3.8471,4.0499,905,0
BBDO.US,D,20120619,000000,4.0874,4.0874,4.0874,4.0874,300,0
BBDO.US,D,20120620,000000,4.1033,4.1033,4.1033,4.1033,6245,0
BBDO.US,D,20120622,000000,3.9631,3.9631,3.9631,3.9631,300,0
BBDO.US,D,20120626,000000,3.8214,3.8214,3.7699,3.7826,4375,0
BBDO.US,D,20120629,000000,4.0984,4.0984,3.9733,3.9733,900,0
BBDO.US,D,20120702,000000,4.0411,4.0411,4.0411,4.0411,298,0
BBDO.US,D,20120703,000000,4.1171,4.1171,4.1171,4.1171,298,0
BBDO.US,D,20120706,000000,3.9916,3.9916,3.9916,3.9916,1827,0
BBDO.US,D,20120713,000000,4.0039,4.0039,4.0039,4.0039,3038,0
BBDO.US,D,20120727,000000,4.0366,4.1171,4.0366,4.1171,595,0
BBDO.US,D,20120806,000000,4.2008,4.3621,4.2008,4.3621,1498,0
BBDO.US,D,20120808,000000,4.4436,4.4436,4.4436,4.4436,298,0
BBDO.US,D,20120810,000000,4.9761,4.9761,4.3653,4.4105,8857,0
BBDO.US,D,20120813,000000,4.5165,4.5267,4.5165,4.524,3125,0
BBDO.US,D,20120814,000000,4.8464,4.8464,4.4756,4.4756,4948,0
BBDO.US,D,20120821,000000,4.2043,4.6014,4.2043,4.243,4040,0
BBDO.US,D,20120822,000000,4.4436,4.5333,4.4436,4.5333,3000,0
BBDO.US,D,20120823,000000,4.4664,4.4664,4.4664,4.4664,625,0
BBDO.US,D,20120827,000000,4.6867,4.6867,4.195,4.195,4811,0
BBDO.US,D,20120828,000000,4.3527,4.372,4.3431,4.3431,3557,0
BBDO.US,D,20120831,000000,4.4105,4.4105,4.4105,4.4105,1197,0
BBDO.US,D,20120910,000000,4.5195,4.5195,4.2103,4.2103,1827,0
BBDO.US,D,20120913,000000,4.5262,4.5262,4.4849,4.4849,1303,0
BBDO.US,D,20120914,000000,4.7354,4.7354,4.5749,4.5749,5251,0
BBDO.US,D,20120925,000000,4.5262,4.5262,4.3904,4.3904,595,0
BBDO.US,D,20121005,000000,4.3083,4.3083,4.2701,4.2701,2147,0
BBDO.US,D,20121008,000000,4.238,4.238,4.206,4.2094,900,0
BBDO.US,D,20121015,000000,4.1607,4.1607,4.1607,4.1607,1197,0
BBDO.US,D,20121016,000000,4.2026,4.2026,4.2026,4.2026,298,0
BBDO.US,D,20121018,000000,4.0793,4.2668,4.0793,4.2668,2793,0
BBDO.US,D,20121022,000000,4.3318,4.3641,4.2768,4.2768,3435,0
BBDO.US,D,20121025,000000,4.3318,4.3318,4.3318,4.3318,298,0
BBDO.US,D,20121105,000000,4.3701,4.4902,4.3701,4.4902,595,0
BBDO.US,D,20121112,000000,3.998,4.2694,3.998,4.2315,2147,0
BBDO.US,D,20121115,000000,4.2727,4.6975,4.2727,4.6294,30119,0
BBDO.US,D,20121116,000000,4.7379,4.7379,4.3732,4.3795,16994,0
BBDO.US,D,20121119,000000,4.5316,4.6943,4.5316,4.6943,6484,0
BBDO.US,D,20121126,000000,4.7141,4.8555,4.7141,4.8555,1197,0
BBDO.US,D,20121127,000000,5.0988,5.0988,4.8555,4.8555,3651,0
BBDO.US,D,20121128,000000,4.7272,4.8041,4.6943,4.743,5246,0
BBDO.US,D,20121129,000000,4.6943,4.7594,4.6943,4.7594,6751,0
BBDO.US,D,20121130,000000,4.7464,4.9654,4.7464,4.9654,11210,0
BBDO.US,D,20121203,000000,5.0691,5.0691,5.0691,5.0691,1197,0
BBDO.US,D,20121204,000000,4.9386,5.0266,4.7132,4.8904,197391,0
BBDO.US,D,20121205,000000,4.954,5.0203,4.954,5.0203,1670,0
BBDO.US,D,20121206,000000,5.1844,5.3409,5.0469,5.0938,13582,0
BBDO.US,D,20121207,000000,5.0938,5.3733,4.9481,5.1844,40272,0
BBDO.US,D,20121210,000000,5.1743,5.3409,5.1743,5.3086,9385,0
BBDO.US,D,20121211,000000,5.2805,5.4026,5.1337,5.4026,4534,0
BBDO.US,D,20121212,000000,5.3432,5.3733,5.2161,5.3432,2791,0
BBDO.US,D,20121213,000000,5.5054,5.5377,5.5054,5.5377,595,0
BBDO.US,D,20121214,000000,5.3432,5.3795,5.3432,5.3795,23059,0
BBDO.US,D,20121217,000000,5.5027,5.5027,5.3118,5.3118,6628,0
BBDO.US,D,20121218,000000,5.3022,5.3022,5.1172,5.1172,1498,0
BBDO.US,D,20121219,000000,5.356,5.5139,5.356,5.5139,1197,0
BBDO.US,D,20121221,000000,5.5846,5.599,5.5566,5.5566,3726,0
BBDO.US,D,20121227,000000,5.5124,5.6431,5.4466,5.5124,15232,0
BBDO.US,D,20121228,000000,5.6364,5.6364,5.3323,5.3323,19569,0
BBDO.US,D,20121231,000000,5.4935,5.4935,5.0924,5.0924,5177,0
BBDO.US,D,20130102,000000,5.6305,5.7619,5.5942,5.5942,17681,0
BBDO.US,D,20130103,000000,5.7463,5.9113,5.7463,5.9113,2121,0
BBDO.US,D,20130108,000000,5.7463,5.7556,5.695,5.7149,6468,0
BBDO.US,D,20130109,000000,5.8044,5.9113,5.7556,5.8044,9395,0
BBDO.US,D,20130110,000000,5.8462,5.8701,5.843,5.8701,4642,0
BBDO.US,D,20130114,000000,5.8798,5.8941,5.8738,5.8941,2746,0
BBDO.US,D,20130122,000000,5.8866,5.8866,5.8866,5.8866,333,0
BBDO.US,D,20130128,000000,5.8904,5.8904,5.8553,5.8553,1039,0
BBDO.US,D,20130130,000000,5.6814,5.6883,5.6814,5.6814,586,0
BBDO.US,D,20130205,000000,5.7673,5.7673,5.7673,5.7673,293,0
