<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDCZ.US,D,20181128,000000,14.459,14.459,14.459,14.459,130,0
BDCZ.US,D,20181129,000000,14.4,14.4,14.4,14.4,130,0
BDCZ.US,D,20181203,000000,14.625,14.625,14.625,14.625,130,0
BDCZ.US,D,20181204,000000,14.366,14.366,14.366,14.366,130,0
BDCZ.US,D,20181206,000000,14.264,14.37,14.264,14.37,267,0
BDCZ.US,D,20181210,000000,14.277,14.29,14.277,14.29,130,0
BDCZ.US,D,20181211,000000,14.222,14.222,14.222,14.222,1,0
BDCZ.US,D,20181212,000000,14.347,14.347,14.347,14.347,155,0
BDCZ.US,D,20181213,000000,14.186,14.186,14.186,14.186,1,0
BDCZ.US,D,20181214,000000,14.017,14.017,14.017,14.017,1,0
BDCZ.US,D,20181217,000000,13.705,13.705,13.438,13.438,130,0
BDCZ.US,D,20181218,000000,13.431,13.458,13.431,13.458,130,0
BDCZ.US,D,20181219,000000,13.471,13.471,13.392,13.392,130,0
BDCZ.US,D,20181220,000000,12.797,12.797,12.797,12.797,1,0
BDCZ.US,D,20181221,000000,13.001,13.001,13.001,13.001,1,0
BDCZ.US,D,20181224,000000,13.054,13.054,13.054,13.054,1,0
BDCZ.US,D,20181226,000000,13.403,13.403,13.403,13.403,1,0
BDCZ.US,D,20181227,000000,13.451,13.451,13.451,13.451,1,0
BDCZ.US,D,20181228,000000,13.572,13.572,13.572,13.572,1,0
BDCZ.US,D,20181231,000000,13.385,13.385,13.344,13.353,663,0
BDCZ.US,D,20190102,000000,13.542,13.542,13.542,13.542,1,0
BDCZ.US,D,20190103,000000,13.565,13.565,13.565,13.565,1,0
BDCZ.US,D,20190104,000000,13.858,13.858,13.858,13.858,1,0
BDCZ.US,D,20190107,000000,14.286,14.286,14.189,14.189,130,0
BDCZ.US,D,20190108,000000,14.301,14.301,14.301,14.301,1,0
BDCZ.US,D,20190109,000000,14.15,14.267,14.15,14.267,130,0
BDCZ.US,D,20190110,000000,14.321,14.321,14.321,14.321,1,0
BDCZ.US,D,20190111,000000,14.367,14.367,14.367,14.367,1,0
BDCZ.US,D,20190114,000000,14.114,14.297,14.114,14.297,127,0
BDCZ.US,D,20190115,000000,14.263,14.396,14.263,14.396,127,0
