<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEPI.US,D,20211216,000000,24.93,25.29,24.93,25.18,207982,0
BEPI.US,D,20211217,000000,25,25.48,25,25.25,149103,0
BEPI.US,D,20211220,000000,25.25,25.32,25.13,25.24,129479,0
BEPI.US,D,20211221,000000,25.15,25.35,25.15,25.25,65804,0
BEPI.US,D,20211222,000000,25.31,25.45,25.25,25.35,110469,0
BEPI.US,D,20211223,000000,25.365,25.45,25.28,25.445,51925,0
BEPI.US,D,20211227,000000,25.44,25.5,25.3592,25.5,145652,0
BEPI.US,D,20211228,000000,25.415,25.49,25.35,25.49,137004,0
BEPI.US,D,20211229,000000,25.48,25.6,25.4,25.52,292433,0
BEPI.US,D,20211230,000000,25.6,26.45,25.5,25.91,301546,0
BEPI.US,D,20211231,000000,25.98,26.39,25.76,26.25,2016778,0
BEPI.US,D,20220103,000000,26.24,27.01,26.14,26.21,67770,0
BEPI.US,D,20220104,000000,26.36,26.36,25.93,26.04,76996,0
BEPI.US,D,20220105,000000,26.04,26.22,25.35,25.35,28019,0
BEPI.US,D,20220106,000000,25.45,25.915,25.26,25.73,21944,0
BEPI.US,D,20220107,000000,25.4,25.8,25.37,25.71,30008,0
BEPI.US,D,20220110,000000,25.64,25.71,25.3,25.42,37611,0
BEPI.US,D,20220111,000000,25.51,25.7346,25.15,25.41,74767,0
BEPI.US,D,20220112,000000,25.57,25.81,25.33,25.54,71882,0
BEPI.US,D,20220113,000000,25.62,25.76,25.39,25.44,58407,0
BEPI.US,D,20220114,000000,25.44,25.5,25.39,25.4,9483,0
BEPI.US,D,20220118,000000,25.28,25.3,24.97,25.14,19163,0
BEPI.US,D,20220119,000000,25.15,25.17,24.87,25.02,22501,0
BEPI.US,D,20220120,000000,25.09,25.32,25.07,25.23,13501,0
BEPI.US,D,20220121,000000,25.28,25.28,25.13,25.13,4071,0
