<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BERZ.US,D,20210819,000000,26.9,26.9,24.63,25.2771,3038,0
BERZ.US,D,20210820,000000,24.5385,24.5385,24.14,24.14,4108,0
BERZ.US,D,20210823,000000,23.53,23.55,22.58,22.6493,4047,0
BERZ.US,D,20210824,000000,22.66,22.66,22.3,22.54,8681,0
BERZ.US,D,20210825,000000,22.31,22.59,22.22,22.3671,7123,0
BERZ.US,D,20210826,000000,22.15,22.76,22.09,22.76,6308,0
BERZ.US,D,20210827,000000,22.43,22.58,21.7,21.74,9535,0
BERZ.US,D,20210830,000000,21.6,21.6,20.85,20.9088,9949,0
BERZ.US,D,20210831,000000,21.6,21.85,21.58,21.6491,11634,0
BERZ.US,D,20210901,000000,21.35,21.5,21.03,21.49,6960,0
BERZ.US,D,20210902,000000,21.37,21.78,21.2,21.66,12162,0
BERZ.US,D,20210903,000000,21.64,21.64,21.225,21.3126,5044,0
BERZ.US,D,20210907,000000,21.15,21.23,20.93,20.9304,4687,0
BERZ.US,D,20210908,000000,21.31,22.0999,21.22,21.7015,13508,0
BERZ.US,D,20210909,000000,21.08,21.9,21.08,21.9,12360,0
BERZ.US,D,20210910,000000,21.34,22.24,21.25,22.24,10904,0
BERZ.US,D,20210913,000000,22.19,23,22.19,22.4611,3172,0
BERZ.US,D,20210914,000000,22.54,22.77,22.24,22.6,8315,0
BERZ.US,D,20210915,000000,22.9501,22.9501,22.23,22.2417,3774,0
BERZ.US,D,20210916,000000,22.51,22.51,22,22.0001,909,0
BERZ.US,D,20210917,000000,22.45,22.679,22.45,22.529,9046,0
BERZ.US,D,20210920,000000,24.15,24.67,23.6,24.1826,11697,0
BERZ.US,D,20210921,000000,23.81,23.9174,23.8001,23.9174,4136,0
BERZ.US,D,20210922,000000,23.44,23.47,22.85,23.1,3728,0
BERZ.US,D,20210923,000000,22.75,22.75,21.98,22.0849,3007,0
BERZ.US,D,20210924,000000,22.11,22.11,21.9392,21.9392,301,0
BERZ.US,D,20210927,000000,22.52,22.52,22.14,22.145,2879,0
BERZ.US,D,20210928,000000,23.83,24.38,23.77,24.341,16085,0
BERZ.US,D,20210929,000000,24.25,24.856,23.7019,24.856,12335,0
BERZ.US,D,20210930,000000,24.0355,24.55,23.8,24.4667,10329,0
BERZ.US,D,20211001,000000,25.022,25.022,23.8891,23.8891,2567,0
BERZ.US,D,20211004,000000,24.43,26.06,24.43,25.689,8845,0
BERZ.US,D,20211005,000000,24.88,24.881,23.97,24.3876,3634,0
BERZ.US,D,20211006,000000,24.57,24.63,23.8428,23.8428,3447,0
BERZ.US,D,20211007,000000,23.27,23.27,22.7,23.2182,2912,0
BERZ.US,D,20211008,000000,23.48,23.75,23.3992,23.7463,813,0
BERZ.US,D,20211011,000000,23.51,24.1769,23.51,24.1769,1606,0
BERZ.US,D,20211012,000000,24.29,24.41,24.13,24.3659,2049,0
BERZ.US,D,20211013,000000,23.67,23.7,23.5,23.5403,2508,0
BERZ.US,D,20211014,000000,22.68,22.68,22.01,22.1227,4093,0
BERZ.US,D,20211015,000000,21.99,21.99,21.7,21.7,817,0
BERZ.US,D,20211018,000000,21.9,21.9,20.7106,20.7106,1342,0
BERZ.US,D,20211019,000000,20.61,20.67,20.28,20.4392,2137,0
BERZ.US,D,20211020,000000,20.27,21.06,20.27,20.7797,4612,0
BERZ.US,D,20211021,000000,20.35,20.35,20.1321,20.1321,1814,0
BERZ.US,D,20211022,000000,20.75,21.4,20.75,21.1047,7100,0
BERZ.US,D,20211025,000000,20.6,20.62,19.701,19.9574,10741,0
BERZ.US,D,20211026,000000,19.49,20.1,18.9096,19.7288,9812,0
BERZ.US,D,20211027,000000,19.349,19.8637,19.25,19.8637,5303,0
BERZ.US,D,20211028,000000,19.4,19.5,19.05,19.0514,5009,0
BERZ.US,D,20211029,000000,19.22,19.22,18.75,18.7503,5365,0
BERZ.US,D,20211101,000000,18.65,18.95,18.15,18.15,21063,0
BERZ.US,D,20211102,000000,18.26,18.27,17.949,18.1249,7203,0
BERZ.US,D,20211103,000000,18.19,18.19,17.38,17.391,16165,0
BERZ.US,D,20211104,000000,17.15,17.15,16.321,16.59,8952,0
BERZ.US,D,20211105,000000,16.3,16.97,16.3,16.9447,3139,0
BERZ.US,D,20211108,000000,16.81,16.82,16.25,16.5032,22970,0
BERZ.US,D,20211109,000000,16.22,17.58,16.22,17.3391,15597,0
BERZ.US,D,20211110,000000,18.33,18.789,17.39,18.3347,14728,0
BERZ.US,D,20211111,000000,17.7,18.0301,17.7,18.0087,3342,0
BERZ.US,D,20211112,000000,17.93,17.93,17.191,17.237,19264,0
BERZ.US,D,20211115,000000,17.07,17.41,17.06,17.1413,19032,0
BERZ.US,D,20211116,000000,17.24,17.24,16.54,16.5723,11056,0
BERZ.US,D,20211117,000000,16.55,16.815,16.53,16.8025,3758,0
BERZ.US,D,20211118,000000,16.16,16.56,16.03,16.3,24834,0
BERZ.US,D,20211119,000000,15.98,16.05,15.65,15.845,21282,0
BERZ.US,D,20211122,000000,15.58,16.58,15.32,16.58,28010,0
BERZ.US,D,20211123,000000,16.981,18.07,16.98,17.42,27866,0
BERZ.US,D,20211124,000000,17.79,17.79,16.9087,16.9087,9570,0
BERZ.US,D,20211126,000000,17.01,17.78,17.01,17.6667,3102,0
BERZ.US,D,20211129,000000,17.05,17.05,16.4359,16.4359,3395,0
BERZ.US,D,20211130,000000,17,17.7,17,17.36,8639,0
BERZ.US,D,20211201,000000,17.88,19.035,17.18,19.035,9264,0
BERZ.US,D,20211202,000000,19.449,19.54,18.77,19.02,11973,0
BERZ.US,D,20211203,000000,18.73,21.01,18.73,20.4498,19144,0
BERZ.US,D,20211206,000000,20.88,21.0165,19.94,19.9669,6628,0
BERZ.US,D,20211207,000000,18.25,18.505,17.66,17.9585,24518,0
BERZ.US,D,20211208,000000,17.84,17.95,17.41,17.4139,1835,0
BERZ.US,D,20211209,000000,18,18.5581,17.97,18.5581,2358,0
BERZ.US,D,20211210,000000,18.55,19.039,18.53,18.5527,2891,0
BERZ.US,D,20211213,000000,18.85,19.47,18.85,19.47,2108,0
BERZ.US,D,20211214,000000,19.91,20.21,19.91,20.13,2301,0
BERZ.US,D,20211215,000000,20.96,21.009,18.5222,18.5222,3397,0
BERZ.US,D,20211216,000000,19.04,20.051,19.04,20.051,3239,0
BERZ.US,D,20211217,000000,20.76,20.76,19.69,19.9431,6854,0
BERZ.US,D,20211220,000000,21.281,21.281,20.9199,20.9249,3435,0
BERZ.US,D,20211221,000000,20.269,20.269,18.58,18.5804,2496,0
BERZ.US,D,20211222,000000,18.555,18.64,18.1354,18.1354,9178,0
BERZ.US,D,20211223,000000,18.06,18.06,17.25,17.39,8882,0
BERZ.US,D,20211227,000000,17.11,17.11,16.51,16.5246,4590,0
BERZ.US,D,20211228,000000,16.61,16.9352,16.61,16.9352,10119,0
BERZ.US,D,20211229,000000,16.72,17.28,16.72,16.9832,1616,0
BERZ.US,D,20211230,000000,16.831,17.2955,16.8,17.2955,6653,0
BERZ.US,D,20211231,000000,17.535,17.8013,17.535,17.8013,1397,0
BERZ.US,D,20220103,000000,17.26,17.26,16.4605,16.4605,7030,0
BERZ.US,D,20220104,000000,16.5201,17.896,16.5201,17.2119,11193,0
BERZ.US,D,20220105,000000,17.91,19.12,17.5,19.1168,14779,0
BERZ.US,D,20220106,000000,19.3,20.12,18.81,19.11,21409,0
BERZ.US,D,20220107,000000,18.75,20.21,18.75,19.9375,28772,0
BERZ.US,D,20220110,000000,20.87,21.93,19.74,19.74,42806,0
BERZ.US,D,20220111,000000,19.9,19.9101,18.65,18.7863,12747,0
BERZ.US,D,20220112,000000,18.4799,18.92,18.14,18.5484,18952,0
BERZ.US,D,20220113,000000,18.2,20.22,18.2,20.22,16218,0
