<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFZ.US,D,20050225,000000,8.0111,8.094,8.0111,8.094,52364,0
BFZ.US,D,20050228,000000,8.1159,8.1159,8.0573,8.0754,47107,0
BFZ.US,D,20050301,000000,8.0882,8.1159,8.0754,8.1048,36427,0
BFZ.US,D,20050302,000000,8.1122,8.1231,8.0882,8.1122,35375,0
BFZ.US,D,20050303,000000,8.1122,8.1159,8.0815,8.094,42721,0
BFZ.US,D,20050304,000000,8.0815,8.1494,8.0815,8.1404,63739,0
BFZ.US,D,20050307,000000,8.1122,8.1682,8.1122,8.1638,57607,0
BFZ.US,D,20050308,000000,8.1404,8.1638,8.1231,8.1404,18736,0
BFZ.US,D,20050309,000000,8.0882,8.1528,8.0035,8.0035,123102,0
BFZ.US,D,20050310,000000,8.0111,8.0446,7.982,7.9864,63915,0
BFZ.US,D,20050311,000000,7.9754,7.9754,7.8566,7.8912,52537,0
BFZ.US,D,20050314,000000,7.955,7.9598,7.8748,7.9037,43778,0
BFZ.US,D,20050315,000000,7.8386,7.9104,7.8386,7.8748,42382,0
BFZ.US,D,20050316,000000,7.8386,7.8694,7.8386,7.8694,38352,0
BFZ.US,D,20050317,000000,7.8386,7.9037,7.8386,7.898,68126,0
BFZ.US,D,20050318,000000,7.9037,7.9037,7.8566,7.8566,10859,0
BFZ.US,D,20050321,000000,7.8694,7.8854,7.8295,7.833,32048,0
BFZ.US,D,20050322,000000,7.8116,7.8501,7.7776,7.7823,22940,0
BFZ.US,D,20050323,000000,7.7714,7.7714,7.6659,7.6974,135363,0
BFZ.US,D,20050324,000000,7.6867,7.7264,7.6659,7.7142,38178,0
BFZ.US,D,20050328,000000,7.659,7.6974,7.6288,7.6534,98774,0
BFZ.US,D,20050329,000000,7.6716,7.6974,7.6534,7.6815,25564,0
BFZ.US,D,20050330,000000,7.64,7.7039,7.64,7.6716,22592,0
BFZ.US,D,20050331,000000,7.677,7.7714,7.677,7.7714,57607,0
BFZ.US,D,20050401,000000,7.7823,7.8441,7.7714,7.8185,35894,0
BFZ.US,D,20050404,000000,7.8185,7.8441,7.8116,7.8386,27489,0
BFZ.US,D,20050405,000000,7.805,7.8441,7.805,7.8116,18032,0
BFZ.US,D,20050406,000000,7.8386,7.8566,7.805,7.8566,44655,0
BFZ.US,D,20050407,000000,7.8185,7.8694,7.8185,7.8241,31694,0
BFZ.US,D,20050408,000000,7.8185,7.8634,7.8185,7.8386,23821,0
BFZ.US,D,20050411,000000,7.8501,7.8634,7.7992,7.8386,75649,0
BFZ.US,D,20050412,000000,7.8441,7.8912,7.8386,7.8912,48510,0
BFZ.US,D,20050413,000000,7.8386,7.8441,7.8295,7.8386,19433,0
BFZ.US,D,20050414,000000,7.8854,7.8912,7.8441,7.8501,57443,0
BFZ.US,D,20050415,000000,7.8912,7.925,7.8748,7.8809,31869,0
BFZ.US,D,20050418,000000,7.8912,7.9297,7.8912,7.9037,34674,0
BFZ.US,D,20050419,000000,7.9037,7.955,7.898,7.9509,23289,0
BFZ.US,D,20050420,000000,7.9182,7.9509,7.9182,7.9297,19084,0
BFZ.US,D,20050421,000000,7.9351,7.955,7.9297,7.955,36772,0
BFZ.US,D,20050422,000000,7.9699,7.9933,7.9699,7.9933,20491,0
BFZ.US,D,20050425,000000,7.9933,7.9933,7.9297,7.9509,41508,0
BFZ.US,D,20050426,000000,7.965,7.9933,7.9182,7.9699,49909,0
BFZ.US,D,20050427,000000,7.9699,7.9864,7.9413,7.9413,43430,0
BFZ.US,D,20050428,000000,7.9413,7.9754,7.9413,7.9754,29424,0
BFZ.US,D,20050429,000000,7.982,8.0169,7.982,8.0169,33268,0
BFZ.US,D,20050502,000000,8.0268,8.0446,7.9864,8.0446,68467,0
BFZ.US,D,20050503,000000,8.0446,8.0754,8.0446,8.0501,43953,0
BFZ.US,D,20050504,000000,8.0395,8.0992,8.0395,8.0703,42721,0
BFZ.US,D,20050505,000000,8.0992,8.1159,8.0703,8.0992,71273,0
BFZ.US,D,20050506,000000,8.0703,8.0882,8.0111,8.0501,36241,0
BFZ.US,D,20050509,000000,8.0647,8.0754,8.0395,8.0754,41856,0
