<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGB.US,D,20120926,000000,9.554,9.554,9.531,9.554,3869600,0
BGB.US,D,20120927,000000,9.554,9.566,9.544,9.554,729239,0
BGB.US,D,20120928,000000,9.554,9.599,9.554,9.584,250681,0
BGB.US,D,20121001,000000,9.554,9.584,9.548,9.554,361315,0
BGB.US,D,20121002,000000,9.554,9.571,9.554,9.554,86446,0
BGB.US,D,20121003,000000,9.554,9.604,9.554,9.584,207430,0
BGB.US,D,20121004,000000,9.636,9.636,9.554,9.554,108292,0
BGB.US,D,20121005,000000,9.559,9.628,9.554,9.554,166547,0
BGB.US,D,20121008,000000,9.554,9.584,9.554,9.554,213707,0
BGB.US,D,20121009,000000,9.566,9.596,9.554,9.591,50975,0
BGB.US,D,20121010,000000,9.554,9.584,9.554,9.554,241067,0
BGB.US,D,20121011,000000,9.599,9.599,9.554,9.554,103103,0
BGB.US,D,20121012,000000,9.584,9.584,9.554,9.554,61342,0
BGB.US,D,20121015,000000,9.554,9.578,9.554,9.571,116689,0
BGB.US,D,20121016,000000,9.559,9.559,9.554,9.554,86564,0
BGB.US,D,20121017,000000,9.554,9.559,9.554,9.559,92047,0
BGB.US,D,20121018,000000,9.584,9.584,9.554,9.554,318335,0
BGB.US,D,20121019,000000,9.554,9.559,9.554,9.554,174065,0
BGB.US,D,20121022,000000,9.559,9.559,9.554,9.554,93347,0
BGB.US,D,20121023,000000,9.559,9.559,9.554,9.554,65871,0
BGB.US,D,20121024,000000,9.554,9.641,9.554,9.559,108877,0
BGB.US,D,20121025,000000,9.554,9.578,9.554,9.554,331007,0
BGB.US,D,20121026,000000,9.554,9.566,9.554,9.554,192156,0
BGB.US,D,20121031,000000,9.571,9.578,9.554,9.554,240714,0
BGB.US,D,20121101,000000,9.554,9.599,9.554,9.554,36945,0
BGB.US,D,20121102,000000,9.554,9.566,9.519,9.531,1774214,0
BGB.US,D,20121105,000000,9.531,9.554,9.531,9.531,253165,0
BGB.US,D,20121106,000000,9.535,9.559,9.509,9.522,619293,0
BGB.US,D,20121107,000000,9.509,9.527,9.509,9.509,311479,0
BGB.US,D,20121108,000000,9.509,9.591,9.509,9.509,234052,0
BGB.US,D,20121109,000000,9.531,9.559,9.531,9.554,238129,0
BGB.US,D,20121112,000000,9.4431,9.4962,9.3168,9.4184,193537,0
BGB.US,D,20121113,000000,9.531,9.531,9.1857,9.3168,282639,0
BGB.US,D,20121114,000000,9.2205,9.2905,8.8916,9.272,430090,0
BGB.US,D,20121115,000000,9.123,9.2087,9.0117,9.1807,242633,0
BGB.US,D,20121116,000000,9.1346,9.2126,8.97,9.1346,93000,0
BGB.US,D,20121119,000000,9.4003,9.4003,9.0202,9.0442,173598,0
BGB.US,D,20121120,000000,9.0364,9.1807,9.0022,9.0994,250390,0
BGB.US,D,20121121,000000,8.9501,9.3441,8.9456,9.2995,185838,0
BGB.US,D,20121123,000000,9.3235,9.3235,9.0202,9.1087,121044,0
BGB.US,D,20121126,000000,9.0881,9.1807,8.8898,8.9755,506112,0
BGB.US,D,20121127,000000,9.0699,9.0823,8.7589,9.0202,612591,0
BGB.US,D,20121128,000000,9.0604,9.2447,8.8717,9.1346,424958,0
BGB.US,D,20121129,000000,9.1575,9.2418,9.1317,9.1837,283774,0
BGB.US,D,20121130,000000,9.3108,9.3108,9.026,9.2662,239442,0
BGB.US,D,20121203,000000,9.2126,9.2565,9.0699,9.1575,223321,0
BGB.US,D,20121204,000000,9.0881,9.271,9.0881,9.199,199963,0
BGB.US,D,20121205,000000,9.1673,9.2126,9.0442,9.0823,368541,0
BGB.US,D,20121206,000000,9.0652,9.1052,8.9456,9.0307,407130,0
BGB.US,D,20121207,000000,8.9755,9.126,8.9755,9.1087,233942,0
