<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGR.US,D,20050225,000000,9.0079,9.0838,8.903,8.9957,387469,0
BGR.US,D,20050228,000000,9.0192,9.0647,8.991,9.0267,264172,0
BGR.US,D,20050301,000000,9.0267,9.0465,8.9703,9.0145,209177,0
BGR.US,D,20050302,000000,9.0418,9.0838,9.0108,9.0361,167242,0
BGR.US,D,20050303,000000,9.0145,9.1154,9.0002,9.0951,303594,0
BGR.US,D,20050304,000000,9.117,9.2591,9.0647,9.2041,416095,0
BGR.US,D,20050307,000000,9.2425,9.2445,9.0905,9.172,289542,0
BGR.US,D,20050308,000000,9.1345,9.172,9.0838,9.1431,239315,0
BGR.US,D,20050309,000000,9.1684,9.2081,9.0905,9.122,398272,0
BGR.US,D,20050310,000000,9.1546,9.172,8.9957,9.0887,291296,0
BGR.US,D,20050311,000000,8.9957,9.0647,8.9442,9.0504,204153,0
BGR.US,D,20050314,000000,8.974,9.0079,8.8821,8.9824,181559,0
BGR.US,D,20050315,000000,8.9582,8.9957,8.869,8.9824,173522,0
BGR.US,D,20050316,000000,8.9582,8.9824,8.8559,8.903,196120,0
BGR.US,D,20050317,000000,8.9218,8.991,8.8821,8.9787,157196,0
BGR.US,D,20050318,000000,8.9442,8.9824,8.807,8.8931,201394,0
BGR.US,D,20050321,000000,8.903,8.903,8.7959,8.8328,170005,0
BGR.US,D,20050322,000000,8.821,8.8328,8.5965,8.6147,202648,0
BGR.US,D,20050323,000000,8.6679,8.6804,8.4177,8.4177,197132,0
BGR.US,D,20050324,000000,8.4177,8.5626,8.2024,8.433,315152,0
BGR.US,D,20050328,000000,8.2075,8.3501,8.0225,8.1134,431159,0
BGR.US,D,20050329,000000,8.1275,8.441,7.8236,8.1849,318912,0
BGR.US,D,20050330,000000,8.1849,8.4296,8.1849,8.3476,142888,0
BGR.US,D,20050331,000000,8.4083,8.7959,8.3854,8.6679,194105,0
BGR.US,D,20050401,000000,8.6679,8.903,8.6409,8.9002,135342,0
BGR.US,D,20050404,000000,8.903,8.9396,8.8496,8.869,249852,0
BGR.US,D,20050405,000000,8.903,8.9311,8.8328,8.8496,287024,0
BGR.US,D,20050406,000000,8.8821,8.9357,8.8821,8.9274,136863,0
BGR.US,D,20050407,000000,8.8821,8.9693,8.8821,8.9357,211438,0
BGR.US,D,20050408,000000,8.9535,8.9535,8.7621,8.8373,144889,0
BGR.US,D,20050411,000000,8.7996,8.8328,8.5965,8.8116,146655,0
BGR.US,D,20050412,000000,8.7401,8.8412,8.6733,8.7866,162469,0
BGR.US,D,20050413,000000,8.7775,8.7775,8.4703,8.5087,161973,0
BGR.US,D,20050414,000000,8.5269,8.6101,8.2911,8.433,144143,0
BGR.US,D,20050415,000000,8.4544,8.4922,8.1917,8.3344,173770,0
BGR.US,D,20050418,000000,8.3344,8.3344,8.0545,8.1583,334740,0
BGR.US,D,20050419,000000,8.1626,8.4083,8.1275,8.4012,296819,0
BGR.US,D,20050420,000000,8.3631,8.4249,8.2911,8.3501,194862,0
BGR.US,D,20050421,000000,8.3888,8.4446,8.3118,8.4446,189342,0
BGR.US,D,20050422,000000,8.3476,8.5393,8.3476,8.4544,199638,0
BGR.US,D,20050425,000000,8.4177,8.6147,8.3153,8.433,304344,0
BGR.US,D,20050426,000000,8.4177,8.5393,8.2944,8.3118,246596,0
BGR.US,D,20050427,000000,8.3854,8.4144,8.2911,8.3782,148663,0
BGR.US,D,20050428,000000,8.4249,8.4249,8.1134,8.2187,234286,0
BGR.US,D,20050429,000000,8.2024,8.2622,8.0665,8.2265,159708,0
BGR.US,D,20050502,000000,8.2024,8.2622,8.1009,8.1487,223748,0
BGR.US,D,20050503,000000,8.1275,8.1487,8.016,8.08,246843,0
BGR.US,D,20050504,000000,8.0579,8.1487,8.016,8.1402,225501,0
BGR.US,D,20050505,000000,8.1134,8.2709,8.0919,8.1487,240567,0
BGR.US,D,20050506,000000,8.2265,8.3686,8.1703,8.3686,289780,0
BGR.US,D,20050509,000000,8.3976,8.6147,8.3258,8.5393,191595,0
BGR.US,D,20050510,000000,8.5781,8.6147,8.3476,8.3631,225501,0
BGR.US,D,20050511,000000,8.3258,8.5006,8.3118,8.3976,263923,0
BGR.US,D,20050512,000000,8.4544,8.4544,8.0225,8.2404,242826,0
BGR.US,D,20050513,000000,8.2024,8.3344,8.1173,8.1402,184822,0
BGR.US,D,20050516,000000,8.0919,8.0919,7.8872,7.9663,371895,0
BGR.US,D,20050517,000000,8.0063,8.1487,7.9316,8.0919,287521,0
BGR.US,D,20050518,000000,8.1275,8.258,8.0919,8.1962,325192,0
BGR.US,D,20050519,000000,8.1275,8.3722,8.0919,8.2024,248096,0
BGR.US,D,20050520,000000,8.1703,8.3258,8.1703,8.2024,196622,0
BGR.US,D,20050523,000000,8.2549,8.2549,8.1515,8.1879,186330,0
BGR.US,D,20050524,000000,8.137,8.236,8.1173,8.216,222484,0
BGR.US,D,20050525,000000,8.1962,8.4703,8.1669,8.3118,337495,0
BGR.US,D,20050526,000000,8.3476,8.5146,8.3476,8.4446,204409,0
BGR.US,D,20050527,000000,8.4819,8.5781,8.4819,8.569,143890,0
BGR.US,D,20050531,000000,8.569,8.569,8.3896,8.5222,189589,0
BGR.US,D,20050601,000000,8.4589,8.6147,8.4589,8.5626,174778,0
BGR.US,D,20050602,000000,8.5485,8.7914,8.5485,8.7866,255135,0
BGR.US,D,20050603,000000,8.7866,8.8116,8.6371,8.7521,214439,0
BGR.US,D,20050606,000000,8.7255,8.7959,8.6509,8.7043,165231,0
BGR.US,D,20050607,000000,8.6848,8.7775,8.6509,8.7172,183061,0
BGR.US,D,20050608,000000,8.7574,8.854,8.7255,8.8116,179541,0
BGR.US,D,20050609,000000,8.7775,8.8597,8.7255,8.8597,175778,0
BGR.US,D,20050610,000000,8.8597,8.8931,8.7775,8.8328,189342,0
BGR.US,D,20050613,000000,8.7706,8.8645,8.6679,8.7737,240825,0
BGR.US,D,20050614,000000,8.7255,8.7737,8.6509,8.6996,184822,0
BGR.US,D,20050615,000000,8.6641,8.8116,8.6641,8.7255,276476,0
BGR.US,D,20050616,000000,8.7255,8.8328,8.7043,8.7172,252869,0
BGR.US,D,20050617,000000,8.7255,8.903,8.7255,8.8931,281247,0
BGR.US,D,20050620,000000,8.8821,8.9246,8.8172,8.9086,241067,0
BGR.US,D,20050621,000000,8.8791,8.8821,8.7401,8.7914,307119,0
BGR.US,D,20050622,000000,8.7621,8.8116,8.7293,8.7621,239315,0
BGR.US,D,20050623,000000,8.7996,8.974,8.7521,8.8877,257639,0
BGR.US,D,20050624,000000,8.8373,8.9218,8.7401,8.7457,279490,0
BGR.US,D,20050627,000000,8.7801,8.903,8.6848,8.7336,377176,0
BGR.US,D,20050628,000000,8.7043,8.7959,8.6848,8.7621,297578,0
BGR.US,D,20050629,000000,8.7255,8.7457,8.6371,8.7043,215457,0
BGR.US,D,20050630,000000,8.6848,8.807,8.6509,8.807,260158,0
BGR.US,D,20050701,000000,8.8245,8.903,8.7621,8.903,217965,0
BGR.US,D,20050705,000000,8.8877,8.9824,8.8737,8.9582,181559,0
BGR.US,D,20050706,000000,8.9582,9.0465,8.9396,8.9787,498709,0
BGR.US,D,20050707,000000,8.9824,9.0079,8.9396,8.9655,245838,0
BGR.US,D,20050708,000000,8.991,9.0267,8.9703,8.9824,305353,0
BGR.US,D,20050711,000000,8.9582,8.9609,8.869,8.9125,208935,0
BGR.US,D,20050712,000000,8.9693,9.0267,8.9442,8.9693,242577,0
BGR.US,D,20050713,000000,8.991,9.0267,8.9787,9.023,327457,0
BGR.US,D,20050714,000000,9.0267,9.0267,8.9086,8.9655,280997,0
BGR.US,D,20050715,000000,8.9535,9.0002,8.869,8.9582,190345,0
BGR.US,D,20050718,000000,8.974,8.9824,8.8496,8.8821,229513,0
BGR.US,D,20050719,000000,8.8821,8.9852,8.854,8.9824,277988,0
BGR.US,D,20050720,000000,8.9787,8.991,8.9086,8.991,259641,0
BGR.US,D,20050721,000000,8.9396,8.991,8.9002,8.9311,225501,0
BGR.US,D,20050722,000000,8.903,8.991,8.903,8.991,290036,0
BGR.US,D,20050725,000000,9.0041,9.0761,9.0002,9.0267,331224,0
BGR.US,D,20050726,000000,9.0267,9.0647,8.991,9.0532,434171,0
BGR.US,D,20050727,000000,9.0838,9.1546,9.0418,9.122,561739,0
BGR.US,D,20050728,000000,9.1517,9.2233,9.0887,9.172,357082,0
BGR.US,D,20050729,000000,9.172,9.2765,9.1298,9.2283,372900,0
BGR.US,D,20050801,000000,9.2797,9.3557,9.2445,9.2837,431916,0
BGR.US,D,20050802,000000,9.2512,9.3656,9.2512,9.3498,445217,0
BGR.US,D,20050803,000000,9.4281,9.512,9.3196,9.3557,448747,0
BGR.US,D,20050804,000000,9.3557,9.3596,9.2945,9.3101,473600,0
BGR.US,D,20050805,000000,9.3382,9.3557,9.2678,9.3557,266939,0
BGR.US,D,20050808,000000,9.3686,9.4391,9.3557,9.4064,437685,0
BGR.US,D,20050809,000000,9.3656,9.3892,9.2283,9.3013,412326,0
BGR.US,D,20050810,000000,9.3343,9.3557,9.2797,9.3432,463559,0
BGR.US,D,20050811,000000,9.3764,9.3945,9.3382,9.3892,384959,0
BGR.US,D,20050812,000000,9.3764,9.4252,9.3596,9.4252,309870,0
BGR.US,D,20050815,000000,9.4312,9.4391,9.347,9.3892,310388,0
