<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHE.US,D,20050225,000000,19.774,20.048,19.555,20.03,369040,0
BHE.US,D,20050228,000000,19.757,19.993,19.648,19.767,1015472,0
BHE.US,D,20050301,000000,19.804,19.975,19.71,19.865,922021,0
BHE.US,D,20050302,000000,19.865,19.993,19.638,19.767,727713,0
BHE.US,D,20050303,000000,19.774,19.939,19.428,19.757,571574,0
BHE.US,D,20050304,000000,19.865,19.921,19.718,19.794,582925,0
BHE.US,D,20050307,000000,19.812,20.266,19.794,20.057,766707,0
BHE.US,D,20050308,000000,20.057,20.129,19.794,19.848,647423,0
BHE.US,D,20050309,000000,19.848,20.03,19.812,19.901,452950,0
BHE.US,D,20050310,000000,19.939,19.958,19.628,19.693,400299,0
BHE.US,D,20050311,000000,19.757,19.848,19.428,19.536,275258,0
BHE.US,D,20050314,000000,19.536,19.728,19.484,19.693,461669,0
BHE.US,D,20050315,000000,19.784,19.829,19.319,19.408,457391,0
BHE.US,D,20050316,000000,19.392,19.392,18.789,18.882,723600,0
BHE.US,D,20050317,000000,18.882,18.882,18.508,18.708,908695,0
BHE.US,D,20050318,000000,18.781,18.935,18.453,18.846,1521404,0
BHE.US,D,20050321,000000,18.872,19.227,18.872,19.155,587862,0
BHE.US,D,20050322,000000,19.147,19.356,18.771,18.781,908365,0
BHE.US,D,20050323,000000,18.789,19.245,18.689,19.045,855059,0
BHE.US,D,20050324,000000,19.045,19.264,19.028,19.1,549363,0
BHE.US,D,20050328,000000,19.118,19.209,18.807,18.807,665192,0
BHE.US,D,20050329,000000,18.807,18.981,18.508,18.542,589838,0
BHE.US,D,20050330,000000,18.599,18.935,18.571,18.89,428928,0
BHE.US,D,20050331,000000,18.89,19.518,18.789,19.348,1131961,0
BHE.US,D,20050401,000000,19.536,19.683,19.209,19.3,561538,0
BHE.US,D,20050404,000000,19.264,19.3,18.99,19.227,320667,0
BHE.US,D,20050405,000000,19.227,19.484,19.227,19.264,483879,0
