<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHIL.US,D,20211001,000000,7.1,7.2349,5.86,6.05,687153,0
BHIL.US,D,20211004,000000,6.22,7.3,6.22,6.48,732686,0
BHIL.US,D,20211005,000000,6.4,7,6.33,6.38,416760,0
BHIL.US,D,20211006,000000,6.27,6.33,5.5,6.26,518818,0
BHIL.US,D,20211007,000000,6.26,6.54,5.99,6.46,216970,0
BHIL.US,D,20211008,000000,6.43,6.6,6.27,6.53,147950,0
BHIL.US,D,20211011,000000,6.54,6.63,6.43,6.57,169427,0
BHIL.US,D,20211012,000000,6.54,7.23,6.54,6.79,290518,0
BHIL.US,D,20211013,000000,6.87,7.08,6.78,6.96,209616,0
BHIL.US,D,20211014,000000,7,7.15,6.96,7,166947,0
BHIL.US,D,20211015,000000,7,7.03,6.8,6.84,228755,0
BHIL.US,D,20211018,000000,6.78,6.78,6.13,6.26,242389,0
BHIL.US,D,20211019,000000,6.14,6.435,6,6.17,240336,0
BHIL.US,D,20211020,000000,6.25,6.49,6.22,6.25,248010,0
BHIL.US,D,20211021,000000,6.39,6.5,6.13,6.37,335623,0
BHIL.US,D,20211022,000000,6.38,6.58,6.37,6.52,205977,0
BHIL.US,D,20211025,000000,6.75,6.75,6.42,6.48,278008,0
BHIL.US,D,20211026,000000,6.56,6.59,6.2,6.25,170651,0
BHIL.US,D,20211027,000000,6.2,6.35,6.1,6.32,229218,0
BHIL.US,D,20211028,000000,6.3,6.39,6,6,135671,0
BHIL.US,D,20211029,000000,6,6.24,6,6.03,108927,0
BHIL.US,D,20211101,000000,6.15,6.15,5.8,6.07,157293,0
BHIL.US,D,20211102,000000,6.13,6.3,5.985,6.17,115813,0
BHIL.US,D,20211103,000000,6.22,6.22,6.1,6.15,98275,0
BHIL.US,D,20211104,000000,6.15,6.49,6.15,6.39,150087,0
BHIL.US,D,20211105,000000,6.4,7.005,6.39,6.75,419841,0
BHIL.US,D,20211108,000000,6.8,7.01,6.59,6.9,230830,0
BHIL.US,D,20211109,000000,6.95,7.55,6.9001,7.53,335148,0
BHIL.US,D,20211110,000000,7.5,7.95,7.35,7.6,431808,0
BHIL.US,D,20211111,000000,7.64,7.6966,7.4501,7.61,351894,0
BHIL.US,D,20211112,000000,7.67,7.8164,7.5,7.57,253120,0
BHIL.US,D,20211115,000000,7.4,7.81,7.16,7.62,304888,0
BHIL.US,D,20211116,000000,7.58,7.66,7.39,7.54,326837,0
BHIL.US,D,20211117,000000,7.53,7.6,7.26,7.46,231991,0
BHIL.US,D,20211118,000000,7.48,7.51,7.32,7.43,278709,0
BHIL.US,D,20211119,000000,7.45,7.51,7.36,7.5,159299,0
BHIL.US,D,20211122,000000,7.5,7.55,7.37,7.4,234326,0
BHIL.US,D,20211123,000000,7.38,7.4202,5.95,6.1,399812,0
BHIL.US,D,20211124,000000,6.11,6.58,6.11,6.53,411024,0
BHIL.US,D,20211126,000000,6.43,7.08,6.416,7.03,197153,0
BHIL.US,D,20211129,000000,6.99,7.3,6.79,7.08,432385,0
BHIL.US,D,20211130,000000,7.05,7.22,6.9,6.99,392303,0
BHIL.US,D,20211201,000000,7.06,7.34,6.97,6.98,281822,0
BHIL.US,D,20211202,000000,6.86,7.1,6.53,6.79,309524,0
BHIL.US,D,20211203,000000,6.75,6.86,6.08,6.39,286662,0
BHIL.US,D,20211206,000000,6.51,7.12,6.34,7.04,705572,0
BHIL.US,D,20211207,000000,7.07,7.39,6.975,7.02,701754,0
BHIL.US,D,20211208,000000,7.02,7.41,7.02,7.26,589406,0
BHIL.US,D,20211209,000000,7.29,7.5,7.28,7.39,780109,0
BHIL.US,D,20211210,000000,7.37,7.5,7.37,7.41,637893,0
BHIL.US,D,20211213,000000,7.27,7.5,7.27,7.33,681414,0
BHIL.US,D,20211214,000000,7.28,7.49,6.92,6.93,496658,0
BHIL.US,D,20211215,000000,6.94,7.62,6.94,7.4,1077114,0
BHIL.US,D,20211216,000000,7.4,7.53,6.77,6.91,690225,0
BHIL.US,D,20211217,000000,6.8,7.46,6.68,7.1,7639518,0
BHIL.US,D,20211220,000000,6.97,7.72,6.97,7.38,635146,0
BHIL.US,D,20211221,000000,7.43,7.95,7.43,7.63,607182,0
BHIL.US,D,20211222,000000,7.73,7.82,7.54,7.67,217256,0
BHIL.US,D,20211223,000000,7.64,7.64,7.47,7.54,201710,0
BHIL.US,D,20211227,000000,7.54,7.6,7.37,7.59,446616,0
BHIL.US,D,20211228,000000,7.47,7.7,7.45,7.58,214835,0
BHIL.US,D,20211229,000000,7.55,7.55,7.1701,7.4,166327,0
BHIL.US,D,20211230,000000,7.4,7.5,7.06,7.2,190585,0
BHIL.US,D,20211231,000000,7.18,7.34,6.9,7.29,284445,0
BHIL.US,D,20220103,000000,7.3,7.585,7.19,7.48,433022,0
BHIL.US,D,20220104,000000,7.5,7.59,7.03,7.38,302797,0
BHIL.US,D,20220105,000000,7.41,7.55,7.05,7.14,316838,0
BHIL.US,D,20220106,000000,7.14,7.23,6.84,6.87,234780,0
BHIL.US,D,20220107,000000,6.9,6.99,6.58,6.64,187582,0
BHIL.US,D,20220110,000000,6.6,6.8,5.665,5.68,630671,0
BHIL.US,D,20220111,000000,5.81,5.8899,5.54,5.67,634486,0
BHIL.US,D,20220112,000000,5.79,5.8,4.88,5,747999,0
BHIL.US,D,20220113,000000,5,5.13,4.46,4.66,823518,0
BHIL.US,D,20220114,000000,4.63,4.76,4.18,4.25,687073,0
