<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BK.US,D,19840907,000000,1.1407,1.1486,1.1248,1.1248,457489,0
BK.US,D,19840910,000000,1.1248,1.1327,1.117,1.1327,92410,0
BK.US,D,19840911,000000,1.1327,1.1407,1.1248,1.1248,330241,0
BK.US,D,19840912,000000,1.1248,1.1248,1.117,1.1248,175726,0
BK.US,D,19840913,000000,1.1248,1.1565,1.101,1.1565,1546686,0
BK.US,D,19840914,000000,1.1722,1.2041,1.1722,1.1722,924074,0
BK.US,D,19840917,000000,1.1722,1.1961,1.1722,1.188,354478,0
BK.US,D,19840918,000000,1.1961,1.2118,1.1961,1.2041,299947,0
BK.US,D,19840919,000000,1.2041,1.2201,1.2041,1.2118,221173,0
BK.US,D,19840920,000000,1.2118,1.2201,1.2118,1.2118,455975,0
BK.US,D,19840921,000000,1.2118,1.2201,1.2118,1.2118,159058,0
BK.US,D,19840924,000000,1.2118,1.2201,1.2041,1.2041,125737,0
BK.US,D,19840925,000000,1.2041,1.2275,1.2041,1.2118,780158,0
BK.US,D,19840926,000000,1.2118,1.2435,1.2118,1.2358,711988,0
BK.US,D,19840927,000000,1.2358,1.2594,1.2358,1.2515,466584,0
BK.US,D,19840928,000000,1.2515,1.2594,1.2515,1.2515,784709,0
BK.US,D,19841001,000000,1.2435,1.2435,1.2201,1.2201,1301274,0
BK.US,D,19841002,000000,1.2201,1.2515,1.2118,1.2201,2057199,0
BK.US,D,19841003,000000,1.2118,1.2118,1.1805,1.1805,1016479,0
BK.US,D,19841004,000000,1.1805,1.188,1.1722,1.188,207536,0
BK.US,D,19841005,000000,1.188,1.188,1.1805,1.1805,289336,0
BK.US,D,19841008,000000,1.1805,1.1805,1.1805,1.1805,263587,0
BK.US,D,19841009,000000,1.1805,1.2041,1.1805,1.188,1067988,0
BK.US,D,19841010,000000,1.1805,1.1805,1.1647,1.1805,157545,0
BK.US,D,19841011,000000,1.1805,1.2118,1.1805,1.2118,2258676,0
BK.US,D,19841012,000000,1.2275,1.2594,1.2275,1.2515,839239,0
BK.US,D,19841015,000000,1.2515,1.2515,1.2275,1.2275,165122,0
BK.US,D,19841016,000000,1.2275,1.2515,1.2275,1.2275,1628488,0
BK.US,D,19841017,000000,1.2275,1.2358,1.2041,1.2118,136337,0
BK.US,D,19841018,000000,1.2118,1.2835,1.2118,1.2835,699870,0
BK.US,D,19841019,000000,1.2988,1.3228,1.2988,1.2988,793790,0
BK.US,D,19841022,000000,1.2988,1.3072,1.2753,1.2753,427192,0
BK.US,D,19841023,000000,1.2753,1.2912,1.2753,1.2835,927102,0
BK.US,D,19841024,000000,1.2835,1.3072,1.2835,1.2988,1013446,0
BK.US,D,19841025,000000,1.2988,1.2988,1.2835,1.2988,599886,0
BK.US,D,19841026,000000,1.2835,1.2835,1.2594,1.2594,180267,0
BK.US,D,19841029,000000,1.2594,1.2753,1.2594,1.2594,315091,0
BK.US,D,19841030,000000,1.2594,1.2594,1.2358,1.2358,521111,0
BK.US,D,19841031,000000,1.2358,1.2515,1.2275,1.2358,148457,0
BK.US,D,19841101,000000,1.2358,1.2594,1.2275,1.2515,1177058,0
BK.US,D,19841102,000000,1.2515,1.2676,1.2515,1.2676,424165,0
BK.US,D,19841105,000000,1.2676,1.2753,1.2515,1.2753,274189,0
BK.US,D,19841106,000000,1.2753,1.2988,1.2753,1.2912,686241,0
BK.US,D,19841107,000000,1.2912,1.3072,1.2835,1.2988,740773,0
BK.US,D,19841108,000000,1.2988,1.2988,1.2835,1.2835,216623,0
BK.US,D,19841109,000000,1.2912,1.3147,1.2912,1.2912,239348,0
BK.US,D,19841112,000000,1.2912,1.2988,1.2835,1.2988,143911,0
BK.US,D,19841113,000000,1.2988,1.2988,1.2835,1.2835,357513,0
BK.US,D,19841114,000000,1.2835,1.2912,1.2753,1.2753,183298,0
BK.US,D,19841115,000000,1.2753,1.2835,1.2753,1.2835,307520,0
BK.US,D,19841116,000000,1.2835,1.2912,1.2753,1.2835,760467,0
BK.US,D,19841119,000000,1.2835,1.2835,1.2515,1.2515,625644,0
BK.US,D,19841120,000000,1.2515,1.2753,1.2515,1.2594,310545,0
BK.US,D,19841121,000000,1.2594,1.2676,1.2515,1.2594,607467,0
BK.US,D,19841123,000000,1.2594,1.2594,1.2515,1.2515,518088,0
BK.US,D,19841126,000000,1.2515,1.2515,1.2515,1.2515,243891,0
BK.US,D,19841127,000000,1.2515,1.2594,1.2515,1.2594,121188,0
BK.US,D,19841128,000000,1.2594,1.2594,1.2515,1.2515,3057009,0
BK.US,D,19841129,000000,1.2515,1.2594,1.2201,1.2275,1846623,0
BK.US,D,19841130,000000,1.2275,1.2358,1.2118,1.2118,219652,0
BK.US,D,19841203,000000,1.2118,1.2275,1.2118,1.2275,248439,0
BK.US,D,19841204,000000,1.2275,1.2358,1.2275,1.2275,631702,0
BK.US,D,19841205,000000,1.2275,1.2358,1.2275,1.2275,974063,0
BK.US,D,19841206,000000,1.2275,1.2275,1.2201,1.2201,227233,0
BK.US,D,19841207,000000,1.2201,1.2275,1.2201,1.2275,318124,0
BK.US,D,19841210,000000,1.2275,1.2275,1.2118,1.2118,1616368,0
BK.US,D,19841211,000000,1.2118,1.2275,1.2118,1.2275,481730,0
BK.US,D,19841212,000000,1.2358,1.2515,1.2358,1.2515,315091,0
BK.US,D,19841213,000000,1.2515,1.2594,1.2435,1.2435,328730,0
BK.US,D,19841214,000000,1.2435,1.2676,1.2358,1.2594,613520,0
BK.US,D,19841217,000000,1.2594,1.2676,1.2358,1.2676,230261,0
BK.US,D,19841218,000000,1.2676,1.3147,1.2676,1.3072,751377,0
BK.US,D,19841219,000000,1.3072,1.3548,1.2988,1.3386,1870865,0
BK.US,D,19841220,000000,1.3386,1.3469,1.3228,1.3228,233289,0
BK.US,D,19841221,000000,1.3307,1.3469,1.3307,1.3469,701386,0
BK.US,D,19841224,000000,1.3624,1.4099,1.3624,1.3941,531720,0
BK.US,D,19841226,000000,1.3863,1.3863,1.3624,1.3705,601405,0
BK.US,D,19841227,000000,1.3705,1.3705,1.3624,1.3624,54535,0
BK.US,D,19841228,000000,1.3624,1.3624,1.3386,1.3386,646853,0
BK.US,D,19841231,000000,1.3469,1.3783,1.3469,1.3624,149972,0
BK.US,D,19850102,000000,1.3705,1.3863,1.3705,1.3783,151487,0
BK.US,D,19850103,000000,1.3705,1.3705,1.3469,1.3469,215111,0
BK.US,D,19850104,000000,1.3469,1.3548,1.3386,1.3386,56055,0
BK.US,D,19850107,000000,1.3386,1.3548,1.3386,1.3548,106040,0
BK.US,D,19850108,000000,1.3548,1.3705,1.3469,1.3548,115130,0
BK.US,D,19850109,000000,1.3548,1.3863,1.3548,1.3863,281764,0
BK.US,D,19850110,000000,1.3863,1.418,1.3705,1.418,289336,0
BK.US,D,19850111,000000,1.418,1.4415,1.4099,1.4415,605955,0
BK.US,D,19850114,000000,1.4415,1.4415,1.4099,1.4258,442342,0
BK.US,D,19850115,000000,1.4339,1.4656,1.4339,1.45,1301274,0
BK.US,D,19850116,000000,1.4415,1.4415,1.3941,1.4099,1210382,0
BK.US,D,19850117,000000,1.4099,1.4099,1.3624,1.3705,286315,0
BK.US,D,19850118,000000,1.3705,1.3783,1.3548,1.3624,705929,0
BK.US,D,19850121,000000,1.3624,1.3941,1.3548,1.3941,2379861,0
BK.US,D,19850122,000000,1.3941,1.4099,1.3941,1.4099,2184447,0
BK.US,D,19850123,000000,1.4099,1.418,1.4022,1.418,675631,0
BK.US,D,19850124,000000,1.418,1.4577,1.418,1.4415,4058340,0
BK.US,D,19850125,000000,1.4415,1.4577,1.4339,1.4577,542325,0
BK.US,D,19850128,000000,1.4577,1.4893,1.4577,1.4733,1613340,0
BK.US,D,19850129,000000,1.4733,1.4733,1.45,1.4733,478697,0
BK.US,D,19850130,000000,1.4733,1.4971,1.4415,1.4415,1613340,0
BK.US,D,19850131,000000,1.4415,1.4656,1.4415,1.4415,724109,0
BK.US,D,19850201,000000,1.4415,1.4577,1.4339,1.4339,368115,0
BK.US,D,19850204,000000,1.4339,1.4733,1.4258,1.4577,555958,0
BK.US,D,19850205,000000,1.4577,1.4733,1.4577,1.4656,1231594,0
BK.US,D,19850206,000000,1.4733,1.4893,1.4733,1.4733,1055867,0
BK.US,D,19850207,000000,1.4733,1.4814,1.4577,1.4577,769557,0
BK.US,D,19850208,000000,1.4577,1.4656,1.45,1.4577,787730,0
BK.US,D,19850211,000000,1.4577,1.4656,1.4415,1.4577,248439,0
BK.US,D,19850212,000000,1.4577,1.4577,1.4415,1.4577,278738,0
BK.US,D,19850213,000000,1.4577,1.4814,1.4415,1.4814,1361875,0
BK.US,D,19850214,000000,1.4814,1.505,1.4814,1.505,1128581,0
BK.US,D,19850215,000000,1.505,1.505,1.4893,1.505,369630,0
BK.US,D,19850219,000000,1.5209,1.5762,1.5209,1.5449,583226,0
BK.US,D,19850220,000000,1.5449,1.5525,1.5289,1.5289,672602,0
BK.US,D,19850221,000000,1.5289,1.5525,1.5289,1.5449,857417,0
BK.US,D,19850222,000000,1.5449,1.5449,1.5289,1.5289,831666,0
BK.US,D,19850225,000000,1.5289,1.5289,1.5209,1.5289,351449,0
BK.US,D,19850226,000000,1.5289,1.5525,1.5289,1.5449,471129,0
BK.US,D,19850227,000000,1.5369,1.5369,1.5209,1.5209,1622428,0
BK.US,D,19850228,000000,1.5209,1.5369,1.5209,1.5209,207536,0
BK.US,D,19850301,000000,1.5209,1.5289,1.5209,1.5209,178751,0
BK.US,D,19850304,000000,1.5289,1.5369,1.5289,1.5289,274189,0
BK.US,D,19850305,000000,1.5289,1.5289,1.5132,1.5132,580195,0
BK.US,D,19850306,000000,1.5132,1.5209,1.4971,1.4971,392350,0
BK.US,D,19850307,000000,1.4971,1.5132,1.4971,1.505,487788,0
BK.US,D,19850308,000000,1.505,1.5132,1.4971,1.505,206025,0
BK.US,D,19850311,000000,1.505,1.5209,1.505,1.5132,104527,0
BK.US,D,19850312,000000,1.505,1.505,1.505,1.505,227233,0
BK.US,D,19850313,000000,1.505,1.505,1.4893,1.4893,287824,0
BK.US,D,19850314,000000,1.4893,1.4971,1.4893,1.4971,210567,0
BK.US,D,19850315,000000,1.4971,1.505,1.4733,1.4814,643821,0
BK.US,D,19850318,000000,1.4814,1.4814,1.4415,1.4415,433257,0
BK.US,D,19850319,000000,1.4415,1.4577,1.4415,1.4577,368115,0
BK.US,D,19850320,000000,1.4577,1.4577,1.4339,1.4339,466584,0
BK.US,D,19850321,000000,1.4415,1.4656,1.4415,1.4656,274189,0
BK.US,D,19850322,000000,1.4656,1.4656,1.4339,1.4577,296918,0
BK.US,D,19850325,000000,1.4577,1.4971,1.4577,1.4814,345391,0
BK.US,D,19850326,000000,1.4814,1.4893,1.4733,1.4893,143911,0
BK.US,D,19850327,000000,1.4893,1.4893,1.4656,1.4814,287824,0
BK.US,D,19850328,000000,1.4814,1.4893,1.4733,1.4733,571110,0
BK.US,D,19850329,000000,1.4733,1.4814,1.4733,1.4814,207536,0
BK.US,D,19850401,000000,1.4814,1.4893,1.4733,1.4733,1086163,0
BK.US,D,19850402,000000,1.4733,1.4733,1.4577,1.4577,163606,0
BK.US,D,19850403,000000,1.4577,1.4577,1.4415,1.4577,175726,0
BK.US,D,19850404,000000,1.4577,1.4656,1.45,1.4577,107557,0
BK.US,D,19850408,000000,1.4577,1.4971,1.4577,1.4814,169665,0
BK.US,D,19850409,000000,1.4814,1.4971,1.4814,1.4893,184813,0
BK.US,D,19850410,000000,1.4893,1.4971,1.4893,1.4971,365083,0
BK.US,D,19850411,000000,1.505,1.5209,1.505,1.5132,646853,0
BK.US,D,19850412,000000,1.5132,1.5289,1.505,1.5289,393866,0
BK.US,D,19850415,000000,1.5289,1.5762,1.5209,1.5525,437800,0
BK.US,D,19850416,000000,1.5525,1.5762,1.5525,1.5762,504452,0
BK.US,D,19850417,000000,1.5762,1.5762,1.5525,1.5684,213600,0
BK.US,D,19850418,000000,1.5762,1.5925,1.5762,1.5842,192391,0
BK.US,D,19850419,000000,1.5925,1.6161,1.5925,1.6079,457489,0
BK.US,D,19850422,000000,1.6239,1.6397,1.6239,1.6397,440829,0
BK.US,D,19850423,000000,1.6397,1.6634,1.6319,1.6634,807423,0
BK.US,D,19850424,000000,1.6557,1.6557,1.6,1.6161,333273,0
BK.US,D,19850425,000000,1.6161,1.6239,1.6079,1.6239,377209,0
BK.US,D,19850426,000000,1.6239,1.6319,1.6161,1.6239,243891,0
BK.US,D,19850429,000000,1.6161,1.6161,1.5925,1.6,184813,0
BK.US,D,19850430,000000,1.6,1.6161,1.5762,1.5925,716536,0
BK.US,D,19850501,000000,1.5925,1.5925,1.5684,1.5684,1028601,0
BK.US,D,19850502,000000,1.5684,1.5762,1.5525,1.5605,93923,0
BK.US,D,19850503,000000,1.5605,1.5684,1.5209,1.5289,489305,0
BK.US,D,19850506,000000,1.5449,1.5525,1.5449,1.5525,248439,0
BK.US,D,19850507,000000,1.5525,1.5605,1.5525,1.5605,124215,0
BK.US,D,19850508,000000,1.5605,1.5925,1.5605,1.5684,340849,0
BK.US,D,19850509,000000,1.5684,1.6079,1.5684,1.6079,592316,0
BK.US,D,19850510,000000,1.6319,1.6634,1.6319,1.6557,1155843,0
BK.US,D,19850513,000000,1.6557,1.6634,1.6397,1.6397,768042,0
BK.US,D,19850514,000000,1.6397,1.6476,1.6161,1.6239,346903,0
BK.US,D,19850515,000000,1.6239,1.6397,1.6239,1.6397,486275,0
BK.US,D,19850516,000000,1.6397,1.6397,1.6319,1.6397,206025,0
BK.US,D,19850517,000000,1.6397,1.6557,1.6319,1.6397,636243,0
BK.US,D,19850520,000000,1.6634,1.687,1.6634,1.6634,854390,0
BK.US,D,19850521,000000,1.6634,1.6796,1.6557,1.6634,721080,0
BK.US,D,19850522,000000,1.6634,1.6634,1.6476,1.6557,786221,0
BK.US,D,19850523,000000,1.6557,1.6557,1.6397,1.6557,758951,0
BK.US,D,19850524,000000,1.6557,1.6634,1.6476,1.6634,86350,0
BK.US,D,19850528,000000,1.6712,1.687,1.6712,1.6796,154516,0
BK.US,D,19850529,000000,1.6796,1.6796,1.6634,1.6712,216623,0
BK.US,D,19850530,000000,1.6712,1.6712,1.6319,1.6397,801367,0
BK.US,D,19850531,000000,1.6397,1.6634,1.6319,1.6634,287824,0
BK.US,D,19850603,000000,1.6634,1.687,1.6634,1.6796,615038,0
BK.US,D,19850604,000000,1.6796,1.7191,1.6796,1.7191,660483,0
BK.US,D,19850605,000000,1.7266,1.7666,1.7266,1.7666,396899,0
BK.US,D,19850606,000000,1.7666,1.7824,1.7348,1.7824,460518,0
BK.US,D,19850607,000000,1.7744,1.7744,1.7506,1.7586,446885,0
BK.US,D,19850610,000000,1.7586,1.7586,1.7348,1.7348,546867,0
BK.US,D,19850611,000000,1.7348,1.7348,1.703,1.703,492332,0
BK.US,D,19850612,000000,1.703,1.7191,1.6796,1.6796,304492,0
BK.US,D,19850613,000000,1.6796,1.703,1.6712,1.6796,402956,0
BK.US,D,19850614,000000,1.6796,1.687,1.6634,1.687,183298,0
BK.US,D,19850617,000000,1.687,1.687,1.6712,1.6796,234805,0
BK.US,D,19850618,000000,1.687,1.7431,1.687,1.7431,266623,0
BK.US,D,19850619,000000,1.7431,1.7901,1.7109,1.7824,381750,0
BK.US,D,19850620,000000,1.7666,1.7666,1.7266,1.7506,231775,0
BK.US,D,19850621,000000,1.7431,1.7431,1.7191,1.7348,486275,0
BK.US,D,19850624,000000,1.7348,1.7506,1.7191,1.7431,381750,0
BK.US,D,19850625,000000,1.7431,1.7666,1.7348,1.7348,501425,0
BK.US,D,19850626,000000,1.7348,1.7348,1.7266,1.7266,565042,0
BK.US,D,19850627,000000,1.7266,1.7266,1.703,1.7109,339333,0
BK.US,D,19850628,000000,1.7109,1.7191,1.703,1.7109,260557,0
BK.US,D,19850701,000000,1.7109,1.7109,1.6953,1.703,772582,0
BK.US,D,19850702,000000,1.703,1.7191,1.6953,1.7191,727141,0
BK.US,D,19850703,000000,1.7191,1.7348,1.7109,1.7348,563529,0
BK.US,D,19850705,000000,1.7348,1.7506,1.7348,1.7506,612009,0
BK.US,D,19850708,000000,1.7506,1.7586,1.7506,1.7586,354478,0
BK.US,D,19850709,000000,1.7586,1.7586,1.7266,1.7266,798341,0
BK.US,D,19850710,000000,1.7266,1.7266,1.7109,1.7266,256017,0
BK.US,D,19850711,000000,1.7266,1.7266,1.7109,1.7109,213600,0
BK.US,D,19850712,000000,1.7109,1.7266,1.7109,1.7266,1640602,0
BK.US,D,19850715,000000,1.7266,1.7506,1.7109,1.7348,1458822,0
BK.US,D,19850716,000000,1.7431,1.7744,1.7431,1.7744,616553,0
BK.US,D,19850717,000000,1.7901,1.8219,1.7901,1.8138,1098283,0
BK.US,D,19850718,000000,1.8138,1.9091,1.7824,1.7824,218141,0
BK.US,D,19850719,000000,1.7824,1.7901,1.7666,1.7901,227233,0
BK.US,D,19850722,000000,1.7901,1.7983,1.7744,1.7983,666546,0
BK.US,D,19850723,000000,1.7983,1.8138,1.7901,1.7901,475672,0
BK.US,D,19850724,000000,1.7901,1.7901,1.7348,1.7666,628671,0
BK.US,D,19850725,000000,1.7431,1.7431,1.703,1.7191,645336,0
BK.US,D,19850726,000000,1.7191,1.7191,1.703,1.7109,495365,0
BK.US,D,19850729,000000,1.7109,1.7109,1.6557,1.6557,660483,0
BK.US,D,19850730,000000,1.6557,1.6634,1.6319,1.6634,1452762,0
BK.US,D,19850731,000000,1.6634,1.6712,1.6397,1.6634,496880,0
BK.US,D,19850801,000000,1.6634,1.6634,1.6239,1.6319,727141,0
BK.US,D,19850802,000000,1.6319,1.6319,1.6079,1.6319,437800,0
BK.US,D,19850805,000000,1.6161,1.6161,1.5842,1.6,592316,0
BK.US,D,19850806,000000,1.6,1.6239,1.6,1.6239,339333,0
BK.US,D,19850807,000000,1.6239,1.6397,1.5925,1.6319,1664847,0
BK.US,D,19850808,000000,1.6397,1.8061,1.6397,1.7744,3840199,0
BK.US,D,19850809,000000,1.7666,1.7666,1.7266,1.7266,818029,0
BK.US,D,19850812,000000,1.7266,1.7506,1.6953,1.7348,665028,0
BK.US,D,19850813,000000,1.7348,1.7586,1.7109,1.7348,1431555,0
BK.US,D,19850814,000000,1.7266,1.7266,1.6953,1.703,336303,0
BK.US,D,19850815,000000,1.703,1.7348,1.703,1.7109,878622,0
BK.US,D,19850816,000000,1.7109,1.7191,1.703,1.7109,1113434,0
BK.US,D,19850819,000000,1.7109,1.7109,1.687,1.687,724109,0
BK.US,D,19850820,000000,1.6796,1.6796,1.6557,1.6634,761982,0
BK.US,D,19850821,000000,1.6634,1.6634,1.6397,1.6634,1770884,0
BK.US,D,19850822,000000,1.6634,1.6712,1.6557,1.6634,451432,0
BK.US,D,19850823,000000,1.6634,1.6796,1.6557,1.6557,427192,0
BK.US,D,19850826,000000,1.6557,1.6557,1.6397,1.6397,180267,0
BK.US,D,19850827,000000,1.6397,1.6397,1.5842,1.5925,402956,0
BK.US,D,19850828,000000,1.5925,1.6079,1.5925,1.6,449919,0
BK.US,D,19850829,000000,1.6,1.6161,1.6,1.6,415078,0
BK.US,D,19850830,000000,1.6,1.6079,1.6,1.6079,999818,0
BK.US,D,19850903,000000,1.6079,1.6161,1.6,1.6161,933161,0
BK.US,D,19850904,000000,1.6161,1.6397,1.6161,1.6397,357513,0
BK.US,D,19850905,000000,1.6397,1.6397,1.6161,1.6319,409016,0
BK.US,D,19850906,000000,1.6319,1.6557,1.6319,1.6397,222690,0
BK.US,D,19850909,000000,1.6397,1.6397,1.6239,1.6397,563529,0
BK.US,D,19850910,000000,1.6319,1.6319,1.6079,1.6079,419618,0
BK.US,D,19850911,000000,1.6,1.6,1.5684,1.5762,1005874,0
BK.US,D,19850912,000000,1.5684,1.5684,1.5449,1.5525,766522,0
BK.US,D,19850913,000000,1.5525,1.5684,1.5525,1.5684,1077073,0
BK.US,D,19850916,000000,1.5605,1.5605,1.5525,1.5525,142397,0
BK.US,D,19850917,000000,1.5525,1.5525,1.505,1.505,711988,0
BK.US,D,19850918,000000,1.505,1.5209,1.505,1.5132,180267,0
BK.US,D,19850919,000000,1.5132,1.5289,1.505,1.5209,209050,0
BK.US,D,19850920,000000,1.5209,1.5289,1.5209,1.5289,163606,0
BK.US,D,19850923,000000,1.5289,1.5449,1.5289,1.5289,146943,0
BK.US,D,19850924,000000,1.5289,1.5369,1.5209,1.5289,665028,0
BK.US,D,19850925,000000,1.5209,1.5209,1.5209,1.5209,163606,0
BK.US,D,19850926,000000,1.5209,1.5209,1.505,1.5209,449919,0
BK.US,D,19850930,000000,1.5132,1.5132,1.4971,1.505,371146,0
BK.US,D,19851001,000000,1.505,1.5369,1.505,1.5369,192391,0
