<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKUI.US,D,20210812,000000,49.985,49.99,49.985,49.985,522,0
BKUI.US,D,20210813,000000,49.99,49.99,49.99,49.99,210,0
BKUI.US,D,20210816,000000,49.99,49.99,49.99,49.99,100,0
BKUI.US,D,20210817,000000,50,50,49.995,49.995,100,0
BKUI.US,D,20210818,000000,50,50,49.99,49.99,212,0
BKUI.US,D,20210819,000000,49.995,49.995,49.995,49.995,100,0
BKUI.US,D,20210820,000000,49.99,49.99,49.99,49.99,4,0
BKUI.US,D,20210823,000000,49.995,49.995,49.995,49.995,2,0
BKUI.US,D,20210824,000000,49.995,49.995,49.995,49.995,2,0
BKUI.US,D,20210825,000000,49.995,49.995,49.995,49.995,2,0
BKUI.US,D,20210826,000000,50,50,49.99,49.99,201,0
BKUI.US,D,20210827,000000,50,50,49.995,49.995,202,0
BKUI.US,D,20210830,000000,50.005,50.005,50.004,50.004,500,0
BKUI.US,D,20210831,000000,50.015,50.02,50.015,50.02,20501,0
BKUI.US,D,20210901,000000,49.995,49.995,49.995,49.995,2,0
BKUI.US,D,20210902,000000,50,50,50,50,4,0
BKUI.US,D,20210903,000000,50,50,50,50,1,0
BKUI.US,D,20210907,000000,50.006,50.006,50.005,50.005,714,0
BKUI.US,D,20210908,000000,50,50,49.995,49.995,699,0
BKUI.US,D,20210909,000000,49.985,49.985,49.985,49.985,1,0
BKUI.US,D,20210910,000000,50.005,50.005,50.005,50.005,1,0
BKUI.US,D,20210913,000000,50.005,50.005,50.005,50.005,11,0
BKUI.US,D,20210914,000000,50,50.01,50,50.005,403,0
BKUI.US,D,20210915,000000,50.005,50.005,50.005,50.005,1,0
BKUI.US,D,20210916,000000,50.005,50.005,50.005,50.005,1,0
BKUI.US,D,20210917,000000,49.995,49.995,49.995,49.995,1,0
BKUI.US,D,20210920,000000,49.995,49.995,49.995,49.995,200,0
BKUI.US,D,20210921,000000,50.005,50.005,50.005,50.005,1,0
BKUI.US,D,20210922,000000,50.005,50.005,50.005,50.005,1,0
BKUI.US,D,20210923,000000,49.995,49.995,49.995,49.995,1,0
BKUI.US,D,20210924,000000,49.985,49.99,49.985,49.985,101,0
BKUI.US,D,20210927,000000,49.975,49.975,49.975,49.975,1,0
BKUI.US,D,20210928,000000,49.975,49.975,49.96,49.975,19999,0
BKUI.US,D,20210929,000000,49.985,49.985,49.985,49.985,1,0
BKUI.US,D,20210930,000000,49.985,49.985,49.985,49.985,1,0
BKUI.US,D,20211001,000000,49.965,49.965,49.965,49.965,1,0
BKUI.US,D,20211004,000000,49.975,49.975,49.975,49.975,1,0
BKUI.US,D,20211005,000000,49.975,49.975,49.975,49.975,1,0
BKUI.US,D,20211006,000000,49.975,49.975,49.975,49.975,1,0
BKUI.US,D,20211007,000000,49.965,49.965,49.965,49.965,5,0
BKUI.US,D,20211008,000000,49.958,49.958,49.958,49.958,103,0
BKUI.US,D,20211011,000000,49.955,49.955,49.955,49.955,2,0
BKUI.US,D,20211012,000000,49.945,49.945,49.945,49.945,101,0
BKUI.US,D,20211013,000000,49.945,49.945,49.945,49.945,100,0
BKUI.US,D,20211014,000000,49.93,49.935,49.93,49.935,2501,0
BKUI.US,D,20211015,000000,49.935,49.935,49.935,49.935,2,0
BKUI.US,D,20211018,000000,49.92,49.92,49.92,49.92,17,0
BKUI.US,D,20211019,000000,49.905,49.905,49.905,49.905,8,0
BKUI.US,D,20211020,000000,49.905,49.905,49.905,49.905,8,0
