<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMEZ.US,D,20200131,000000,18.549,18.573,18.428,18.509,493341,0
BMEZ.US,D,20200203,000000,18.563,18.573,18.447,18.486,290488,0
BMEZ.US,D,20200204,000000,18.563,18.794,18.495,18.748,428101,0
BMEZ.US,D,20200205,000000,18.748,18.89,18.647,18.839,367988,0
BMEZ.US,D,20200206,000000,18.895,19.079,18.803,19.014,371707,0
BMEZ.US,D,20200207,000000,19.117,19.197,19.014,19.103,391835,0
BMEZ.US,D,20200210,000000,19.097,19.349,19.051,19.32,335182,0
BMEZ.US,D,20200211,000000,19.422,19.804,19.349,19.804,473924,0
BMEZ.US,D,20200212,000000,19.942,19.942,19.485,19.54,305771,0
BMEZ.US,D,20200213,000000,19.468,19.75,19.418,19.52,349444,0
BMEZ.US,D,20200214,000000,19.624,19.778,19.26,19.615,346275,0
BMEZ.US,D,20200218,000000,19.669,19.669,19.349,19.386,172744,0
BMEZ.US,D,20200219,000000,19.579,19.897,19.461,19.633,266794,0
BMEZ.US,D,20200220,000000,19.624,19.758,19.579,19.702,238487,0
BMEZ.US,D,20200221,000000,19.702,19.717,19.213,19.287,331892,0
BMEZ.US,D,20200224,000000,19.004,19.287,18.904,19.287,148888,0
BMEZ.US,D,20200225,000000,19.377,19.494,18.919,18.995,244471,0
BMEZ.US,D,20200226,000000,19.032,19.33,18.86,19.11,228440,0
BMEZ.US,D,20200227,000000,19.014,19.088,18.209,18.573,372537,0
BMEZ.US,D,20200228,000000,18.209,18.61,18.201,18.209,481164,0
BMEZ.US,D,20200302,000000,18.248,18.519,18.209,18.209,1354870,0
BMEZ.US,D,20200303,000000,18.343,18.343,18.209,18.219,304721,0
BMEZ.US,D,20200304,000000,18.32,18.438,18.293,18.293,324761,0
BMEZ.US,D,20200305,000000,18.293,18.377,18.209,18.209,378594,0
BMEZ.US,D,20200306,000000,18.209,18.257,18.209,18.209,216934,0
BMEZ.US,D,20200309,000000,17.727,18.266,17.711,18.209,1166917,0
BMEZ.US,D,20200310,000000,18.229,18.367,17.755,17.865,573842,0
BMEZ.US,D,20200311,000000,17.755,17.895,17.666,17.765,429731,0
BMEZ.US,D,20200312,000000,17.666,17.938,16.615,16.846,2018734,0
BMEZ.US,D,20200313,000000,16.846,18.381,16.846,18.209,1601019,0
BMEZ.US,D,20200316,000000,16.981,17.273,14.686,15.125,625888,0
BMEZ.US,D,20200317,000000,15.251,16.081,13.422,13.567,464569,0
BMEZ.US,D,20200318,000000,13.43,13.43,11.782,11.994,815378,0
BMEZ.US,D,20200319,000000,11.537,14.416,11.537,12.748,564513,0
BMEZ.US,D,20200320,000000,14.542,14.887,12.748,12.748,556400,0
BMEZ.US,D,20200323,000000,12.748,13.137,11.473,12.729,572207,0
BMEZ.US,D,20200324,000000,13.021,14.57,13.021,14.57,403817,0
BMEZ.US,D,20200325,000000,14.752,15.919,14.537,15.326,419132,0
BMEZ.US,D,20200326,000000,14.932,16.282,14.817,15.899,487932,0
BMEZ.US,D,20200327,000000,15.899,16.3,15.033,15.891,422057,0
BMEZ.US,D,20200330,000000,16.126,16.3,15.363,15.872,272519,0
BMEZ.US,D,20200331,000000,15.936,16.381,15.936,16.3,310795,0
BMEZ.US,D,20200401,000000,15.936,16.227,15.407,15.47,186689,0
BMEZ.US,D,20200402,000000,15.46,16.024,15.024,15.389,191491,0
BMEZ.US,D,20200403,000000,15.936,16.162,15.448,15.737,199892,0
BMEZ.US,D,20200406,000000,16.381,16.381,15.78,15.962,210479,0
BMEZ.US,D,20200407,000000,16.381,16.556,15.843,16.081,399503,0
BMEZ.US,D,20200408,000000,16.381,16.5,16.003,16.348,254713,0
BMEZ.US,D,20200409,000000,16.463,17.474,16.463,17.303,353826,0
BMEZ.US,D,20200413,000000,17.492,17.492,16.316,17.256,253178,0
BMEZ.US,D,20200414,000000,17.412,17.879,17.208,17.265,439362,0
BMEZ.US,D,20200415,000000,16.934,17.321,16.889,17.218,266719,0
BMEZ.US,D,20200416,000000,17.393,17.512,16.942,17.36,297789,0
BMEZ.US,D,20200417,000000,17.849,17.916,17.346,17.603,448364,0
BMEZ.US,D,20200420,000000,17.739,18.126,17.455,17.831,346493,0
BMEZ.US,D,20200421,000000,17.898,17.898,17.576,17.822,349705,0
BMEZ.US,D,20200422,000000,17.849,18.126,17.686,18.126,223401,0
BMEZ.US,D,20200423,000000,18.079,18.126,17.813,17.941,204616,0
BMEZ.US,D,20200424,000000,17.959,18.171,17.813,17.831,253080,0
BMEZ.US,D,20200427,000000,18.013,18.308,17.898,18.262,433697,0
BMEZ.US,D,20200428,000000,18.308,18.308,17.95,18.134,331108,0
BMEZ.US,D,20200429,000000,18.225,18.308,18.134,18.235,259466,0
BMEZ.US,D,20200430,000000,18.07,18.205,17.621,17.925,365322,0
BMEZ.US,D,20200501,000000,17.959,17.959,17.556,17.704,265094,0
BMEZ.US,D,20200504,000000,17.813,17.879,17.485,17.785,144547,0
BMEZ.US,D,20200505,000000,18.126,18.215,17.841,17.859,214927,0
BMEZ.US,D,20200506,000000,18.013,18.225,17.621,18.089,198928,0
BMEZ.US,D,20200507,000000,17.986,18.205,17.916,18.117,283848,0
BMEZ.US,D,20200508,000000,18.308,18.308,18.079,18.253,249720,0
BMEZ.US,D,20200511,000000,18.262,18.317,18.06,18.126,336089,0
BMEZ.US,D,20200512,000000,18.225,18.464,18.126,18.171,338338,0
BMEZ.US,D,20200513,000000,18.308,18.308,17.676,17.934,255337,0
BMEZ.US,D,20200514,000000,17.629,18.279,17.629,17.84,241792,0
BMEZ.US,D,20200515,000000,17.84,18.401,17.84,18.327,174434,0
BMEZ.US,D,20200518,000000,18.401,18.495,18.273,18.356,486224,0
BMEZ.US,D,20200519,000000,18.391,18.391,18.108,18.309,302039,0
BMEZ.US,D,20200520,000000,18.391,18.401,18.318,18.401,418687,0
BMEZ.US,D,20200521,000000,18.401,18.477,18.347,18.428,285982,0
BMEZ.US,D,20200522,000000,18.447,18.447,18.282,18.375,173020,0
BMEZ.US,D,20200526,000000,18.467,18.575,18.327,18.375,309072,0
BMEZ.US,D,20200527,000000,18.401,18.42,18.181,18.381,198297,0
BMEZ.US,D,20200528,000000,18.438,18.585,18.386,18.486,327433,0
BMEZ.US,D,20200529,000000,18.565,18.585,18.356,18.565,247632,0
BMEZ.US,D,20200601,000000,18.585,18.603,18.488,18.541,303310,0
BMEZ.US,D,20200602,000000,18.612,18.612,18.467,18.549,230382,0
BMEZ.US,D,20200603,000000,18.585,18.78,18.549,18.762,352362,0
BMEZ.US,D,20200604,000000,18.788,18.884,18.668,18.78,402855,0
BMEZ.US,D,20200605,000000,18.953,19,18.734,18.834,369807,0
BMEZ.US,D,20200608,000000,18.852,18.852,18.515,18.752,324128,0
BMEZ.US,D,20200609,000000,18.63,18.807,18.617,18.725,213821,0
BMEZ.US,D,20200610,000000,18.807,18.834,18.64,18.771,190008,0
BMEZ.US,D,20200611,000000,18.41,18.549,17.767,17.803,364383,0
BMEZ.US,D,20200612,000000,18.229,18.545,17.935,18.164,177395,0
