<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMY.US,D,19770103,000000,0.6232,0.6304,0.6232,0.6304,510531,0
BMY.US,D,19770104,000000,0.6304,0.6304,0.6232,0.6232,325294,0
BMY.US,D,19770105,000000,0.6232,0.6304,0.6232,0.6232,535384,0
BMY.US,D,19770106,000000,0.6232,0.6304,0.6162,0.6304,831314,0
BMY.US,D,19770107,000000,0.6304,0.6374,0.6232,0.6232,510531,0
BMY.US,D,19770110,000000,0.6304,0.6374,0.6304,0.6304,512796,0
BMY.US,D,19770111,000000,0.6304,0.6374,0.6232,0.6304,501497,0
BMY.US,D,19770112,000000,0.6304,0.6304,0.6162,0.6162,429209,0
BMY.US,D,19770113,000000,0.6162,0.6162,0.6019,0.609,650590,0
BMY.US,D,19770114,000000,0.6019,0.6019,0.5948,0.5948,655113,0
BMY.US,D,19770117,000000,0.5948,0.5948,0.5876,0.5948,352403,0
BMY.US,D,19770118,000000,0.5948,0.6304,0.5808,0.5808,456317,0
BMY.US,D,19770119,000000,0.5808,0.5876,0.5808,0.5808,359180,0
BMY.US,D,19770120,000000,0.5808,0.5876,0.5808,0.5808,641551,0
BMY.US,D,19770121,000000,0.5808,0.5876,0.5808,0.5876,379513,0
BMY.US,D,19770124,000000,0.5876,0.5876,0.5736,0.5736,433724,0
BMY.US,D,19770125,000000,0.5736,0.5736,0.5597,0.5597,736434,0
BMY.US,D,19770126,000000,0.5597,0.5597,0.5524,0.5524,420175,0
BMY.US,D,19770127,000000,0.5597,0.5664,0.5597,0.5664,727403,0
BMY.US,D,19770128,000000,0.5664,0.5736,0.5664,0.5664,429209,0
BMY.US,D,19770131,000000,0.5664,0.5664,0.5597,0.5664,1007510,0
BMY.US,D,19770201,000000,0.5664,0.5808,0.5664,0.5808,688997,0
BMY.US,D,19770202,000000,0.5808,0.5876,0.5808,0.5808,817762,0
BMY.US,D,19770203,000000,0.5808,0.5808,0.5736,0.5736,548936,0
BMY.US,D,19770204,000000,0.5736,0.5808,0.5664,0.5664,580559,0
BMY.US,D,19770207,000000,0.5664,0.5876,0.5664,0.5876,935228,0
BMY.US,D,19770208,000000,0.5876,0.6019,0.5876,0.5948,1063992,0
BMY.US,D,19770209,000000,0.5948,0.5948,0.5876,0.5948,659627,0
BMY.US,D,19770210,000000,0.5948,0.5948,0.5948,0.5948,426953,0
BMY.US,D,19770211,000000,0.5948,0.5948,0.5948,0.5948,406619,0
BMY.US,D,19770214,000000,0.5948,0.5948,0.5876,0.5876,716104,0
BMY.US,D,19770215,000000,0.5948,0.5948,0.5948,0.5948,960076,0
BMY.US,D,19770216,000000,0.5948,0.6162,0.5948,0.609,693513,0
BMY.US,D,19770217,000000,0.609,0.609,0.5948,0.6019,426953,0
BMY.US,D,19770218,000000,0.6019,0.6019,0.5948,0.6019,709326,0
BMY.US,D,19770222,000000,0.6019,0.6019,0.6019,0.6019,438248,0
BMY.US,D,19770223,000000,0.6019,0.6019,0.5948,0.5948,284636,0
BMY.US,D,19770224,000000,0.5948,0.5948,0.5736,0.5808,539898,0
BMY.US,D,19770225,000000,0.5808,0.5808,0.5808,0.5808,255272,0
BMY.US,D,19770228,000000,0.5808,0.5876,0.5736,0.5876,365956,0
BMY.US,D,19770301,000000,0.5948,0.6019,0.5948,0.6019,598636,0
BMY.US,D,19770302,000000,0.6019,0.6019,0.5948,0.5948,347886,0
BMY.US,D,19770303,000000,0.5948,0.5948,0.5948,0.5948,871975,0
BMY.US,D,19770304,000000,0.5948,0.6019,0.5948,0.6019,173946,0
BMY.US,D,19770307,000000,0.6019,0.6019,0.6019,0.6019,829053,0
BMY.US,D,19770308,000000,0.6019,0.6019,0.6019,0.6019,313999,0
BMY.US,D,19770309,000000,0.6019,0.6019,0.5948,0.5948,576047,0
BMY.US,D,19770310,000000,0.5948,0.6019,0.5948,0.6019,711590,0
BMY.US,D,19770311,000000,0.6019,0.609,0.6019,0.609,320780,0
BMY.US,D,19770314,000000,0.609,0.6162,0.609,0.6162,117469,0
BMY.US,D,19770315,000000,0.609,0.609,0.6019,0.609,435987,0
BMY.US,D,19770316,000000,0.609,0.6162,0.609,0.6162,253009,0
BMY.US,D,19770317,000000,0.6162,0.6162,0.6162,0.6162,259785,0
BMY.US,D,19770318,000000,0.6162,0.6162,0.609,0.6162,438248,0
BMY.US,D,19770321,000000,0.6162,0.6162,0.6019,0.609,404359,0
BMY.US,D,19770322,000000,0.609,0.609,0.609,0.609,478906,0
BMY.US,D,19770323,000000,0.609,0.609,0.6019,0.6019,460837,0
BMY.US,D,19770324,000000,0.6019,0.609,0.6019,0.6019,275600,0
BMY.US,D,19770325,000000,0.6019,0.6019,0.5876,0.5948,567008,0
BMY.US,D,19770328,000000,0.5948,0.5948,0.5808,0.5808,1032365,0
BMY.US,D,19770329,000000,0.5808,0.5876,0.5808,0.5876,519575,0
BMY.US,D,19770330,000000,0.5876,0.5876,0.5736,0.5808,553457,0
BMY.US,D,19770331,000000,0.5808,0.5808,0.5808,0.5808,548936,0
BMY.US,D,19770401,000000,0.5808,0.5808,0.5808,0.5808,374994,0
BMY.US,D,19770404,000000,0.5808,0.5876,0.5808,0.5808,546677,0
BMY.US,D,19770405,000000,0.5808,0.5876,0.5808,0.5808,336593,0
BMY.US,D,19770406,000000,0.5808,0.5808,0.5736,0.5736,646070,0
BMY.US,D,19770407,000000,0.5736,0.5808,0.5736,0.5808,241717,0
BMY.US,D,19770411,000000,0.5808,0.5876,0.5808,0.5876,530868,0
BMY.US,D,19770412,000000,0.5876,0.5948,0.5876,0.5948,743210,0
BMY.US,D,19770413,000000,0.5948,0.5948,0.5876,0.5948,474392,0
BMY.US,D,19770414,000000,0.609,0.6232,0.609,0.6162,899087,0
BMY.US,D,19770415,000000,0.6162,0.6162,0.609,0.6162,553457,0
BMY.US,D,19770418,000000,0.6162,0.6162,0.609,0.609,230420,0
BMY.US,D,19770419,000000,0.609,0.609,0.609,0.609,221383,0
BMY.US,D,19770420,000000,0.609,0.609,0.6019,0.6019,637037,0
BMY.US,D,19770421,000000,0.6019,0.609,0.5876,0.5876,300451,0
BMY.US,D,19770422,000000,0.5876,0.5876,0.5808,0.5808,185239,0
BMY.US,D,19770425,000000,0.5808,0.5876,0.5736,0.5736,779360,0
BMY.US,D,19770426,000000,0.5736,0.5808,0.5736,0.5736,192016,0
BMY.US,D,19770427,000000,0.5736,0.5808,0.5736,0.5808,140057,0
BMY.US,D,19770428,000000,0.5808,0.5876,0.5808,0.5808,478906,0
BMY.US,D,19770429,000000,0.5808,0.5876,0.5808,0.5876,178463,0
BMY.US,D,19770502,000000,0.5876,0.5876,0.5808,0.5876,460837,0
BMY.US,D,19770503,000000,0.5876,0.6019,0.5876,0.5948,368217,0
BMY.US,D,19770504,000000,0.5948,0.6019,0.5948,0.6019,1256007,0
BMY.US,D,19770505,000000,0.5948,0.5948,0.5876,0.5948,573789,0
BMY.US,D,19770506,000000,0.5948,0.5948,0.5808,0.5808,286898,0
