<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXD-WS.US,D,20211210,000000,0.99,1.07,0.812001,0.83,279810,0
BOXD-WS.US,D,20211213,000000,0.89,0.89,0.7,0.7802,144998,0
BOXD-WS.US,D,20211214,000000,0.75,0.85,0.71,0.71,254455,0
BOXD-WS.US,D,20211215,000000,0.777,0.83,0.72,0.72,85591,0
BOXD-WS.US,D,20211216,000000,0.71,0.89,0.71,0.7959,114850,0
BOXD-WS.US,D,20211217,000000,0.78,0.8888,0.75105,0.802,183846,0
BOXD-WS.US,D,20211220,000000,0.78,0.85,0.72,0.745,71242,0
BOXD-WS.US,D,20211221,000000,0.75,0.8,0.691,0.7,48893,0
BOXD-WS.US,D,20211222,000000,0.68,0.839,0.68,0.839,153240,0
BOXD-WS.US,D,20211223,000000,0.825,1.2,0.825,0.87,558182,0
BOXD-WS.US,D,20211227,000000,0.98,1.04,0.9101,1.03,247974,0
BOXD-WS.US,D,20211228,000000,1.05,1.11,0.9501,1.1,175175,0
BOXD-WS.US,D,20211229,000000,1.1,1.26,1.05,1.22,594304,0
BOXD-WS.US,D,20211230,000000,1.25,1.37,1.13,1.15,321043,0
BOXD-WS.US,D,20211231,000000,1.08,1.2,1.07,1.19,71920,0
BOXD-WS.US,D,20220103,000000,1.13,1.2699,1.13,1.18,231019,0
BOXD-WS.US,D,20220104,000000,1.16,1.2233,1.09,1.09,104367,0
BOXD-WS.US,D,20220105,000000,1.08,1.08,0.8916,0.91,164479,0
BOXD-WS.US,D,20220106,000000,0.911,1.08,0.85,0.88,350772,0
BOXD-WS.US,D,20220107,000000,0.85,1.045,0.85,0.95,115870,0
BOXD-WS.US,D,20220110,000000,0.9004,0.925728,0.855,0.89,69434,0
BOXD-WS.US,D,20220111,000000,0.9051,1.34,0.8525,1.25,1095198,0
BOXD-WS.US,D,20220112,000000,1.16,1.35,1.16,1.2,351852,0
BOXD-WS.US,D,20220113,000000,1.13,1.22,1.13,1.2199,84912,0
BOXD-WS.US,D,20220114,000000,1.2,1.2,1.05,1.16,128351,0
BOXD-WS.US,D,20220118,000000,1.08,1.16,0.8801,0.935,94478,0
BOXD-WS.US,D,20220119,000000,0.96,0.97,0.9201,0.9505,9655,0
BOXD-WS.US,D,20220120,000000,0.9706,1,0.9201,0.97,67176,0
BOXD-WS.US,D,20220121,000000,0.9301,1.09,0.83,1.08,79708,0
