<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSBR.US,D,20091006,000000,6.7325,6.7325,6.7325,6.7325,0,0
BSBR.US,D,20091007,000000,6.683,7.0541,6.4308,6.5365,284687151,0
BSBR.US,D,20091008,000000,6.4006,6.6878,6.3554,6.5314,85267142,0
BSBR.US,D,20091009,000000,6.5714,6.6722,6.5314,6.5864,34559922,0
BSBR.US,D,20091012,000000,6.647,6.7169,6.5411,6.5463,25856089,0
BSBR.US,D,20091013,000000,6.6118,6.6317,6.461,6.6317,19095464,0
BSBR.US,D,20091014,000000,6.6916,6.7325,6.6317,6.7222,20662789,0
BSBR.US,D,20091015,000000,6.6518,6.9334,6.6218,6.8979,31950736,0
BSBR.US,D,20091016,000000,6.8334,6.9884,6.7827,6.7884,29579010,0
BSBR.US,D,20091019,000000,6.913,6.9736,6.8384,6.8527,23772456,0
BSBR.US,D,20091020,000000,6.7222,6.7571,6.4709,6.6118,30735651,0
BSBR.US,D,20091021,000000,6.6518,6.8285,6.4761,6.5262,52649515,0
BSBR.US,D,20091022,000000,6.6418,6.7222,6.5714,6.6364,14009330,0
BSBR.US,D,20091023,000000,6.7726,6.7726,6.5815,6.6568,17060661,0
BSBR.US,D,20091026,000000,6.7571,6.7827,6.5011,6.647,25975495,0
BSBR.US,D,20091027,000000,6.6722,6.6722,6.5061,6.5314,16353911,0
BSBR.US,D,20091028,000000,6.5061,6.5314,6.0087,6.1442,47843635,0
BSBR.US,D,20091029,000000,6.2599,6.2952,6.1594,6.2146,20571203,0
BSBR.US,D,20091030,000000,6.2749,6.3053,5.8881,5.9585,15361734,0
BSBR.US,D,20091102,000000,6.019,6.0793,5.7776,5.9035,10186972,0
BSBR.US,D,20091103,000000,5.8079,6.3002,5.798,6.1495,19682513,0
BSBR.US,D,20091104,000000,6.2197,6.3353,6.0992,6.1544,21532486,0
BSBR.US,D,20091105,000000,6.2451,6.2801,6.1394,6.2801,12486988,0
BSBR.US,D,20091106,000000,6.2249,6.2801,6.1695,6.1845,6523348,0
BSBR.US,D,20091109,000000,6.461,6.461,6.2398,6.27,11994880,0
BSBR.US,D,20091110,000000,6.1996,6.2904,6.1342,6.2801,3391753,0
BSBR.US,D,20091111,000000,6.4859,6.5212,6.3704,6.4455,14280140,0
BSBR.US,D,20091112,000000,6.4409,6.461,6.27,6.3102,13574267,0
BSBR.US,D,20091113,000000,6.2853,6.4811,6.2451,6.3502,6321298,0
BSBR.US,D,20091116,000000,6.4658,6.5663,6.436,6.5161,7088089,0
BSBR.US,D,20091117,000000,6.5663,6.5916,6.5011,6.5916,2943937,0
BSBR.US,D,20091118,000000,6.7473,6.7777,6.683,6.7416,14556966,0
BSBR.US,D,20091119,000000,6.7325,6.7373,6.4409,6.5411,13330749,0
BSBR.US,D,20091120,000000,6.5314,6.5614,6.4308,6.5011,4782177,0
BSBR.US,D,20091123,000000,6.6568,6.7122,6.6066,6.6621,9524867,0
BSBR.US,D,20091124,000000,6.6364,6.7571,6.5212,6.7325,8286884,0
BSBR.US,D,20091125,000000,6.7275,6.7676,6.6771,6.7024,13759006,0
BSBR.US,D,20091127,000000,6.3704,6.7571,6.3053,6.7073,9196589,0
BSBR.US,D,20091130,000000,6.7024,6.903,6.6621,6.8576,24728731,0
BSBR.US,D,20091201,000000,6.9279,7.2592,6.923,7.2395,28674722,0
BSBR.US,D,20091202,000000,7.1398,7.3248,7.0943,7.2946,16218839,0
BSBR.US,D,20091203,000000,7.2494,7.2592,6.9988,7.0385,13473207,0
BSBR.US,D,20091204,000000,7.1699,7.274,6.7827,6.8527,15236991,0
BSBR.US,D,20091207,000000,6.8681,6.9334,6.8018,6.8427,7989353,0
BSBR.US,D,20091208,000000,6.7571,6.9334,6.647,6.8888,5157290,0
BSBR.US,D,20091209,000000,6.8628,7.0243,6.8127,6.9834,7692304,0
BSBR.US,D,20091210,000000,6.9584,6.9884,6.8576,6.8785,5133918,0
BSBR.US,D,20091211,000000,6.923,6.9429,6.7726,6.8888,12515888,0
BSBR.US,D,20091214,000000,6.913,6.9378,6.6722,6.7416,11966252,0
BSBR.US,D,20091215,000000,6.6621,6.6967,6.4455,6.5411,17992318,0
BSBR.US,D,20091216,000000,6.6166,6.6518,6.5564,6.6066,8952712,0
BSBR.US,D,20091217,000000,6.5011,6.5765,6.4257,6.461,7732968,0
BSBR.US,D,20091218,000000,6.4658,6.7473,6.461,6.7473,17330781,0
BSBR.US,D,20091221,000000,6.647,6.8785,6.4308,6.8785,15716788,0
BSBR.US,D,20091222,000000,6.8427,6.8734,6.8018,6.848,9709228,0
BSBR.US,D,20091223,000000,6.7884,6.8384,6.7571,6.8334,5352645,0
BSBR.US,D,20091224,000000,6.8285,6.903,6.7416,6.8888,1848746,0
BSBR.US,D,20091228,000000,6.9179,6.9834,6.7621,6.792,2226502,0
BSBR.US,D,20091229,000000,6.8785,6.8836,6.7726,6.8427,3439042,0
BSBR.US,D,20091230,000000,6.8628,7.0277,6.8334,7.0034,3607421,0
BSBR.US,D,20091231,000000,7.1746,7.1746,6.913,7.0034,2341196,0
BSBR.US,D,20100104,000000,7.0683,7.2334,7.0034,7.0485,15000599,0
BSBR.US,D,20100105,000000,7.0277,7.0635,6.903,7.0586,13636167,0
BSBR.US,D,20100106,000000,6.9787,7.0436,6.9636,7.0141,8608694,0
BSBR.US,D,20100107,000000,6.9584,6.9834,6.8628,6.8836,6304479,0
BSBR.US,D,20100108,000000,6.913,6.9679,6.8681,6.9486,7032931,0
BSBR.US,D,20100111,000000,7.0277,7.0334,6.8888,6.9636,4455974,0
BSBR.US,D,20100112,000000,6.8942,6.9834,6.8576,6.913,3407211,0
BSBR.US,D,20100113,000000,6.9787,6.9943,6.8127,6.8628,7751088,0
BSBR.US,D,20100114,000000,6.8078,6.8527,6.683,6.7122,14367800,0
BSBR.US,D,20100115,000000,6.7621,6.7621,6.5411,6.5564,9613978,0
BSBR.US,D,20100119,000000,6.5614,6.6568,6.5314,6.5916,8908372,0
BSBR.US,D,20100120,000000,6.5212,6.5314,6.3604,6.4709,11369940,0
BSBR.US,D,20100121,000000,6.4308,6.436,6.1042,6.1897,10342671,0
BSBR.US,D,20100122,000000,6.1291,6.1342,5.9585,6.0087,16189507,0
BSBR.US,D,20100125,000000,6.1042,6.2197,6.029,6.1544,9349602,0
BSBR.US,D,20100126,000000,6.0139,6.2249,5.9686,6.1442,14591558,0
BSBR.US,D,20100127,000000,6.0641,6.1495,5.9383,6.0741,7418200,0
BSBR.US,D,20100128,000000,6.1544,6.5314,5.999,6.1394,13811423,0
BSBR.US,D,20100129,000000,6.2497,6.265,6.0039,6.049,12530980,0
BSBR.US,D,20100201,000000,6.1091,6.1544,5.9937,6.0741,13882544,0
BSBR.US,D,20100202,000000,6.1243,6.1946,6.0239,6.1192,11111329,0
BSBR.US,D,20100203,000000,6.0741,6.1695,6.0741,6.1442,5504267,0
BSBR.US,D,20100204,000000,5.9284,5.9481,5.4661,5.5416,17396353,0
BSBR.US,D,20100205,000000,5.5565,5.602,5.2652,5.4108,29994586,0
BSBR.US,D,20100208,000000,5.5868,5.7071,5.4761,5.5515,15385971,0
BSBR.US,D,20100209,000000,5.7878,5.8832,5.687,5.8127,14782123,0
BSBR.US,D,20100210,000000,5.7926,5.9183,5.7926,5.9083,12839052,0
BSBR.US,D,20100211,000000,5.9183,6.1042,5.8933,6.049,15914193,0
BSBR.US,D,20100212,000000,5.7776,6.029,5.7525,6.0139,11945195,0
BSBR.US,D,20100216,000000,6.1042,6.1442,5.9786,6.1291,4579200,0
BSBR.US,D,20100217,000000,6.1594,6.2249,6.1141,6.1544,4301997,0
BSBR.US,D,20100218,000000,6.0992,6.1747,6.0992,6.1394,6496093,0
BSBR.US,D,20100219,000000,6.1394,6.1644,6.0941,6.1342,2558025,0
BSBR.US,D,20100222,000000,6.1793,6.1793,6.0992,6.1394,4261922,0
BSBR.US,D,20100223,000000,6.0692,6.0891,5.9083,5.9332,8914679,0
BSBR.US,D,20100224,000000,5.9332,5.9585,5.8732,5.9083,6994073,0
BSBR.US,D,20100225,000000,5.7425,5.9332,5.642,5.9183,10641013,0
BSBR.US,D,20100226,000000,5.9284,6.029,5.913,6.0087,7853208,0
BSBR.US,D,20100301,000000,6.0087,6.0337,5.9481,5.9887,7324512,0
BSBR.US,D,20100302,000000,6.029,6.054,5.9481,5.9887,6946436,0
BSBR.US,D,20100303,000000,6.0039,6.1042,5.9835,6.0692,12427123,0
BSBR.US,D,20100304,000000,6.1091,6.1594,6.0391,6.1243,12501424,0
BSBR.US,D,20100305,000000,6.1793,6.2348,6.1442,6.2249,7906903,0
BSBR.US,D,20100308,000000,6.27,6.3353,6.2097,6.3304,7460938,0
BSBR.US,D,20100309,000000,6.27,6.3554,6.1946,6.2097,7092993,0
BSBR.US,D,20100310,000000,6.2451,6.3654,6.2047,6.3502,8106961,0
BSBR.US,D,20100311,000000,6.2801,6.3102,6.2451,6.3053,5970573,0
BSBR.US,D,20100312,000000,6.3002,6.3456,6.2249,6.2398,2478701,0
BSBR.US,D,20100315,000000,6.1946,6.2097,6.029,6.1141,6935139,0
BSBR.US,D,20100316,000000,6.0941,6.1544,6.0692,6.1243,4054546,0
BSBR.US,D,20100317,000000,6.1845,6.2249,6.1243,6.1594,8253445,0
BSBR.US,D,20100318,000000,6.1394,6.2398,6.1192,6.1495,10088654,0
BSBR.US,D,20100319,000000,6.1897,6.2295,6.0741,6.1342,11773036,0
BSBR.US,D,20100322,000000,6.0891,6.1996,6.054,6.1747,7391258,0
BSBR.US,D,20100323,000000,6.1793,6.27,6.0842,6.1394,7598438,0
BSBR.US,D,20100324,000000,6.059,6.0741,5.9083,5.9231,16487286,0
BSBR.US,D,20100325,000000,5.9937,6.0239,5.823,5.8478,15895779,0
BSBR.US,D,20100326,000000,5.8279,5.9284,5.8026,5.9083,6232935,0
BSBR.US,D,20100329,000000,5.9635,6.0391,5.9083,5.999,4467812,0
BSBR.US,D,20100330,000000,6.0337,6.2348,6.0139,6.2249,8747579,0
BSBR.US,D,20100331,000000,6.1897,6.265,6.1495,6.2451,10860443,0
BSBR.US,D,20100401,000000,6.2853,6.436,6.2599,6.3151,10665985,0
BSBR.US,D,20100405,000000,6.3704,6.4157,6.3151,6.3456,9482929,0
BSBR.US,D,20100406,000000,6.2599,6.3102,6.2497,6.265,14197825,0
BSBR.US,D,20100407,000000,6.2295,6.2599,6.1291,6.1594,7998818,0
BSBR.US,D,20100408,000000,6.1091,6.2801,6.0741,6.27,15871298,0
BSBR.US,D,20100409,000000,6.27,6.3604,6.1996,6.2398,5727384,0
BSBR.US,D,20100412,000000,6.255,6.255,6.1845,6.2097,2584005,0
BSBR.US,D,20100413,000000,6.1793,6.2097,6.1141,6.1141,4483899,0
BSBR.US,D,20100414,000000,6.1747,6.1747,6.0992,6.1291,9071305,0
BSBR.US,D,20100415,000000,6.0793,6.1442,6.044,6.0793,6384516,0
BSBR.US,D,20100416,000000,6.0741,6.0741,5.8832,5.9332,11371494,0
BSBR.US,D,20100419,000000,5.9686,6.0139,5.7678,5.8429,9652431,0
BSBR.US,D,20100420,000000,5.8629,5.8981,5.8179,5.8629,6562100,0
BSBR.US,D,20100421,000000,5.8429,5.9035,5.7926,5.8881,7540772,0
BSBR.US,D,20100422,000000,5.8429,5.8681,5.7678,5.8179,15985493,0
BSBR.US,D,20100423,000000,5.8221,5.8473,5.7869,5.8221,13960132,0
BSBR.US,D,20100426,000000,5.8981,5.8981,5.7274,5.7776,9382352,0
BSBR.US,D,20100427,000000,5.6922,5.7126,5.5064,5.5213,11314087,0
BSBR.US,D,20100428,000000,5.5565,5.5868,5.3556,5.4711,18508280,0
BSBR.US,D,20100429,000000,5.652,5.8079,5.6219,5.7776,32289267,0
BSBR.US,D,20100430,000000,5.833,5.9284,5.7926,5.8429,27241173,0
BSBR.US,D,20100503,000000,5.8981,5.9686,5.8478,5.8933,16700855,0
BSBR.US,D,20100504,000000,5.7425,5.7926,5.657,5.7776,18625289,0
BSBR.US,D,20100505,000000,5.642,5.7926,5.5615,5.6774,15683069,0
