<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTHM.US,D,20211220,000000,24.33,24.33,24.24,24.3081,938,0
BTHM.US,D,20211221,000000,24.55,24.79,24.55,24.7896,5552,0
BTHM.US,D,20211222,000000,24.99,25.0866,24.94,25.0866,2235,0
BTHM.US,D,20211223,000000,25.2604,25.33,25.2604,25.2975,6768,0
BTHM.US,D,20211227,000000,25.53,25.6564,25.53,25.6564,807,0
BTHM.US,D,20211228,000000,25.5811,25.5811,25.5811,25.5811,5,0
BTHM.US,D,20211229,000000,25.7199,25.7199,25.6505,25.6505,1083,0
BTHM.US,D,20211230,000000,25.64,25.64,25.4933,25.4933,2357,0
BTHM.US,D,20211231,000000,25.53,25.53,25.43,25.4336,8763,0
BTHM.US,D,20220103,000000,25.54,25.54,25.34,25.4549,3569,0
BTHM.US,D,20220104,000000,25.45,25.56,25.43,25.5204,3067,0
BTHM.US,D,20220105,000000,25.51,25.51,24.9059,24.9059,6887,0
BTHM.US,D,20220106,000000,24.89,24.98,24.8223,24.8223,7416,0
BTHM.US,D,20220107,000000,24.77,24.77,24.63,24.6595,5233,0
BTHM.US,D,20220110,000000,24.46,24.5531,24.13,24.5531,9454,0
BTHM.US,D,20220111,000000,24.86,24.86,24.8306,24.8306,401,0
BTHM.US,D,20220112,000000,25.07,25.07,24.9379,24.9797,826,0
BTHM.US,D,20220113,000000,24.5299,24.5299,24.5299,24.5299,43,0
BTHM.US,D,20220114,000000,24.5495,24.5495,24.5495,24.5495,48,0
BTHM.US,D,20220118,000000,24.32,24.32,23.9607,23.9607,942,0
BTHM.US,D,20220119,000000,24.145,24.145,23.6843,23.6843,120,0
BTHM.US,D,20220120,000000,23.333,23.333,23.333,23.333,206,0
BTHM.US,D,20220121,000000,23.33,23.39,22.9796,22.9796,297,0
