<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTT.US,D,20120829,000000,17.301,17.373,17.26,17.364,2482214,0
BTT.US,D,20120830,000000,17.364,17.452,17.364,17.438,139659,0
BTT.US,D,20120831,000000,17.452,17.476,17.388,17.404,89958,0
BTT.US,D,20120904,000000,17.432,17.452,17.421,17.446,90365,0
BTT.US,D,20120905,000000,17.438,17.438,17.389,17.432,169016,0
BTT.US,D,20120906,000000,17.446,17.446,17.364,17.389,135280,0
BTT.US,D,20120907,000000,17.427,17.438,17.373,17.414,248639,0
BTT.US,D,20120910,000000,17.427,17.432,17.373,17.397,99299,0
BTT.US,D,20120911,000000,17.406,17.438,17.373,17.414,87852,0
BTT.US,D,20120912,000000,17.427,17.438,17.389,17.406,104523,0
BTT.US,D,20120913,000000,17.432,17.438,17.364,17.421,75919,0
BTT.US,D,20120914,000000,17.382,17.421,17.364,17.364,111936,0
BTT.US,D,20120917,000000,17.397,17.406,17.364,17.406,75568,0
BTT.US,D,20120918,000000,17.679,17.679,17.389,17.389,142570,0
BTT.US,D,20120919,000000,17.491,17.491,17.406,17.406,109145,0
BTT.US,D,20120920,000000,17.397,17.432,17.364,17.373,76841,0
BTT.US,D,20120921,000000,17.364,17.406,17.364,17.364,98327,0
BTT.US,D,20120924,000000,17.364,17.406,17.364,17.364,225314,0
BTT.US,D,20120925,000000,17.364,17.612,17.364,17.505,203833,0
BTT.US,D,20120926,000000,17.476,17.624,17.404,17.511,67544,0
BTT.US,D,20120927,000000,17.504,17.504,17.446,17.476,115901,0
BTT.US,D,20120928,000000,17.511,17.56,17.437,17.496,47286,0
BTT.US,D,20121001,000000,17.459,17.572,17.438,17.529,72043,0
BTT.US,D,20121002,000000,17.486,17.612,17.477,17.612,126980,0
BTT.US,D,20121003,000000,17.612,17.637,17.486,17.566,118055,0
BTT.US,D,20121004,000000,17.544,17.611,17.511,17.611,93322,0
BTT.US,D,20121005,000000,17.606,17.711,17.529,17.644,119408,0
BTT.US,D,20121008,000000,17.364,17.438,17.317,17.427,709150,0
BTT.US,D,20121009,000000,17.373,17.432,17.364,17.432,193478,0
BTT.US,D,20121010,000000,17.364,17.468,17.364,17.421,237343,0
BTT.US,D,20121011,000000,17.364,17.477,17.364,17.468,132720,0
BTT.US,D,20121012,000000,17.446,17.529,17.438,17.477,84878,0
BTT.US,D,20121015,000000,17.438,17.523,17.406,17.523,153641,0
BTT.US,D,20121016,000000,17.537,17.545,17.438,17.491,128166,0
BTT.US,D,20121017,000000,17.505,17.505,17.359,17.438,191986,0
BTT.US,D,20121018,000000,17.373,17.438,17.352,17.414,107360,0
BTT.US,D,20121019,000000,17.406,17.438,17.332,17.364,123797,0
BTT.US,D,20121022,000000,17.364,17.421,17.236,17.236,149807,0
BTT.US,D,20121023,000000,17.264,17.363,17.211,17.363,213619,0
BTT.US,D,20121024,000000,17.364,17.389,17.317,17.338,163763,0
BTT.US,D,20121025,000000,17.317,17.364,17.266,17.311,144678,0
BTT.US,D,20121026,000000,17.277,17.363,17.277,17.309,142128,0
BTT.US,D,20121031,000000,17.363,17.38,17.129,17.249,267410,0
BTT.US,D,20121101,000000,17.317,17.332,17.228,17.332,92303,0
BTT.US,D,20121102,000000,17.305,17.309,17.167,17.233,109421,0
BTT.US,D,20121105,000000,17.271,17.293,17.101,17.238,177979,0
BTT.US,D,20121106,000000,17.264,17.363,17.203,17.363,154728,0
BTT.US,D,20121107,000000,17.331,17.437,17.331,17.396,208235,0
BTT.US,D,20121108,000000,17.225,17.467,17.225,17.372,303004,0
BTT.US,D,20121109,000000,17.363,17.529,17.305,17.523,259046,0
BTT.US,D,20121112,000000,17.504,17.544,17.372,17.496,164215,0
BTT.US,D,20121113,000000,17.56,17.56,17.412,17.517,179883,0
BTT.US,D,20121114,000000,17.529,17.529,17.437,17.437,206286,0
BTT.US,D,20121115,000000,17.476,17.476,17.299,17.309,113147,0
BTT.US,D,20121116,000000,17.264,17.496,17.109,17.388,182933,0
BTT.US,D,20121119,000000,17.504,17.511,17.38,17.458,191826,0
BTT.US,D,20121120,000000,17.511,17.544,17.42,17.467,155067,0
BTT.US,D,20121121,000000,17.496,17.544,17.372,17.372,131597,0
BTT.US,D,20121123,000000,17.504,17.517,17.388,17.437,54324,0
BTT.US,D,20121126,000000,17.523,17.523,17.427,17.476,182542,0
BTT.US,D,20121127,000000,17.485,17.529,17.404,17.42,256923,0
BTT.US,D,20121128,000000,17.476,17.511,17.437,17.496,122435,0
BTT.US,D,20121129,000000,17.496,17.529,17.437,17.437,151843,0
BTT.US,D,20121130,000000,17.476,17.523,17.452,17.496,104119,0
BTT.US,D,20121203,000000,17.566,17.566,17.42,17.437,191615,0
BTT.US,D,20121204,000000,17.485,17.491,17.404,17.485,173737,0
BTT.US,D,20121205,000000,17.437,17.504,17.431,17.491,200175,0
BTT.US,D,20121206,000000,17.511,17.585,17.372,17.431,315695,0
BTT.US,D,20121207,000000,17.467,17.485,17.38,17.396,172294,0
BTT.US,D,20121210,000000,17.396,17.529,17.396,17.496,139858,0
BTT.US,D,20121211,000000,17.446,17.537,17.427,17.476,183256,0
BTT.US,D,20121212,000000,17.396,17.504,17.363,17.452,214789,0
BTT.US,D,20121213,000000,17.491,17.496,17.388,17.388,190075,0
BTT.US,D,20121214,000000,17.35,17.431,17.264,17.324,282781,0
BTT.US,D,20121217,000000,17.491,17.491,17.062,17.242,268250,0
BTT.US,D,20121218,000000,17.182,17.344,16.702,16.825,294330,0
BTT.US,D,20121219,000000,17.159,17.159,16.738,16.825,291214,0
BTT.US,D,20121220,000000,16.812,16.961,16.602,16.67,349399,0
BTT.US,D,20121221,000000,16.602,16.792,16.183,16.65,513099,0
BTT.US,D,20121224,000000,16.529,16.734,16.225,16.285,293772,0
BTT.US,D,20121226,000000,16.32,16.545,16.114,16.408,423711,0
BTT.US,D,20121227,000000,16.359,16.388,15.903,16.078,939520,0
BTT.US,D,20121228,000000,16.169,16.474,16.042,16.254,398992,0
BTT.US,D,20121231,000000,16.401,16.529,15.871,16.29,613671,0
BTT.US,D,20130102,000000,16.401,16.62,16.225,16.597,376297,0
BTT.US,D,20130103,000000,16.634,16.926,16.634,16.709,246297,0
BTT.US,D,20130104,000000,16.738,17.003,16.626,16.997,176965,0
BTT.US,D,20130107,000000,16.961,17.017,16.896,16.989,123978,0
BTT.US,D,20130108,000000,16.989,17.151,16.961,17.105,171363,0
BTT.US,D,20130109,000000,17.159,17.305,17.159,17.196,202488,0
BTT.US,D,20130110,000000,17.211,17.233,17.024,17.196,180523,0
BTT.US,D,20130111,000000,17.248,17.298,17.151,17.248,110140,0
BTT.US,D,20130114,000000,17.276,17.298,17.182,17.203,95823,0
BTT.US,D,20130115,000000,17.276,17.298,17.12,17.189,146569,0
BTT.US,D,20130116,000000,17.12,17.276,17.12,17.203,189718,0
BTT.US,D,20130117,000000,17.257,17.291,17.159,17.21,128030,0
BTT.US,D,20130118,000000,17.233,17.298,17.135,17.135,162439,0
BTT.US,D,20130122,000000,17.159,17.263,16.809,16.9,229252,0
BTT.US,D,20130123,000000,16.913,17.016,16.773,17.009,182488,0
BTT.US,D,20130124,000000,17.051,17.051,16.829,17.024,229510,0
BTT.US,D,20130125,000000,16.939,17.038,16.853,16.939,164440,0
BTT.US,D,20130128,000000,16.867,16.926,16.638,16.824,331689,0
BTT.US,D,20130129,000000,16.847,16.939,16.679,16.744,222881,0
BTT.US,D,20130130,000000,16.735,16.824,16.669,16.744,171332,0
BTT.US,D,20130131,000000,16.809,16.93,16.638,16.757,212469,0
BTT.US,D,20130201,000000,16.926,16.959,16.773,16.809,151042,0
BTT.US,D,20130204,000000,16.847,16.889,16.646,16.669,206870,0
BTT.US,D,20130205,000000,16.732,16.918,16.707,16.853,192310,0
BTT.US,D,20130206,000000,16.889,16.974,16.838,16.967,123665,0
BTT.US,D,20130207,000000,16.974,17.151,16.93,17.099,135770,0
BTT.US,D,20130208,000000,17.07,17.135,16.945,16.98,165269,0
BTT.US,D,20130211,000000,17.016,17.051,16.953,17.044,113912,0
BTT.US,D,20130212,000000,16.967,17.07,16.945,16.974,210573,0
BTT.US,D,20130213,000000,16.974,17.051,16.845,16.872,213780,0
BTT.US,D,20130214,000000,16.894,16.938,16.666,16.796,291623,0
BTT.US,D,20130215,000000,16.705,16.764,16.593,16.722,229657,0
BTT.US,D,20130219,000000,16.859,16.859,16.644,16.788,180226,0
BTT.US,D,20130220,000000,16.705,16.742,16.593,16.628,258875,0
BTT.US,D,20130221,000000,16.604,16.734,16.523,16.561,284751,0
BTT.US,D,20130222,000000,16.57,16.628,16.483,16.538,256764,0
BTT.US,D,20130225,000000,16.561,16.598,16.418,16.503,197843,0
BTT.US,D,20130226,000000,16.561,16.616,16.305,16.425,322486,0
BTT.US,D,20130227,000000,16.434,16.604,16.358,16.523,197631,0
BTT.US,D,20130228,000000,16.489,16.697,16.456,16.578,132156,0
BTT.US,D,20130301,000000,16.677,16.872,16.531,16.808,177149,0
BTT.US,D,20130304,000000,16.879,16.879,16.734,16.748,129456,0
BTT.US,D,20130305,000000,16.771,16.899,16.742,16.748,121765,0
BTT.US,D,20130306,000000,16.845,16.894,16.742,16.756,153951,0
BTT.US,D,20130307,000000,16.742,16.879,16.692,16.697,162232,0
BTT.US,D,20130308,000000,16.713,16.796,16.637,16.666,167183,0
BTT.US,D,20130311,000000,16.666,16.666,16.449,16.461,179518,0
BTT.US,D,20130312,000000,16.394,16.828,16.394,16.531,147191,0
BTT.US,D,20130313,000000,16.611,16.611,16.275,16.406,258570,0
BTT.US,D,20130314,000000,16.386,16.553,15.669,15.946,542524,0
BTT.US,D,20130315,000000,15.821,16.011,15.525,15.903,585712,0
BTT.US,D,20130318,000000,15.789,16.187,15.789,16.135,226306,0
BTT.US,D,20130319,000000,16.092,16.173,15.821,15.909,326514,0
BTT.US,D,20130320,000000,16.004,16.187,15.909,16.085,204334,0
BTT.US,D,20130321,000000,16.044,16.228,15.888,15.953,268637,0
BTT.US,D,20130322,000000,15.998,16.049,15.856,15.968,212839,0
BTT.US,D,20130325,000000,15.946,15.946,15.642,15.753,417589,0
BTT.US,D,20130326,000000,15.798,16.011,15.781,15.878,254158,0
BTT.US,D,20130327,000000,16.049,16.049,15.744,15.771,251739,0
BTT.US,D,20130328,000000,15.846,16.271,15.762,16.271,228976,0
BTT.US,D,20130401,000000,16.275,16.275,15.961,16.044,194688,0
BTT.US,D,20130402,000000,16.049,16.215,15.977,16.194,182495,0
BTT.US,D,20130403,000000,16.108,16.173,15.998,16.08,228087,0
BTT.US,D,20130404,000000,16.173,16.228,16.085,16.228,153624,0
BTT.US,D,20130405,000000,16.222,16.577,16.173,16.251,269291,0
BTT.US,D,20130408,000000,16.312,16.553,16.258,16.302,226709,0
BTT.US,D,20130409,000000,16.34,16.373,16.206,16.289,201980,0
BTT.US,D,20130410,000000,16.325,16.488,16.258,16.449,156203,0
BTT.US,D,20130411,000000,16.51,16.51,16.213,16.271,209823,0
BTT.US,D,20130412,000000,16.177,16.423,16.125,16.243,216884,0
BTT.US,D,20130415,000000,16.243,16.385,16.133,16.153,182582,0
BTT.US,D,20130416,000000,16.226,16.287,16.084,16.114,187153,0
BTT.US,D,20130417,000000,16.105,16.185,15.996,16.177,183928,0
BTT.US,D,20130418,000000,16.177,16.25,16.069,16.105,180171,0
BTT.US,D,20130419,000000,16.12,16.125,16.013,16.013,203709,0
BTT.US,D,20130422,000000,16.019,16.105,15.957,16.013,241655,0
BTT.US,D,20130423,000000,16.041,16.153,16.013,16.041,352906,0
BTT.US,D,20130424,000000,16.027,16.09,15.866,15.886,395225,0
BTT.US,D,20130425,000000,15.893,15.944,15.721,15.794,525314,0
BTT.US,D,20130426,000000,15.816,16.013,15.816,15.987,188232,0
BTT.US,D,20130429,000000,15.973,16.09,15.973,16.078,227740,0
BTT.US,D,20130430,000000,16.069,16.177,16.069,16.17,146895,0
BTT.US,D,20130501,000000,16.177,16.355,16.17,16.25,236950,0
BTT.US,D,20130502,000000,16.363,16.523,16.318,16.488,199668,0
BTT.US,D,20130503,000000,16.393,16.495,16.318,16.454,253644,0
BTT.US,D,20130506,000000,16.423,16.473,16.355,16.372,160772,0
BTT.US,D,20130507,000000,16.323,16.454,16.318,16.379,234634,0
BTT.US,D,20130508,000000,16.355,16.406,16.28,16.318,227559,0
BTT.US,D,20130509,000000,16.292,16.488,16.292,16.399,154254,0
BTT.US,D,20130510,000000,16.399,16.432,16.235,16.339,191447,0
BTT.US,D,20130513,000000,16.384,16.398,16.168,16.168,253714,0
BTT.US,D,20130514,000000,16.131,16.299,16.124,16.256,249781,0
BTT.US,D,20130515,000000,16.256,16.423,16.22,16.392,293926,0
BTT.US,D,20130516,000000,16.323,16.378,16.22,16.25,225952,0
BTT.US,D,20130517,000000,16.309,16.378,16.22,16.226,188957,0
BTT.US,D,20130520,000000,16.291,16.338,16.211,16.226,227297,0
BTT.US,D,20130521,000000,16.226,16.273,16.147,16.226,207620,0
BTT.US,D,20130522,000000,16.175,16.242,16.039,16.039,324148,0
BTT.US,D,20130523,000000,16.018,16.061,15.771,15.904,429138,0
BTT.US,D,20130524,000000,15.812,15.904,15.723,15.798,230410,0
BTT.US,D,20130528,000000,15.836,15.836,15.587,15.61,466155,0
BTT.US,D,20130529,000000,15.629,15.629,15.33,15.428,409063,0
