<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTZ.US,D,20061221,000000,11.793,11.793,11.793,11.793,0,0
BTZ.US,D,20061222,000000,11.793,11.909,11.793,11.793,542302,0
BTZ.US,D,20061226,000000,11.817,11.833,11.793,11.829,97733,0
BTZ.US,D,20061227,000000,11.793,11.822,11.793,11.799,257378,0
BTZ.US,D,20061228,000000,11.813,11.817,11.793,11.817,111939,0
BTZ.US,D,20061229,000000,11.817,11.817,11.793,11.817,81411,0
BTZ.US,D,20070103,000000,11.805,11.817,11.793,11.793,156457,0
BTZ.US,D,20070104,000000,11.793,11.813,11.793,11.793,132711,0
BTZ.US,D,20070105,000000,11.793,11.809,11.793,11.793,89258,0
BTZ.US,D,20070108,000000,11.793,11.805,11.793,11.793,140342,0
BTZ.US,D,20070109,000000,11.799,11.805,11.793,11.805,73980,0
BTZ.US,D,20070110,000000,11.793,11.805,11.793,11.805,87558,0
BTZ.US,D,20070111,000000,11.805,11.805,11.793,11.793,114683,0
BTZ.US,D,20070112,000000,11.799,11.805,11.793,11.793,66990,0
BTZ.US,D,20070116,000000,11.805,11.805,11.793,11.805,97733,0
BTZ.US,D,20070117,000000,11.793,11.805,11.793,11.793,164515,0
BTZ.US,D,20070118,000000,11.799,11.805,11.793,11.793,111722,0
BTZ.US,D,20070119,000000,11.793,11.799,11.793,11.793,135463,0
BTZ.US,D,20070122,000000,11.793,11.799,11.793,11.793,357013,0
BTZ.US,D,20070123,000000,11.793,11.799,11.793,11.793,184653,0
BTZ.US,D,20070124,000000,11.799,11.799,11.793,11.793,149672,0
BTZ.US,D,20070125,000000,11.793,11.799,11.767,11.793,156030,0
BTZ.US,D,20070126,000000,11.799,11.799,11.793,11.793,127622,0
BTZ.US,D,20070129,000000,11.793,11.799,11.793,11.793,611202,0
BTZ.US,D,20070130,000000,11.793,11.799,11.793,11.793,188261,0
BTZ.US,D,20070131,000000,11.799,11.799,11.793,11.793,230444,0
BTZ.US,D,20070201,000000,11.793,11.799,11.793,11.793,176601,0
BTZ.US,D,20070202,000000,11.793,11.817,11.793,11.793,226421,0
BTZ.US,D,20070205,000000,11.793,11.84,11.793,11.793,151169,0
BTZ.US,D,20070206,000000,11.793,11.799,11.793,11.793,168544,0
BTZ.US,D,20070207,000000,11.793,11.799,11.475,11.533,256942,0
BTZ.US,D,20070208,000000,11.533,11.538,11.389,11.421,228326,0
BTZ.US,D,20070209,000000,11.421,11.44,11.321,11.321,135048,0
BTZ.US,D,20070212,000000,11.306,11.369,11.186,11.253,187832,0
BTZ.US,D,20070213,000000,11.253,11.253,10.845,11.18,432061,0
BTZ.US,D,20070214,000000,11.095,11.316,11.095,11.309,230021,0
BTZ.US,D,20070215,000000,11.309,11.309,11.155,11.259,259070,0
BTZ.US,D,20070216,000000,11.301,11.309,11.222,11.309,210519,0
BTZ.US,D,20070220,000000,11.316,11.321,11.163,11.274,268179,0
BTZ.US,D,20070221,000000,11.274,11.365,11.236,11.365,306976,0
BTZ.US,D,20070222,000000,11.295,11.387,11.205,11.274,309303,0
BTZ.US,D,20070223,000000,11.359,11.387,11.209,11.329,225996,0
BTZ.US,D,20070226,000000,11.45,11.466,11.113,11.263,335375,0
BTZ.US,D,20070227,000000,11.2,11.263,11.018,11.152,289380,0
BTZ.US,D,20070228,000000,11.113,11.359,11.083,11.242,224510,0
BTZ.US,D,20070301,000000,11.274,11.289,10.994,11.259,217932,0
BTZ.US,D,20070302,000000,11.301,11.339,11.095,11.113,149030,0
BTZ.US,D,20070305,000000,11.016,11.259,10.994,11.163,226845,0
BTZ.US,D,20070306,000000,11.222,11.312,11.088,11.155,180405,0
BTZ.US,D,20070307,000000,11.109,11.415,11.083,11.365,155614,0
BTZ.US,D,20070308,000000,11.411,11.445,11.259,11.324,118724,0
BTZ.US,D,20070309,000000,11.321,11.411,11.321,11.334,79924,0
BTZ.US,D,20070312,000000,11.289,11.4,11.263,11.351,124873,0
BTZ.US,D,20070313,000000,11.343,11.394,11.13,11.152,149030,0
BTZ.US,D,20070314,000000,11.095,11.312,11.095,11.135,163036,0
BTZ.US,D,20070315,000000,11.078,11.215,11.018,11.13,197797,0
BTZ.US,D,20070316,000000,11.13,11.17,11.01,11.027,168332,0
BTZ.US,D,20070319,000000,10.92,11.061,10.913,10.947,319907,0
BTZ.US,D,20070320,000000,10.962,11.051,10.849,10.945,321812,0
BTZ.US,D,20070321,000000,10.945,11.074,10.806,11.061,337934,0
BTZ.US,D,20070322,000000,11.036,11.124,10.92,11.051,238719,0
BTZ.US,D,20070323,000000,11.078,11.078,10.94,11.005,214765,0
