<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWG.US,D,20120328,000000,8.6719,8.709,8.6719,8.69,2341548,0
BWG.US,D,20120329,000000,8.6754,8.6883,8.6719,8.6719,127995,0
BWG.US,D,20120330,000000,8.6754,8.68,8.6719,8.6719,93577,0
BWG.US,D,20120402,000000,8.6719,8.68,8.6719,8.6719,97173,0
BWG.US,D,20120403,000000,8.6754,8.68,8.6719,8.6719,38519,0
BWG.US,D,20120404,000000,8.6754,8.6836,8.6709,8.6709,42571,0
BWG.US,D,20120405,000000,8.6709,8.679,8.6709,8.679,18018,0
BWG.US,D,20120409,000000,8.6754,8.69,8.6719,8.6754,55911,0
BWG.US,D,20120410,000000,8.6754,8.68,8.6719,8.6719,109552,0
BWG.US,D,20120411,000000,8.709,8.709,8.6754,8.68,12910,0
BWG.US,D,20120412,000000,8.68,8.6836,8.6719,8.68,33706,0
BWG.US,D,20120413,000000,8.709,8.709,8.68,8.6883,8003,0
BWG.US,D,20120416,000000,8.6836,8.6883,8.6719,8.68,47196,0
BWG.US,D,20120417,000000,8.6836,8.6874,8.6709,8.6754,87518,0
BWG.US,D,20120418,000000,8.6719,8.68,8.6719,8.6719,59121,0
BWG.US,D,20120419,000000,8.6754,8.7783,8.6719,8.6836,79611,0
BWG.US,D,20120420,000000,8.68,8.68,8.6719,8.6719,32329,0
BWG.US,D,20120423,000000,8.6719,8.6754,8.6719,8.6754,22288,0
BWG.US,D,20120424,000000,8.6719,8.6754,8.6719,8.6719,94029,0
BWG.US,D,20120425,000000,8.6719,8.68,8.6719,8.6719,201201,0
BWG.US,D,20120426,000000,8.6754,8.6955,8.6719,8.6719,115890,0
BWG.US,D,20120427,000000,8.6709,8.6754,8.6709,8.6754,16617,0
BWG.US,D,20120430,000000,8.6719,8.6754,8.6719,8.6719,1047718,0
BWG.US,D,20120501,000000,8.6709,8.6754,8.6709,8.6709,142497,0
BWG.US,D,20120502,000000,8.6719,8.6754,8.6719,8.6719,230349,0
BWG.US,D,20120503,000000,8.6709,8.6754,8.6709,8.6709,424522,0
BWG.US,D,20120504,000000,8.6709,8.69,8.6709,8.6874,140347,0
BWG.US,D,20120507,000000,8.6719,8.7503,8.6719,8.6955,209782,0
BWG.US,D,20120508,000000,8.6836,8.6945,8.6836,8.6836,242532,0
BWG.US,D,20120509,000000,8.7054,8.8666,8.6709,8.6709,477972,0
BWG.US,D,20120510,000000,8.6874,8.69,8.6709,8.6709,122779,0
BWG.US,D,20120511,000000,8.6754,8.6754,8.6709,8.6709,165557,0
BWG.US,D,20120514,000000,8.6234,8.6234,8.3923,8.5542,270296,0
BWG.US,D,20120515,000000,8.6234,8.6234,8.5634,8.5669,108340,0
BWG.US,D,20120516,000000,8.5587,8.6109,8.4596,8.4835,35138,0
BWG.US,D,20120517,000000,8.4691,8.4871,8.4294,8.4339,91991,0
BWG.US,D,20120518,000000,8.4048,8.4089,8.1592,8.1815,62227,0
BWG.US,D,20120521,000000,8.2385,8.2522,8.0955,8.1405,98757,0
BWG.US,D,20120522,000000,8.1546,8.2385,8.1031,8.1031,102848,0
BWG.US,D,20120523,000000,8.0955,8.1031,8.0215,8.0359,117998,0
BWG.US,D,20120524,000000,8.0249,8.0444,8.0249,8.0291,34505,0
BWG.US,D,20120525,000000,8.211,8.211,7.9314,7.9908,67749,0
BWG.US,D,20120529,000000,8.0291,8.0291,7.9469,8.0167,26321,0
BWG.US,D,20120530,000000,8.0024,8.0759,7.9469,7.9469,56952,0
BWG.US,D,20120531,000000,7.9469,7.9469,7.6403,7.8155,163999,0
BWG.US,D,20120601,000000,7.748,7.7925,7.7398,7.7793,38612,0
BWG.US,D,20120604,000000,7.794,7.7994,7.4505,7.5033,225629,0
BWG.US,D,20120605,000000,7.5215,7.5547,7.4483,7.5215,80976,0
BWG.US,D,20120606,000000,7.5826,7.6806,7.5444,7.6806,57769,0
BWG.US,D,20120607,000000,7.6739,7.8435,7.6739,7.8103,43875,0
BWG.US,D,20120608,000000,7.7955,7.8435,7.715,7.8366,54689,0
BWG.US,D,20120611,000000,7.8191,7.8925,7.6935,7.6935,54142,0
BWG.US,D,20120612,000000,7.6961,7.7311,7.6895,7.7311,38696,0
BWG.US,D,20120613,000000,7.801,7.8596,7.7824,7.7872,67414,0
BWG.US,D,20120614,000000,7.7925,7.8863,7.7925,7.8435,73925,0
BWG.US,D,20120615,000000,7.8391,7.8776,7.6864,7.8054,82856,0
BWG.US,D,20120618,000000,7.8054,7.9628,7.8054,7.9339,68627,0
BWG.US,D,20120619,000000,7.9374,8.0215,7.9295,7.9628,75790,0
BWG.US,D,20120620,000000,7.9686,8.0104,7.8103,7.8689,104466,0
BWG.US,D,20120621,000000,7.8217,7.8596,7.7955,7.8256,93511,0
BWG.US,D,20120622,000000,7.883,7.9031,7.8103,7.8132,76607,0
BWG.US,D,20120625,000000,7.8163,7.8496,7.7277,7.748,158592,0
BWG.US,D,20120626,000000,7.7185,7.8054,7.6781,7.7011,282058,0
BWG.US,D,20120627,000000,7.7872,7.9469,7.7115,7.9469,129682,0
BWG.US,D,20120628,000000,7.9031,8.0702,7.8918,8.0639,98059,0
BWG.US,D,20120629,000000,8.1167,8.1985,8.1123,8.1405,50264,0
BWG.US,D,20120702,000000,8.1643,8.2949,8.1643,8.2755,77648,0
BWG.US,D,20120703,000000,8.2081,8.3054,8.2081,8.3054,18414,0
BWG.US,D,20120705,000000,8.3362,8.3415,8.1509,8.1669,84938,0
BWG.US,D,20120706,000000,8.1669,8.2453,8.1329,8.2289,65676,0
BWG.US,D,20120709,000000,8.2466,8.2529,8.1123,8.1372,87718,0
BWG.US,D,20120710,000000,8.1839,8.278,8.1779,8.2331,75872,0
BWG.US,D,20120711,000000,8.2738,8.2738,8.1953,8.1953,35013,0
BWG.US,D,20120712,000000,8.2117,8.2975,8.1839,8.2176,72761,0
BWG.US,D,20120713,000000,8.2669,8.3381,8.2608,8.3381,63394,0
BWG.US,D,20120716,000000,8.3054,8.4515,8.2922,8.2922,94801,0
BWG.US,D,20120717,000000,8.3608,8.5281,8.3608,8.4861,119141,0
BWG.US,D,20120718,000000,8.4852,8.5308,8.4807,8.4852,51787,0
BWG.US,D,20120719,000000,8.5832,8.7164,8.3882,8.4852,235820,0
BWG.US,D,20120720,000000,8.5032,8.594,8.489,8.5237,94311,0
BWG.US,D,20120723,000000,8.512,8.5697,8.4117,8.5405,94164,0
BWG.US,D,20120724,000000,8.5832,8.5832,8.4462,8.4852,199295,0
BWG.US,D,20120725,000000,8.5202,8.574,8.3713,8.4807,152192,0
BWG.US,D,20120726,000000,8.5644,8.5644,8.3794,8.4089,180746,0
BWG.US,D,20120727,000000,8.5032,8.5237,8.489,8.4908,57666,0
BWG.US,D,20120730,000000,8.4303,8.5271,8.4303,8.471,93466,0
BWG.US,D,20120731,000000,8.5003,8.5832,8.495,8.5068,190155,0
BWG.US,D,20120801,000000,8.594,8.6253,8.5514,8.6216,63396,0
BWG.US,D,20120802,000000,8.6691,8.6691,8.574,8.6487,81354,0
BWG.US,D,20120803,000000,8.6645,8.7164,8.6584,8.6746,104712,0
BWG.US,D,20120806,000000,8.7618,8.785,8.6514,8.7164,177807,0
BWG.US,D,20120807,000000,8.6645,8.8263,8.6645,8.7877,154145,0
BWG.US,D,20120808,000000,8.8115,8.8115,8.6514,8.6584,82362,0
BWG.US,D,20120809,000000,8.609,8.7448,8.609,8.6514,88168,0
BWG.US,D,20120810,000000,8.5969,8.7009,8.5644,8.6584,122877,0
BWG.US,D,20120813,000000,8.7263,8.7411,8.5806,8.6487,87225,0
BWG.US,D,20120814,000000,8.6136,8.7126,8.5549,8.5688,169866,0
BWG.US,D,20120815,000000,8.5883,8.5883,8.512,8.512,148840,0
BWG.US,D,20120816,000000,8.5806,8.6034,8.489,8.6034,97488,0
BWG.US,D,20120817,000000,8.6034,8.6034,8.5202,8.5237,96880,0
BWG.US,D,20120820,000000,8.5003,8.609,8.4515,8.4757,185469,0
BWG.US,D,20120821,000000,8.471,8.5514,8.471,8.5308,212784,0
BWG.US,D,20120822,000000,8.573,8.573,8.4498,8.4747,240212,0
BWG.US,D,20120823,000000,8.4379,8.4747,8.3984,8.3984,217604,0
BWG.US,D,20120824,000000,8.423,8.4596,8.3872,8.4188,281777,0
BWG.US,D,20120827,000000,8.4188,8.4498,8.3908,8.3984,142838,0
BWG.US,D,20120828,000000,8.4329,8.4549,8.3984,8.4498,145336,0
BWG.US,D,20120829,000000,8.5174,8.5202,8.4379,8.4691,82930,0
BWG.US,D,20120830,000000,8.511,8.511,8.4498,8.4782,174698,0
BWG.US,D,20120831,000000,8.573,8.6297,8.5174,8.6136,132959,0
BWG.US,D,20120904,000000,8.6574,8.6827,8.5995,8.6827,84864,0
BWG.US,D,20120905,000000,8.7311,8.7737,8.6635,8.7083,174607,0
BWG.US,D,20120906,000000,8.7503,8.8226,8.6945,8.818,150786,0
BWG.US,D,20120907,000000,8.818,8.8807,8.8115,8.8711,133121,0
BWG.US,D,20120910,000000,8.8807,8.8844,8.7931,8.7931,181362,0
BWG.US,D,20120911,000000,8.8411,8.8807,8.7263,8.7411,174432,0
BWG.US,D,20120912,000000,8.818,8.8226,8.7164,8.806,177237,0
BWG.US,D,20120913,000000,8.806,8.8606,8.7618,8.8328,121331,0
BWG.US,D,20120914,000000,8.8807,8.8807,8.7931,8.8328,158392,0
BWG.US,D,20120917,000000,8.8532,8.8532,8.7987,8.8365,55612,0
BWG.US,D,20120918,000000,8.8513,8.8513,8.7365,8.7618,179896,0
