<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWNB.US,D,20211220,000000,24.9,24.9,24.49,24.5,162981,0
BWNB.US,D,20211221,000000,24.6132,24.635,24.51,24.54,31431,0
BWNB.US,D,20211222,000000,24.68,24.7,24.56,24.66,36362,0
BWNB.US,D,20211223,000000,24.74,24.84,24.7,24.8,155050,0
BWNB.US,D,20211227,000000,24.72,24.85,24.72,24.84,95037,0
BWNB.US,D,20211228,000000,24.78,24.93,24.78,24.87,93954,0
BWNB.US,D,20211229,000000,24.8999,24.9,24.81,24.855,55227,0
BWNB.US,D,20211230,000000,24.9,24.95,24.83,24.88,38269,0
BWNB.US,D,20211231,000000,24.85,24.89,24.77,24.8,532046,0
BWNB.US,D,20220103,000000,24.78,24.84,24.77,24.785,31587,0
BWNB.US,D,20220104,000000,24.8,24.8,24.74,24.78,26247,0
BWNB.US,D,20220105,000000,24.72,24.8,24.55,24.65,24872,0
BWNB.US,D,20220106,000000,24.75,24.75,24.5426,24.6,25824,0
BWNB.US,D,20220107,000000,24.7,24.7,24.5,24.6,13541,0
BWNB.US,D,20220110,000000,24.62,24.62,24.51,24.6,22548,0
BWNB.US,D,20220111,000000,24.7,24.75,24.55,24.62,21651,0
BWNB.US,D,20220112,000000,24.57,24.74,24.57,24.74,30869,0
BWNB.US,D,20220113,000000,24.78,24.78,24.55,24.66,15969,0
BWNB.US,D,20220114,000000,24.6,24.65,24.55,24.59,23779,0
BWNB.US,D,20220118,000000,24.665,24.665,24.57,24.6,19052,0
BWNB.US,D,20220119,000000,24.76,24.76,24.429,24.57,25118,0
BWNB.US,D,20220120,000000,24.6,24.63,24.54,24.54,17065,0
BWNB.US,D,20220121,000000,24.5818,24.61,24.53,24.6,82531,0
