<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BXMT.US,D,20050225,000000,70.596,71.982,70.596,71.287,7781,0
BXMT.US,D,20050228,000000,71.398,71.982,70.722,71.765,5107,0
BXMT.US,D,20050301,000000,72.25,72.535,71.138,71.803,9495,0
BXMT.US,D,20050302,000000,71.398,73.109,71.35,72.4,14101,0
BXMT.US,D,20050303,000000,72.861,72.861,70.512,71.939,8454,0
BXMT.US,D,20050304,000000,72.062,72.953,72.062,72.809,3513,0
BXMT.US,D,20050307,000000,73.285,73.741,72.833,73.454,8282,0
BXMT.US,D,20050308,000000,74.424,74.424,72.25,72.269,6276,0
BXMT.US,D,20050309,000000,71.913,74.529,71.314,72.733,7575,0
BXMT.US,D,20050310,000000,72.062,72.665,71.182,71.314,8703,0
BXMT.US,D,20050311,000000,72.4,72.4,69.971,70.398,8662,0
BXMT.US,D,20050314,000000,70.512,70.651,68.289,68.824,11547,0
BXMT.US,D,20050315,000000,69.08,70.398,68.627,68.627,5566,0
BXMT.US,D,20050316,000000,68.471,68.567,66.865,67.236,12129,0
BXMT.US,D,20050317,000000,67.739,70.116,66.892,69.633,9745,0
BXMT.US,D,20050318,000000,70.977,71.643,70.249,71.054,38906,0
BXMT.US,D,20050321,000000,71.643,71.982,70.821,71.152,7402,0
BXMT.US,D,20050322,000000,71.054,72.163,71.003,71.314,15941,0
BXMT.US,D,20050323,000000,70.977,71.314,70.532,71.109,20123,0
BXMT.US,D,20050324,000000,71.569,72.163,71.569,71.597,49997,0
BXMT.US,D,20050328,000000,71.597,71.71,70.179,71.054,18823,0
BXMT.US,D,20050329,000000,70.075,72.861,70.075,72.861,14227,0
BXMT.US,D,20050330,000000,73.947,74.618,73.769,73.923,16276,0
BXMT.US,D,20050331,000000,75.055,75.055,73.36,73.681,20876,0
BXMT.US,D,20050401,000000,73.947,74.529,70.532,71.913,19208,0
BXMT.US,D,20050404,000000,71.71,73.558,71.597,72.99,10920,0
BXMT.US,D,20050405,000000,72.733,74.312,72.191,73.169,6735,0
BXMT.US,D,20050406,000000,73.608,73.681,73.169,73.285,6695,0
BXMT.US,D,20050407,000000,73.27,73.741,72.637,72.809,11381,0
BXMT.US,D,20050408,000000,72.624,73.923,72.595,73.632,11503,0
BXMT.US,D,20050411,000000,73.632,73.8,72.942,73.073,21588,0
BXMT.US,D,20050412,000000,73.623,76.416,73.169,76.28,10289,0
BXMT.US,D,20050413,000000,76.082,76.393,74.702,74.702,8282,0
BXMT.US,D,20050414,000000,74.508,76.119,73.807,75.756,10333,0
BXMT.US,D,20050415,000000,75.756,77.731,74.747,74.761,16981,0
BXMT.US,D,20050418,000000,75.074,75.915,74.964,75.511,6945,0
BXMT.US,D,20050419,000000,75.179,76.082,75.055,75.607,14101,0
BXMT.US,D,20050420,000000,75.511,75.511,73.947,74.392,5899,0
BXMT.US,D,20050421,000000,74.392,75.495,73.475,75.217,6651,0
