<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BXP.US,D,20050225,000000,35.729,36.651,35.729,36.613,470360,0
BXP.US,D,20050228,000000,36.637,36.762,35.839,36.427,856792,0
BXP.US,D,20050301,000000,36.427,37.019,36.388,36.953,564096,0
BXP.US,D,20050302,000000,36.912,36.918,36.516,36.702,419519,0
BXP.US,D,20050303,000000,36.793,36.842,36.432,36.628,433435,0
BXP.US,D,20050304,000000,36.725,37.671,36.725,37.671,571901,0
BXP.US,D,20050307,000000,37.61,38.342,37.415,38.051,594768,0
BXP.US,D,20050308,000000,38.058,38.058,37.537,37.643,363423,0
BXP.US,D,20050309,000000,37.516,37.516,36.327,36.466,1150053,0
BXP.US,D,20050310,000000,36.835,37.1,36.382,37.1,896699,0
BXP.US,D,20050311,000000,36.953,36.967,36.732,36.856,475475,0
BXP.US,D,20050314,000000,36.644,37.502,36.619,37.502,471073,0
BXP.US,D,20050315,000000,37.516,37.813,37.405,37.431,652570,0
BXP.US,D,20050316,000000,37.431,37.454,36.924,36.961,628140,0
BXP.US,D,20050317,000000,37.052,37.502,37.052,37.502,382455,0
BXP.US,D,20050318,000000,37.469,37.573,37.192,37.489,544779,0
BXP.US,D,20050321,000000,37.447,37.489,36.939,37.122,330052,0
BXP.US,D,20050322,000000,37.08,37.342,35.905,36.213,709660,0
BXP.US,D,20050323,000000,35.997,36.619,35.743,36.24,661092,0
BXP.US,D,20050324,000000,36.361,36.815,36.313,36.459,451048,0
BXP.US,D,20050328,000000,36.427,36.523,36.172,36.301,475044,0
BXP.US,D,20050329,000000,35.952,36.059,35.736,35.887,906783,0
BXP.US,D,20050330,000000,35.822,36.49,35.822,36.453,425198,0
BXP.US,D,20050331,000000,36.608,36.924,36.566,36.688,592777,0
BXP.US,D,20050401,000000,37.461,37.461,36.222,36.333,771297,0
BXP.US,D,20050404,000000,36.345,36.459,35.839,36.396,916864,0
BXP.US,D,20050405,000000,36.374,36.495,36.27,36.405,644049,0
BXP.US,D,20050406,000000,36.466,36.739,36.388,36.717,595054,0
BXP.US,D,20050407,000000,36.717,36.997,36.608,36.918,399072,0
BXP.US,D,20050408,000000,36.939,37.1,36.903,37.004,1192376,0
BXP.US,D,20050411,000000,37.029,37.262,36.967,37.24,205356,0
BXP.US,D,20050412,000000,37.122,37.762,37.1,37.762,782515,0
BXP.US,D,20050413,000000,37.762,38.058,37.692,37.905,589372,0
BXP.US,D,20050414,000000,37.881,38.035,37.775,37.842,662655,0
BXP.US,D,20050415,000000,37.932,38.122,37.742,37.96,506718,0
BXP.US,D,20050418,000000,37.96,38.122,37.889,38.122,627431,0
BXP.US,D,20050419,000000,37.996,38.22,37.996,38.185,610247,0
BXP.US,D,20050420,000000,38.129,38.156,37.919,38.129,683956,0
BXP.US,D,20050421,000000,38.096,38.251,37.875,38.251,1278303,0
BXP.US,D,20050422,000000,38.177,38.544,38.087,38.544,621046,0
BXP.US,D,20050425,000000,38.503,38.931,38.469,38.798,581844,0
BXP.US,D,20050426,000000,38.77,38.847,38.571,38.84,743746,0
BXP.US,D,20050427,000000,38.826,39.855,38.728,39.849,1446447,0
BXP.US,D,20050428,000000,40.32,40.594,40.182,40.369,1449149,0
BXP.US,D,20050429,000000,40.385,40.53,39.895,40.489,1114413,0
BXP.US,D,20050502,000000,40.489,40.489,39.536,39.938,1164112,0
BXP.US,D,20050503,000000,39.855,40.259,39.757,40.172,792029,0
BXP.US,D,20050504,000000,40.172,40.546,40.049,40.489,716618,0
BXP.US,D,20050505,000000,40.474,41.101,40.445,41.004,707247,0
BXP.US,D,20050506,000000,40.776,40.981,40.418,40.691,511552,0
BXP.US,D,20050509,000000,40.691,41.39,40.665,41.39,409010,0
BXP.US,D,20050510,000000,41.39,41.467,41.202,41.234,1530375,0
BXP.US,D,20050511,000000,41.254,41.274,40.755,40.776,1046097,0
BXP.US,D,20050512,000000,40.445,40.445,40.037,40.143,938449,0
BXP.US,D,20050513,000000,40.213,40.397,39.895,40.057,531991,0
BXP.US,D,20050516,000000,40.107,40.5,40.009,40.5,569060,0
BXP.US,D,20050517,000000,40.433,40.742,40.219,40.699,442948,0
BXP.US,D,20050518,000000,40.805,40.957,40.748,40.805,1119524,0
BXP.US,D,20050519,000000,40.805,41.931,40.784,41.771,1044821,0
BXP.US,D,20050520,000000,41.78,41.78,41.283,41.431,456157,0
BXP.US,D,20050523,000000,41.353,41.931,41.353,41.565,394665,0
BXP.US,D,20050524,000000,40.748,41.225,40.643,40.686,776408,0
BXP.US,D,20050525,000000,40.691,40.712,40.299,40.402,450620,0
BXP.US,D,20050526,000000,40.466,40.784,39.728,39.895,764625,0
BXP.US,D,20050527,000000,39.902,40.037,39.812,40.014,561677,0
BXP.US,D,20050531,000000,40.043,40.84,40.031,40.686,923255,0
BXP.US,D,20050601,000000,40.672,40.825,40.489,40.825,1020112,0
BXP.US,D,20050602,000000,40.712,40.805,40.581,40.742,382883,0
BXP.US,D,20050603,000000,40.847,41.234,40.805,40.805,470080,0
BXP.US,D,20050606,000000,40.897,41.121,40.834,40.951,461557,0
BXP.US,D,20050607,000000,41.092,41.349,40.897,41.108,635103,0
BXP.US,D,20050608,000000,41.066,41.594,41.066,41.262,374781,0
BXP.US,D,20050609,000000,41.262,41.262,40.951,41.116,715483,0
BXP.US,D,20050610,000000,41.234,41.483,41.116,41.262,417528,0
BXP.US,D,20050613,000000,41.262,41.588,41.24,41.552,603857,0
BXP.US,D,20050614,000000,41.496,41.771,41.353,41.762,499621,0
BXP.US,D,20050615,000000,41.762,41.79,41.467,41.742,428325,0
BXP.US,D,20050616,000000,41.689,41.742,41.431,41.649,499901,0
BXP.US,D,20050617,000000,41.656,42.607,41.656,42.572,880935,0
BXP.US,D,20050620,000000,42.431,42.635,42.36,42.474,377486,0
BXP.US,D,20050621,000000,42.481,42.623,42.096,42.101,622179,0
BXP.US,D,20050622,000000,42.213,42.423,42.044,42.154,385148,0
BXP.US,D,20050623,000000,42.058,42.451,42.036,42.292,383023,0
BXP.US,D,20050624,000000,42.451,42.741,41.923,42.221,1284974,0
BXP.US,D,20050627,000000,42.065,42.292,41.897,42.05,616925,0
BXP.US,D,20050628,000000,41.515,41.916,41.515,41.856,865025,0
BXP.US,D,20050629,000000,41.798,42.34,41.706,42.148,391396,0
BXP.US,D,20050630,000000,42.073,42.644,41.798,42.635,1069106,0
BXP.US,D,20050701,000000,42.691,43.242,42.485,43.242,1019683,0
BXP.US,D,20050705,000000,43.123,43.833,42.741,43.686,776835,0
BXP.US,D,20050706,000000,43.734,43.923,43.478,43.486,674579,0
BXP.US,D,20050707,000000,43.335,43.827,43.21,43.79,403473,0
BXP.US,D,20050708,000000,43.804,44.617,43.679,44.495,642204,0
BXP.US,D,20050711,000000,44.495,44.953,44.472,44.892,888319,0
BXP.US,D,20050712,000000,44.84,45.108,44.735,44.991,680831,0
BXP.US,D,20050713,000000,44.981,44.986,44.699,44.75,376629,0
BXP.US,D,20050714,000000,44.75,44.807,44.084,44.265,523760,0
BXP.US,D,20050715,000000,44.121,44.331,44.008,44.276,543360,0
BXP.US,D,20050718,000000,44.22,44.699,44.197,44.452,664925,0
BXP.US,D,20050719,000000,44.495,44.876,44.472,44.735,425627,0
BXP.US,D,20050720,000000,44.677,45.25,44.551,45.21,358025,0
BXP.US,D,20050721,000000,45.1,45.205,44.276,44.391,545917,0
BXP.US,D,20050722,000000,44.391,44.721,44.176,44.712,370098,0
BXP.US,D,20050725,000000,44.735,45.218,44.706,45.135,353054,0
BXP.US,D,20050726,000000,45.21,45.544,45.108,45.53,435851,0
BXP.US,D,20050727,000000,45.679,46.327,45.571,45.924,574462,0
BXP.US,D,20050728,000000,45.924,46.486,45.847,46.267,565798,0
BXP.US,D,20050729,000000,46.267,46.698,46.267,46.382,572896,0
BXP.US,D,20050801,000000,46.533,46.691,46.106,46.36,474905,0
BXP.US,D,20050802,000000,46.045,46.479,45.897,46.444,750701,0
BXP.US,D,20050803,000000,46.444,46.584,46.009,46.391,379185,0
