<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C.US,D,19700102,000000,22.293,22.898,22.211,22.809,33161,0
C.US,D,19700105,000000,22.809,23.156,22.728,22.809,36229,0
C.US,D,19700106,000000,22.809,22.809,22.123,22.293,48585,0
C.US,D,19700107,000000,22.293,22.293,22.035,22.211,37388,0
C.US,D,19700108,000000,22.211,22.211,21.866,22.035,60624,0
C.US,D,19700109,000000,22.035,22.123,21.866,22.123,27777,0
C.US,D,19700112,000000,22.123,22.211,21.691,21.776,28201,0
C.US,D,19700113,000000,21.776,21.866,21.346,21.346,41716,0
C.US,D,19700114,000000,21.346,21.436,20.746,21.087,65796,0
C.US,D,19700115,000000,21.087,21.177,20.49,20.571,66853,0
C.US,D,19700116,000000,20.571,20.83,20.143,20.143,77515,0
C.US,D,19700119,000000,20.143,20.143,19.797,19.797,79526,0
C.US,D,19700120,000000,19.797,20.143,19.797,20.143,64110,0
C.US,D,19700121,000000,20.317,20.83,20.317,20.746,44988,0
C.US,D,19700122,000000,20.746,20.83,20.143,20.228,31576,0
C.US,D,19700123,000000,20.143,20.143,19.625,19.711,68647,0
C.US,D,19700126,000000,19.625,19.625,19.282,19.366,141733,0
C.US,D,19700127,000000,19.366,19.797,18.595,18.675,91884,0
C.US,D,19700128,000000,18.675,18.675,17.475,17.647,136876,0
C.US,D,19700129,000000,17.647,18.337,17.302,17.647,92621,0
C.US,D,19700130,000000,17.647,18.337,17.647,18.163,68861,0
C.US,D,19700202,000000,17.128,17.128,15.581,15.754,1008388,0
C.US,D,19700203,000000,15.754,16.613,15.754,16.526,353910,0
C.US,D,19700204,000000,16.526,16.787,15.664,15.664,260651,0
C.US,D,19700205,000000,15.664,16.182,15.664,16.182,86920,0
C.US,D,19700206,000000,16.356,17.905,16.356,17.388,130539,0
C.US,D,19700209,000000,17.388,17.99,17.128,17.216,184400,0
C.US,D,19700210,000000,17.216,17.388,16.787,17.128,86391,0
