<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBH.US,D,20170628,000000,7.7315,7.7626,7.7315,7.7315,1108736,0
CBH.US,D,20170629,000000,7.7315,7.7472,7.7315,7.7315,199480,0
CBH.US,D,20170630,000000,7.7472,7.7545,7.7401,7.7472,52977,0
CBH.US,D,20170703,000000,7.7472,7.7545,7.7315,7.7401,36393,0
CBH.US,D,20170705,000000,7.7545,7.7626,7.7315,7.7472,124217,0
CBH.US,D,20170706,000000,7.7472,7.7626,7.7401,7.7626,59233,0
CBH.US,D,20170707,000000,7.7545,7.771,7.7401,7.7588,93140,0
CBH.US,D,20170710,000000,7.7626,7.8022,7.7472,7.771,71424,0
CBH.US,D,20170711,000000,7.7873,7.8022,7.779,7.7948,53578,0
CBH.US,D,20170712,000000,7.8089,7.8252,7.7873,7.8252,82565,0
CBH.US,D,20170713,000000,7.8416,7.8416,7.8252,7.8416,35598,0
CBH.US,D,20170714,000000,7.8493,8.1198,7.8467,7.9493,176564,0
CBH.US,D,20170717,000000,7.8896,7.9156,7.8858,7.9107,14189,0
CBH.US,D,20170718,000000,7.9252,7.9252,7.8858,7.9026,12357,0
CBH.US,D,20170719,000000,7.8693,7.8858,7.8336,7.8493,26901,0
CBH.US,D,20170720,000000,7.8638,8.0036,7.8416,7.9252,22737,0
CBH.US,D,20170721,000000,8.0406,8.1031,7.9654,8.0036,42786,0
CBH.US,D,20170724,000000,8.0787,8.0787,7.961,7.9654,8629,0
CBH.US,D,20170725,000000,7.871,7.8858,7.7545,7.8493,131664,0
CBH.US,D,20170726,000000,7.8648,7.8648,7.8089,7.817,49598,0
CBH.US,D,20170727,000000,7.8493,7.871,7.8089,7.8089,26386,0
CBH.US,D,20170728,000000,7.8493,7.8493,7.771,7.8493,29589,0
CBH.US,D,20170731,000000,7.8493,7.8493,7.8097,7.8493,15219,0
CBH.US,D,20170801,000000,7.8276,7.8584,7.8089,7.8416,16915,0
CBH.US,D,20170802,000000,7.8416,7.8416,7.8022,7.8252,65080,0
CBH.US,D,20170803,000000,7.8416,7.8416,7.8067,7.8067,16524,0
CBH.US,D,20170804,000000,7.8336,7.8416,7.8081,7.8416,10494,0
CBH.US,D,20170807,000000,7.8336,7.9252,7.8336,7.9026,36044,0
CBH.US,D,20170808,000000,7.8571,7.8858,7.8252,7.8781,27112,0
CBH.US,D,20170809,000000,7.8781,7.8781,7.871,7.871,10347,0
CBH.US,D,20170810,000000,7.8591,7.8858,7.8571,7.8638,23794,0
CBH.US,D,20170811,000000,7.8571,7.9026,7.8493,7.8638,31399,0
CBH.US,D,20170814,000000,7.8638,7.8823,7.7401,7.771,60258,0
CBH.US,D,20170815,000000,7.7804,7.7804,7.6553,7.6632,111220,0
CBH.US,D,20170816,000000,7.7011,7.7011,7.5308,7.6712,133423,0
CBH.US,D,20170817,000000,7.6247,7.6934,7.5544,7.5544,86162,0
CBH.US,D,20170818,000000,7.6137,7.684,7.5433,7.5971,112147,0
CBH.US,D,20170821,000000,7.6374,7.6609,7.6137,7.6609,11164,0
CBH.US,D,20170822,000000,7.6609,7.752,7.6455,7.6526,92317,0
CBH.US,D,20170823,000000,7.5971,7.6899,7.5355,7.6137,76517,0
CBH.US,D,20170824,000000,7.6422,7.6422,7.6053,7.6137,9484,0
CBH.US,D,20170825,000000,7.6137,7.6374,7.6137,7.6212,21502,0
CBH.US,D,20170828,000000,7.6455,7.684,7.6212,7.684,54709,0
CBH.US,D,20170829,000000,7.6609,7.7215,7.6526,7.7066,32227,0
CBH.US,D,20170830,000000,7.7129,7.7215,7.6526,7.6526,27582,0
CBH.US,D,20170831,000000,7.6374,7.6908,7.6374,7.6908,30150,0
CBH.US,D,20170901,000000,7.7215,7.7293,7.6886,7.7215,38963,0
CBH.US,D,20170905,000000,7.6908,7.7293,7.6646,7.7293,21382,0
CBH.US,D,20170906,000000,7.7129,7.7846,7.6908,7.7846,60032,0
CBH.US,D,20170907,000000,7.7659,7.7846,7.7293,7.7846,25704,0
CBH.US,D,20170908,000000,7.7342,7.8205,7.7261,7.8121,25939,0
CBH.US,D,20170911,000000,7.8205,7.8373,7.7719,7.8373,58904,0
CBH.US,D,20170912,000000,7.7927,7.8441,7.7927,7.8285,45464,0
CBH.US,D,20170913,000000,7.8373,7.8441,7.8049,7.8205,44621,0
CBH.US,D,20170914,000000,7.8049,7.8346,7.7974,7.8229,25637,0
CBH.US,D,20170915,000000,7.8373,7.8373,7.765,7.8049,48243,0
CBH.US,D,20170918,000000,7.8049,7.8285,7.6313,7.765,19972,0
CBH.US,D,20170919,000000,7.765,7.7734,7.6878,7.7261,21397,0
CBH.US,D,20170920,000000,7.765,7.765,7.7261,7.7261,8341,0
CBH.US,D,20170921,000000,7.7352,7.7352,7.5778,7.6013,51456,0
CBH.US,D,20170922,000000,7.6569,7.6878,7.6569,7.6728,12490,0
CBH.US,D,20170925,000000,7.6728,7.7102,7.5861,7.6569,57807,0
CBH.US,D,20170926,000000,7.6878,7.6951,7.6464,7.6951,38941,0
CBH.US,D,20170927,000000,7.7035,7.7102,7.6487,7.6646,57271,0
CBH.US,D,20170928,000000,7.6646,7.7424,7.6646,7.7424,23531,0
CBH.US,D,20170929,000000,7.7078,7.7734,7.6951,7.765,38855,0
CBH.US,D,20171002,000000,7.7734,7.79,7.7579,7.79,26867,0
CBH.US,D,20171003,000000,7.7498,7.7545,7.7191,7.7498,29463,0
CBH.US,D,20171004,000000,7.7424,7.7424,7.7182,7.7261,15419,0
CBH.US,D,20171005,000000,7.7261,7.7261,7.7035,7.7182,27109,0
CBH.US,D,20171006,000000,7.7182,7.7182,7.7002,7.7182,21723,0
CBH.US,D,20171009,000000,7.7261,7.757,7.7261,7.7498,6536,0
CBH.US,D,20171010,000000,7.723,7.8441,7.723,7.7734,61180,0
CBH.US,D,20171011,000000,7.8089,7.8089,7.779,7.7943,16731,0
CBH.US,D,20171012,000000,7.7948,7.8336,7.7948,7.817,5580,0
CBH.US,D,20171013,000000,7.7943,7.8022,7.7619,7.7865,5325,0
CBH.US,D,20171016,000000,7.7781,7.7781,7.6689,7.684,33164,0
CBH.US,D,20171017,000000,7.7392,7.7392,7.7066,7.723,17539,0
CBH.US,D,20171018,000000,7.7536,7.7619,7.723,7.7619,14883,0
CBH.US,D,20171019,000000,7.7619,7.7943,7.7619,7.7865,12886,0
CBH.US,D,20171020,000000,7.8022,7.8022,7.6455,7.684,56732,0
CBH.US,D,20171023,000000,7.6918,7.7146,7.6689,7.6767,40355,0
CBH.US,D,20171024,000000,7.6455,7.684,7.5741,7.5971,86595,0
CBH.US,D,20171025,000000,7.6071,7.6286,7.5355,7.5741,28932,0
CBH.US,D,20171026,000000,7.5895,7.6053,7.5663,7.5663,56580,0
CBH.US,D,20171027,000000,7.5947,7.5947,7.2762,7.355,107038,0
CBH.US,D,20171030,000000,7.3632,7.4174,7.1822,7.1899,126181,0
CBH.US,D,20171031,000000,7.2762,7.4254,7.2056,7.3783,150958,0
CBH.US,D,20171101,000000,7.4254,7.4487,7.401,7.4487,25083,0
CBH.US,D,20171102,000000,7.4411,7.4795,7.416,7.4723,26616,0
CBH.US,D,20171103,000000,7.4881,7.5197,7.477,7.5197,16198,0
CBH.US,D,20171106,000000,7.5197,7.5663,7.5147,7.5433,43334,0
CBH.US,D,20171107,000000,7.5442,7.5483,7.4487,7.4955,53329,0
CBH.US,D,20171108,000000,7.4881,7.4881,7.2531,7.4169,135679,0
CBH.US,D,20171109,000000,7.4254,7.4411,7.3153,7.3468,56161,0
CBH.US,D,20171110,000000,7.3751,7.3751,7.2961,7.3278,95373,0
CBH.US,D,20171113,000000,7.3277,7.3278,7.2887,7.2961,80289,0
CBH.US,D,20171114,000000,7.3278,7.3278,7.257,7.2984,81242,0
CBH.US,D,20171115,000000,7.3358,7.3984,7.0602,7.1549,272499,0
CBH.US,D,20171116,000000,7.1625,7.2728,7.1549,7.2492,108589,0
CBH.US,D,20171117,000000,7.2176,7.2641,7.2176,7.2492,65778,0
CBH.US,D,20171120,000000,7.2414,7.2649,7.1308,7.1705,110189,0
CBH.US,D,20171121,000000,7.1549,7.2334,7.1308,7.2187,116945,0
CBH.US,D,20171122,000000,7.1625,7.1942,7.1466,7.1549,49609,0
CBH.US,D,20171124,000000,7.1549,7.2019,7.1308,7.1705,34519,0
CBH.US,D,20171127,000000,7.1782,7.1861,7.0917,7.139,170135,0
CBH.US,D,20171128,000000,7.1705,7.2176,7.1233,7.1308,226161,0
CBH.US,D,20171129,000000,7.1233,7.135,7.0363,7.0363,236238,0
CBH.US,D,20171130,000000,7.0726,7.0726,6.9734,7.0101,467671,0
CBH.US,D,20171201,000000,7.0363,7.052,6.9968,7.0363,232517,0
CBH.US,D,20171204,000000,7.0443,7.107,7.0443,7.0443,242778,0
CBH.US,D,20171205,000000,6.9816,7.0917,6.9734,7.0443,263498,0
CBH.US,D,20171206,000000,7.0363,7.0757,6.9341,7.0049,198999,0
CBH.US,D,20171207,000000,7.0443,7.0602,6.9341,7.0251,267917,0
CBH.US,D,20171208,000000,6.9779,7.1046,6.9779,7.0811,143539,0
CBH.US,D,20171211,000000,7.0255,7.16,7.0255,7.1365,322612,0
CBH.US,D,20171212,000000,7.1442,7.253,7.1365,7.2393,278347,0
CBH.US,D,20171213,000000,7.2524,7.3264,7.1919,7.3264,287789,0
CBH.US,D,20171214,000000,7.3659,7.3659,7.1839,7.2235,253837,0
CBH.US,D,20171215,000000,7.176,7.2709,7.1442,7.2471,422272,0
CBH.US,D,20171218,000000,7.2314,7.2471,7.1285,7.2156,563336,0
CBH.US,D,20171219,000000,7.1919,7.2156,7.1365,7.176,979395,0
CBH.US,D,20171220,000000,7.1839,7.1997,7.1285,7.176,468241,0
CBH.US,D,20171221,000000,7.152,7.2075,7.1285,7.1599,498065,0
CBH.US,D,20171222,000000,7.1365,7.2075,7.1365,7.1997,229171,0
CBH.US,D,20171226,000000,7.1839,7.2394,7.168,7.2314,236930,0
CBH.US,D,20171227,000000,7.2162,7.2393,7.1919,7.2305,302270,0
CBH.US,D,20171228,000000,7.2192,7.2393,7.168,7.1919,171326,0
CBH.US,D,20171229,000000,7.3423,7.3423,7.168,7.2075,464995,0
CBH.US,D,20180102,000000,7.2314,7.2393,7.2075,7.2393,113919,0
CBH.US,D,20180103,000000,7.1997,7.2629,7.1997,7.2629,121919,0
CBH.US,D,20180104,000000,7.2471,7.4056,7.2471,7.3899,98664,0
CBH.US,D,20180105,000000,7.3822,7.4927,7.3822,7.4768,127679,0
CBH.US,D,20180108,000000,7.4167,7.5087,7.3502,7.3659,109813,0
CBH.US,D,20180109,000000,7.4134,7.4688,7.3582,7.3582,150519,0
CBH.US,D,20180110,000000,7.3561,7.3771,7.287,7.287,95372,0
CBH.US,D,20180111,000000,7.3714,7.3792,7.2519,7.3078,186196,0
CBH.US,D,20180112,000000,7.3131,7.3555,7.2837,7.3397,137520,0
CBH.US,D,20180116,000000,7.2917,7.4348,7.2917,7.4108,89090,0
CBH.US,D,20180117,000000,7.4189,7.427,7.3901,7.4189,99731,0
CBH.US,D,20180118,000000,7.427,7.427,7.3472,7.3801,222318,0
CBH.US,D,20180119,000000,7.3903,7.403,7.3078,7.3152,112717,0
CBH.US,D,20180122,000000,7.3555,7.395,7.3152,7.3237,76434,0
CBH.US,D,20180123,000000,7.3629,7.403,7.3472,7.3867,219395,0
CBH.US,D,20180124,000000,7.3873,7.403,7.3714,7.3792,53548,0
CBH.US,D,20180125,000000,7.3872,7.403,7.3792,7.3792,52510,0
CBH.US,D,20180126,000000,7.403,7.4431,7.3877,7.4189,88517,0
CBH.US,D,20180129,000000,7.4431,7.4431,7.3792,7.3792,111350,0
CBH.US,D,20180130,000000,7.3792,7.395,7.2058,7.228,160881,0
CBH.US,D,20180131,000000,7.2518,7.2597,7.2359,7.2359,94118,0
CBH.US,D,20180201,000000,7.3152,7.3152,7.212,7.228,118818,0
CBH.US,D,20180202,000000,7.2828,7.2828,7.2359,7.2359,56776,0
CBH.US,D,20180205,000000,7.2519,7.2519,7.0368,7.0368,80952,0
CBH.US,D,20180206,000000,6.965,7.1881,6.965,7.1642,149678,0
CBH.US,D,20180207,000000,7.1403,7.2359,7.1243,7.212,165715,0
CBH.US,D,20180208,000000,7.2198,7.3237,7.1814,7.2519,87106,0
CBH.US,D,20180209,000000,7.2404,7.3132,7.2404,7.2404,107266,0
CBH.US,D,20180212,000000,7.2006,7.3301,7.2006,7.2802,76082,0
CBH.US,D,20180213,000000,7.2802,7.2962,7.1686,7.2485,125580,0
CBH.US,D,20180214,000000,7.2802,7.2861,7.2006,7.2846,66881,0
CBH.US,D,20180215,000000,7.2802,7.2886,7.2565,7.2886,59123,0
CBH.US,D,20180216,000000,7.3283,7.3925,7.3281,7.3605,42737,0
CBH.US,D,20180220,000000,7.3605,7.3719,7.3124,7.3124,17431,0
CBH.US,D,20180221,000000,7.3605,7.4406,7.249,7.4007,57734,0
CBH.US,D,20180222,000000,7.4168,7.4174,7.3284,7.3284,31868,0
CBH.US,D,20180223,000000,7.3815,7.4324,7.3526,7.3526,29225,0
CBH.US,D,20180226,000000,7.4245,7.4558,7.3605,7.3925,47000,0
CBH.US,D,20180227,000000,7.395,7.4168,7.3205,7.3509,71131,0
CBH.US,D,20180228,000000,7.4085,7.4406,7.3441,7.3766,26884,0
CBH.US,D,20180301,000000,7.4887,7.4887,7.3844,7.4168,37790,0
CBH.US,D,20180302,000000,7.4168,7.4805,7.4068,7.4406,39261,0
CBH.US,D,20180305,000000,7.4283,7.4406,7.4168,7.4333,17652,0
CBH.US,D,20180306,000000,7.4007,7.4567,7.4007,7.4324,22274,0
CBH.US,D,20180307,000000,7.4007,7.4566,7.4007,7.4566,17327,0
CBH.US,D,20180308,000000,7.4567,7.4726,7.4486,7.4644,35663,0
CBH.US,D,20180309,000000,7.4424,7.4943,7.4292,7.4855,35406,0
CBH.US,D,20180312,000000,7.4373,7.5329,7.4373,7.4532,23010,0
CBH.US,D,20180313,000000,7.3889,7.5016,7.3571,7.3571,54757,0
CBH.US,D,20180314,000000,7.4223,7.4774,7.3489,7.4774,37432,0
CBH.US,D,20180315,000000,7.3971,7.4292,7.3647,7.4292,38730,0
CBH.US,D,20180316,000000,7.4454,7.4693,7.4213,7.4576,35249,0
CBH.US,D,20180319,000000,7.4855,7.4855,7.3563,7.3729,9542,0
CBH.US,D,20180320,000000,7.4131,7.4615,7.3811,7.3811,48322,0
CBH.US,D,20180321,000000,7.3889,7.4599,7.3648,7.4292,41124,0
CBH.US,D,20180322,000000,7.4532,7.4831,7.3971,7.4051,47401,0
CBH.US,D,20180323,000000,7.3971,7.4544,7.3515,7.4131,48159,0
CBH.US,D,20180326,000000,7.4213,7.5168,7.4051,7.4213,113507,0
CBH.US,D,20180327,000000,7.3959,7.4532,7.3889,7.4213,29286,0
CBH.US,D,20180328,000000,7.4122,7.4481,7.3954,7.4131,49372,0
CBH.US,D,20180329,000000,7.4354,7.4354,7.4131,7.4131,10508,0
CBH.US,D,20180402,000000,7.4051,7.4314,7.3811,7.3811,47287,0
CBH.US,D,20180403,000000,7.4615,7.4615,7.401,7.4131,31681,0
CBH.US,D,20180404,000000,7.4536,7.4536,7.3971,7.4051,6286,0
CBH.US,D,20180405,000000,7.4213,7.4697,7.3971,7.4454,12516,0
CBH.US,D,20180406,000000,7.4454,7.4615,7.4051,7.4051,57296,0
CBH.US,D,20180409,000000,7.4051,7.4718,7.4051,7.4131,34902,0
CBH.US,D,20180410,000000,7.4213,7.4373,7.4051,7.4051,33924,0
