<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCU.US,D,20050225,000000,7.884,7.884,7.8093,7.8227,7733,0
CCU.US,D,20050228,000000,7.8355,7.8581,7.8355,7.8581,2475,0
CCU.US,D,20050301,000000,7.8517,7.8517,7.7935,7.8227,29082,0
CCU.US,D,20050302,000000,7.7935,7.7935,7.7287,7.774,194281,0
CCU.US,D,20050303,000000,7.8032,7.8063,7.7061,7.7061,35268,0
CCU.US,D,20050304,000000,7.7579,7.7965,7.7418,7.7903,18869,0
CCU.US,D,20050307,000000,7.8128,7.9229,7.8128,7.9001,327620,0
CCU.US,D,20050308,000000,7.8808,7.8808,7.774,7.7868,37745,0
CCU.US,D,20050309,000000,7.7903,7.7903,7.6965,7.7514,14849,0
CCU.US,D,20050310,000000,7.7256,7.7903,7.6316,7.7674,114157,0
CCU.US,D,20050311,000000,7.7965,7.816,7.6965,7.6965,32487,0
CCU.US,D,20050314,000000,7.6932,7.6932,7.596,7.596,46405,0
CCU.US,D,20050315,000000,7.5703,7.6157,7.5543,7.5543,50735,0
CCU.US,D,20050316,000000,7.5996,7.6965,7.5833,7.6349,37745,0
CCU.US,D,20050317,000000,7.6544,7.7836,7.6544,7.7836,74868,0
CCU.US,D,20050318,000000,7.7773,7.9001,7.7579,7.884,97446,0
CCU.US,D,20050321,000000,7.8517,7.8517,7.761,7.761,38981,0
CCU.US,D,20050322,000000,7.7903,7.8289,7.7903,7.7998,5568,0
CCU.US,D,20050323,000000,7.6316,7.6706,7.5768,7.5996,27842,0
CCU.US,D,20050324,000000,7.5996,7.6965,7.5996,7.664,11449,0
CCU.US,D,20050328,000000,7.6316,7.7965,7.6316,7.7903,71458,0
CCU.US,D,20050329,000000,7.7579,7.761,7.5996,7.7579,63732,0
CCU.US,D,20050330,000000,7.7352,7.7352,7.6899,7.7287,44856,0
CCU.US,D,20050331,000000,7.7256,7.7418,7.7192,7.7418,12372,0
CCU.US,D,20050401,000000,7.7256,7.8032,7.6739,7.7192,33102,0
CCU.US,D,20050404,000000,7.664,7.664,7.6187,7.6187,17947,0
CCU.US,D,20050405,000000,7.5931,7.6417,7.59,7.5996,77030,0
CCU.US,D,20050406,000000,7.5996,7.6932,7.5996,7.6256,98069,0
CCU.US,D,20050407,000000,7.5931,7.8644,7.5931,7.7642,880454,0
CCU.US,D,20050408,000000,7.7903,7.8418,7.7773,7.816,9277,0
CCU.US,D,20050411,000000,7.7868,7.8517,7.7868,7.819,103327,0
CCU.US,D,20050412,000000,7.8355,7.8355,7.7806,7.7806,9277,0
CCU.US,D,20050413,000000,7.7579,7.7773,7.6932,7.6965,62492,0
CCU.US,D,20050414,000000,7.7287,7.761,7.7192,7.7192,136432,0
CCU.US,D,20050415,000000,7.7192,7.7192,7.6479,7.6479,9591,0
