<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFG.US,D,20140924,000000,17.366,18.756,17.246,18.643,74843727,0
CFG.US,D,20140925,000000,18.223,18.91,18.133,18.616,10437104,0
CFG.US,D,20140926,000000,18.702,18.876,18.504,18.778,3100533,0
CFG.US,D,20140929,000000,18.692,18.942,18.504,18.764,5983020,0
CFG.US,D,20140930,000000,18.659,19.038,18.616,18.918,5079880,0
CFG.US,D,20141001,000000,18.756,19.069,18.666,18.934,4847624,0
CFG.US,D,20141002,000000,18.849,19.055,18.821,18.849,3864451,0
CFG.US,D,20141003,000000,18.885,18.958,18.585,18.764,1963439,0
CFG.US,D,20141006,000000,18.805,18.876,18.263,18.287,1496071,0
CFG.US,D,20141007,000000,18.223,18.367,17.98,18.189,1867893,0
CFG.US,D,20141008,000000,17.86,18.702,17.86,18.374,2041818,0
CFG.US,D,20141009,000000,18.578,18.578,17.962,18.159,1521644,0
CFG.US,D,20141010,000000,18.085,18.223,17.885,17.997,1144053,0
CFG.US,D,20141013,000000,17.877,18.301,17.869,18.133,1711955,0
CFG.US,D,20141014,000000,18.172,18.407,18.012,18.133,1988043,0
CFG.US,D,20141015,000000,17.877,17.929,17.366,17.648,4216084,0
CFG.US,D,20141016,000000,17.375,17.732,17.343,17.608,3845106,0
CFG.US,D,20141017,000000,17.707,17.825,17.552,17.707,3405414,0
CFG.US,D,20141020,000000,17.623,18.077,17.623,18.077,2315910,0
CFG.US,D,20141021,000000,17.86,18.521,17.86,18.432,1442965,0
CFG.US,D,20141022,000000,18.398,18.578,18.094,18.255,1095252,0
CFG.US,D,20141023,000000,18.554,18.643,18.246,18.599,1428936,0
CFG.US,D,20141024,000000,18.834,18.973,18.39,18.722,1681039,0
CFG.US,D,20141027,000000,18.702,18.729,18.36,18.458,3588905,0
CFG.US,D,20141028,000000,18.708,19.055,18.521,18.805,1857825,0
CFG.US,D,20141029,000000,18.859,19.004,18.739,18.966,1612356,0
CFG.US,D,20141030,000000,18.973,19.136,18.821,18.934,1428208,0
CFG.US,D,20141031,000000,19.055,19.32,18.876,19.076,1533493,0
CFG.US,D,20141103,000000,18.973,19.385,18.708,19.385,2261849,0
CFG.US,D,20141104,000000,19.257,19.393,19.002,19.145,1817876,0
CFG.US,D,20141105,000000,19.101,19.426,19.101,19.385,1353224,0
CFG.US,D,20141106,000000,19.448,19.839,19.263,19.708,1246143,0
CFG.US,D,20141107,000000,19.857,19.857,19.434,19.441,740550,0
CFG.US,D,20141110,000000,19.498,19.668,19.263,19.426,1887885,0
CFG.US,D,20141111,000000,19.441,19.644,19.263,19.417,811585,0
CFG.US,D,20141112,000000,19.263,19.448,19.067,19.354,1159952,0
CFG.US,D,20141113,000000,19.161,19.434,19.126,19.32,1417478,0
CFG.US,D,20141114,000000,19.257,19.466,19.257,19.434,1370368,0
CFG.US,D,20141117,000000,19.555,19.555,19.111,19.466,1223514,0
CFG.US,D,20141118,000000,19.498,19.498,19.231,19.247,722491,0
CFG.US,D,20141119,000000,19.305,19.466,19.067,19.239,1002067,0
CFG.US,D,20141120,000000,19.121,19.364,19.061,19.231,919463,0
CFG.US,D,20141121,000000,19.426,19.638,19.221,19.28,894154,0
CFG.US,D,20141124,000000,19.305,19.759,19.204,19.668,1031748,0
CFG.US,D,20141125,000000,19.661,19.708,19.482,19.49,865019,0
CFG.US,D,20141126,000000,19.555,19.684,19.402,19.653,867605,0
CFG.US,D,20141128,000000,19.611,20.349,19.507,19.975,879557,0
CFG.US,D,20141201,000000,19.968,20.197,19.054,19.448,2814202,0
