<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHH.US,D,20050225,000000,19.234,19.234,19.069,19.155,235565,0
CHH.US,D,20050228,000000,19.055,19.518,18.981,19.434,394434,0
CHH.US,D,20050301,000000,19.475,19.707,19.427,19.68,436131,0
CHH.US,D,20050302,000000,19.68,19.879,19.489,19.588,394434,0
CHH.US,D,20050303,000000,19.607,19.607,19.234,19.419,453482,0
CHH.US,D,20050304,000000,19.497,19.568,19.454,19.536,620265,0
CHH.US,D,20050307,000000,19.547,19.707,19.547,19.688,483301,0
CHH.US,D,20050308,000000,19.641,20.032,19.614,19.924,726476,0
CHH.US,D,20050309,000000,19.924,19.971,19.769,19.917,547829,0
CHH.US,D,20050310,000000,19.879,19.971,19.776,19.808,348477,0
CHH.US,D,20050311,000000,19.808,19.893,19.518,19.562,311348,0
CHH.US,D,20050314,000000,19.562,19.943,19.536,19.879,505830,0
CHH.US,D,20050315,000000,19.794,20.404,19.794,20.239,576741,0
CHH.US,D,20050316,000000,20.239,20.457,20.108,20.265,434308,0
CHH.US,D,20050317,000000,20.291,20.707,20.271,20.7,652822,0
CHH.US,D,20050318,000000,20.644,20.832,20.36,20.43,475088,0
CHH.US,D,20050321,000000,20.404,20.404,20.06,20.115,203609,0
CHH.US,D,20050322,000000,20.122,20.135,19.95,20.011,643391,0
CHH.US,D,20050323,000000,19.964,19.984,19.742,19.865,377699,0
CHH.US,D,20050324,000000,19.905,20.08,19.893,19.991,233433,0
CHH.US,D,20050328,000000,20.024,20.115,19.931,20.043,238005,0
CHH.US,D,20050329,000000,20.043,20.208,19.912,19.998,332958,0
CHH.US,D,20050330,000000,20.049,20.312,19.943,20.232,432175,0
CHH.US,D,20050331,000000,20.251,20.373,20.183,20.36,354564,0
CHH.US,D,20050401,000000,20.373,20.373,20.068,20.176,332652,0
CHH.US,D,20050404,000000,20.176,20.219,20.011,20.087,260215,0
CHH.US,D,20050405,000000,20.142,20.312,20.017,20.305,374349,0
CHH.US,D,20050406,000000,20.232,20.393,20.176,20.176,239215,0
CHH.US,D,20050407,000000,20.208,20.629,20.208,20.581,145785,0
CHH.US,D,20050408,000000,20.581,20.623,20.353,20.387,140908,0
CHH.US,D,20050411,000000,20.387,20.529,20.373,20.411,174390,0
CHH.US,D,20050412,000000,20.373,20.681,20.265,20.581,284870,0
CHH.US,D,20050413,000000,20.536,20.73,20.38,20.462,214865,0
CHH.US,D,20050414,000000,20.477,20.484,20.373,20.373,252302,0
CHH.US,D,20050415,000000,20.373,20.469,19.879,20.043,231911,0
CHH.US,D,20050418,000000,19.912,19.957,19.769,19.872,395350,0
CHH.US,D,20050419,000000,19.814,20.068,19.814,19.971,381351,0
CHH.US,D,20050420,000000,19.971,20.024,19.788,19.865,319262,0
CHH.US,D,20050421,000000,19.943,20.176,19.885,19.936,170127,0
CHH.US,D,20050422,000000,20.006,20.183,19.742,19.782,364608,0
CHH.US,D,20050425,000000,19.794,20.087,19.748,19.964,242260,0
CHH.US,D,20050426,000000,19.964,20.339,19.943,20.232,279695,0
CHH.US,D,20050427,000000,20.232,20.265,20.055,20.213,258084,0
CHH.US,D,20050428,000000,19.998,19.998,19.252,19.313,557260,0
CHH.US,D,20050429,000000,19.319,20.108,19.313,19.885,484522,0
CHH.US,D,20050502,000000,19.885,20.122,19.582,19.821,519216,0
CHH.US,D,20050503,000000,19.834,19.852,19.504,19.582,576432,0
CHH.US,D,20050504,000000,19.595,20.312,19.575,20.251,780649,0
CHH.US,D,20050505,000000,20.251,20.595,20.239,20.452,383783,0
CHH.US,D,20050506,000000,20.477,20.581,20.387,20.452,347564,0
CHH.US,D,20050509,000000,20.452,20.73,20.36,20.657,518302,0
CHH.US,D,20050510,000000,20.623,20.899,20.445,20.657,476910,0
CHH.US,D,20050511,000000,20.043,20.122,19.814,19.9,822042,0
CHH.US,D,20050512,000000,19.924,20.043,19.794,19.998,388348,0
CHH.US,D,20050513,000000,19.971,20.011,19.782,19.782,597128,0
CHH.US,D,20050516,000000,19.782,20.115,19.68,20.043,347564,0
CHH.US,D,20050517,000000,20.055,20.445,19.984,20.38,763606,0
CHH.US,D,20050518,000000,20.462,20.924,20.416,20.825,518609,0
CHH.US,D,20050519,000000,20.803,21.036,20.745,20.968,367652,0
CHH.US,D,20050520,000000,21.016,21.064,20.797,21.016,295218,0
CHH.US,D,20050523,000000,21.03,21.298,21.016,21.199,419998,0
CHH.US,D,20050524,000000,21.115,21.35,21.03,21.273,464435,0
CHH.US,D,20050525,000000,21.293,21.293,21.139,21.178,458959,0
CHH.US,D,20050526,000000,21.245,21.376,21.245,21.337,336915,0
CHH.US,D,20050527,000000,21.344,21.556,21.293,21.396,287917,0
CHH.US,D,20050531,000000,21.324,21.717,21.26,21.556,476607,0
CHH.US,D,20050601,000000,21.563,21.87,21.376,21.443,446783,0
CHH.US,D,20050602,000000,21.409,21.752,21.409,21.612,483608,0
CHH.US,D,20050603,000000,21.556,21.863,21.556,21.765,550564,0
CHH.US,D,20050606,000000,21.786,21.786,21.53,21.583,339047,0
CHH.US,D,20050607,000000,21.646,21.69,21.469,21.488,293392,0
CHH.US,D,20050608,000000,21.495,21.786,21.495,21.606,381045,0
CHH.US,D,20050609,000000,21.606,21.69,21.39,21.618,648261,0
CHH.US,D,20050610,000000,21.618,21.698,21.344,21.469,159784,0
CHH.US,D,20050613,000000,21.416,21.443,21.07,21.152,263869,0
CHH.US,D,20050614,000000,21.108,21.344,20.912,21.317,423343,0
CHH.US,D,20050615,000000,21.482,21.482,21.145,21.28,234652,0
CHH.US,D,20050616,000000,21.26,21.403,21.145,21.403,303439,0
CHH.US,D,20050617,000000,21.396,21.409,21.134,21.356,437956,0
CHH.US,D,20050620,000000,21.671,22.238,21.671,22.18,1340043,0
CHH.US,D,20050621,000000,22.223,22.309,21.933,22.027,367043,0
CHH.US,D,20050622,000000,22.08,22.18,21.752,21.926,445565,0
CHH.US,D,20050623,000000,21.926,22.008,21.69,21.732,389260,0
CHH.US,D,20050624,000000,21.698,21.745,21.488,21.646,378608,0
CHH.US,D,20050627,000000,21.618,21.653,21.324,21.37,266605,0
CHH.US,D,20050628,000000,21.396,21.793,21.396,21.632,196911,0
CHH.US,D,20050629,000000,21.671,21.69,21.536,21.684,196609,0
CHH.US,D,20050630,000000,21.671,21.745,21.576,21.59,210915,0
CHH.US,D,20050701,000000,21.632,21.765,21.495,21.563,168611,0
CHH.US,D,20050705,000000,21.536,21.632,21.482,21.583,333870,0
CHH.US,D,20050706,000000,21.556,21.646,21.462,21.488,199346,0
CHH.US,D,20050707,000000,21.178,21.421,20.852,21.363,684780,0
CHH.US,D,20050708,000000,21.363,21.799,21.344,21.653,275434,0
CHH.US,D,20050711,000000,21.59,22.049,21.59,22.049,250173,0
CHH.US,D,20050712,000000,22.042,22.042,21.844,21.889,349390,0
CHH.US,D,20050713,000000,21.91,22.027,21.799,21.913,398697,0
CHH.US,D,20050714,000000,21.959,22.008,21.576,21.684,237392,0
CHH.US,D,20050715,000000,21.671,21.793,21.436,21.454,299477,0
CHH.US,D,20050718,000000,21.443,21.632,21.443,21.618,243781,0
CHH.US,D,20050719,000000,21.653,21.819,21.583,21.632,162821,0
CHH.US,D,20050720,000000,21.618,21.897,21.509,21.863,210610,0
CHH.US,D,20050721,000000,21.863,21.904,21.488,21.502,163434,0
CHH.US,D,20050722,000000,21.516,21.576,21.293,21.35,253218,0
CHH.US,D,20050725,000000,21.363,21.409,21.089,21.089,311348,0
CHH.US,D,20050726,000000,21.178,21.39,20.797,21.095,834518,0
CHH.US,D,20050727,000000,21.127,21.502,20.878,21.39,600784,0
CHH.US,D,20050728,000000,21.436,22.14,21.436,22.021,465346,0
CHH.US,D,20050729,000000,22.027,22.172,21.732,21.793,250484,0
CHH.US,D,20050801,000000,21.793,22.067,21.576,21.625,329307,0
CHH.US,D,20050802,000000,21.625,21.904,21.583,21.904,283954,0
CHH.US,D,20050803,000000,21.838,22.122,21.799,21.826,273606,0
CHH.US,D,20050804,000000,21.684,21.724,21.39,21.409,150959,0
CHH.US,D,20050805,000000,21.436,21.516,21.205,21.356,514041,0
CHH.US,D,20050808,000000,21.356,21.502,21.344,21.421,238306,0
CHH.US,D,20050809,000000,21.436,21.536,21.39,21.454,444652,0
CHH.US,D,20050810,000000,21.488,21.677,21.396,21.462,368570,0
CHH.US,D,20050811,000000,21.462,21.462,21.145,21.396,231608,0
CHH.US,D,20050812,000000,21.409,21.454,21.036,21.095,269042,0
CHH.US,D,20050815,000000,21.139,21.409,21.095,21.356,270259,0
CHH.US,D,20050816,000000,21.37,21.376,21.119,21.226,219434,0
CHH.US,D,20050817,000000,21.239,21.324,21.03,21.178,255650,0
CHH.US,D,20050818,000000,21.178,21.205,21.083,21.152,143348,0
CHH.US,D,20050819,000000,21.139,21.252,21.089,21.139,70915,0
CHH.US,D,20050822,000000,21.108,21.376,20.968,21.139,226129,0
CHH.US,D,20050823,000000,21.083,21.108,20.954,21.002,184739,0
CHH.US,D,20050824,000000,21.03,21.095,20.852,20.866,168911,0
CHH.US,D,20050825,000000,20.777,21.602,20.777,21.454,290348,0
CHH.US,D,20050826,000000,21.443,21.443,20.996,21.064,111998,0
CHH.US,D,20050829,000000,20.878,20.878,20.438,20.664,183525,0
