<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIF.US,D,20050225,000000,1.4864,1.4949,1.478,1.4905,150203,0
CIF.US,D,20050228,000000,1.4905,1.4949,1.474,1.4829,147997,0
CIF.US,D,20050301,000000,1.4864,1.4905,1.4864,1.4864,93041,0
CIF.US,D,20050302,000000,1.4864,1.4949,1.4829,1.4864,121371,0
CIF.US,D,20050303,000000,1.4829,1.4905,1.478,1.4829,243480,0
CIF.US,D,20050304,000000,1.478,1.4988,1.478,1.4905,329187,0
CIF.US,D,20050307,000000,1.4988,1.4988,1.4864,1.4905,88410,0
CIF.US,D,20050308,000000,1.4864,1.4949,1.4864,1.4905,94508,0
CIF.US,D,20050309,000000,1.4864,1.4864,1.478,1.4829,85959,0
CIF.US,D,20050310,000000,1.4829,1.4864,1.4701,1.478,93772,0
CIF.US,D,20050311,000000,1.4701,1.478,1.4537,1.4617,242989,0
CIF.US,D,20050314,000000,1.4617,1.4701,1.4415,1.4457,196578,0
CIF.US,D,20050315,000000,1.4372,1.4415,1.4246,1.4372,156053,0
CIF.US,D,20050316,000000,1.4246,1.4415,1.4045,1.4045,149948,0
CIF.US,D,20050317,000000,1.4246,1.4291,1.4126,1.4246,101834,0
CIF.US,D,20050318,000000,1.4246,1.4291,1.3883,1.3883,131865,0
CIF.US,D,20050321,000000,1.3841,1.4,1.3801,1.3841,188768,0
CIF.US,D,20050322,000000,1.3761,1.4168,1.3761,1.4089,131147,0
CIF.US,D,20050323,000000,1.4089,1.4089,1.3186,1.3556,347513,0
CIF.US,D,20050324,000000,1.3348,1.3923,1.3307,1.3801,220520,0
CIF.US,D,20050328,000000,1.3841,1.4214,1.3841,1.3923,145305,0
CIF.US,D,20050329,000000,1.3841,1.3963,1.3801,1.3801,70575,0
CIF.US,D,20050330,000000,1.3639,1.4045,1.3592,1.4045,102814,0
CIF.US,D,20050331,000000,1.3963,1.4089,1.3923,1.4089,92312,0
CIF.US,D,20050401,000000,1.4168,1.4214,1.4,1.4089,101353,0
CIF.US,D,20050404,000000,1.4126,1.4168,1.3963,1.4089,83021,0
CIF.US,D,20050405,000000,1.4,1.4089,1.3923,1.4045,57631,0
CIF.US,D,20050406,000000,1.3963,1.4089,1.3923,1.3963,97440,0
CIF.US,D,20050407,000000,1.3963,1.4045,1.3963,1.3963,71790,0
CIF.US,D,20050408,000000,1.3923,1.4089,1.3923,1.3963,106479,0
CIF.US,D,20050411,000000,1.3883,1.3963,1.3841,1.3963,164593,0
CIF.US,D,20050412,000000,1.3719,1.4126,1.3674,1.4126,165811,0
CIF.US,D,20050413,000000,1.3883,1.4168,1.3883,1.3963,89868,0
CIF.US,D,20050414,000000,1.3923,1.4089,1.3472,1.4,380970,0
CIF.US,D,20050415,000000,1.3963,1.4168,1.3963,1.4126,151415,0
CIF.US,D,20050418,000000,1.4,1.4496,1.4,1.4246,160938,0
