<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CII.US,D,20050225,000000,7.3619,7.3998,7.3179,7.3998,94260,0
CII.US,D,20050228,000000,7.3821,7.3959,7.3448,7.3771,66701,0
CII.US,D,20050301,000000,7.3771,7.4182,7.3501,7.3866,73186,0
CII.US,D,20050302,000000,7.3589,7.4046,7.3426,7.3674,94720,0
CII.US,D,20050303,000000,7.3959,7.4046,7.3054,7.3375,153779,0
CII.US,D,20050304,000000,7.3448,7.3959,7.333,7.3771,149386,0
CII.US,D,20050307,000000,7.3732,7.4046,7.3619,7.3901,138273,0
CII.US,D,20050308,000000,7.3901,7.4075,7.3501,7.4075,97510,0
CII.US,D,20050309,000000,7.3619,7.3821,7.3448,7.3501,102367,0
CII.US,D,20050310,000000,7.3448,7.3501,7.287,7.3426,93794,0
CII.US,D,20050311,000000,7.2533,7.2533,7.2189,7.2278,74346,0
CII.US,D,20050314,000000,7.242,7.242,7.1731,7.2142,133168,0
CII.US,D,20050315,000000,7.242,7.242,7.1412,7.1921,104224,0
CII.US,D,20050316,000000,7.1921,7.1921,7.1017,7.1244,115338,0
CII.US,D,20050317,000000,7.1335,7.1557,7.1017,7.1461,65772,0
CII.US,D,20050318,000000,7.1461,7.1731,7.1335,7.1507,75738,0
CII.US,D,20050321,000000,7.1335,7.1379,7.0886,7.0977,78985,0
CII.US,D,20050322,000000,7.0385,7.1102,7.0111,7.0428,84305,0
CII.US,D,20050323,000000,7.0033,7.0033,6.9083,6.9826,88002,0
CII.US,D,20050324,000000,6.9651,7.0564,6.9384,7.0033,80366,0
CII.US,D,20050328,000000,7.0111,7.0564,6.8944,6.9384,79436,0
CII.US,D,20050329,000000,6.9162,7.0111,6.8576,6.9787,129007,0
CII.US,D,20050330,000000,6.9997,7.1051,6.9997,7.0605,117882,0
CII.US,D,20050331,000000,7.0977,7.1601,7.0196,7.1017,88235,0
CII.US,D,20050401,000000,7.0886,7.1889,7.0807,7.1557,85235,0
CII.US,D,20050404,000000,7.1379,7.2629,7.0605,7.2588,106769,0
CII.US,D,20050405,000000,7.2805,7.2805,7.1805,7.2513,106769,0
CII.US,D,20050406,000000,7.2189,7.2757,7.1694,7.2533,65772,0
CII.US,D,20050407,000000,7.2189,7.2629,7.1412,7.2054,84767,0
CII.US,D,20050408,000000,7.1731,7.2,7.0605,7.0605,45163,0
CII.US,D,20050411,000000,7.0605,7.1051,6.9997,7.0385,74577,0
CII.US,D,20050412,000000,7.0726,7.1051,7.0033,7.1051,92872,0
CII.US,D,20050413,000000,7.07,7.1412,7.023,7.1335,55125,0
CII.US,D,20050414,000000,7.1601,7.1601,7.0033,7.0605,67168,0
CII.US,D,20050415,000000,7.0886,7.0886,7.0033,7.0111,34737,0
CII.US,D,20050418,000000,7.0033,7.0278,6.9787,6.9997,43544,0
CII.US,D,20050419,000000,6.9787,7.0428,6.9482,6.9887,65772,0
CII.US,D,20050420,000000,6.9566,6.9997,6.898,6.9083,49788,0
CII.US,D,20050421,000000,6.9482,6.9887,6.9083,6.9853,87782,0
CII.US,D,20050422,000000,6.9566,6.9887,6.9384,6.9614,56278,0
CII.US,D,20050425,000000,6.9533,7.0111,6.8662,6.8944,96811,0
CII.US,D,20050426,000000,6.9125,6.9853,6.8944,6.9428,98203,0
