<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CION.US,D,20211006,000000,11.8,12.5,11.8,11.94,222336,0
CION.US,D,20211007,000000,11.75,12.1121,11.63,11.8,320415,0
CION.US,D,20211008,000000,11.8,12.24,11.7031,11.95,201600,0
CION.US,D,20211011,000000,11.9,12,11.85,11.9,89107,0
CION.US,D,20211012,000000,11.9,12.17,11.86,12.17,138875,0
CION.US,D,20211013,000000,12.05,12.2,11.9,12,117689,0
CION.US,D,20211014,000000,12,12.0694,11.88,11.95,107838,0
CION.US,D,20211015,000000,11.9,12.1,11.9,12.02,91467,0
CION.US,D,20211018,000000,12.11,12.12,11.9,11.92,88043,0
CION.US,D,20211019,000000,11.88,12.02,11.87,11.95,78395,0
CION.US,D,20211020,000000,11.91,12.05,11.9,11.95,101826,0
CION.US,D,20211021,000000,11.85,12.03,11.55,11.82,127066,0
CION.US,D,20211022,000000,11.9,11.95,11.78,11.91,107037,0
CION.US,D,20211025,000000,11.92,12.02,11.8253,12,76537,0
CION.US,D,20211026,000000,12,12.12,11.87,11.94,69380,0
CION.US,D,20211027,000000,11.75,12.31,11.75,12.28,73061,0
CION.US,D,20211028,000000,12.18,12.7,12.15,12.6,65444,0
CION.US,D,20211029,000000,12.55,12.7,12.44,12.6,62270,0
CION.US,D,20211101,000000,12.5,12.675,12.48,12.66,248923,0
CION.US,D,20211102,000000,12.55,12.74,12.4733,12.63,109940,0
CION.US,D,20211103,000000,12.6,12.8,12.6,12.78,176225,0
CION.US,D,20211104,000000,12.65,12.99,12.65,12.98,91301,0
CION.US,D,20211105,000000,13.05,13.14,12.85,12.9,52322,0
CION.US,D,20211108,000000,12.95,13.1,12.6,12.62,81429,0
CION.US,D,20211109,000000,12.6,12.63,12.5,12.54,90895,0
CION.US,D,20211110,000000,12.54,12.6,12.13,12.22,116393,0
CION.US,D,20211111,000000,12.49,12.65,12.3,12.59,58952,0
CION.US,D,20211112,000000,12.5,12.56,12.29,12.47,62140,0
CION.US,D,20211115,000000,12.4,12.65,12.4,12.63,65595,0
CION.US,D,20211116,000000,12.53,12.9891,12.511,12.88,63473,0
CION.US,D,20211117,000000,13.01,13.5,13,13.21,99839,0
CION.US,D,20211118,000000,13.2,13.62,13.05,13.59,92261,0
CION.US,D,20211119,000000,13.61,13.8,13.5001,13.74,54678,0
CION.US,D,20211122,000000,13.8,14.08,13.66,13.96,43728,0
CION.US,D,20211123,000000,13.65,13.65,13.47,13.52,112918,0
CION.US,D,20211124,000000,13.5,14.24,13.5,14.1,75731,0
CION.US,D,20211126,000000,14.2,14.65,13.9,14.58,25796,0
CION.US,D,20211129,000000,14.7,14.71,14.364,14.57,95523,0
CION.US,D,20211130,000000,14.05,14.46,14,14.26,109115,0
CION.US,D,20211201,000000,14.2,14.55,14.2,14.25,88648,0
CION.US,D,20211202,000000,14.15,14.65,14.15,14.33,93296,0
CION.US,D,20211203,000000,14.35,14.37,13.6,13.7,72923,0
CION.US,D,20211206,000000,13.78,14.98,13.78,14.79,483071,0
CION.US,D,20211207,000000,14.75,15.0902,14.14,14.14,233085,0
CION.US,D,20211208,000000,14.25,15.06,14.08,14.86,155506,0
CION.US,D,20211209,000000,14.87,14.89,14.53,14.72,131402,0
CION.US,D,20211210,000000,14.6,14.82,13.61,13.77,206237,0
CION.US,D,20211213,000000,13.6,13.75,12.71,13,173883,0
CION.US,D,20211214,000000,12.85,13.05,12.75,12.92,154799,0
CION.US,D,20211215,000000,12.65,12.85,12.48,12.48,183363,0
CION.US,D,20211216,000000,12.5,12.63,12.1,12.1,265857,0
CION.US,D,20211217,000000,12.05,12.24,11.85,12.05,274420,0
CION.US,D,20211220,000000,11.98,12.38,11.8101,12.15,159751,0
CION.US,D,20211221,000000,12.15,12.71,12.15,12.51,157125,0
CION.US,D,20211222,000000,12.61,12.67,12.4,12.54,83476,0
CION.US,D,20211223,000000,12.69,13.11,12.5442,12.89,67956,0
CION.US,D,20211227,000000,12.95,13.609,12.91,13.43,135924,0
CION.US,D,20211228,000000,13.41,13.73,13.41,13.49,73825,0
CION.US,D,20211229,000000,13.46,13.65,12.85,13.02,113741,0
CION.US,D,20211230,000000,12.95,13.1898,12.7566,12.93,135172,0
CION.US,D,20211231,000000,12.88,13.2,12.88,13.07,59514,0
CION.US,D,20220103,000000,13.2,13.2,12.785,12.98,100658,0
CION.US,D,20220104,000000,12.95,12.999,12.6201,12.84,96838,0
CION.US,D,20220105,000000,12.75,12.83,12.53,12.64,101645,0
CION.US,D,20220106,000000,12.55,12.69,12.512,12.6,75642,0
CION.US,D,20220107,000000,12.6,12.85,12.53,12.75,71656,0
CION.US,D,20220110,000000,12.65,12.8,12.5,12.68,85260,0
CION.US,D,20220111,000000,12.6,13.03,12.58,12.93,92042,0
CION.US,D,20220112,000000,12.9,13.39,12.84,13.08,129726,0
CION.US,D,20220113,000000,13.01,13.18,12.86,12.93,50807,0
CION.US,D,20220114,000000,12.85,12.97,12.63,12.79,69231,0
CION.US,D,20220118,000000,12.68,12.89,12.6299,12.83,79819,0
CION.US,D,20220119,000000,12.78,12.8999,12.56,12.56,79243,0
CION.US,D,20220120,000000,12.72,12.835,12.5485,12.6,80152,0
CION.US,D,20220121,000000,12.56,12.77,12.44,12.54,178666,0
