<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLBR-WS.US,D,20210708,000000,0.79,1,0.7751,0.8199,67062,0
CLBR-WS.US,D,20210709,000000,0.811,0.85,0.811,0.85,36102,0
CLBR-WS.US,D,20210712,000000,0.8001,0.8506,0.7999,0.819758,76473,0
CLBR-WS.US,D,20210713,000000,0.85,0.876045,0.8101,0.827001,20542,0
CLBR-WS.US,D,20210714,000000,0.85,0.8798,0.824999,0.86,54381,0
CLBR-WS.US,D,20210715,000000,0.8749,0.8798,0.86,0.87,16153,0
CLBR-WS.US,D,20210716,000000,0.87,0.87,0.867513,0.87,11222,0
CLBR-WS.US,D,20210719,000000,1.0543,1.0851,0.8503,0.8503,31490,0
CLBR-WS.US,D,20210720,000000,0.8524,0.9024,0.8524,0.8524,1199,0
CLBR-WS.US,D,20210721,000000,0.8521,0.901999,0.8499,0.871651,11201,0
CLBR-WS.US,D,20210722,000000,0.8302,0.880099,0.8302,0.8303,599,0
CLBR-WS.US,D,20210723,000000,0.8303,0.880199,0.8303,0.880199,1801,0
CLBR-WS.US,D,20210726,000000,0.899899,0.899899,0.8501,0.8501,634,0
CLBR-WS.US,D,20210727,000000,0.8403,0.8403,0.820101,0.820101,6036,0
CLBR-WS.US,D,20210729,000000,0.8407,0.889899,0.84,0.84,9245,0
CLBR-WS.US,D,20210730,000000,0.8501,0.86,0.82,0.82,1550,0
CLBR-WS.US,D,20210802,000000,0.820101,0.899899,0.820101,0.8489,1213,0
CLBR-WS.US,D,20210803,000000,0.82,0.87,0.82,0.869899,9786,0
CLBR-WS.US,D,20210804,000000,0.832,0.842511,0.83,0.83,9000,0
CLBR-WS.US,D,20210805,000000,0.8201,0.8201,0.6862,0.74,28032,0
CLBR-WS.US,D,20210806,000000,0.740101,0.77,0.72,0.7201,2729,0
CLBR-WS.US,D,20210809,000000,0.76,0.76,0.6501,0.7499,4459,0
CLBR-WS.US,D,20210811,000000,0.78,0.78,0.78,0.78,489,0
CLBR-WS.US,D,20210812,000000,0.743499,0.7699,0.7299,0.7536,4664,0
CLBR-WS.US,D,20210816,000000,0.6734,0.6902,0.6734,0.6902,200,0
CLBR-WS.US,D,20210817,000000,0.724692,0.724692,0.68,0.7201,4133,0
CLBR-WS.US,D,20210818,000000,0.745,0.745123,0.705,0.7051,800,0
CLBR-WS.US,D,20210819,000000,0.6399,0.7399,0.6399,0.6957,5600,0
CLBR-WS.US,D,20210820,000000,0.643,0.7101,0.63,0.69,9300,0
CLBR-WS.US,D,20210823,000000,0.642,0.7023,0.6,0.66,7621,0
CLBR-WS.US,D,20210824,000000,0.6013,0.6413,0.6013,0.6413,624,0
