<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMTG.US,D,20211103,000000,16.14,17.13,16.14,17,3241600,0
CMTG.US,D,20211104,000000,16.83,17.29,16.53,17,681620,0
CMTG.US,D,20211105,000000,16.95,17.72,16.85,17.04,334299,0
CMTG.US,D,20211108,000000,17.02,17.15,16.94,16.95,239319,0
CMTG.US,D,20211109,000000,17,17.06,16.38,16.95,374461,0
CMTG.US,D,20211110,000000,16.95,17.2562,16.84,16.95,241046,0
CMTG.US,D,20211111,000000,16.95,17.01,16.505,16.64,158475,0
CMTG.US,D,20211112,000000,16.57,16.95,16.55,16.6,91184,0
CMTG.US,D,20211115,000000,16.55,17.42,16.55,17.04,255293,0
CMTG.US,D,20211116,000000,16.85,17.14,16.8,17.05,129195,0
CMTG.US,D,20211117,000000,17,17.5,16.8,17.42,149182,0
CMTG.US,D,20211118,000000,17.4,18,17.27,17.85,141867,0
CMTG.US,D,20211119,000000,17.7,17.95,17.4,17.55,93041,0
CMTG.US,D,20211122,000000,17.5,17.83,17.5,17.53,91685,0
CMTG.US,D,20211123,000000,17.4,17.55,17.2,17.34,51223,0
CMTG.US,D,20211124,000000,17.3,18,16.94,17.04,122603,0
CMTG.US,D,20211126,000000,16.89,17.92,16.78,17.06,33003,0
CMTG.US,D,20211129,000000,16.86,17.7,16.5,16.9,175415,0
CMTG.US,D,20211130,000000,17,17.16,16.92,17.06,144816,0
CMTG.US,D,20211201,000000,17.06,17.48,17.05,17.4,137997,0
CMTG.US,D,20211202,000000,17.3,18.365,17.3,18.32,89311,0
CMTG.US,D,20211203,000000,18.32,18.59,17.65,18.35,91841,0
CMTG.US,D,20211206,000000,18.3,18.325,17.43,17.6,96627,0
CMTG.US,D,20211207,000000,17.55,17.84,17.11,17.11,51456,0
CMTG.US,D,20211208,000000,17.11,17.3,16.89,16.94,59161,0
CMTG.US,D,20211209,000000,16.7,17.13,16.7,16.79,40254,0
CMTG.US,D,20211210,000000,17.02,17.4,16.85,17.21,51319,0
CMTG.US,D,20211213,000000,17.3,17.33,16.37,16.45,72550,0
CMTG.US,D,20211214,000000,16.2,16.9,16.2,16.57,42616,0
CMTG.US,D,20211215,000000,16.7,17.2,14.96,15.5,158595,0
CMTG.US,D,20211216,000000,15.5,16.3676,15.5,16.11,197317,0
CMTG.US,D,20211217,000000,16.15,17.51,16.05,16.77,129611,0
CMTG.US,D,20211220,000000,16.43,17.0566,15.96,15.96,85427,0
CMTG.US,D,20211221,000000,16.42,16.88,16.1,16.1,63785,0
CMTG.US,D,20211222,000000,16.3587,16.3587,15.9,16.08,61250,0
CMTG.US,D,20211223,000000,15.91,16.29,15.91,16.18,27014,0
CMTG.US,D,20211227,000000,16,16.46,15.9,16.15,116569,0
CMTG.US,D,20211228,000000,16.15,16.45,16.15,16.18,37822,0
CMTG.US,D,20211229,000000,16.18,16.44,15.72,16,84912,0
CMTG.US,D,20211230,000000,15.75,16.06,15.56,15.74,57408,0
CMTG.US,D,20211231,000000,15.51,16.63,15.51,16.39,51484,0
CMTG.US,D,20220103,000000,16.35,16.85,16.35,16.54,22310,0
CMTG.US,D,20220104,000000,16.75,17.7,16.53,16.85,49432,0
CMTG.US,D,20220105,000000,16.84,17.27,16.775,16.91,22850,0
CMTG.US,D,20220106,000000,17,17.3,16.76,16.76,24268,0
CMTG.US,D,20220107,000000,16.75,17.25,16.75,16.96,17377,0
CMTG.US,D,20220110,000000,17,17.225,16.95,17.05,18352,0
CMTG.US,D,20220111,000000,17.65,18.3,17.61,18.13,115739,0
CMTG.US,D,20220112,000000,18.3,18.4499,18.03,18.21,49606,0
CMTG.US,D,20220113,000000,18.21,18.2999,18.06,18.14,43042,0
CMTG.US,D,20220114,000000,18.1,18.25,17.91,18.02,30450,0
CMTG.US,D,20220118,000000,18.05,18.65,18.02,18.55,63020,0
CMTG.US,D,20220119,000000,18.74,18.74,18.09,18.24,49207,0
CMTG.US,D,20220120,000000,18.34,18.34,18.02,18.09,35554,0
CMTG.US,D,20220121,000000,17.79,17.91,17.6101,17.9,37170,0
