<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMU.US,D,20050225,000000,3.2623,3.2733,3.2623,3.2623,45655,0
CMU.US,D,20050228,000000,3.2681,3.2733,3.2513,3.2565,52172,0
CMU.US,D,20050301,000000,3.2623,3.2733,3.2565,3.2733,39676,0
CMU.US,D,20050302,000000,3.2623,3.2733,3.2565,3.2565,51451,0
CMU.US,D,20050303,000000,3.2681,3.2844,3.2565,3.2565,42573,0
CMU.US,D,20050304,000000,3.2623,3.2905,3.2565,3.2565,55254,0
CMU.US,D,20050307,000000,3.2293,3.2733,3.2293,3.2565,99998,0
CMU.US,D,20050308,000000,3.2623,3.2783,3.1957,3.2513,79174,0
CMU.US,D,20050309,000000,3.1957,3.2403,3.1957,3.2293,87323,0
CMU.US,D,20050310,000000,3.2343,3.2403,3.218,3.2343,35688,0
CMU.US,D,20050311,000000,3.2014,3.2343,3.2014,3.218,64489,0
CMU.US,D,20050314,000000,3.2124,3.2343,3.1906,3.218,39308,0
CMU.US,D,20050315,000000,3.218,3.2293,3.1906,3.1957,77173,0
CMU.US,D,20050316,000000,3.1798,3.2014,3.1738,3.1738,91672,0
CMU.US,D,20050317,000000,3.2014,3.2124,3.1849,3.1849,56522,0
CMU.US,D,20050318,000000,3.1906,3.2014,3.1628,3.1738,78447,0
CMU.US,D,20050321,000000,3.1738,3.1906,3.141,3.141,140042,0
CMU.US,D,20050322,000000,3.1191,3.141,3.0634,3.0634,200550,0
CMU.US,D,20050323,000000,3.0745,3.1024,3.0356,3.053,129894,0
CMU.US,D,20050324,000000,3.0634,3.0693,3.0249,3.0416,82978,0
CMU.US,D,20050328,000000,3.0137,3.0356,3.003,3.0196,97647,0
CMU.US,D,20050329,000000,3.003,3.003,2.9696,2.975,63950,0
CMU.US,D,20050330,000000,3.0084,3.0084,2.9696,2.9696,43480,0
CMU.US,D,20050331,000000,2.9922,3.003,2.9807,3.003,23190,0
CMU.US,D,20050401,000000,3.003,3.0913,3.003,3.0634,27715,0
CMU.US,D,20050404,000000,3.0137,3.0745,3.0137,3.0306,15397,0
CMU.US,D,20050405,000000,3.0356,3.0356,3.0196,3.0196,11230,0
CMU.US,D,20050406,000000,3.0306,3.0306,2.9863,2.9922,87135,0
CMU.US,D,20050407,000000,2.9922,3.0137,2.9922,3.0084,24457,0
CMU.US,D,20050408,000000,3.0084,3.0084,2.9863,2.9967,65039,0
CMU.US,D,20050411,000000,3.003,3.0084,2.9696,2.9807,84606,0
CMU.US,D,20050412,000000,2.9807,2.9922,2.9641,2.9863,44742,0
CMU.US,D,20050413,000000,3.0084,3.0084,2.9863,2.9967,31706,0
CMU.US,D,20050414,000000,2.9863,3.0196,2.9863,3.0196,59971,0
CMU.US,D,20050415,000000,3.0196,3.0249,3.003,3.0196,34055,0
CMU.US,D,20050418,000000,3.0249,3.0356,2.9922,3.0249,98732,0
CMU.US,D,20050419,000000,3.0249,3.0356,3.0196,3.0306,24991,0
CMU.US,D,20050420,000000,3.0196,3.0306,3.0137,3.0249,16840,0
CMU.US,D,20050421,000000,3.0306,3.0356,3.003,3.0137,33703,0
CMU.US,D,20050422,000000,3.0249,3.0356,3.0196,3.0356,47815,0
