<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNDB-U.US,D,20211105,000000,10.13,10.17,10.13,10.14,186395,0
CNDB-U.US,D,20211108,000000,10.17,10.18,10.13,10.13,146612,0
CNDB-U.US,D,20211109,000000,10.13,10.15,10.13,10.15,27923,0
CNDB-U.US,D,20211110,000000,10.13,10.14,10.13,10.14,33574,0
CNDB-U.US,D,20211111,000000,10.1612,10.22,10.14,10.1501,53610,0
CNDB-U.US,D,20211112,000000,10.1943,10.225,10.15,10.18,7318,0
CNDB-U.US,D,20211115,000000,10.18,10.18,10.18,10.18,5300,0
CNDB-U.US,D,20211116,000000,10.17,10.175,10.15,10.17,177245,0
CNDB-U.US,D,20211117,000000,10.16,10.18,10.16,10.18,267546,0
CNDB-U.US,D,20211118,000000,10.17,10.185,10.16,10.185,198073,0
CNDB-U.US,D,20211119,000000,10.1761,10.19,10.17,10.17,550900,0
CNDB-U.US,D,20211122,000000,10.15,10.17,10.15,10.17,11725,0
CNDB-U.US,D,20211123,000000,10.21,10.25,10.17,10.25,41589,0
CNDB-U.US,D,20211129,000000,10.17,10.17,10.17,10.17,718,0
CNDB-U.US,D,20211130,000000,10.2,10.2,10.2,10.2,251000,0
CNDB-U.US,D,20211201,000000,10.2,10.21,10.2,10.21,17803,0
CNDB-U.US,D,20211202,000000,10.16,10.16,10.15,10.15,1000,0
CNDB-U.US,D,20211207,000000,10.16,10.2,10.16,10.16,25014,0
CNDB-U.US,D,20211210,000000,10.17,10.2,10.15,10.15,46396,0
CNDB-U.US,D,20211214,000000,10.17,10.17,10.14,10.14,27100,0
CNDB-U.US,D,20211215,000000,10.14,10.14,10.13,10.13,30218,0
CNDB-U.US,D,20211217,000000,10.3,10.3,10.22,10.22,488,0
CNDB-U.US,D,20211222,000000,10.07,10.07,10.07,10.07,2074,0
CNDB-U.US,D,20211227,000000,10.13,10.14,10.1,10.13,23208,0
CNDB-U.US,D,20211228,000000,10.1,10.175,10.1,10.175,6716,0
CNDB-U.US,D,20211229,000000,10.07,10.165,10.07,10.13,1402,0
CNDB-U.US,D,20211230,000000,10.13,10.21,10.13,10.19,13145,0
CNDB-U.US,D,20211231,000000,10.19,10.19,10.19,10.19,123,0
CNDB-U.US,D,20220103,000000,10.2,10.2,10.17,10.17,30946,0
CNDB-U.US,D,20220106,000000,10.17,10.21,10.16,10.17,25300,0
CNDB-U.US,D,20220107,000000,10.17,10.21,10.17,10.18,108246,0
CNDB-U.US,D,20220110,000000,10.18,10.18,10.18,10.18,1529,0
CNDB-U.US,D,20220113,000000,10.18,10.19,10.18,10.19,1301,0
CNDB-U.US,D,20220119,000000,10.17,10.17,10.17,10.17,5118,0
CNDB-U.US,D,20220120,000000,10.07,10.15,10.07,10.15,5201,0
CNDB-U.US,D,20220121,000000,10.1,10.1,10.1,10.1,11732,0
