<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNS.US,D,20050225,000000,9.2311,9.545,9.138,9.545,56858,0
CNS.US,D,20050228,000000,9.545,9.589,9.4633,9.589,59297,0
CNS.US,D,20050301,000000,9.551,9.859,9.532,9.859,89816,0
CNS.US,D,20050302,000000,9.859,9.966,9.815,9.859,168302,0
CNS.US,D,20050303,000000,9.803,9.803,9.4761,9.4968,42208,0
CNS.US,D,20050304,000000,9.551,9.652,9.2818,9.3405,100982,0
CNS.US,D,20050307,000000,9.3405,9.3454,9.0558,9.1332,115460,0
CNS.US,D,20050308,000000,9.1435,9.3916,9.1097,9.2594,64880,0
CNS.US,D,20050309,000000,9.3235,9.3857,9.1799,9.2097,21629,0
CNS.US,D,20050310,000000,9.1274,9.1274,8.5089,8.5439,134987,0
CNS.US,D,20050311,000000,8.5031,8.727,8.4505,8.7205,153304,0
CNS.US,D,20050314,000000,8.7336,8.988,8.7336,8.9785,39940,0
CNS.US,D,20050315,000000,9.0248,9.0248,8.843,8.8586,47959,0
CNS.US,D,20050316,000000,8.8244,8.8244,8.7085,8.7152,19882,0
CNS.US,D,20050317,000000,8.7663,8.843,8.6181,8.6858,41336,0
CNS.US,D,20050318,000000,8.7387,8.7387,8.5874,8.6358,87374,0
CNS.US,D,20050321,000000,8.5812,8.5993,8.3488,8.5031,224112,0
CNS.US,D,20050322,000000,8.4505,8.5812,8.4298,8.4848,24070,0
CNS.US,D,20050323,000000,8.4681,8.5331,8.2804,8.3488,266492,0
CNS.US,D,20050324,000000,8.3641,8.3997,8.2455,8.3321,43601,0
CNS.US,D,20050328,000000,8.3595,8.5147,8.2745,8.4505,84414,0
CNS.US,D,20050329,000000,8.5331,8.5515,8.1361,8.188,77261,0
CNS.US,D,20050330,000000,8.1643,8.423,8.1421,8.423,65227,0
CNS.US,D,20050331,000000,8.4345,8.6055,8.3997,8.6055,57724,0
CNS.US,D,20050401,000000,8.5675,8.6358,8.4472,8.473,97494,0
CNS.US,D,20050404,000000,8.5331,8.5389,8.3997,8.5331,109527,0
CNS.US,D,20050405,000000,8.5031,8.5812,8.5031,8.5675,26161,0
CNS.US,D,20050406,000000,8.5675,8.7336,8.5675,8.6704,19357,0
CNS.US,D,20050407,000000,8.7387,8.9219,8.5606,8.8022,39242,0
CNS.US,D,20050408,000000,8.7663,8.7663,8.624,8.6858,25640,0
CNS.US,D,20050411,000000,8.5557,9.1972,8.5331,9.1671,85459,0
CNS.US,D,20050412,000000,9.1671,9.4633,9.1048,9.3916,83019,0
CNS.US,D,20050413,000000,9.4633,9.574,8.988,9.0248,155745,0
CNS.US,D,20050414,000000,9.0766,9.1799,9.0558,9.1799,81272,0
CNS.US,D,20050415,000000,9.2594,9.4142,9.2429,9.3985,147898,0
CNS.US,D,20050418,000000,9.3108,9.555,9.3108,9.4427,222191,0
CNS.US,D,20050419,000000,9.3916,9.661,9.2429,9.2818,66275,0
CNS.US,D,20050420,000000,9.3108,9.3916,9.1799,9.1799,55112,0
CNS.US,D,20050421,000000,9.2311,9.2311,9.0558,9.1048,70631,0
CNS.US,D,20050422,000000,9.0718,9.0718,8.7152,8.8188,85631,0
CNS.US,D,20050425,000000,8.7883,9.0248,8.7883,8.9955,19190,0
CNS.US,D,20050426,000000,8.9463,9.0558,8.8718,8.8718,35402,0
CNS.US,D,20050427,000000,8.8718,8.9463,8.7883,8.8976,26161,0
CNS.US,D,20050428,000000,8.893,8.8976,8.8068,8.8244,75166,0
CNS.US,D,20050429,000000,8.8244,8.8539,8.5331,8.843,95397,0
CNS.US,D,20050502,000000,8.8188,8.8718,8.3839,8.7085,43424,0
CNS.US,D,20050503,000000,8.7387,9.2261,8.7387,9.1229,37148,0
CNS.US,D,20050504,000000,9.0718,9.2594,8.9023,8.9747,40637,0
CNS.US,D,20050505,000000,8.9219,8.9219,8.7948,8.9219,53194,0
CNS.US,D,20050506,000000,8.9463,8.9463,8.7663,8.9023,36799,0
CNS.US,D,20050509,000000,8.6475,8.9955,8.473,8.9162,146675,0
CNS.US,D,20050510,000000,8.9219,8.9285,8.6968,8.7497,69763,0
CNS.US,D,20050511,000000,8.7387,8.8718,8.7085,8.7883,86154,0
CNS.US,D,20050512,000000,8.7663,8.7883,8.6531,8.6639,61917,0
CNS.US,D,20050513,000000,8.6775,8.865,8.6775,8.7541,47959,0
CNS.US,D,20050516,000000,8.7387,9.036,8.7387,9.036,81622,0
CNS.US,D,20050517,000000,9.0492,9.1001,8.9463,9.0766,54419,0
CNS.US,D,20050518,000000,9.0813,9.633,9.0558,9.427,78835,0
CNS.US,D,20050519,000000,9.4358,9.483,9.3405,9.4476,36624,0
CNS.US,D,20050520,000000,9.4142,9.4142,9.3176,9.3857,30168,0
CNS.US,D,20050523,000000,9.3641,9.4702,9.3454,9.3591,55292,0
CNS.US,D,20050524,000000,9.3591,9.4201,9.2429,9.3454,48132,0
CNS.US,D,20050525,000000,9.3916,9.3916,9.238,9.3303,27732,0
CNS.US,D,20050526,000000,9.3303,9.3808,9.2818,9.3405,77781,0
CNS.US,D,20050527,000000,9.3405,9.3985,9.2311,9.3916,69763,0
CNS.US,D,20050531,000000,9.3405,9.545,9.2203,9.3,94699,0
CNS.US,D,20050601,000000,9.3108,9.4044,9.2701,9.3405,58075,0
CNS.US,D,20050602,000000,9.3641,9.4142,9.0248,9.4142,124526,0
CNS.US,D,20050603,000000,9.3108,9.585,9.3108,9.532,78835,0
CNS.US,D,20050606,000000,9.555,9.562,9.3916,9.3916,39242,0
CNS.US,D,20050607,000000,9.3405,9.483,9.2932,9.4427,26161,0
CNS.US,D,20050608,000000,9.4427,9.589,9.3454,9.4476,44124,0
CNS.US,D,20050609,000000,9.555,9.645,9.551,9.645,16568,0
CNS.US,D,20050610,000000,9.568,9.568,9.3985,9.4044,22669,0
CNS.US,D,20050613,000000,9.3916,9.78,9.3916,9.774,52150,0
CNS.US,D,20050614,000000,9.981,9.981,9.835,9.969,93653,0
CNS.US,D,20050615,000000,9.966,10.031,9.721,10.012,97844,0
CNS.US,D,20050616,000000,10.062,10.096,9.883,10.042,86506,0
CNS.US,D,20050617,000000,10.355,10.383,10.172,10.383,197954,0
CNS.US,D,20050620,000000,10.383,10.504,10.253,10.476,61565,0
CNS.US,D,20050621,000000,10.58,10.598,10.317,10.348,105692,0
CNS.US,D,20050622,000000,10.331,10.355,10.172,10.287,46390,0
CNS.US,D,20050623,000000,10.287,10.336,10.277,10.293,44644,0
CNS.US,D,20050624,000000,10.293,10.298,10.042,10.042,58776,0
CNS.US,D,20050627,000000,10.084,10.172,10.042,10.121,53544,0
CNS.US,D,20050628,000000,10.128,10.413,10.128,10.413,28251,0
CNS.US,D,20050629,000000,10.429,10.619,10.343,10.591,23370,0
CNS.US,D,20050630,000000,10.724,10.908,10.67,10.749,36799,0
CNS.US,D,20050701,000000,10.732,11.285,10.702,11.132,36449,0
CNS.US,D,20050705,000000,11.215,11.215,11.01,11.193,62965,0
CNS.US,D,20050706,000000,11.244,11.267,10.619,10.796,57203,0
CNS.US,D,20050707,000000,10.696,11.132,10.696,11.132,28603,0
CNS.US,D,20050708,000000,11.163,11.163,10.908,10.974,47437,0
