<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CODI.US,D,20060510,000000,6.0022,6.0022,6.0022,6.0022,0,0
CODI.US,D,20060511,000000,5.8216,6.1016,5.6053,6.0141,8962911,0
CODI.US,D,20060512,000000,6.0622,6.0622,6.0022,6.0173,235646,0
CODI.US,D,20060515,000000,6.0419,6.0419,6.0022,6.0141,49355,0
CODI.US,D,20060516,000000,6.0022,6.0173,6.0022,6.0173,73651,0
CODI.US,D,20060517,000000,6.0419,6.0419,6.0022,6.0063,99716,0
CODI.US,D,20060518,000000,6.0022,6.0022,5.7815,5.9618,1435425,0
CODI.US,D,20060519,000000,5.9618,5.9618,5.8416,5.8416,28374,0
CODI.US,D,20060522,000000,5.9021,6.1786,5.8657,6.0419,404220,0
CODI.US,D,20060523,000000,6.0216,6.0819,5.8824,5.9021,300944,0
CODI.US,D,20060524,000000,5.9422,5.9981,5.8824,5.9179,79071,0
CODI.US,D,20060525,000000,5.8745,5.9588,5.8745,5.9216,41547,0
CODI.US,D,20060526,000000,5.9618,5.9981,5.8824,5.9823,42365,0
CODI.US,D,20060530,000000,6.0022,6.0022,5.9259,5.9259,40744,0
CODI.US,D,20060531,000000,5.9981,5.9981,5.9307,5.9307,329395,0
CODI.US,D,20060601,000000,5.9938,5.9938,5.9216,5.9216,26813,0
CODI.US,D,20060602,000000,5.987,5.9938,5.9216,5.987,85282,0
CODI.US,D,20060605,000000,5.9782,5.9938,5.9657,5.9823,55625,0
CODI.US,D,20060606,000000,6.0022,6.0173,5.9618,6.0173,90396,0
CODI.US,D,20060607,000000,6.0173,6.0216,5.9823,5.9823,61088,0
CODI.US,D,20060608,000000,6.0022,6.0141,5.9618,6.0141,46184,0
CODI.US,D,20060609,000000,6.0173,6.0216,5.9899,6.0022,36692,0
CODI.US,D,20060612,000000,6.0022,6.0063,5.9782,6.0063,59274,0
CODI.US,D,20060613,000000,6.0216,6.0216,5.9823,6.0022,159153,0
CODI.US,D,20060614,000000,6.0063,6.0063,5.9307,5.9823,47091,0
CODI.US,D,20060615,000000,5.9618,5.9823,5.9021,5.9618,294065,0
CODI.US,D,20060616,000000,5.9618,5.9618,5.7504,5.9216,204323,0
CODI.US,D,20060619,000000,5.9422,6.0022,5.8745,5.8824,478255,0
CODI.US,D,20060620,000000,5.9259,5.9618,5.8824,5.9618,133037,0
CODI.US,D,20060621,000000,5.9021,6.0022,5.9021,5.9823,55953,0
CODI.US,D,20060622,000000,5.9216,5.9823,5.9216,5.946,83158,0
CODI.US,D,20060623,000000,5.9823,5.9981,5.9342,5.9618,108846,0
CODI.US,D,20060626,000000,5.9782,6.0063,5.9179,5.9782,83703,0
CODI.US,D,20060627,000000,5.9782,5.9782,5.9216,5.946,68308,0
CODI.US,D,20060628,000000,5.9618,5.9618,5.8782,5.95,107336,0
CODI.US,D,20060629,000000,5.9588,5.9782,5.8902,5.9307,236308,0
CODI.US,D,20060630,000000,5.9216,5.9379,5.7102,5.7102,2950823,0
CODI.US,D,20060703,000000,5.8902,5.9618,5.8824,5.9539,67297,0
CODI.US,D,20060705,000000,5.9021,5.95,5.818,5.8301,107816,0
CODI.US,D,20060706,000000,5.8216,5.9618,5.8022,5.8579,106290,0
CODI.US,D,20060707,000000,5.8344,5.8979,5.7338,5.8022,49175,0
CODI.US,D,20060710,000000,5.7545,5.9422,5.7265,5.765,44374,0
CODI.US,D,20060711,000000,5.7617,5.8579,5.7378,5.7617,38404,0
CODI.US,D,20060712,000000,5.7423,5.9422,5.6701,5.7183,98449,0
CODI.US,D,20060713,000000,5.765,5.8138,5.6188,5.638,62276,0
CODI.US,D,20060714,000000,5.638,5.7504,5.5657,5.678,136373,0
CODI.US,D,20060717,000000,5.678,5.8695,5.3465,5.4136,546659,0
CODI.US,D,20060718,000000,5.4301,5.6816,5.3296,5.381,280393,0
CODI.US,D,20060719,000000,5.381,5.562,5.381,5.418,798303,0
CODI.US,D,20060720,000000,5.458,5.7815,5.3617,5.4055,4518563,0
CODI.US,D,20060721,000000,5.3701,5.6053,5.1177,5.4016,335782,0
CODI.US,D,20060724,000000,5.4618,5.6816,5.4055,5.6098,208871,0
CODI.US,D,20060725,000000,5.6257,5.6423,5.582,5.6257,83130,0
CODI.US,D,20060726,000000,5.601,5.6573,5.601,5.601,108451,0
CODI.US,D,20060727,000000,5.601,5.6538,5.562,5.562,69857,0
CODI.US,D,20060728,000000,5.601,5.8258,5.5907,5.818,314450,0
CODI.US,D,20060731,000000,5.9216,5.9216,5.8022,5.8745,90271,0
CODI.US,D,20060801,000000,5.8094,5.9021,5.8022,5.8657,101640,0
CODI.US,D,20060802,000000,5.9021,5.9021,5.8138,5.8416,73020,0
CODI.US,D,20060803,000000,5.8216,5.8495,5.7979,5.8416,75018,0
CODI.US,D,20060804,000000,5.8416,5.8824,5.6816,5.765,52487,0
CODI.US,D,20060807,000000,5.7617,5.8258,5.6856,5.7183,174001,0
CODI.US,D,20060808,000000,5.7545,5.8344,5.7423,5.7903,213805,0
CODI.US,D,20060809,000000,5.7979,5.8344,5.7617,5.7815,76871,0
CODI.US,D,20060810,000000,5.7815,5.8416,5.7815,5.7903,139102,0
CODI.US,D,20060811,000000,5.7815,5.8216,5.7784,5.7815,855655,0
CODI.US,D,20060814,000000,5.8216,5.8216,5.7815,5.8138,57989,0
CODI.US,D,20060815,000000,5.8216,5.9021,5.7979,5.8373,177219,0
CODI.US,D,20060816,000000,5.8824,5.8824,5.765,5.7815,80334,0
CODI.US,D,20060817,000000,5.7702,5.8782,5.7702,5.8745,127408,0
CODI.US,D,20060818,000000,5.8824,5.8824,5.8022,5.8063,41352,0
CODI.US,D,20060821,000000,5.8063,5.9021,5.7979,5.8824,62247,0
CODI.US,D,20060822,000000,5.8939,5.8939,5.7979,5.8022,69381,0
CODI.US,D,20060823,000000,5.8216,5.9216,5.7423,5.7617,116882,0
