<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COF_N.US,D,20210803,000000,25.07,25.17,25.07,25.17,1049457,0
COF_N.US,D,20210804,000000,25.18,25.19,25.07,25.11,373540,0
COF_N.US,D,20210805,000000,25.13,25.16,25.1,25.12,280070,0
COF_N.US,D,20210806,000000,25.12,25.13,24.95,24.98,296619,0
COF_N.US,D,20210809,000000,25.01,25.05,24.88,24.98,199831,0
COF_N.US,D,20210810,000000,24.97,24.98,24.8,24.9,148453,0
COF_N.US,D,20210811,000000,24.95,25.04,24.86,25.03,154699,0
COF_N.US,D,20210812,000000,25.03,25.1,25.01,25.08,151289,0
COF_N.US,D,20210813,000000,25.1,25.21,25.075,25.18,164689,0
COF_N.US,D,20210816,000000,25.18,25.23,25.15,25.23,92846,0
COF_N.US,D,20210817,000000,25.23,25.23,25.09,25.2,126994,0
COF_N.US,D,20210818,000000,25.13,25.2,25.09,25.16,197839,0
COF_N.US,D,20210819,000000,25.18,25.18,25.0507,25.16,241243,0
COF_N.US,D,20210820,000000,25.18,25.24,25.14,25.24,164849,0
COF_N.US,D,20210823,000000,25.25,25.32,25.21,25.21,192840,0
COF_N.US,D,20210824,000000,25.21,25.24,25.14,25.2,105757,0
COF_N.US,D,20210825,000000,25.24,25.25,25.16,25.16,85456,0
COF_N.US,D,20210826,000000,25.18,25.19,25.12,25.19,108684,0
COF_N.US,D,20210827,000000,25.19,25.3,25.14,25.25,254572,0
COF_N.US,D,20210830,000000,25.25,25.47,25.19,25.4,1229097,0
COF_N.US,D,20210831,000000,25.45,25.45,25.25,25.31,3347707,0
COF_N.US,D,20210901,000000,25.45,25.45,25.32,25.36,901819,0
COF_N.US,D,20210902,000000,25.31,25.56,25.31,25.49,159566,0
COF_N.US,D,20210903,000000,25.54,25.54,25.44,25.51,43323,0
COF_N.US,D,20210907,000000,25.43,25.49,25.3,25.32,705056,0
COF_N.US,D,20210908,000000,25.32,25.43,25.25,25.4,122541,0
COF_N.US,D,20210909,000000,25.4,25.4494,25.33,25.4,60242,0
COF_N.US,D,20210910,000000,25.42,25.48,25.4,25.41,76150,0
COF_N.US,D,20210913,000000,25.4671,25.4671,25.33,25.35,41652,0
COF_N.US,D,20210914,000000,25.36,25.44,25.27,25.34,80399,0
COF_N.US,D,20210915,000000,25.27,25.37,25.22,25.27,100194,0
COF_N.US,D,20210916,000000,25.29,25.42,25.24,25.41,51755,0
COF_N.US,D,20210917,000000,25.44,25.44,25.24,25.24,100016,0
COF_N.US,D,20210920,000000,25.15,25.2493,25.12,25.19,37622,0
COF_N.US,D,20210921,000000,25.25,25.29,25.14,25.14,454263,0
COF_N.US,D,20210922,000000,25.16,25.34,25.16,25.33,187634,0
COF_N.US,D,20210923,000000,25.34,25.41,25.18,25.18,75191,0
COF_N.US,D,20210924,000000,25.15,25.21,25.02,25.05,86422,0
COF_N.US,D,20210927,000000,24.99,25.07,24.94,25.02,110723,0
COF_N.US,D,20210928,000000,24.95,25,24.76,24.88,165561,0
COF_N.US,D,20210929,000000,24.93,25.13,24.91,25,79441,0
COF_N.US,D,20210930,000000,25,25.1,24.92,24.93,69149,0
COF_N.US,D,20211001,000000,25.01,25.0556,24.96,24.97,46997,0
COF_N.US,D,20211004,000000,24.95,24.98,24.8,24.83,123021,0
COF_N.US,D,20211005,000000,24.93,24.95,24.8,24.84,68032,0
COF_N.US,D,20211006,000000,24.85,24.9,24.685,24.85,155780,0
COF_N.US,D,20211007,000000,24.85,24.9146,24.76,24.7802,64774,0
COF_N.US,D,20211008,000000,24.83,24.83,24.64,24.75,98401,0
COF_N.US,D,20211011,000000,24.75,24.83,24.72,24.7201,96740,0
COF_N.US,D,20211012,000000,24.75,24.91,24.75,24.83,84593,0
COF_N.US,D,20211013,000000,24.82,25.05,24.82,25.05,127235,0
COF_N.US,D,20211014,000000,25.06,25.2,25.06,25.1582,150978,0
COF_N.US,D,20211015,000000,25.15,25.1998,24.93,24.93,95281,0
COF_N.US,D,20211018,000000,24.93,25.04,24.92,25.0121,91127,0
COF_N.US,D,20211019,000000,25.03,25.09,24.94,24.95,91474,0
COF_N.US,D,20211020,000000,25.01,25.12,24.99,25.08,63947,0
COF_N.US,D,20211021,000000,25.08,25.155,25,25.01,141991,0
COF_N.US,D,20211022,000000,25.07,25.1791,24.99,25.06,63501,0
COF_N.US,D,20211025,000000,25.1,25.25,25.1,25.24,68703,0
COF_N.US,D,20211026,000000,25.25,25.34,25.2,25.3,45991,0
COF_N.US,D,20211027,000000,25.31,25.39,25.2,25.28,167172,0
COF_N.US,D,20211028,000000,25.24,25.38,25.2,25.23,79435,0
COF_N.US,D,20211029,000000,25.21,25.398,25.18,25.34,81289,0
COF_N.US,D,20211101,000000,25.29,25.38,25.26,25.34,55373,0
COF_N.US,D,20211102,000000,25.38,25.4,25.24,25.38,116587,0
COF_N.US,D,20211103,000000,25.37,25.37,25.25,25.28,58910,0
COF_N.US,D,20211104,000000,25.37,25.48,25.34,25.36,59893,0
COF_N.US,D,20211105,000000,25.42,25.45,25.38,25.39,30505,0
COF_N.US,D,20211108,000000,25.43,25.51,25.43,25.5,80423,0
COF_N.US,D,20211109,000000,25.5,25.5,25.38,25.38,116848,0
COF_N.US,D,20211110,000000,25.35,25.35,25.07,25.17,113096,0
COF_N.US,D,20211111,000000,25.15,25.22,25.1,25.2,45453,0
COF_N.US,D,20211112,000000,24.93,24.9313,24.79,24.83,55845,0
COF_N.US,D,20211115,000000,24.87,24.87,24.7,24.78,70754,0
COF_N.US,D,20211116,000000,24.78,24.95,24.73,24.76,59178,0
COF_N.US,D,20211117,000000,24.76,24.92,24.76,24.9,54015,0
COF_N.US,D,20211118,000000,24.93,24.93,24.8113,24.87,52634,0
COF_N.US,D,20211119,000000,24.88,24.88,24.71,24.76,49542,0
COF_N.US,D,20211122,000000,24.75,24.8685,24.66,24.68,40701,0
COF_N.US,D,20211123,000000,24.65,24.67,24.47,24.53,68443,0
COF_N.US,D,20211124,000000,24.62,24.68,24.51,24.64,35700,0
COF_N.US,D,20211126,000000,24.5,24.5,24.32,24.48,26281,0
COF_N.US,D,20211129,000000,24.55,24.65,24.48,24.56,54501,0
COF_N.US,D,20211130,000000,24.6,24.64,24.32,24.51,83047,0
COF_N.US,D,20211201,000000,24.65,24.85,24.585,24.74,124481,0
COF_N.US,D,20211202,000000,24.78,24.9404,24.78,24.85,93243,0
COF_N.US,D,20211203,000000,24.86,24.86,24.74,24.82,73742,0
COF_N.US,D,20211206,000000,24.82,25,24.76,24.99,41607,0
COF_N.US,D,20211207,000000,24.94,25.2,24.94,25.1,75406,0
COF_N.US,D,20211208,000000,25.01,25.13,24.9448,25.08,48912,0
COF_N.US,D,20211209,000000,25.03,25.12,25.02,25.09,43070,0
COF_N.US,D,20211210,000000,25.13,25.13,24.98,25.04,37435,0
COF_N.US,D,20211213,000000,24.99,25.065,24.99,25.01,89250,0
COF_N.US,D,20211214,000000,24.95,24.99,24.83,24.94,57494,0
COF_N.US,D,20211215,000000,24.89,25.05,24.84,24.99,39364,0
COF_N.US,D,20211216,000000,25.05,25.185,25,25.15,66445,0
COF_N.US,D,20211217,000000,25.13,25.19,25.06,25.15,77721,0
COF_N.US,D,20211220,000000,25.02,25.14,25.02,25.09,52112,0
COF_N.US,D,20211221,000000,25.16,25.22,25.1,25.16,72330,0
COF_N.US,D,20211222,000000,25.23,25.25,25.2,25.25,21569,0
COF_N.US,D,20211223,000000,25.18,25.32,25.18,25.29,18187,0
COF_N.US,D,20211227,000000,25.26,25.32,25.2501,25.26,52513,0
COF_N.US,D,20211228,000000,25.3065,25.3472,25.27,25.31,46386,0
COF_N.US,D,20211229,000000,25.31,25.48,25.31,25.47,101216,0
COF_N.US,D,20211230,000000,25.45,25.5,25.34,25.41,115008,0
COF_N.US,D,20211231,000000,25.37,25.46,25.32,25.46,318890,0
