<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COP.US,D,19820104,000000,1.433,1.4434,1.4224,1.4224,987128,0
COP.US,D,19820105,000000,1.3851,1.4114,1.3633,1.3742,1991152,0
COP.US,D,19820106,000000,1.3633,1.4063,1.3212,1.3424,1839456,0
COP.US,D,19820107,000000,1.3316,1.3424,1.3212,1.3316,720910,0
COP.US,D,19820108,000000,1.3259,1.3424,1.3052,1.3052,888005,0
COP.US,D,19820111,000000,1.2783,1.3103,1.241,1.2517,1158344,0
COP.US,D,19820112,000000,1.2358,1.2625,1.2094,1.2303,1671619,0
COP.US,D,19820113,000000,1.241,1.2625,1.2199,1.2199,807270,0
COP.US,D,19820114,000000,1.2303,1.2625,1.2094,1.2625,1238699,0
COP.US,D,19820115,000000,1.3316,1.4008,1.2676,1.3851,3582040,0
COP.US,D,19820118,000000,1.3956,1.433,1.3476,1.433,3376655,0
COP.US,D,19820119,000000,1.4224,1.4542,1.3851,1.3956,3551251,0
COP.US,D,19820120,000000,1.3424,1.3797,1.3103,1.3259,2636970,0
COP.US,D,19820121,000000,1.3531,1.3742,1.3316,1.3531,3353004,0
COP.US,D,19820122,000000,1.3633,1.3742,1.3424,1.3476,1391513,0
COP.US,D,19820125,000000,1.3633,1.3956,1.3259,1.3956,1478249,0
COP.US,D,19820126,000000,1.4008,1.4274,1.3742,1.3851,1709920,0
COP.US,D,19820127,000000,1.3956,1.4114,1.3742,1.3956,1411413,0
COP.US,D,19820128,000000,1.3956,1.4114,1.3797,1.4008,2060241,0
COP.US,D,19820129,000000,1.4114,1.433,1.3851,1.3956,3166389,0
COP.US,D,19820201,000000,1.3742,1.3956,1.3424,1.3742,1223676,0
COP.US,D,19820202,000000,1.3584,1.3742,1.3424,1.3424,1175244,0
COP.US,D,19820203,000000,1.3212,1.3531,1.2783,1.2891,1399773,0
COP.US,D,19820204,000000,1.3103,1.3424,1.2783,1.3372,2247225,0
COP.US,D,19820205,000000,1.3316,1.3531,1.3103,1.3424,2041089,0
COP.US,D,19820208,000000,1.3052,1.3424,1.2676,1.2732,1270612,0
COP.US,D,19820209,000000,1.2517,1.2732,1.2303,1.2463,2161618,0
COP.US,D,19820210,000000,1.2625,1.2732,1.2517,1.2625,1534946,0
COP.US,D,19820211,000000,1.3316,1.3956,1.2625,1.3956,2765384,0
COP.US,D,19820212,000000,1.3531,1.3956,1.2997,1.3372,3816707,0
COP.US,D,19820216,000000,1.3212,1.3531,1.2891,1.3424,1501151,0
COP.US,D,19820217,000000,1.2997,1.3372,1.2625,1.2783,1579252,0
COP.US,D,19820218,000000,1.2783,1.2944,1.2517,1.2625,1382878,0
COP.US,D,19820219,000000,1.2303,1.2732,1.1881,1.2144,1922817,0
COP.US,D,19820222,000000,1.1561,1.2199,1.0921,1.1134,1769992,0
COP.US,D,19820223,000000,1.1665,1.2199,1.1134,1.2036,1953227,0
COP.US,D,19820224,000000,1.2094,1.241,1.1773,1.1984,2612562,0
COP.US,D,19820225,000000,1.172,1.1984,1.1452,1.1561,1160594,0
COP.US,D,19820226,000000,1.1665,1.1773,1.1452,1.1665,984497,0
COP.US,D,19820301,000000,1.1561,1.1665,1.1452,1.1452,1103521,0
COP.US,D,19820302,000000,1.1291,1.1561,1.0973,1.108,1050958,0
COP.US,D,19820303,000000,1.0763,1.0921,1.0548,1.0763,1999034,0
COP.US,D,19820304,000000,1.0815,1.0973,1.0655,1.0763,2121063,0
COP.US,D,19820305,000000,1.0655,1.0921,1.0443,1.0548,1286005,0
COP.US,D,19820308,000000,1.0388,1.0763,1.0015,1.012,1029176,0
COP.US,D,19820309,000000,1.0176,1.0548,0.9747,1.0229,1234947,0
COP.US,D,19820310,000000,1.0176,1.028,0.9958,0.9958,1446336,0
COP.US,D,19820311,000000,1.0015,1.0176,0.9803,1.0015,1979138,0
COP.US,D,19820312,000000,1.007,1.0229,0.9854,1.0229,1067853,0
COP.US,D,19820315,000000,1.0548,1.0863,1.0176,1.0863,960471,0
COP.US,D,19820316,000000,1.0655,1.0815,1.0443,1.0655,873730,0
COP.US,D,19820317,000000,1.028,1.049,1.012,1.0332,477233,0
COP.US,D,19820318,000000,1.0443,1.0548,1.028,1.0443,617664,0
COP.US,D,19820319,000000,1.049,1.0601,1.0332,1.0548,633430,0
COP.US,D,19820322,000000,1.0655,1.0763,1.0548,1.0601,605266,0
