<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRS.US,D,20050225,000000,26.521,27.787,26.521,27.511,1247011,0
CRS.US,D,20050228,000000,27.591,28.156,27.37,27.766,928932,0
CRS.US,D,20050301,000000,27.682,27.921,27.152,27.264,746993,0
CRS.US,D,20050302,000000,27.115,27.329,26.393,27.144,835400,0
CRS.US,D,20050303,000000,27.37,27.638,27.049,27.288,469824,0
CRS.US,D,20050304,000000,27.511,28.781,27.511,28.74,753082,0
CRS.US,D,20050307,000000,28.451,28.757,27.517,27.55,600855,0
CRS.US,D,20050308,000000,27.55,27.55,26.582,27.115,1114276,0
CRS.US,D,20050309,000000,27.099,27.411,26.72,26.827,754786,0
CRS.US,D,20050310,000000,26.751,26.751,25.463,25.94,1202445,0
CRS.US,D,20050311,000000,26.444,26.976,26.149,26.497,952793,0
CRS.US,D,20050314,000000,26.531,26.531,25.471,26.087,827364,0
CRS.US,D,20050315,000000,26.157,26.672,26.006,26.087,479323,0
CRS.US,D,20050316,000000,26.087,26.105,25.438,25.679,1050215,0
CRS.US,D,20050317,000000,25.679,26.132,25.351,25.998,620342,0
CRS.US,D,20050318,000000,25.998,25.998,25.57,25.662,1240681,0
CRS.US,D,20050321,000000,25.768,25.851,24.954,25.101,1259678,0
CRS.US,D,20050322,000000,25.195,26.186,24.981,25.398,1602851,0
CRS.US,D,20050323,000000,25.398,25.398,23.811,24.505,953528,0
CRS.US,D,20050324,000000,24.634,25.044,24.608,24.685,388960,0
CRS.US,D,20050328,000000,24.685,24.797,23.962,24.313,620584,0
CRS.US,D,20050329,000000,24.329,24.667,23.123,23.348,980562,0
CRS.US,D,20050330,000000,23.348,24.06,23.245,24.02,756004,0
CRS.US,D,20050331,000000,24.472,24.657,24.092,24.387,787664,0
CRS.US,D,20050401,000000,24.591,25.093,24.16,25.013,803011,0
CRS.US,D,20050404,000000,24.766,24.838,24.169,24.797,719953,0
CRS.US,D,20050405,000000,25.003,25.334,24.995,25.118,733351,0
CRS.US,D,20050406,000000,24.916,25.776,24.774,25.421,879971,0
CRS.US,D,20050407,000000,25.421,26.054,25.342,25.899,588921,0
CRS.US,D,20050408,000000,25.899,25.899,25.22,25.325,763794,0
CRS.US,D,20050411,000000,25.325,25.325,24.855,25.101,412830,0
CRS.US,D,20050412,000000,25.101,25.281,24.487,25.281,599150,0
CRS.US,D,20050413,000000,25.248,25.248,24.634,24.892,1267472,0
CRS.US,D,20050414,000000,24.695,24.695,22.442,22.901,2111638,0
CRS.US,D,20050415,000000,22.844,23.236,22.062,22.491,1067269,0
CRS.US,D,20050418,000000,22.592,23.363,22.336,23.363,859515,0
CRS.US,D,20050419,000000,23.501,24.142,23.478,24.002,914553,0
CRS.US,D,20050420,000000,24.002,24.002,23.116,23.329,819813,0
CRS.US,D,20050421,000000,23.914,24.634,23.363,24.634,1050713,0
CRS.US,D,20050422,000000,24.43,24.988,24.283,24.695,678307,0
CRS.US,D,20050425,000000,24.892,25.866,24.892,25.48,1224851,0
CRS.US,D,20050426,000000,25.547,25.57,24.259,24.283,646643,0
CRS.US,D,20050427,000000,23.811,23.811,22.663,22.901,1779188,0
CRS.US,D,20050428,000000,22.582,22.789,22,22,869500,0
CRS.US,D,20050429,000000,22.175,22.978,21.892,22.703,1277948,0
CRS.US,D,20050502,000000,22.828,23.05,22.394,22.992,694627,0
CRS.US,D,20050503,000000,22.936,23.075,22.582,22.757,807393,0
CRS.US,D,20050504,000000,22.663,23.245,22.601,23.245,1354668,0
CRS.US,D,20050505,000000,23.14,23.388,22.663,22.992,773049,0
CRS.US,D,20050506,000000,23.253,23.461,22.893,22.945,847823,0
CRS.US,D,20050509,000000,22.844,23.123,22.498,23.075,735052,0
CRS.US,D,20050510,000000,23.091,23.091,22.498,22.548,999317,0
CRS.US,D,20050511,000000,22.789,22.805,22.047,22.498,560913,0
CRS.US,D,20050512,000000,22.253,22.319,21.209,21.438,1310341,0
CRS.US,D,20050513,000000,21.438,21.645,20.693,20.955,933067,0
CRS.US,D,20050516,000000,20.955,21.613,20.955,21.613,997609,0
CRS.US,D,20050517,000000,21.351,22.055,21.334,21.949,855623,0
CRS.US,D,20050518,000000,22.047,23.647,22.047,23.313,1476691,0
CRS.US,D,20050519,000000,24.109,24.109,22.747,23.083,805201,0
CRS.US,D,20050520,000000,23.116,23.183,22.789,22.918,525110,0
CRS.US,D,20050523,000000,22.86,23.418,22.774,23.236,486140,0
CRS.US,D,20050524,000000,22.805,22.828,22.189,22.229,1256271,0
CRS.US,D,20050525,000000,21.921,21.921,21.168,21.654,1143501,0
CRS.US,D,20050526,000000,21.654,22.394,21.654,22.167,742853,0
CRS.US,D,20050527,000000,22.609,22.86,22.158,22.352,459837,0
