<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCF.US,D,20171030,000000,7.6057,7.6131,7.5905,7.6057,62709,0
DCF.US,D,20171031,000000,7.604,7.6131,7.5905,7.6131,115723,0
DCF.US,D,20171101,000000,7.5987,7.6131,7.5905,7.5905,41793,0
DCF.US,D,20171102,000000,7.598,7.6057,7.5905,7.6057,15591,0
DCF.US,D,20171103,000000,7.6057,7.6591,7.5953,7.628,52301,0
DCF.US,D,20171106,000000,7.6203,7.6507,7.5987,7.6057,93918,0
DCF.US,D,20171107,000000,7.6057,7.6057,7.5846,7.5846,62828,0
DCF.US,D,20171108,000000,7.5905,7.5905,7.5846,7.5846,112664,0
DCF.US,D,20171109,000000,7.5846,7.5905,7.5846,7.5881,83213,0
DCF.US,D,20171110,000000,7.5846,7.5937,7.5846,7.5846,77294,0
DCF.US,D,20171113,000000,7.5853,7.5987,7.5853,7.5853,12043,0
DCF.US,D,20171114,000000,7.5971,7.6131,7.5971,7.6057,20569,0
DCF.US,D,20171115,000000,7.6131,7.628,7.6091,7.6124,16028,0
DCF.US,D,20171116,000000,7.628,7.6433,7.6203,7.6433,24419,0
DCF.US,D,20171117,000000,7.628,7.628,7.628,7.628,1159,0
DCF.US,D,20171120,000000,7.628,7.6433,7.628,7.6433,15657,0
DCF.US,D,20171121,000000,7.6372,7.6507,7.6354,7.6433,4854,0
DCF.US,D,20171122,000000,7.628,7.628,7.6203,7.6203,19027,0
DCF.US,D,20171124,000000,7.628,7.628,7.628,7.628,396,0
DCF.US,D,20171127,000000,7.6161,7.628,7.6161,7.6212,9452,0
DCF.US,D,20171128,000000,7.6057,7.6131,7.6057,7.6057,88699,0
DCF.US,D,20171129,000000,7.6131,7.6131,7.6057,7.6131,10177,0
DCF.US,D,20171130,000000,7.6115,7.6203,7.6115,7.6195,11477,0
DCF.US,D,20171201,000000,7.6195,7.6203,7.617,7.6185,8265,0
DCF.US,D,20171204,000000,7.6161,7.6161,7.6161,7.6161,521,0
DCF.US,D,20171205,000000,7.6203,7.6203,7.6057,7.6057,3806,0
DCF.US,D,20171206,000000,7.5611,7.6131,7.5611,7.5694,12454,0
DCF.US,D,20171207,000000,7.5846,7.6057,7.5846,7.5953,25316,0
DCF.US,D,20171208,000000,7.5853,7.6033,7.5611,7.5716,18044,0
DCF.US,D,20171211,000000,7.6124,7.6124,7.5611,7.5611,21710,0
DCF.US,D,20171212,000000,7.5611,7.5611,7.5587,7.5611,8239,0
DCF.US,D,20171213,000000,7.5694,7.5694,7.5229,7.5331,22919,0
DCF.US,D,20171214,000000,7.349,7.5157,7.349,7.3947,31375,0
DCF.US,D,20171215,000000,7.3947,7.4946,7.3947,7.4646,42476,0
DCF.US,D,20171218,000000,7.4602,7.4639,7.4497,7.4611,16484,0
DCF.US,D,20171219,000000,7.4639,7.4639,7.2418,7.2881,101042,0
DCF.US,D,20171220,000000,7.3257,7.341,7.2418,7.2646,90225,0
DCF.US,D,20171221,000000,7.2418,7.2494,7.0886,7.1194,158019,0
DCF.US,D,20171222,000000,7.1267,7.2494,7.1194,7.2225,93311,0
DCF.US,D,20171226,000000,7.2161,7.2799,7.1649,7.2261,135271,0
DCF.US,D,20171227,000000,7.2418,7.3874,7.1344,7.349,77463,0
DCF.US,D,20171228,000000,7.3257,7.349,7.2187,7.2646,90755,0
DCF.US,D,20171229,000000,7.2261,7.3184,7.1194,7.2034,339417,0
DCF.US,D,20180102,000000,7.349,7.3566,7.2286,7.2342,32136,0
DCF.US,D,20180103,000000,7.2418,7.4717,7.2342,7.4717,37402,0
DCF.US,D,20180104,000000,7.4558,7.5489,7.4185,7.5095,70306,0
DCF.US,D,20180105,000000,7.5173,7.5173,7.4717,7.4823,23532,0
DCF.US,D,20180108,000000,7.4717,7.5022,7.4717,7.4791,20755,0
DCF.US,D,20180109,000000,7.4558,7.4999,7.4558,7.4823,23468,0
DCF.US,D,20180110,000000,7.5095,7.5251,7.4639,7.4639,38481,0
DCF.US,D,20180111,000000,7.5792,7.5792,7.4558,7.4639,41340,0
DCF.US,D,20180112,000000,7.4491,7.4639,7.2953,7.3795,122305,0
DCF.US,D,20180116,000000,7.3974,7.5054,7.3974,7.5054,14960,0
DCF.US,D,20180117,000000,7.475,7.475,7.4674,7.4674,12231,0
DCF.US,D,20180118,000000,7.6212,7.6212,7.4602,7.537,53011,0
DCF.US,D,20180119,000000,7.5274,7.5356,7.5204,7.5204,3516,0
DCF.US,D,20180122,000000,7.4982,7.5447,7.4823,7.4823,26223,0
DCF.US,D,20180123,000000,7.5905,7.5905,7.5134,7.5211,12213,0
DCF.US,D,20180124,000000,7.537,7.5379,7.2594,7.3486,196197,0
DCF.US,D,20180125,000000,7.3982,7.4602,7.3598,7.4602,41539,0
DCF.US,D,20180126,000000,7.4982,7.5054,7.4373,7.4373,27645,0
DCF.US,D,20180129,000000,7.475,7.5447,7.475,7.4982,126306,0
DCF.US,D,20180130,000000,7.4982,7.5211,7.4528,7.4528,37094,0
DCF.US,D,20180131,000000,7.5905,7.5905,7.4528,7.4602,81999,0
DCF.US,D,20180201,000000,7.4602,7.5291,7.4251,7.4449,126947,0
DCF.US,D,20180202,000000,7.4602,7.5905,7.4602,7.5603,24098,0
DCF.US,D,20180205,000000,7.5905,7.5905,7.4373,7.5211,54142,0
DCF.US,D,20180206,000000,7.5291,7.5603,7.4823,7.4905,18834,0
DCF.US,D,20180207,000000,7.5134,7.5838,7.4823,7.5755,38163,0
DCF.US,D,20180208,000000,7.537,7.5838,7.4528,7.5422,36534,0
DCF.US,D,20180209,000000,7.5322,7.5322,7.1757,7.3242,206401,0
DCF.US,D,20180212,000000,7.3309,7.3693,7.3153,7.3535,15406,0
DCF.US,D,20180213,000000,7.3465,7.3918,7.3382,7.3382,38051,0
DCF.US,D,20180214,000000,7.4165,7.4165,7.1757,7.3075,130988,0
DCF.US,D,20180215,000000,7.2686,7.2833,7.2374,7.2766,59439,0
DCF.US,D,20180216,000000,7.2766,7.3075,7.2686,7.2686,28086,0
DCF.US,D,20180220,000000,7.2921,7.3536,7.2921,7.3309,13891,0
DCF.US,D,20180221,000000,7.3382,7.3536,7.2921,7.3227,24811,0
DCF.US,D,20180222,000000,7.2842,7.3524,7.2842,7.3309,34276,0
DCF.US,D,20180223,000000,7.3075,7.3694,7.3075,7.3619,25218,0
DCF.US,D,20180226,000000,7.3774,7.4007,7.3228,7.3593,49132,0
DCF.US,D,20180227,000000,7.3928,7.3928,7.2842,7.2921,27044,0
DCF.US,D,20180228,000000,7.3075,7.3334,7.285,7.3309,35780,0
DCF.US,D,20180301,000000,7.3309,7.3465,7.3246,7.3268,14672,0
DCF.US,D,20180302,000000,7.3465,7.362,7.2921,7.3228,17353,0
DCF.US,D,20180305,000000,7.3465,7.353,7.3382,7.353,5516,0
DCF.US,D,20180306,000000,7.3524,7.3843,7.3465,7.3843,15230,0
DCF.US,D,20180307,000000,7.362,7.4394,7.362,7.4238,32290,0
DCF.US,D,20180308,000000,7.4011,7.4782,7.362,7.4626,44555,0
DCF.US,D,20180309,000000,7.4699,7.4699,7.4318,7.4318,12609,0
DCF.US,D,20180312,000000,7.362,7.4238,7.362,7.3851,7909,0
DCF.US,D,20180313,000000,7.4123,7.427,7.3647,7.3647,71986,0
DCF.US,D,20180314,000000,7.388,7.4348,7.3724,7.4348,10800,0
DCF.US,D,20180315,000000,7.427,7.4348,7.3724,7.3937,14674,0
DCF.US,D,20180316,000000,7.4037,7.4193,7.3803,7.3803,14990,0
DCF.US,D,20180319,000000,7.4037,7.4155,7.3943,7.4114,21764,0
