<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEIF.US,D,20211216,000000,25.1687,25.1687,25.1687,25.1687,44,0
DEIF.US,D,20211220,000000,24.5138,24.5138,24.5138,24.5138,9,0
DEIF.US,D,20211221,000000,24.8994,24.8994,24.8994,24.8994,327,0
DEIF.US,D,20211222,000000,25.1099,25.1099,25.1099,25.1099,1,0
DEIF.US,D,20211223,000000,25.2768,25.2768,25.2768,25.2768,321,0
DEIF.US,D,20211227,000000,25.5631,25.5631,25.5631,25.5631,321,0
DEIF.US,D,20211228,000000,25.6052,25.6052,25.6052,25.6052,4,0
DEIF.US,D,20211229,000000,25.6677,25.6677,25.6677,25.6677,321,0
DEIF.US,D,20211230,000000,25.7094,25.71,25.5808,25.5808,1304,0
DEIF.US,D,20211231,000000,25.6,25.65,25.5742,25.5742,3001,0
DEIF.US,D,20220103,000000,25.6,25.6563,25.6,25.6563,101,0
DEIF.US,D,20220104,000000,25.9192,25.9192,25.9192,25.9192,48,0
DEIF.US,D,20220105,000000,25.5307,25.5307,25.5307,25.5307,1,0
DEIF.US,D,20220106,000000,25.5324,25.5324,25.5324,25.5324,3,0
DEIF.US,D,20220107,000000,25.5024,25.5024,25.5024,25.5024,12,0
DEIF.US,D,20220110,000000,25.3809,25.3809,25.3809,25.3809,41,0
DEIF.US,D,20220111,000000,25.6081,25.6081,25.6081,25.6081,24,0
DEIF.US,D,20220112,000000,25.6677,25.6677,25.6677,25.6677,1,0
DEIF.US,D,20220113,000000,25.5843,25.5843,25.5843,25.5843,1,0
DEIF.US,D,20220114,000000,25.5677,25.5677,25.5677,25.5677,1,0
DEIF.US,D,20220118,000000,25.1059,25.1059,25.1059,25.1059,1,0
DEIF.US,D,20220119,000000,25.16,25.16,24.9344,24.9344,100,0
DEIF.US,D,20220120,000000,24.75,24.75,24.664,24.664,100,0
DEIF.US,D,20220121,000000,24.3275,24.3275,24.3275,24.3275,4,0
