<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFP.US,D,20130524,000000,13.11,13.159,13.11,13.115,774359,0
DFP.US,D,20130528,000000,13.121,13.189,13.121,13.136,65299,0
DFP.US,D,20130529,000000,13.13,13.208,13.115,13.184,191057,0
DFP.US,D,20130530,000000,13.142,13.194,13.115,13.115,89373,0
DFP.US,D,20130531,000000,13.125,13.142,13.11,13.115,128889,0
DFP.US,D,20130603,000000,13.11,13.125,13.11,13.11,40269,0
DFP.US,D,20130604,000000,13.121,13.121,13.11,13.11,75167,0
DFP.US,D,20130605,000000,13.11,13.115,13.11,13.11,143858,0
DFP.US,D,20130606,000000,13.11,13.115,13.11,13.11,75298,0
DFP.US,D,20130607,000000,13.13,13.159,13.11,13.11,56776,0
DFP.US,D,20130610,000000,13.153,13.153,13.121,13.13,32136,0
DFP.US,D,20130611,000000,13.11,13.153,13.11,13.11,54539,0
DFP.US,D,20130612,000000,13.125,13.159,13.11,13.11,88117,0
DFP.US,D,20130613,000000,13.11,13.115,13.11,13.11,166281,0
DFP.US,D,20130614,000000,13.11,13.145,13.11,13.115,71452,0
DFP.US,D,20130617,000000,13.166,13.166,13.11,13.11,43391,0
DFP.US,D,20130618,000000,13.125,13.125,13.105,13.11,78397,0
DFP.US,D,20130619,000000,13.11,13.115,13.11,13.11,64656,0
DFP.US,D,20130620,000000,13.11,13.115,13.11,13.11,349757,0
DFP.US,D,20130621,000000,13.11,13.115,13.11,13.11,300367,0
DFP.US,D,20130624,000000,13.11,13.115,13.11,13.11,388911,0
DFP.US,D,20130625,000000,13.11,13.115,13.11,13.11,246136,0
DFP.US,D,20130626,000000,13.11,13.121,13.11,13.121,223763,0
DFP.US,D,20130627,000000,13.115,13.121,13.11,13.11,400359,0
DFP.US,D,20130628,000000,13.247,13.43,13.247,13.405,218004,0
DFP.US,D,20130701,000000,12.999,13.057,12.879,12.92,1592771,0
DFP.US,D,20130702,000000,12.848,12.92,12.848,12.884,687835,0
DFP.US,D,20130703,000000,12.859,12.859,12.799,12.799,159977,0
DFP.US,D,20130705,000000,12.752,12.781,12.646,12.697,75839,0
DFP.US,D,20130708,000000,12.675,12.734,12.601,12.613,91615,0
DFP.US,D,20130709,000000,12.386,12.601,12.381,12.486,353563,0
DFP.US,D,20130710,000000,12.449,12.524,12.393,12.475,93366,0
DFP.US,D,20130711,000000,12.536,12.689,12.475,12.519,59319,0
DFP.US,D,20130712,000000,12.542,12.591,12.39,12.422,71690,0
DFP.US,D,20130715,000000,12.422,12.503,12.161,12.206,209606,0
DFP.US,D,20130716,000000,12.15,12.188,11.964,11.964,98968,0
DFP.US,D,20130717,000000,11.952,11.952,11.658,11.682,307538,0
DFP.US,D,20130718,000000,11.695,11.779,11.626,11.69,194010,0
DFP.US,D,20130719,000000,11.664,11.714,11.526,11.588,199425,0
DFP.US,D,20130722,000000,11.574,11.719,11.432,11.719,154085,0
DFP.US,D,20130723,000000,11.731,11.783,11.577,11.706,61933,0
DFP.US,D,20130724,000000,11.641,11.816,11.609,11.724,157186,0
DFP.US,D,20130725,000000,11.808,11.924,11.714,11.861,153572,0
DFP.US,D,20130726,000000,11.854,11.88,11.658,11.731,121534,0
DFP.US,D,20130729,000000,11.779,11.812,11.626,11.719,69834,0
DFP.US,D,20130730,000000,11.731,11.87,11.669,11.812,106958,0
DFP.US,D,20130731,000000,11.828,11.915,11.626,11.664,122633,0
DFP.US,D,20130801,000000,11.669,11.738,11.237,11.261,220783,0
DFP.US,D,20130802,000000,11.341,11.779,11.305,11.738,206054,0
DFP.US,D,20130805,000000,11.619,11.757,11.619,11.685,57800,0
DFP.US,D,20130806,000000,11.619,11.816,11.352,11.489,115789,0
DFP.US,D,20130807,000000,11.359,11.514,11.272,11.341,81881,0
DFP.US,D,20130808,000000,11.335,11.335,11.016,11.023,280126,0
DFP.US,D,20130809,000000,10.984,11.379,10.928,11.359,153168,0
DFP.US,D,20130812,000000,11.345,11.473,11.195,11.324,124620,0
DFP.US,D,20130813,000000,11.501,11.501,11.22,11.369,130382,0
DFP.US,D,20130814,000000,11.495,11.495,11.087,11.359,114410,0
DFP.US,D,20130815,000000,11.301,11.322,10.984,11.206,145034,0
DFP.US,D,20130816,000000,10.955,11.138,10.788,11.006,235495,0
DFP.US,D,20130819,000000,10.833,11.301,10.833,10.984,163959,0
DFP.US,D,20130820,000000,10.824,11.174,10.805,10.955,200895,0
DFP.US,D,20130821,000000,11.158,11.158,10.764,11.041,190020,0
DFP.US,D,20130822,000000,11.028,11.175,10.779,11.088,237504,0
DFP.US,D,20130823,000000,10.928,11.309,10.928,11.28,216357,0
DFP.US,D,20130826,000000,11.222,11.257,10.873,11.004,408393,0
DFP.US,D,20130827,000000,11.023,11.112,10.918,11.004,122923,0
DFP.US,D,20130828,000000,11.011,11.112,10.833,11.101,122048,0
DFP.US,D,20130829,000000,10.947,11.128,10.941,10.99,178823,0
DFP.US,D,20130830,000000,11.165,11.342,10.979,11.335,118918,0
DFP.US,D,20130903,000000,11.254,11.254,11.041,11.133,62297,0
DFP.US,D,20130904,000000,11.088,11.168,10.99,11.006,121069,0
DFP.US,D,20130905,000000,10.99,11.041,10.908,10.921,90590,0
DFP.US,D,20130906,000000,10.921,10.952,10.824,10.866,83608,0
DFP.US,D,20130909,000000,10.928,10.984,10.779,10.808,125828,0
DFP.US,D,20130910,000000,10.828,10.928,10.664,10.745,166649,0
DFP.US,D,20130911,000000,10.728,10.873,10.658,10.793,177202,0
DFP.US,D,20130912,000000,10.764,10.877,10.571,10.639,228146,0
DFP.US,D,20130913,000000,10.639,10.757,10.549,10.675,180777,0
DFP.US,D,20130916,000000,10.828,10.86,10.639,10.639,156651,0
DFP.US,D,20130917,000000,10.639,10.804,10.614,10.685,195797,0
DFP.US,D,20130918,000000,10.716,10.955,10.658,10.914,268080,0
DFP.US,D,20130919,000000,10.918,11.03,10.785,10.859,201728,0
DFP.US,D,20130920,000000,10.968,10.968,10.708,10.808,214676,0
DFP.US,D,20130923,000000,10.856,11.03,10.755,11.019,250705,0
DFP.US,D,20130924,000000,10.941,11.103,10.883,11.103,171438,0
DFP.US,D,20130925,000000,11.143,11.143,11.05,11.118,102673,0
DFP.US,D,20130926,000000,11.077,11.261,11.077,11.091,155096,0
DFP.US,D,20130927,000000,11.16,11.225,11.05,11.225,271617,0
DFP.US,D,20130930,000000,11.285,11.446,11.004,11.446,647820,0
DFP.US,D,20131001,000000,11.342,11.453,11.251,11.395,189555,0
DFP.US,D,20131002,000000,11.45,11.45,11.103,11.335,139648,0
DFP.US,D,20131003,000000,11.401,11.401,11.155,11.261,69553,0
DFP.US,D,20131004,000000,11.435,11.435,11.268,11.268,58529,0
DFP.US,D,20131007,000000,11.37,11.47,11.079,11.114,73088,0
DFP.US,D,20131008,000000,11.155,11.155,11.007,11.077,94473,0
DFP.US,D,20131009,000000,11.077,11.205,10.998,11.091,93978,0
DFP.US,D,20131010,000000,11.136,11.311,10.948,10.955,146349,0
DFP.US,D,20131011,000000,11.004,11.125,10.918,11.083,100146,0
DFP.US,D,20131014,000000,11.011,11.236,10.993,11.118,72509,0
DFP.US,D,20131015,000000,10.99,11.183,10.99,11.096,209362,0
DFP.US,D,20131016,000000,11.107,11.121,10.889,10.935,130755,0
DFP.US,D,20131017,000000,10.953,11.165,10.892,11.073,187503,0
DFP.US,D,20131018,000000,11.05,11.188,11.03,11.096,249545,0
DFP.US,D,20131021,000000,11.091,11.107,10.993,11.103,124329,0
DFP.US,D,20131022,000000,11.215,11.215,11.055,11.148,239546,0
DFP.US,D,20131023,000000,11.148,11.272,11.106,11.17,128382,0
DFP.US,D,20131024,000000,11.135,11.319,11.135,11.193,136460,0
DFP.US,D,20131025,000000,11.215,11.307,11.215,11.255,91631,0
DFP.US,D,20131028,000000,11.336,11.336,11.121,11.187,115880,0
DFP.US,D,20131029,000000,11.241,11.307,11.165,11.251,174729,0
DFP.US,D,20131030,000000,11.255,11.347,11.199,11.307,144302,0
DFP.US,D,20131031,000000,11.436,11.436,11.193,11.241,126387,0
DFP.US,D,20131101,000000,11.285,11.33,11.165,11.204,53822,0
DFP.US,D,20131104,000000,11.21,11.247,11.117,11.159,81695,0
DFP.US,D,20131105,000000,11.129,11.165,10.989,11.048,151952,0
DFP.US,D,20131106,000000,11.033,11.077,10.997,11.048,127183,0
DFP.US,D,20131107,000000,11.077,11.102,11.016,11.055,94727,0
DFP.US,D,20131108,000000,11.033,11.072,10.814,10.869,277404,0
DFP.US,D,20131111,000000,10.9,10.951,10.861,10.886,75622,0
DFP.US,D,20131112,000000,10.896,10.932,10.69,10.764,184960,0
DFP.US,D,20131113,000000,10.794,10.9,10.743,10.891,182610,0
DFP.US,D,20131114,000000,10.9,11.028,10.875,10.953,275871,0
DFP.US,D,20131115,000000,10.905,10.992,10.905,10.953,124127,0
DFP.US,D,20131118,000000,10.944,11.016,10.944,10.972,160019,0
DFP.US,D,20131119,000000,10.93,11.006,10.877,10.889,185387,0
DFP.US,D,20131120,000000,10.813,10.958,10.744,10.776,326990,0
DFP.US,D,20131121,000000,10.824,10.859,10.746,10.766,246575,0
DFP.US,D,20131122,000000,10.802,10.889,10.722,10.843,417646,0
DFP.US,D,20131125,000000,10.766,10.936,10.726,10.918,368953,0
DFP.US,D,20131126,000000,10.889,10.958,10.813,10.843,293485,0
DFP.US,D,20131127,000000,10.818,10.93,10.791,10.827,259601,0
DFP.US,D,20131129,000000,10.936,10.936,10.802,10.839,95612,0
DFP.US,D,20131202,000000,10.839,10.909,10.783,10.889,422032,0
DFP.US,D,20131203,000000,10.831,10.866,10.746,10.813,268814,0
DFP.US,D,20131204,000000,10.843,10.843,10.718,10.744,319530,0
DFP.US,D,20131205,000000,10.744,10.776,10.658,10.722,525018,0
DFP.US,D,20131206,000000,10.761,10.827,10.746,10.802,208493,0
DFP.US,D,20131209,000000,10.773,10.839,10.766,10.818,305889,0
DFP.US,D,20131210,000000,10.808,10.856,10.753,10.831,429700,0
DFP.US,D,20131211,000000,10.889,10.889,10.813,10.843,291938,0
DFP.US,D,20131212,000000,10.818,10.893,10.818,10.839,386767,0
DFP.US,D,20131213,000000,10.824,10.873,10.791,10.859,324094,0
DFP.US,D,20131216,000000,10.893,11.113,10.883,11.039,527533,0
DFP.US,D,20131217,000000,10.976,11.123,10.976,11.062,307322,0
DFP.US,D,20131218,000000,11.032,11.165,11.002,11.106,444977,0
DFP.US,D,20131219,000000,11.077,11.324,11.033,11.15,418010,0
DFP.US,D,20131220,000000,11.144,11.259,11.096,11.136,444806,0
DFP.US,D,20131223,000000,11.215,11.255,11.179,11.239,334782,0
DFP.US,D,20131224,000000,11.244,11.322,11.19,11.233,201595,0
DFP.US,D,20131226,000000,11.259,11.276,11.107,11.213,375056,0
DFP.US,D,20131227,000000,11.244,11.244,11.15,11.19,384890,0
DFP.US,D,20131230,000000,11.196,11.271,11.006,11.066,468736,0
DFP.US,D,20131231,000000,11.055,11.301,10.963,11.301,1093121,0
DFP.US,D,20140102,000000,11.283,11.409,11.227,11.393,212346,0
DFP.US,D,20140103,000000,11.432,11.432,11.335,11.409,138020,0
DFP.US,D,20140106,000000,11.415,11.487,11.318,11.393,207303,0
DFP.US,D,20140107,000000,11.422,11.422,11.347,11.388,135434,0
DFP.US,D,20140108,000000,11.432,11.432,11.335,11.382,146337,0
DFP.US,D,20140109,000000,11.409,11.432,11.361,11.415,137136,0
DFP.US,D,20140110,000000,11.452,11.516,11.422,11.503,177514,0
DFP.US,D,20140113,000000,11.519,11.538,11.469,11.503,155284,0
DFP.US,D,20140114,000000,11.457,11.524,11.452,11.497,93675,0
DFP.US,D,20140115,000000,11.464,11.529,11.457,11.524,123421,0
DFP.US,D,20140116,000000,11.558,11.558,11.511,11.529,151617,0
DFP.US,D,20140117,000000,11.534,11.558,11.529,11.546,110912,0
DFP.US,D,20140121,000000,11.574,11.621,11.574,11.621,174231,0
DFP.US,D,20140122,000000,11.646,11.712,11.616,11.64,172876,0
DFP.US,D,20140123,000000,11.646,11.695,11.597,11.61,191762,0
DFP.US,D,20140124,000000,11.663,11.7,11.479,11.519,442917,0
