<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHF.US,D,20050225,000000,1.784,1.7954,1.784,1.7911,254795,0
DHF.US,D,20050228,000000,1.7954,1.7954,1.7807,1.788,370215,0
DHF.US,D,20050301,000000,1.788,1.7954,1.7807,1.7911,686886,0
DHF.US,D,20050302,000000,1.788,1.7954,1.7693,1.784,801501,0
DHF.US,D,20050303,000000,1.788,1.788,1.7729,1.788,492368,0
DHF.US,D,20050304,000000,1.7807,1.7911,1.7729,1.788,556941,0
DHF.US,D,20050307,000000,1.784,1.7954,1.784,1.7911,421065,0
DHF.US,D,20050308,000000,1.784,1.788,1.7729,1.7807,386095,0
DHF.US,D,20050309,000000,1.7807,1.7807,1.7578,1.7729,444738,0
DHF.US,D,20050310,000000,1.7766,1.7807,1.7578,1.7654,685001,0
DHF.US,D,20050311,000000,1.7693,1.7693,1.7396,1.7433,763293,0
DHF.US,D,20050314,000000,1.7359,1.7578,1.7168,1.7212,907237,0
DHF.US,D,20050315,000000,1.7321,1.7321,1.6762,1.6801,1045788,0
DHF.US,D,20050316,000000,1.6762,1.6762,1.6315,1.643,1095308,0
DHF.US,D,20050317,000000,1.639,1.6762,1.639,1.6649,561506,0
DHF.US,D,20050318,000000,1.6504,1.6801,1.6504,1.6801,462762,0
DHF.US,D,20050321,000000,1.6723,1.6723,1.6244,1.643,858808,0
DHF.US,D,20050322,000000,1.6244,1.6465,1.6205,1.6277,517376,0
DHF.US,D,20050323,000000,1.6024,1.6167,1.5723,1.5911,853966,0
DHF.US,D,20050324,000000,1.5836,1.6354,1.5836,1.6354,593527,0
DHF.US,D,20050328,000000,1.6504,1.6649,1.5836,1.6205,643562,0
DHF.US,D,20050329,000000,1.6205,1.6541,1.613,1.6465,288679,0
DHF.US,D,20050330,000000,1.6167,1.6315,1.6024,1.6244,812255,0
DHF.US,D,20050331,000000,1.6315,1.639,1.6205,1.6354,545897,0
DHF.US,D,20050401,000000,1.6541,1.6723,1.6354,1.6465,636300,0
DHF.US,D,20050404,000000,1.6574,1.6723,1.643,1.6649,585717,0
DHF.US,D,20050405,000000,1.6649,1.6878,1.6541,1.6878,265819,0
DHF.US,D,20050406,000000,1.6801,1.7101,1.6762,1.7059,453611,0
DHF.US,D,20050407,000000,1.6949,1.7168,1.6911,1.7134,390929,0
DHF.US,D,20050408,000000,1.6986,1.7134,1.6836,1.7026,346797,0
DHF.US,D,20050411,000000,1.6911,1.6949,1.6574,1.6762,481049,0
DHF.US,D,20050412,000000,1.6465,1.6836,1.643,1.6649,437198,0
DHF.US,D,20050413,000000,1.6541,1.6649,1.639,1.6574,385005,0
DHF.US,D,20050414,000000,1.6541,1.662,1.6093,1.6277,348965,0
DHF.US,D,20050415,000000,1.6167,1.6315,1.5981,1.6315,400886,0
DHF.US,D,20050418,000000,1.6024,1.6465,1.6024,1.639,501232,0
DHF.US,D,20050419,000000,1.643,1.6723,1.643,1.6649,389853,0
DHF.US,D,20050420,000000,1.6649,1.6688,1.6277,1.662,370215,0
DHF.US,D,20050421,000000,1.662,1.6688,1.643,1.6541,362411,0
DHF.US,D,20050422,000000,1.6465,1.6649,1.643,1.662,296222,0
DHF.US,D,20050425,000000,1.6504,1.6688,1.6504,1.6649,344375,0
DHF.US,D,20050426,000000,1.6649,1.6723,1.6504,1.662,400615,0
DHF.US,D,20050427,000000,1.6688,1.6762,1.6574,1.6688,345460,0
DHF.US,D,20050428,000000,1.6723,1.6836,1.662,1.6801,520881,0
DHF.US,D,20050429,000000,1.6801,1.6801,1.662,1.6723,405998,0
DHF.US,D,20050502,000000,1.6723,1.6801,1.6688,1.6762,425640,0
DHF.US,D,20050503,000000,1.6801,1.6836,1.6688,1.6801,322325,0
DHF.US,D,20050504,000000,1.6801,1.7168,1.6723,1.7168,810100,0
DHF.US,D,20050505,000000,1.7168,1.7212,1.6801,1.6986,363762,0
DHF.US,D,20050506,000000,1.6911,1.7212,1.6911,1.7026,325821,0
DHF.US,D,20050509,000000,1.7026,1.7026,1.6878,1.6911,397112,0
DHF.US,D,20050510,000000,1.6878,1.6911,1.6574,1.6649,372904,0
DHF.US,D,20050511,000000,1.6574,1.6836,1.6574,1.6836,325550,0
DHF.US,D,20050512,000000,1.6723,1.6836,1.662,1.6688,338452,0
DHF.US,D,20050513,000000,1.6723,1.6801,1.6504,1.6541,448229,0
DHF.US,D,20050516,000000,1.6541,1.662,1.6354,1.6504,433706,0
DHF.US,D,20050517,000000,1.643,1.6465,1.6315,1.6354,490477,0
DHF.US,D,20050518,000000,1.6315,1.6465,1.6315,1.6465,400886,0
DHF.US,D,20050519,000000,1.6465,1.6465,1.6354,1.643,314516,0
DHF.US,D,20050520,000000,1.639,1.6465,1.6315,1.643,378822,0
DHF.US,D,20050523,000000,1.6465,1.6504,1.6354,1.6504,606452,0
DHF.US,D,20050524,000000,1.6541,1.6574,1.643,1.6541,561767,0
DHF.US,D,20050525,000000,1.643,1.643,1.5535,1.5573,2537676,0
DHF.US,D,20050526,000000,1.561,1.5911,1.561,1.5797,1569108,0
DHF.US,D,20050527,000000,1.5797,1.6315,1.5797,1.6205,1049288,0
DHF.US,D,20050531,000000,1.6205,1.6205,1.6024,1.6024,499901,0
DHF.US,D,20050601,000000,1.6054,1.6205,1.6054,1.6054,509574,0
DHF.US,D,20050602,000000,1.5981,1.6277,1.5981,1.6167,511201,0
DHF.US,D,20050603,000000,1.6205,1.6354,1.6167,1.6277,728043,0
DHF.US,D,20050606,000000,1.6277,1.6354,1.6277,1.6315,892163,0
DHF.US,D,20050607,000000,1.6167,1.6244,1.6054,1.613,746880,0
DHF.US,D,20050608,000000,1.613,1.6205,1.6054,1.6167,542943,0
DHF.US,D,20050609,000000,1.613,1.6205,1.6054,1.6167,387167,0
DHF.US,D,20050610,000000,1.6093,1.6205,1.5981,1.6093,419445,0
