<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHR.US,D,19871105,000000,0.48197,0.49637,0.46766,0.4868,338651,0
DHR.US,D,19871106,000000,0.45335,0.5014,0.45335,0.49637,761122,0
DHR.US,D,19871109,000000,0.45802,0.49637,0.45802,0.46766,442590,0
DHR.US,D,19871110,000000,0.45335,0.48197,0.43899,0.44859,593475,0
DHR.US,D,19871111,000000,0.45335,0.46766,0.45335,0.45335,439239,0
DHR.US,D,19871112,000000,0.47244,0.47244,0.45802,0.45802,632034,0
DHR.US,D,19871113,000000,0.46766,0.47244,0.45802,0.46766,524737,0
DHR.US,D,19871116,000000,0.45802,0.46766,0.44859,0.45335,410738,0
DHR.US,D,19871117,000000,0.43899,0.43899,0.40555,0.42463,653829,0
DHR.US,D,19871118,000000,0.42463,0.43899,0.42463,0.43899,274944,0
DHR.US,D,19871119,000000,0.44859,0.44859,0.43415,0.43415,214590,0
DHR.US,D,19871120,000000,0.42463,0.43415,0.42463,0.42463,181061,0
DHR.US,D,19871123,000000,0.43415,0.44859,0.42463,0.43415,585092,0
DHR.US,D,19871124,000000,0.44859,0.47244,0.41511,0.45802,2187804,0
DHR.US,D,19871125,000000,0.46766,0.46766,0.45335,0.45802,603532,0
DHR.US,D,19871127,000000,0.46766,0.47244,0.46766,0.47244,135796,0
DHR.US,D,19871130,000000,0.45802,0.45802,0.42463,0.43899,751066,0
DHR.US,D,19871201,000000,0.44859,0.44859,0.43415,0.43415,238062,0
DHR.US,D,19871202,000000,0.43415,0.43415,0.40555,0.42463,241415,0
DHR.US,D,19871203,000000,0.41511,0.42463,0.40555,0.40555,873445,0
DHR.US,D,19871204,000000,0.40555,0.40555,0.38159,0.38159,393973,0
DHR.US,D,19871207,000000,0.38636,0.39114,0.38159,0.38636,382238,0
DHR.US,D,19871208,000000,0.39114,0.42463,0.38636,0.41511,766149,0
DHR.US,D,19871209,000000,0.42463,0.45335,0.41511,0.45335,684004,0
DHR.US,D,19871210,000000,0.42463,0.45802,0.42463,0.43899,3205431,0
DHR.US,D,19871211,000000,0.44859,0.45335,0.40555,0.41511,3899496,0
DHR.US,D,19871214,000000,0.44859,0.46766,0.44859,0.45802,984093,0
DHR.US,D,19871215,000000,0.45802,0.5104,0.45802,0.5104,952242,0
DHR.US,D,19871216,000000,0.5152,0.5295,0.5104,0.5104,1233889,0
DHR.US,D,19871217,000000,0.5104,0.5295,0.5104,0.5104,920388,0
DHR.US,D,19871218,000000,0.5152,0.5295,0.5152,0.5246,526415,0
DHR.US,D,19871221,000000,0.5246,0.5295,0.5104,0.5152,330269,0
DHR.US,D,19871222,000000,0.5104,0.5246,0.5104,0.5152,340326,0
DHR.US,D,19871223,000000,0.5104,0.5727,0.5104,0.5443,570004,0
DHR.US,D,19871224,000000,0.5489,0.5489,0.5246,0.5443,249794,0
DHR.US,D,19871228,000000,0.5295,0.5295,0.49637,0.5014,409059,0
DHR.US,D,19871229,000000,0.49637,0.5014,0.4868,0.5014,258179,0
DHR.US,D,19871230,000000,0.49637,0.5014,0.4868,0.4868,333619,0
DHR.US,D,19871231,000000,0.48197,0.5104,0.48197,0.49637,241415,0
DHR.US,D,19880104,000000,0.49637,0.5246,0.49637,0.5246,454325,0
DHR.US,D,19880105,000000,0.5246,0.5489,0.5104,0.5104,541501,0
DHR.US,D,19880106,000000,0.49637,0.5152,0.49637,0.5014,313504,0
DHR.US,D,19880107,000000,0.49637,0.49637,0.48197,0.49637,454325,0
DHR.US,D,19880108,000000,0.49637,0.49637,0.43899,0.43899,397327,0
DHR.US,D,19880111,000000,0.44859,0.45802,0.44859,0.45802,630359,0
DHR.US,D,19880112,000000,0.45335,0.47244,0.45335,0.46766,429177,0
DHR.US,D,19880113,000000,0.46766,0.46766,0.45335,0.45802,112323,0
DHR.US,D,19880114,000000,0.46766,0.46766,0.45335,0.45802,5091472,0
DHR.US,D,19880115,000000,0.46766,0.49637,0.46766,0.48197,3366372,0
DHR.US,D,19880118,000000,0.48197,0.5246,0.48197,0.5104,509650,0
DHR.US,D,19880119,000000,0.5014,0.5104,0.4868,0.5104,564973,0
DHR.US,D,19880120,000000,0.5014,0.5104,0.4868,0.5104,1024329,0
DHR.US,D,19880121,000000,0.5104,0.5246,0.5014,0.5246,1797187,0
DHR.US,D,19880122,000000,0.5295,0.5727,0.5295,0.5489,861712,0
DHR.US,D,19880125,000000,0.5489,0.5586,0.5443,0.5586,422475,0
DHR.US,D,19880126,000000,0.5586,0.5635,0.5246,0.5443,273266,0
DHR.US,D,19880127,000000,0.5443,0.5443,0.5295,0.5295,55326,0
DHR.US,D,19880128,000000,0.5443,0.5489,0.5152,0.5152,1436746,0
DHR.US,D,19880129,000000,0.5443,0.5586,0.5443,0.5586,454325,0
DHR.US,D,19880201,000000,0.5586,0.5772,0.5586,0.5727,751066,0
DHR.US,D,19880202,000000,0.5635,0.5727,0.5586,0.5586,300090,0
DHR.US,D,19880203,000000,0.5635,0.5635,0.5246,0.5246,362119,0
DHR.US,D,19880204,000000,0.5246,0.5246,0.5246,0.5246,45266,0
DHR.US,D,19880205,000000,0.5443,0.5443,0.5295,0.5295,293383,0
DHR.US,D,19880208,000000,0.5443,0.5443,0.5014,0.5014,254826,0
DHR.US,D,19880209,000000,0.5014,0.5104,0.49637,0.49637,100588,0
DHR.US,D,19880210,000000,0.5104,0.5586,0.5104,0.5586,388948,0
DHR.US,D,19880211,000000,0.5489,0.5586,0.5295,0.5443,348710,0
DHR.US,D,19880212,000000,0.5489,0.5586,0.5295,0.5586,1805568,0
DHR.US,D,19880216,000000,0.5586,0.5586,0.5295,0.5586,414088,0
DHR.US,D,19880217,000000,0.5635,0.5772,0.5586,0.5772,1334479,0
DHR.US,D,19880218,000000,0.5727,0.6206,0.5727,0.6206,1290888,0
DHR.US,D,19880219,000000,0.5964,0.5964,0.5866,0.5866,368826,0
DHR.US,D,19880222,000000,0.5915,0.6062,0.5915,0.6062,192796,0
DHR.US,D,19880223,000000,0.5964,0.5964,0.5866,0.5866,767829,0
DHR.US,D,19880224,000000,0.5915,0.6206,0.5915,0.6111,410738,0
DHR.US,D,19880225,000000,0.6111,0.6255,0.6111,0.6111,377207,0
DHR.US,D,19880226,000000,0.6062,0.6111,0.6062,0.6111,6706,0
DHR.US,D,19880229,000000,0.6206,0.6391,0.6206,0.6344,684004,0
DHR.US,D,19880301,000000,0.6391,0.6391,0.6255,0.6344,720886,0
DHR.US,D,19880302,000000,0.6344,0.6344,0.6255,0.6344,132444,0
DHR.US,D,19880303,000000,0.6206,0.6344,0.6111,0.6255,323560,0
DHR.US,D,19880304,000000,0.6255,0.6255,0.6111,0.6255,660533,0
DHR.US,D,19880307,000000,0.6344,0.6344,0.6062,0.6111,600177,0
DHR.US,D,19880308,000000,0.6206,0.6344,0.6111,0.6344,1088035,0
DHR.US,D,19880309,000000,0.6344,0.6583,0.6206,0.6583,1141683,0
DHR.US,D,19880310,000000,0.6391,0.673,0.6391,0.6391,1751923,0
DHR.US,D,19880311,000000,0.6391,0.6484,0.6255,0.6391,432534,0
DHR.US,D,19880314,000000,0.6391,0.6484,0.6391,0.6484,216266,0
DHR.US,D,19880315,000000,0.6583,0.6873,0.6484,0.6873,444264,0
DHR.US,D,19880316,000000,0.6873,0.6967,0.6873,0.6967,791297,0
DHR.US,D,19880317,000000,0.6967,0.7155,0.6967,0.7107,2256539,0
DHR.US,D,19880318,000000,0.7016,0.7107,0.6873,0.6873,870094,0
