<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKL.US,D,20121102,000000,10.835,11.131,10.479,10.479,13999704,0
DKL.US,D,20121105,000000,10.526,10.741,10.198,10.642,1893459,0
DKL.US,D,20121106,000000,10.735,10.735,10.493,10.549,247295,0
DKL.US,D,20121107,000000,10.549,10.709,10.221,10.635,489254,0
DKL.US,D,20121108,000000,10.593,10.637,10.409,10.427,133448,0
DKL.US,D,20121109,000000,10.386,10.653,10.365,10.554,123316,0
DKL.US,D,20121112,000000,10.549,10.557,10.232,10.344,170353,0
DKL.US,D,20121113,000000,10.317,10.317,10.033,10.174,372878,0
DKL.US,D,20121114,000000,10.132,10.262,9.997,10.094,212671,0
DKL.US,D,20121115,000000,9.987,10.118,9.939,10.016,97623,0
DKL.US,D,20121116,000000,9.992,10.071,9.623,9.96,315231,0
DKL.US,D,20121119,000000,10.079,10.15,9.964,10.058,99276,0
DKL.US,D,20121120,000000,9.892,10.02,9.774,9.987,300390,0
DKL.US,D,20121121,000000,9.953,10.104,9.826,10.058,420338,0
DKL.US,D,20121123,000000,10.162,10.668,10.137,10.259,85049,0
DKL.US,D,20121126,000000,10.286,10.405,10.279,10.39,156599,0
DKL.US,D,20121127,000000,10.529,10.784,10.479,10.784,362807,0
DKL.US,D,20121128,000000,10.735,10.808,10.57,10.735,99871,0
DKL.US,D,20121129,000000,10.725,10.813,10.466,10.503,64151,0
DKL.US,D,20121130,000000,10.574,10.595,10.139,10.528,93755,0
DKL.US,D,20121203,000000,10.727,10.859,10.653,10.709,215582,0
DKL.US,D,20121204,000000,10.624,10.658,10.504,10.589,41555,0
DKL.US,D,20121205,000000,10.498,10.637,10.439,10.601,84357,0
DKL.US,D,20121206,000000,10.581,10.835,10.472,10.655,101994,0
DKL.US,D,20121207,000000,10.709,10.709,10.526,10.668,75581,0
DKL.US,D,20121210,000000,10.709,10.709,10.554,10.62,48872,0
DKL.US,D,20121211,000000,10.609,10.609,10.455,10.489,72855,0
DKL.US,D,20121212,000000,10.446,10.517,10.446,10.512,49029,0
DKL.US,D,20121213,000000,10.479,10.479,10.198,10.226,48213,0
DKL.US,D,20121214,000000,10.202,10.237,10.189,10.221,15194,0
DKL.US,D,20121217,000000,10.162,10.305,10.079,10.305,18108,0
DKL.US,D,20121218,000000,10.365,10.781,10.21,10.479,107974,0
DKL.US,D,20121219,000000,10.542,10.637,10.479,10.549,84954,0
DKL.US,D,20121220,000000,10.756,10.76,10.512,10.73,57382,0
DKL.US,D,20121221,000000,10.727,10.893,10.427,10.427,117404,0
DKL.US,D,20121224,000000,10.449,10.893,10.449,10.792,57053,0
DKL.US,D,20121226,000000,10.82,10.856,10.593,10.626,26252,0
DKL.US,D,20121227,000000,10.653,10.756,10.554,10.564,22136,0
