<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMYS-WS.US,D,20211123,000000,1.9,2.16,1.67,1.72,299547,0
DMYS-WS.US,D,20211124,000000,1.71,2.15,1.62,1.66,150010,0
DMYS-WS.US,D,20211126,000000,1.67,1.71,1.48,1.51,455866,0
DMYS-WS.US,D,20211129,000000,1.65,1.78,1.55,1.75,265387,0
DMYS-WS.US,D,20211130,000000,1.74,1.74,1.62,1.6699,126416,0
DMYS-WS.US,D,20211201,000000,1.6499,1.7,1.56,1.56,162826,0
DMYS-WS.US,D,20211202,000000,1.6722,1.71,1.36,1.48,378449,0
DMYS-WS.US,D,20211203,000000,1.56,1.65,1.3,1.38,331142,0
DMYS-WS.US,D,20211206,000000,1.4,1.46,1.35,1.37,318147,0
DMYS-WS.US,D,20211207,000000,1.42,1.5,1.4,1.42,91593,0
DMYS-WS.US,D,20211208,000000,1.5,1.63,1.43,1.5499,294453,0
DMYS-WS.US,D,20211209,000000,1.63,1.73,1.54,1.56,133524,0
DMYS-WS.US,D,20211210,000000,1.49,1.65,1.49,1.5899,31440,0
DMYS-WS.US,D,20211213,000000,1.59,1.59,1.45,1.48,75533,0
DMYS-WS.US,D,20211214,000000,1.43,1.48,1.32,1.35,158538,0
DMYS-WS.US,D,20211215,000000,1.47,1.47,1.25,1.35,221464,0
DMYS-WS.US,D,20211216,000000,1.3,1.4,1.25,1.36,121711,0
DMYS-WS.US,D,20211217,000000,1.32,1.35,1.28,1.28,100268,0
DMYS-WS.US,D,20211220,000000,1.3,1.3,1.25,1.25,22375,0
DMYS-WS.US,D,20211221,000000,1.33,1.33,1.25,1.28,40336,0
DMYS-WS.US,D,20211222,000000,1.23,1.3011,1.23,1.3011,20558,0
DMYS-WS.US,D,20211223,000000,1.3,1.3,1.27,1.28,28056,0
DMYS-WS.US,D,20211227,000000,1.28,1.29,1.21,1.29,92380,0
DMYS-WS.US,D,20211228,000000,1.265,1.3,1.265,1.28,52152,0
DMYS-WS.US,D,20211229,000000,1.29,1.295,1.25,1.265,25899,0
DMYS-WS.US,D,20211230,000000,1.23,1.29,1.23,1.28,16920,0
DMYS-WS.US,D,20211231,000000,1.28,1.32,1.28,1.3199,4011,0
DMYS-WS.US,D,20220103,000000,1.32,1.325,1.251,1.2806,5024,0
DMYS-WS.US,D,20220104,000000,1.2701,1.32,1.25,1.285,11184,0
DMYS-WS.US,D,20220105,000000,1.31,1.45,1.23,1.25,116253,0
DMYS-WS.US,D,20220106,000000,1.2699,1.2699,1.05,1.15,245266,0
DMYS-WS.US,D,20220107,000000,1.15,1.15,1.045,1.06,152849,0
DMYS-WS.US,D,20220110,000000,1.06,1.06,0.98,1.06,132404,0
DMYS-WS.US,D,20220111,000000,1.06,1.0849,1.04,1.0597,111284,0
DMYS-WS.US,D,20220112,000000,1.06,1.08,1.03,1.05,103594,0
DMYS-WS.US,D,20220113,000000,1.02,1.08,0.95,1.04,67013,0
DMYS-WS.US,D,20220114,000000,1.01,1.11,1.01,1.05,88779,0
DMYS-WS.US,D,20220118,000000,1.04,1.063,1.0001,1.06,51177,0
DMYS-WS.US,D,20220119,000000,1.05,1.11,1.01,1.03,77882,0
DMYS-WS.US,D,20220120,000000,1.03,1.09,1.03,1.03,172216,0
DMYS-WS.US,D,20220121,000000,0.965,1.04,0.93,0.95,243404,0
